word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
number,-0.861352,-0.511885,-0.047498,-0.33576,0.712536,-0.31621,-0.413245,0.924331,0.834894,1.126409,0.738968,0.019213,-0.903295,-1.431654,-0.298458,0.075503,-0.4637,-0.289199,0.213287,0.207736,-0.628405,0.055685,-0.289892,0.710471,-0.005689,0.178582,-0.028568,-0.46255,0.61954,0.046914,-0.211722,-0.254402
function,-0.108947,-0.043682,-0.320079,1.242492,0.720121,-0.428086,-0.021932,-0.621857,0.459183,-0.577913,0.002013,0.740754,-2.182903,-1.265902,-1.091048,-0.174885,-0.434132,-0.559221,0.388166,-0.117926,-0.725712,1.507266,-0.524798,0.405281,0.097296,0.692132,0.735606,0.156083,0.663294,-0.183741,-0.090073,-0.499629
one,-0.369731,-0.205321,-0.100722,-0.400451,0.649015,0.105893,0.069638,1.07491,0.76058,-0.209168,0.19752,0.052231,-0.254477,-1.067777,-0.529105,0.137883,-0.012484,0.037062,0.108455,-0.020748,-1.010065,0.051751,0.066625,0.390402,-0.296317,0.456368,-0.144163,-0.485538,0.574899,0.250416,-0.251236,-0.525426
set,-0.514562,0.3635,-0.552711,-0.409184,0.245029,-0.317692,0.16484,0.488556,0.610134,-0.141031,0.05219,0.169701,-0.611301,-1.172015,-0.346126,-0.342639,-0.115955,-0.155055,0.087204,0.251363,-1.099264,-0.42088,-0.303306,0.531065,-0.454142,0.345335,-0.076483,-0.465864,0.79606,0.038199,-0.544814,-0.535513
group,0.02605,-0.113864,0.211253,0.439531,-0.239149,-0.421006,-0.009392,1.108711,1.319764,-0.232338,0.090457,0.302096,-0.378904,-0.885377,-0.287691,0.507369,-0.96324,-0.240784,0.327064,-0.824848,-0.719483,-0.089752,0.457199,0.612976,-0.376669,0.31903,0.037987,0.532706,-0.213736,0.322195,-0.046214,0.051796
space,-0.500523,0.313862,-0.629615,0.553005,0.086994,-0.373971,0.372565,1.027489,0.774291,-0.889165,-0.272576,0.537566,-1.135814,-0.444309,-0.858956,-1.328555,-0.425564,-0.159943,-0.05374,0.482249,-0.309161,0.285987,-0.009549,1.192855,-0.887187,-0.354842,0.169831,-0.03554,1.042315,0.297849,-0.897387,0.28868
two,-0.73264,-0.063526,0.162525,-0.274419,0.923586,0.042299,-0.10995,1.031918,0.787337,-0.499404,0.634599,0.353894,-0.097911,-0.999889,-0.567355,0.154256,-0.100654,0.118191,0.096418,0.10647,-0.906358,-0.164183,-0.133989,0.678927,0.054897,0.094214,-0.385256,-0.366449,0.675604,0.292054,-0.313886,-0.689972
theory,0.269206,1.547579,-0.622602,1.348189,-0.662277,0.695592,0.442134,0.639063,0.221448,0.601602,-0.303819,0.292849,-2.081235,-1.055524,-0.667452,-0.357798,0.353839,0.72744,-0.60663,0.797539,-0.330692,1.14652,0.887273,0.157034,0.14934,0.824823,1.541257,0.47609,1.081852,0.250438,1.134458,0.100539
point,-1.432356,0.803582,-0.319863,0.470372,0.875584,1.042653,-0.464531,0.855865,1.111162,0.40376,0.909163,-0.218723,0.050266,-1.11971,-0.196906,0.076223,0.523389,0.108893,-0.506001,0.253671,-0.265302,0.119422,-0.355793,0.939144,-0.764497,-0.012338,-0.264753,-0.488659,0.489201,-0.161019,-0.279299,-0.270641
theorem,-0.526933,1.558399,-1.25483,1.383168,-0.618685,1.624894,1.158409,-1.05386,-0.075046,0.998882,-0.024133,0.700466,-0.692863,0.316428,-0.68448,-0.58445,0.068047,0.182545,0.049402,1.380769,-0.053831,0.959057,-0.841958,-0.397947,1.313284,-0.379685,1.067908,-0.135913,1.045012,-0.445211,1.052901,-1.029598
example,-0.450245,-0.206304,-0.444768,0.018474,0.217053,-0.363362,0.03822,0.455076,0.950966,0.095472,0.150254,0.056559,-1.76866,-0.642224,-0.397844,-0.022913,0.005982,-0.204581,0.252886,-0.044125,-0.553627,1.016247,-0.201023,0.36875,-0.032998,1.147537,0.577488,-0.472167,0.86069,-0.091354,0.512518,-0.36711
form,-0.446382,-0.11999,-0.148135,-0.125845,0.063529,-0.163705,-0.456797,0.804459,1.264851,-0.715672,0.306715,0.563035,-1.141672,-0.74966,-0.545701,0.310476,-0.321463,0.075346,-0.209857,-0.418005,-0.509904,0.741012,0.162884,0.418889,0.159608,0.780847,0.044529,0.694245,0.68341,-0.130036,0.541949,-0.734284
define,-0.500389,0.338659,-0.711821,0.674267,0.024294,-0.094153,-0.18894,-0.004399,1.029779,-0.000607,0.622973,0.195514,-1.629228,-1.22155,-0.257833,-0.393531,0.111439,-0.090444,0.495841,0.229084,-0.436591,1.533832,-0.568952,0.339628,-0.339605,0.836804,1.015266,0.344985,0.243487,-0.430044,0.740251,0.012766
graph,-0.248483,1.278286,-1.048823,1.145459,-0.119266,0.880587,0.452817,-1.254841,0.68494,1.062173,-0.476631,0.743494,-1.228106,-0.351181,-0.346978,-0.705766,-0.293999,-0.252066,0.842587,0.493483,0.566281,1.153707,-1.200083,0.464616,-0.149832,0.015131,0.810202,-0.072089,1.242222,-0.890302,0.31183,-0.789153
value,-0.317187,-0.170201,-0.865083,0.674844,-0.056866,0.464763,0.38975,0.285633,1.277639,1.429782,0.875054,-0.705787,-1.710623,-0.782811,-0.691795,-1.067634,0.100685,-0.433724,-0.129035,-0.09228,-0.901855,1.239418,-0.718169,0.06316,-0.23163,0.829234,0.558823,-0.04038,0.533514,-0.092456,-0.143837,0.176847
problem,-0.065974,0.256389,-0.835936,1.273984,0.468056,-0.17449,0.445712,0.109185,-0.211447,0.335865,0.069247,-0.078329,-1.294325,-1.145171,-0.343235,0.77133,0.237382,0.384577,-0.56453,0.436571,-1.029524,1.10272,0.365309,0.297557,-0.958981,0.237306,0.419256,0.026182,0.892828,0.289914,-0.012088,-0.202302
mathematic,0.810411,0.429734,0.08784,1.747202,0.255305,1.530392,0.264089,0.322917,-0.199896,0.475355,-0.673355,0.312817,-1.197845,-1.737028,-0.477505,-0.818806,0.164042,-0.219317,0.159796,0.516313,1.100366,-0.063813,-0.532831,-0.757381,0.779272,0.581256,1.454644,0.250957,1.497661,0.888795,0.128469,0.123713
order,-0.065071,-0.194342,0.59707,0.193335,0.039925,-0.607795,-0.403049,0.320616,0.624624,-0.476598,0.616629,-0.218572,-0.859361,-1.355453,-1.294795,0.121263,0.293399,-0.099494,0.178535,-0.147432,-1.558332,0.135156,0.004957,-0.219921,0.070475,-0.065661,-0.145318,-0.538583,-0.052271,-0.395777,0.089878,-0.111109
