word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
number,0.353079,0.33189,-0.053324,-0.770319,-0.932686,0.331612,-0.079702,0.170137,-0.198184,-0.545686,0.46276,-0.133289,-1.066081,-0.976416,-1.068919,-0.187129,0.123161,0.279211,0.520175,0.348275,-1.184247,-0.00545,0.994314,-0.516391,-1.098176,0.813733,-0.184052,0.359503,-0.409945,0.31446,-0.502647,-0.162372,0.279841
function,-0.914872,-0.328987,0.395689,-0.54489,-0.043144,0.35493,-0.228001,-0.529052,-0.448323,-0.554312,-0.466313,0.0683,-1.521481,-0.409882,-1.381977,0.824389,0.358379,0.163979,0.013634,0.256226,-0.414429,0.534615,-0.072193,1.971002,-0.681251,1.576333,0.269762,0.13052,-0.720416,0.668101,-1.108686,-1.105402,0.537913
one,-0.054744,0.177461,0.238687,0.142317,-0.859011,0.201766,-0.284016,-0.219239,0.013371,0.274992,-0.064826,0.094043,-0.569469,-0.553395,-0.390185,0.066577,0.010106,0.146453,0.22203,0.136884,-1.194247,0.356686,1.061129,-0.442048,-0.64375,0.443498,-0.297466,-0.53583,-0.809157,0.028434,-0.639686,-0.392229,-0.098121
set,-0.250302,0.177595,0.05497,-0.04361,-0.990677,0.271798,0.05567,-0.297748,-0.766655,0.004311,-0.093059,0.17192,-0.702271,-0.480093,-0.299587,-0.127416,0.284719,-0.034373,0.368448,-0.028682,-0.853021,0.418598,0.511131,-0.060014,-1.169401,0.670849,-0.639272,-0.280916,-0.611674,0.081409,-1.116683,0.190533,-0.152365
group,0.007805,-0.098306,-0.398246,-0.581209,0.158266,-0.190194,-0.821411,0.497175,-0.736568,-0.360353,-0.355554,-0.616325,0.034894,-0.25512,-0.208379,0.784179,-0.012142,-0.311176,0.070012,0.845336,-0.617833,-0.041727,0.77364,-0.317327,-0.433641,0.180471,-0.545956,-0.764994,-0.866709,0.493353,-0.971468,-0.960774,-0.124739
space,-0.152515,-0.199293,0.187071,-1.161181,-0.800755,-0.77918,-0.506507,-0.730972,-1.032281,-0.225634,-0.665872,0.43384,-0.77425,-0.789445,0.181345,0.46516,0.558282,0.290758,-0.067214,0.058427,0.297184,0.380246,0.210821,0.340706,-1.754773,0.891854,-0.23297,0.031845,-1.708875,-0.07871,-0.97469,-0.265975,-0.714023
two,0.260792,0.136237,0.570386,0.16374,-1.194431,0.058983,-0.022561,-0.176083,-0.125811,0.20198,-0.290485,-0.102302,-0.73706,-0.286332,-0.526667,0.131353,-0.244092,0.170941,0.661265,0.301313,-0.742513,0.125029,1.363307,-0.381784,-0.997905,0.245404,-0.286312,-0.446229,-0.796995,0.184827,-0.573111,-0.43141,-0.078731
theory,-0.183049,-0.847047,-0.227782,-0.570336,1.033122,0.461081,0.072268,-1.141732,0.470952,0.353052,-0.521224,0.2693,0.171662,-1.329828,-0.234307,0.77471,0.55552,-0.845501,0.721028,0.101906,-0.646281,0.459489,-1.92222,0.292058,-1.120585,2.329515,-0.328724,0.62147,-1.349385,0.513998,-0.584017,-0.911334,0.09278
point,0.56021,0.934698,0.021388,-0.185953,-1.24378,0.646065,-0.555463,-0.329497,-0.050395,0.385639,-0.444595,0.714443,-0.799212,-0.415852,-1.033518,0.983513,-0.204199,-0.089982,0.793984,-0.234918,-0.532596,0.335626,0.354863,-0.7812,-1.847764,0.602107,-0.376773,-0.08228,-0.520824,0.247188,0.420979,-0.029492,0.188882
theorem,-0.885973,-1.209959,0.894738,-0.380521,1.105088,1.257678,1.511348,-1.167596,-0.903156,-0.297603,-0.264837,1.043544,-0.337371,-0.81777,-0.487033,0.965575,0.811252,-0.146126,1.833869,0.44934,-0.643766,0.506472,-1.529795,1.667595,-2.514951,1.318695,-0.326764,0.867548,-0.111416,-0.8176,0.280664,-0.042209,0.691128
