word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
number,0.51059,1.157874,0.161858,0.278936,0.942986,-0.755555,-0.488882,1.107124,-0.047101,-0.099265,-0.088167,-0.790916,0.198401,0.166424,0.536167,1.316301,-0.394492,-0.205826,-0.407555,-0.643233,-0.274024,0.130409,-0.258273,-0.120404,-0.380366,-0.428558,0.202053,0.729552,-0.340651,-0.157896,-0.628627,-0.807429,0.443014,-0.672937
function,0.696159,1.803453,-0.029551,0.012841,0.955792,-1.538504,0.676672,1.271744,-0.461871,0.420519,-0.522891,-0.870026,-0.66947,-1.702939,0.925748,0.2907,0.121285,0.357277,-0.789962,0.506411,0.520551,-0.632747,0.543908,0.403859,-1.019534,0.186821,-0.113345,0.614894,0.168975,0.250621,0.404489,-0.821364,0.393078,1.073326
one,0.246643,0.701324,0.34704,-0.42312,0.181507,-0.387287,0.1819,0.801106,-0.061469,0.13924,-0.148847,-0.664119,0.307836,-0.086415,0.648855,1.489092,-0.056331,-0.13664,0.410392,-0.350536,-0.299967,-0.016275,-0.101228,0.288905,0.039303,-0.724301,0.456925,0.178484,0.338374,-0.250084,-0.231008,-0.805602,0.055268,-0.263645
set,0.35952,0.997002,0.255154,0.11471,0.37167,-0.435001,0.129892,1.175128,0.069677,0.084942,0.166247,-0.816444,0.010856,-0.206587,0.379415,1.242292,-0.110897,-0.330618,0.205783,0.576737,-0.139325,0.556657,0.073254,0.888355,-0.066159,-0.12011,0.511853,0.166726,-0.036757,-0.177357,-0.321079,-0.740308,0.546275,-0.029277
group,0.519596,0.852724,-0.007264,-0.499876,-0.27819,-0.516444,1.068628,0.316121,-0.401059,0.022515,0.197373,0.536619,0.321432,-0.292255,0.384807,0.538721,-0.288011,-0.258605,-0.089553,0.087383,0.460132,0.410808,-0.286199,0.365085,-0.652981,-1.006567,-0.461691,0.550167,0.324084,-0.47158,0.299016,-1.346771,0.487337,-1.01435
space,0.328949,0.973722,-0.000975,-0.376811,-0.325338,-0.316007,-0.3531,1.1238,-0.213313,-0.246337,-0.133388,-0.428939,-0.735446,-0.785724,0.122236,0.761442,-0.149859,-0.406351,-0.597548,0.115895,0.183053,0.479884,0.51214,1.643599,-0.877146,0.241221,0.495983,0.151823,0.026654,-0.895937,0.548324,-1.853497,0.601059,0.50003
two,0.627443,0.635487,0.186924,-0.119734,-0.166537,-0.164104,0.417664,1.282903,0.088559,0.322129,-0.04417,-0.49588,0.441044,0.053607,0.52512,1.466025,-0.098673,-0.13178,0.427015,-0.665335,-0.4804,-0.042381,0.086852,0.229388,-0.320736,-0.60041,0.691077,0.141758,0.12201,-0.13383,-0.290845,-0.958894,-0.043127,-0.283599
theory,-1.060985,2.130287,1.001954,-1.379972,1.439786,-0.797445,0.315869,-0.277848,0.222334,-0.087017,0.557435,-0.183601,-1.049263,-1.515366,-0.141651,0.389231,-0.531861,0.651145,-1.294814,0.399057,0.621024,-0.323011,0.550237,0.571629,-1.363948,0.462362,0.113787,-0.415498,0.564177,-0.977359,-0.725037,-0.041611,0.555194,0.513501
point,0.254959,0.712241,1.128565,0.456181,-0.019491,-0.152665,-0.896824,1.273103,0.21376,0.406381,0.40917,-0.558102,0.421455,-0.460286,-0.080017,1.736132,0.062521,0.131667,-0.291375,-0.848138,0.211866,-0.16411,0.239002,0.992495,-0.51447,-0.226996,0.066308,-0.185844,0.645253,0.202183,-0.897972,-0.499829,-0.215142,-0.445135
theorem,-0.177502,1.778501,0.858526,0.803555,1.516738,-0.134525,0.817934,0.633984,1.510894,0.901491,1.060191,-2.016195,-0.418867,-2.481761,-0.653415,-0.623715,0.6871,-0.219206,-1.868804,-0.040582,0.649173,0.232824,1.332937,0.526775,-0.979174,0.1066,0.022797,-1.216386,-0.382147,-0.827371,-0.739959,0.378224,0.461818,1.489538
example,0.452766,1.246569,0.028425,-0.529816,0.822283,-0.952222,-0.269452,0.202421,-0.450219,-0.137931,-0.314607,-0.6932,-0.248625,-0.912655,0.952787,1.172089,0.194794,0.193886,-0.351015,0.241378,0.062225,0.293355,0.453771,-0.026254,-0.725732,-0.226622,-0.071449,0.404372,0.177785,-0.109785,-0.42268,-0.569942,0.324903,0.502791
form,0.483015,1.272687,-0.06002,-0.895936,-0.334461,-0.702446,0.460757,0.414319,-0.222815,0.366283,-0.114308,-0.385999,0.271373,-0.416935,1.170314,1.035542,-0.014148,-0.039431,-0.211179,0.234,-0.047224,0.035481,0.279873,-0.397777,-1.230177,-0.406246,-0.322749,-0.014807,0.237445,-0.008018,-0.340668,-0.869599,-0.08879,0.17765
define,0.497538,1.658923,0.042623,-0.132295,0.913401,-0.999721,-0.330257,0.614868,-0.416487,-0.041953,0.160743,-0.574438,-0.498713,-1.256402,0.871486,1.021882,0.375824,0.656955,-1.266442,0.431323,0.985218,0.083616,0.848711,0.473718,-1.192274,-0.261116,-0.254211,0.181772,0.318864,0.147143,-0.018541,-0.347002,-0.010033,0.227974
graph,0.675324,2.083245,0.194936,1.150819,0.360877,0.426624,0.176994,1.127651,0.683913,-0.649935,0.022822,-1.875542,-0.820925,-2.288545,-0.440729,0.091657,-0.218465,-0.089518,-1.61805,0.482794,0.970719,-0.044084,0.630064,0.396346,-1.06256,0.073875,-0.588206,-0.013581,-0.349306,0.165613,-0.376585,0.009285,0.64326,1.097403
value,0.719295,1.721812,0.548643,0.222215,1.302697,-1.674197,-1.404748,-0.090755,-0.002667,0.012992,0.532751,-0.89116,-0.752098,-1.288452,1.068511,1.064915,-0.2387,0.318283,-0.37495,-0.085406,0.618991,0.100613,0.439768,0.713529,-0.424913,-0.340048,-0.468008,0.522919,-0.060503,-0.288088,0.35321,-0.288471,0.119471,-0.006485
problem,-0.001901,1.215832,1.057087,-0.847562,1.244897,-0.663968,-0.224631,0.643654,-0.333972,0.647189,0.104658,0.063672,-0.475079,-1.530901,0.092932,0.718341,-0.714916,0.406903,-0.501531,0.360526,0.296422,-0.771302,0.163787,0.729166,0.279258,0.33273,0.122796,0.229304,-0.144731,-0.025549,-0.614168,-0.800179,0.500943,0.496114
mathematic,-1.505705,1.281775,1.043299,0.213526,1.255348,-0.447919,0.600642,0.269551,1.293271,-0.014894,-0.632507,-1.066222,-2.162273,-1.300091,0.036586,-0.43994,-0.169316,0.014299,0.050396,-0.417404,1.070199,-0.750539,0.718721,0.162098,-1.76936,0.327126,0.29092,0.334001,0.670528,-0.853856,-0.215881,-0.146202,0.436286,-0.156018
order,0.101999,0.605232,-0.01946,-0.281045,0.528068,-1.754149,0.780599,1.21669,-0.550617,0.318176,0.593851,-0.292347,-0.10375,0.240886,0.291362,1.070448,-0.598937,0.236885,0.22791,-0.067499,0.107989,0.294326,-0.030835,0.155211,-0.114186,-0.683992,0.202952,0.127198,0.223837,0.476801,0.412823,-0.42736,0.080743,0.458693
equation,0.161651,1.945063,1.140641,0.352855,1.401622,-1.000813,0.017362,0.436621,0.696852,-0.095081,1.234086,-1.13004,-0.582315,-2.593427,0.194114,-0.659109,0.055111,-0.372563,-1.351439,-0.221069,-0.147715,-1.000135,1.608556,0.63477,-1.272758,0.807017,-0.068547,-0.618463,0.588733,-1.168245,-0.230734,0.230628,-0.22653,1.556679
first,0.04086,0.300859,0.588441,-0.1735,0.207176,-0.186851,0.654459,0.760351,0.092452,0.27408,-0.047023,-0.432898,0.414856,0.293081,0.354104,0.67443,-0.458018,-0.254213,0.879979,-0.192838,-0.61432,-0.239459,-0.222238,0.293302,-0.309076,-0.962693,0.941792,0.219151,0.47909,0.005161,-0.247159,-0.545393,0.516581,-0.876836
vector,1.159097,1.284453,0.210031,0.302001,0.711154,-1.110595,-0.062777,1.156613,0.185568,-0.739291,0.00193,-1.081421,-0.233753,-2.130539,-0.070231,-0.5163,0.710688,-0.26786,-1.761033,0.321934,0.268968,-0.637891,0.978302,0.993051,-1.046942,0.181441,-0.405565,0.922065,0.718592,-0.157267,-0.151867,-0.747884,-0.121723,1.259367
algebra,-0.437762,2.099157,0.340648,0.48172,0.729474,-0.89353,1.168452,1.067201,1.434696,-0.264935,-0.548144,-1.503565,-1.37719,-1.822473,-0.116426,-0.779549,0.980393,-0.102746,-1.299302,0.145374,0.962935,0.443602,0.996733,0.500015,-1.946664,0.853964,-0.790473,0.103038,0.254556,-0.913245,-0.336425,0.463919,0.137631,0.614725
$\mathbb{N}$,0.544549,1.448144,0.068465,0.826024,0.279239,-0.306544,0.281323,0.901726,-0.705258,-0.422847,0.243181,-0.62087,0.744628,-0.307229,0.344128,-0.114732,0.718363,-0.315998,-0.619026,-0.456319,-0.891701,0.316789,1.085765,0.113134,-0.838283,0.609884,-1.209251,0.701379,0.49493,-0.722895,0.025838,-0.408203,-0.827428,-0.492789
field,-0.160619,0.895693,0.440552,-0.173818,-0.56326,-0.71968,0.147851,0.692645,0.108942,0.03171,-0.023699,0.012583,-0.058134,-0.578609,-0.045682,0.527083,-0.637666,-0.485525,0.22689,-1.287492,0.756744,-0.504815,0.666079,0.529062,-0.997068,0.238434,0.70235,0.016824,1.008691,0.204257,-0.426853,-1.229447,0.651865,-0.543355
element,0.25476,1.755197,-0.050069,-0.832397,-0.185784,-1.07551,-0.15102,0.479166,-0.253757,-0.756231,0.018289,-0.036045,-0.603961,-0.372447,1.396686,1.182439,0.170484,-0.186478,-0.440685,0.481211,-0.280996,0.597356,0.251335,0.264125,-1.038706,0.375854,-0.374539,0.281339,0.563601,-0.486043,-0.652244,-0.653282,0.613277,0.896877
system,1.147505,0.423141,-0.056539,-0.701772,0.500334,-1.091642,-0.551117,0.936388,-1.132231,0.164331,-0.420155,-0.512353,-0.243121,-0.810171,1.320274,-0.030675,-1.295075,0.620051,-0.414699,0.487069,0.391491,-0.510789,0.165215,1.299648,-1.346105,0.023556,0.118501,0.225926,0.702338,-0.022985,-0.551738,-1.132962,0.66746,0.043462
matrix,1.056024,2.404304,0.126101,0.928622,0.127443,-0.98404,0.195886,0.493612,0.481962,-0.644023,0.229236,-0.87144,-0.594631,-1.873436,0.054954,-0.034926,0.402496,0.036322,-1.210394,0.258348,-0.621914,-0.068722,0.741911,0.392803,-1.014672,0.696708,-0.954202,0.266351,0.250667,-0.287628,-0.315657,-0.708129,0.799724,1.142893
mathematical,-1.181501,1.295202,1.057293,0.007583,1.592696,-0.497562,0.136078,0.057741,0.778625,-0.374385,-0.054382,-0.979944,-2.155596,-1.79035,-0.185886,-0.508293,-0.426523,-0.155934,-0.642677,0.140558,0.693512,-0.454178,0.928161,0.210111,-1.721945,0.386813,0.390577,0.290919,1.010145,-0.282102,-0.521292,-0.179148,0.960759,0.291085
method,-0.062441,1.351621,0.405187,-0.62573,0.902714,-0.777519,-0.555863,0.072135,-1.015702,0.182601,-0.289043,-0.568127,-0.875265,-2.089102,1.119374,0.074616,-0.966894,0.091121,-0.450509,-0.102637,-0.140261,-0.21394,0.756827,0.18982,-0.337659,0.452358,0.179018,0.364541,0.648032,0.3476,-0.884621,-0.388507,0.817529,0.904149
finite,0.350676,2.494065,0.785012,0.267987,0.928929,-0.749753,0.42906,1.458704,0.675742,-0.14689,0.190949,-1.264556,-0.498082,-1.867663,0.258444,-0.170583,0.561475,-0.441307,-1.733682,0.096824,0.915364,0.166719,1.356241,0.723112,-1.086986,0.882356,-0.910588,-0.156948,0.101458,-0.864315,-0.038024,-0.073888,0.236325,1.411119
result,0.678056,1.190228,1.31081,-0.126946,0.615667,-0.514513,0.012989,0.752959,-0.414675,0.752582,0.559989,0.412452,0.455398,-0.75818,0.604321,1.131327,-0.664158,0.073937,-0.405558,-0.462023,-0.475978,-0.807771,-0.243138,0.043705,-0.0876,-0.520673,0.143396,-0.184416,0.456099,0.885458,-0.122262,-0.52574,0.631131,-0.396934
vertex,1.094243,1.772506,-0.175278,1.441508,-0.905488,0.110805,0.180752,2.014285,1.187528,-0.412735,0.223639,-1.656005,-1.339836,-1.31933,-0.485884,0.460683,1.126117,0.187289,-1.825315,-0.139039,-0.250634,0.206611,0.229642,0.61961,-0.877908,-0.204578,-0.941681,-0.051684,-0.357997,0.129711,-0.138427,-0.617387,-0.269296,1.576743
term,0.258559,1.446716,0.224538,-0.60563,0.877515,-1.099587,0.029502,0.009669,-0.244653,0.357359,0.435478,-0.196902,-0.227906,-0.684522,1.103191,0.811059,-0.453824,0.463738,-0.386555,0.385054,0.545378,-0.352331,0.351287,-0.2441,-0.36195,-0.657784,0.187114,-0.041833,0.286607,0.26656,-0.100349,-0.287916,0.256217,-0.151317
line,0.848438,0.188615,0.438372,0.385465,-0.466952,-0.240195,-0.025276,1.073478,-0.208765,0.604996,0.255997,-0.684881,0.694206,0.254089,0.609134,1.496114,-0.190736,-0.135725,0.198635,0.304061,0.001606,-0.450077,-0.09535,0.778238,-1.09692,0.407666,-0.073052,-0.003291,-0.545797,-0.208532,-1.00165,-1.410161,-0.507679,-0.047358
model,1.522598,0.724001,-0.134402,-0.55262,0.873567,-0.208016,-0.143461,0.61378,0.032891,-0.612432,0.321514,-0.349251,-0.322224,-1.039431,0.643995,-0.206366,-0.35369,1.031464,0.179664,0.091064,0.006049,-0.035564,0.432504,1.072012,-1.217653,0.377942,0.574377,0.332509,0.163653,-0.894052,-0.662189,-0.83199,0.660742,-0.073398
real,-0.062595,0.861337,1.08041,0.089476,0.669039,-0.712474,0.02681,0.407627,-0.180515,-0.061726,0.279113,-0.296437,0.218854,-0.805297,0.390996,0.451823,0.946096,0.052107,0.471148,0.964709,0.236365,0.176754,0.328431,0.928331,0.628345,-0.230686,-0.1003,0.231083,0.454785,-0.512246,-0.11196,-1.235556,0.73033,-0.247878
property,0.247747,1.221282,0.627335,-0.29918,0.170526,-1.788286,-0.5931,0.082777,-0.635751,0.406095,0.266406,-1.474818,-0.027695,-1.05079,0.481635,0.58344,-0.088126,0.547649,-0.158237,0.171129,0.328353,0.17668,0.093971,-0.188753,-0.637757,0.417302,0.053802,-0.97278,-0.567151,0.14432,1.05457,-1.494561,0.517772,0.004161
geometry,-0.451687,1.173388,0.552137,-0.253558,0.478947,0.00774,0.064883,0.778583,0.908479,0.12087,0.350728,-0.796057,-1.822829,-2.002804,-0.064741,-0.309058,0.385304,0.00775,-1.013459,-0.114056,-0.379092,0.321021,1.000687,0.695883,-2.191532,0.672442,0.344004,-0.202512,0.344599,-0.557816,-0.834993,-0.627709,0.155253,1.367289
complex,-0.128268,1.234628,0.33757,-0.776305,-0.508004,-0.210331,-0.033993,0.745931,-0.28436,0.433088,-0.396601,-0.448856,-0.287354,-1.114325,1.005543,0.394267,0.596544,0.002744,-0.527426,-0.068165,0.342959,-0.063607,-0.479141,-0.153568,-1.204891,0.513887,-0.283748,0.038109,0.366395,-0.312661,-0.031991,-1.891125,0.641522,0.512495
linear,0.949344,1.740304,-0.022401,0.712749,0.066835,0.004864,-1.468736,0.991797,0.221151,-0.584518,0.671751,-0.858568,-0.618156,-2.232698,-0.092029,0.114381,0.586942,-0.038323,-0.928882,0.618423,-0.396791,-1.435576,0.598612,1.008411,-1.987176,0.421555,-0.032173,0.551289,0.036275,-0.3343,-0.309033,-0.293828,-0.644057,0.682566
polynomial,0.30175,2.190827,1.03114,1.373786,1.226512,-0.945383,0.754865,1.186176,1.65599,-0.150555,0.852835,-2.271434,-0.368046,-2.355738,0.335786,-0.915773,1.637897,-0.486879,-1.080751,0.076126,0.966212,-0.14392,0.799929,0.25345,-0.424803,0.748257,-0.511785,0.42142,0.09428,-0.284864,-0.187985,0.320359,0.01302,1.471146
algorithm,0.239497,1.584801,0.136415,1.198471,0.878321,-0.218129,-0.115839,0.727403,-0.06122,-0.123184,-0.135709,-1.772761,-0.483531,-2.603758,0.218423,-0.78526,-0.635391,-0.254808,-1.146319,0.724103,0.754883,-0.643015,0.3646,0.963304,-0.061786,0.575072,-0.03203,0.546394,0.712879,0.220063,-1.600409,0.248891,1.053054,1.302578
mathematician,-1.437529,-0.104085,0.156045,0.762746,1.191797,-0.685349,1.162228,-0.275795,0.86947,-1.677459,0.569046,-0.554289,-1.25823,-1.321409,-1.086287,-0.9088,0.814795,0.382491,0.435428,-0.606235,0.166896,-1.018439,0.575681,-1.024406,-1.32829,-0.390409,1.694534,-0.774012,0.141655,-1.001287,-1.265963,0.37893,0.889097,0.268552
definition,0.625641,1.470603,0.158767,-0.18309,1.608768,-0.914526,-0.397051,0.371797,-0.206985,-0.105832,0.006339,-0.584546,-0.67083,-1.139158,0.82825,0.747728,0.016842,0.398742,-1.699959,0.847842,0.726585,0.132348,0.946262,0.629363,-1.051214,-0.196073,-0.135127,0.175474,0.125673,0.001718,-0.213652,-0.125988,0.324358,-0.078067
product,1.565381,0.72433,0.542347,-0.361308,0.414561,-1.33367,-0.594683,-0.666685,-0.72662,0.270887,-0.394046,-1.004292,0.032899,-1.9794,1.316366,-0.472061,-0.531576,0.073419,0.298896,0.197238,-0.265392,0.684356,0.578967,0.579877,-0.356034,-0.25489,-0.679855,0.742854,-0.342079,-0.500924,0.136896,-1.895099,0.680741,-0.294592
state,-0.744135,1.217634,0.317678,-0.295931,-0.311418,-0.860304,-0.287433,0.642519,-0.508604,0.234278,0.444069,-0.394981,-0.056581,0.55685,0.563929,0.532348,-0.873816,0.639771,-0.427081,-0.112582,0.904975,-0.450019,0.031657,-0.127728,-0.071913,-0.982504,0.288479,-0.789955,0.064975,0.034398,-0.126164,-0.860945,0.229375,-1.415876
sequence,0.450488,2.278697,-0.061268,0.045155,0.64083,0.188625,0.207748,0.982613,-0.043086,-0.428244,-0.325043,-1.187648,0.295723,-0.742984,0.676037,0.498871,0.394398,-0.663729,-1.574165,0.069528,-0.781064,0.010772,-0.146065,0.066836,-0.274435,0.37541,0.16905,1.121841,0.833474,-0.044266,-0.549506,-0.62907,0.721797,0.925126
distribution,1.401527,0.823776,0.427533,-0.236026,0.509845,-0.051325,-0.727071,-0.01497,-0.81093,0.109688,1.164646,-1.198064,0.468214,-1.504351,0.486425,0.054566,-0.476594,-0.326266,-1.035488,0.397414,0.489916,-0.172118,0.638609,0.056836,-1.148506,-0.910709,-0.118371,1.309275,-0.458121,0.337306,0.50266,-0.987636,-0.416755,0.03157
variable,1.649633,1.568175,0.293492,-0.081352,1.344194,-0.400976,-0.621247,0.871374,-0.264671,-0.314307,0.633585,-1.104776,-0.011519,-1.425082,1.139311,0.232933,0.148692,0.163558,-1.306556,-0.298918,0.607924,-0.304598,1.278516,0.748278,-1.048537,0.218202,0.105393,1.339224,0.623781,0.159202,0.009791,0.195926,-0.233825,1.287353
solution,0.564425,1.103858,0.975496,-0.24304,0.578338,-1.478842,-0.391164,-0.280904,-0.935746,0.124928,0.109721,-0.327793,-0.511015,-2.272095,1.080083,-0.341942,-0.570845,-0.076318,-0.746304,0.143657,-0.05306,-0.166304,0.382791,1.104965,-0.383542,0.119835,-0.591604,-0.173191,-0.009142,-0.540356,0.171975,-0.894794,0.096709,0.491578
square,0.247401,0.406389,-0.025315,0.981112,-1.01359,-0.120945,-1.170891,1.131869,0.80424,-0.040569,0.379976,-0.994268,-0.536139,-0.167035,-0.179853,1.512339,0.89908,0.086908,0.286272,-0.35114,-0.289808,0.33714,0.017782,0.104327,-1.183271,0.021105,0.060411,-0.51617,-1.18977,-0.362565,0.033684,-1.595448,-0.331199,-0.246488
map,-0.269723,0.19282,0.060297,0.730722,0.33807,-0.591811,-0.49301,0.661586,-1.217019,-0.288497,0.505846,-1.343989,0.203158,-0.554997,-0.043427,0.832712,0.355611,-0.803979,-1.037506,1.064177,0.685282,0.21771,0.050322,0.304657,-1.966743,0.603288,0.344507,0.017863,0.386808,0.630865,-0.142713,-1.15347,0.545221,0.321428
