word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
number,0.106856,-2.393298,-0.007834,-0.165791,-0.52746,-0.223496,1.408361,-0.695739,1.990994,0.985684,0.943534,0.30822,1.684785,0.344113,0.8103,0.177328,0.231238,0.951077,-0.922306,-0.487467,-0.044278,0.73706,0.763442,2.425217,-0.329633,-0.261032,0.12992,0.233505,-0.230524,1.795281,-0.470008,1.506275,-1.623203,0.883646
function,-0.116464,-1.487817,0.093901,-0.891692,-0.690287,-0.480734,0.684227,0.087762,0.425744,1.164247,0.178253,0.695108,1.902279,-0.467134,0.770522,2.232995,0.833357,0.041327,-0.44685,-1.383485,-1.392807,-0.882603,0.940464,0.604024,0.638586,-1.132743,1.470644,0.890073,0.446885,1.551923,1.140366,1.44743,-1.315814,-0.209765
one,0.172842,-2.96491,-0.62177,0.541749,-0.387865,-0.017785,0.568236,0.197509,0.272859,1.398692,0.92351,0.555293,1.591499,-0.225686,-0.418112,0.427532,0.758357,0.745686,-0.026128,-0.595287,-1.257107,-0.067073,-0.180952,0.914733,0.13018,-0.058874,0.073343,-0.460823,-0.603561,1.320941,0.287371,1.464717,-1.001554,0.327977
set,-0.973486,-2.131068,0.617289,0.131751,0.100766,-0.244946,0.894321,1.060367,1.352759,0.90619,0.666167,-0.319197,2.003362,0.388611,-1.107472,0.59401,-0.080947,0.532151,0.229768,-0.565987,0.046146,-0.998808,0.917997,0.783419,0.783857,0.156459,0.327155,-0.852989,0.202564,1.73983,0.384235,1.704833,-2.316288,0.742645
group,1.679627,-2.61849,0.409782,1.52365,1.027058,1.059218,0.999412,-1.041798,-0.177031,0.385798,0.440408,-0.493119,-0.427379,-0.259731,0.271744,-0.110489,1.206471,1.339944,0.763978,-1.347862,0.40848,-0.244169,0.055287,1.419482,0.61935,0.245887,2.103187,-0.884874,-0.278525,1.373797,0.715838,1.088929,-1.954776,0.670559
space,0.182688,-1.684393,0.205743,-0.401465,-0.002662,-0.291722,0.569763,-0.454742,-0.123166,1.489017,-0.167038,-0.052934,1.276001,-1.318846,-1.741913,-0.237845,1.306443,1.046281,0.827062,-0.954675,-0.808881,-0.960374,-0.503087,-0.210263,0.152837,-0.405261,1.306924,-1.413238,0.266346,1.441242,1.397821,2.01644,-2.146589,1.197303
two,-0.597879,-3.188626,-0.525031,0.892822,-0.086866,0.332123,0.401732,0.074154,0.533241,1.394883,0.401303,0.204279,1.319188,-0.489875,-0.283112,0.217111,0.913372,0.823588,0.314445,-0.682812,-1.457026,-0.022109,-0.027772,0.638434,0.09656,0.266241,-0.032994,-0.229152,-0.674153,1.492459,-0.227261,1.250399,-1.165548,0.721769
theory,0.793091,-2.627641,1.146488,0.1233,-0.479629,1.254027,0.312697,0.294137,0.423483,0.788636,0.644834,0.029937,1.13023,0.227862,0.765949,-0.608213,1.015555,0.226741,-0.176549,-0.000484,1.146523,-0.652361,1.128799,0.893417,0.387238,-0.821784,1.046312,-1.698972,0.964449,1.668659,1.220038,1.462236,-1.112996,-0.28585
point,-0.528333,-2.817922,-0.723299,0.397424,0.737173,0.619647,0.466574,-0.403929,0.327962,1.636644,-0.855267,-0.595462,1.720428,0.705097,-0.792533,0.459488,0.222015,-0.233731,0.17008,-0.326037,-1.375607,-0.601702,-0.48545,0.776203,-0.988222,0.330313,0.068167,0.050241,-0.231338,1.652126,-0.070492,2.000572,-1.876358,0.038234
theorem,1.112464,-2.486482,0.277052,0.271806,-1.055593,1.14607,0.833011,-0.548509,0.717942,0.86231,-0.519732,0.249089,2.490491,-0.173054,-0.207105,0.682024,0.016377,-0.11142,0.325037,-0.772268,0.188065,0.538131,1.549668,-0.042654,-1.473808,0.424549,1.045998,-0.693163,0.70385,0.741226,1.345493,0.259852,-1.948785,-0.576427
example,-0.090633,-2.323267,-0.113695,0.24811,0.158629,-0.000846,0.644187,-0.3194,0.483067,1.123534,0.759306,0.909921,1.089892,-0.60368,-0.443392,0.571341,0.922567,0.618941,-0.323544,-0.622744,-0.274504,0.005352,0.203064,1.014947,0.397974,0.139363,0.508913,-0.038008,0.156266,1.103974,0.897018,1.437951,-1.317871,-0.314377
form,0.041117,-2.582472,-0.553367,0.226616,-0.117594,0.233673,-0.083611,-0.206226,0.385272,1.341476,1.379916,0.098234,1.142371,-0.565292,0.062323,0.476874,1.889232,0.144965,0.095708,-1.330663,-0.597587,0.296899,0.090656,-0.007976,0.566296,-0.025409,0.795213,0.407839,-0.309532,1.305471,0.649731,1.011139,-1.210354,0.659179
define,0.002455,-1.596098,-0.251288,-0.119395,0.106664,0.117544,0.394851,0.28933,-0.093981,1.294128,0.744016,0.178794,2.063322,-0.309306,-0.425508,0.783655,1.064926,-0.00778,0.642461,-1.300432,-0.679564,-0.897282,0.246394,0.284147,1.077349,-0.1377,1.211273,0.39766,-0.134579,1.456169,0.583804,1.202558,-1.365755,0.279331
graph,-1.030663,-2.839241,0.567768,0.179163,-1.224135,0.232574,0.478858,0.493931,0.026851,1.813133,1.039058,-0.029161,-0.036462,0.717271,-0.404525,-1.349005,0.32455,-0.010035,-0.127431,-0.623246,-0.600646,0.445323,1.967192,0.918616,0.422199,1.491152,1.055188,-0.782528,-1.852989,0.305384,0.335096,0.290945,-2.353038,0.104385
value,-0.049964,-1.424139,-0.390061,-0.176407,-0.356428,0.02412,0.882126,0.449936,0.773913,1.446579,0.680585,0.433625,1.877615,-0.899554,-0.18369,1.126717,0.184648,0.221103,-1.073051,-0.927036,-1.382099,-0.495857,0.119749,1.584863,0.600204,-0.663324,0.185004,0.867485,-0.496146,1.338601,-0.033265,1.934595,-0.899563,-0.741853
problem,0.802761,-2.561059,-0.149643,0.117471,-1.903823,-0.508673,0.009603,0.875532,0.34601,1.629503,0.135519,1.268759,0.642963,1.412141,0.290723,-0.429291,1.076166,0.794586,-0.928315,0.244436,-0.283926,0.273137,1.330868,0.487848,0.466999,0.020102,-0.639297,-0.353484,-0.393814,1.058909,1.542799,1.144979,-1.503497,-0.231949
mathematic,0.343203,-3.656234,0.687583,-0.326453,-0.822708,0.318831,0.85759,-0.212998,0.200336,-0.504713,0.399411,-0.921678,0.540168,0.000939,0.260535,0.291183,1.564745,0.470325,0.190014,0.055749,0.167642,0.039179,0.243195,1.095395,0.027379,-1.851298,0.187094,-1.454916,0.197612,0.455164,0.971201,0.571785,-0.181708,-0.307009
order,0.431345,-2.203288,-0.462717,0.552167,-0.256007,-0.891602,-0.077578,0.158014,1.175369,1.287535,1.61289,-1.318264,1.348766,0.093858,0.001575,0.120551,1.125218,1.057231,-0.229421,-0.197427,-0.359285,-0.475244,0.562533,0.967804,0.522171,1.037038,1.323919,-0.525492,-0.048279,1.737432,-0.479371,1.081871,-1.179726,0.042431
equation,0.906432,-2.2789,-0.707408,0.197921,0.230415,0.290062,-0.948561,0.460725,0.514374,2.475193,-0.590158,0.57806,1.711977,0.641779,0.983969,0.773935,1.698879,0.241176,-1.065463,-0.0127,-0.824669,0.760327,-0.018028,0.187427,0.273289,-0.83021,1.06737,0.265229,-0.313194,1.310715,2.39689,1.296091,-0.01669,-0.356829
