word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
number,-0.125848,1.16527,-0.533697,-0.604127,0.375223,-0.471688,-0.214492,0.193382,-0.872806,-0.195249,0.588677,0.73537,-0.312222,-0.579622,-0.073106,0.734412,-0.84876,0.314516,-0.222778,0.257147,-0.150086,-0.004106,0.282157,-1.261665,0.646325,0.342372,0.249413,-0.461469,0.241622,-0.181949,-0.630259,1.344448,0.324014,-0.12667
function,-0.079539,2.477432,0.122348,-0.083767,0.662559,-0.368684,0.641914,0.178138,0.325586,0.20363,0.202966,0.635823,-0.531518,-0.318724,0.059983,1.096032,-0.666089,0.183144,0.990776,-0.166996,-0.141403,1.681119,-0.840537,-0.234212,-0.520358,0.366081,-0.0088,0.001148,0.326362,-0.01663,0.645199,0.869613,0.858585,1.070007
one,0.276099,1.184903,-0.254454,-0.570316,0.177508,-0.9502,-0.155377,0.218933,-0.293233,-0.627731,0.332543,0.264438,-0.853393,-0.331069,-0.100569,0.32192,-0.490579,-0.081065,-0.466953,-0.476549,-0.159098,-0.014216,0.475745,-0.548867,0.153311,-0.147243,0.064493,0.251901,0.632255,-0.309001,-0.601277,0.396722,-0.028607,0.055747
set,0.049822,0.914335,-0.029525,-0.558672,0.025523,-0.837281,-0.125685,0.338788,-0.251692,-0.770111,0.58624,0.385923,-0.38115,-0.107507,-0.510477,0.660986,-0.409479,0.455665,-0.285088,-0.758047,0.059897,0.280255,0.525236,-0.785474,-0.201797,-0.068695,0.096443,-0.360234,0.373303,-0.141891,-0.018136,0.808903,0.253546,-0.243636
group,-0.114447,0.800784,-0.581773,-0.662279,0.46223,-0.222986,0.377637,-0.301307,-0.236588,-0.099574,0.367874,-0.825249,-0.412022,-0.817258,0.105089,0.787421,-0.460368,0.026781,0.214959,-0.178426,0.097145,0.344862,1.238194,0.136885,0.641468,-0.09254,0.388403,0.775205,0.970191,0.055261,0.067163,0.411103,0.07787,0.474349
space,0.295666,1.739065,-0.134275,0.037709,0.05854,-0.133038,-0.127584,0.157416,0.288727,-0.764617,0.281227,-0.219216,-0.221672,0.408497,-0.635367,0.76998,0.382815,-0.275134,-0.528821,-0.70341,0.698377,1.192473,0.638316,-0.10605,-0.18055,-0.502619,0.819956,-0.318689,0.681674,0.373887,0.327164,1.515708,0.754949,-0.033388
two,-0.051826,1.062282,-0.703421,-0.744066,0.278771,-0.750487,0.02667,0.258268,-0.259263,-0.610564,0.217407,0.389544,-0.895805,-0.218348,-0.164699,0.630493,-0.281756,-0.079216,-0.544272,-0.594441,0.190905,0.130029,0.295342,-0.831606,0.181112,-0.547488,-0.13415,0.243246,0.61144,-0.078914,-0.6883,0.656592,-0.465356,0.151223
theory,0.115165,2.518247,0.985761,-0.468482,0.139669,-0.549353,0.384275,-0.492795,-0.831859,-0.383253,-1.305358,-0.253495,0.165506,-0.721414,-0.485071,-0.001428,0.05644,0.050836,0.460599,0.111591,-1.633548,1.552746,-0.154619,1.30305,0.069413,0.55877,0.421747,-1.402578,0.30967,0.34684,1.132821,0.609926,-0.010982,-0.501979
point,-0.279189,1.175664,-0.703122,-0.725812,-0.164355,-1.234944,-0.414037,-0.056301,0.364309,-0.790757,-0.037365,0.53149,-0.847817,-0.925654,-0.279538,-0.586838,-0.39119,-0.288722,-0.234677,-0.445186,0.052576,0.099276,0.110925,-0.56765,0.68183,0.035806,-0.180386,-0.418789,-0.002017,1.219444,-0.92447,1.232333,-0.01302,-0.458023
theorem,-0.328855,1.383144,1.549366,0.677751,0.094989,-0.093755,0.658022,-0.233608,-0.465757,-0.381139,-1.908378,0.572822,0.195416,-0.78025,0.189495,0.111364,0.045076,0.735274,0.292499,-1.007591,-0.453119,0.350414,-1.741466,0.424818,-0.412226,0.69608,0.82319,-0.602377,-1.512114,1.320147,0.913303,1.029459,-0.574234,-0.609914
example,0.250241,2.141841,0.015938,0.160993,0.337376,-0.540107,-0.004436,0.003709,-0.310964,0.119194,-0.194451,0.286027,-0.316536,-0.728763,0.089898,0.498772,-0.705955,0.316689,0.097058,-0.619938,-0.204994,0.523363,-0.153617,-0.289359,0.03071,0.450399,-0.117292,-0.481851,0.457642,-0.832182,0.091659,0.625879,0.969717,0.308916
form,0.209138,1.8968,-1.056357,-0.379521,0.236017,-0.106793,-0.049564,-0.015252,-0.400675,0.002647,-0.333675,-0.114164,-0.511982,-0.613768,-0.026719,0.80985,-0.28606,0.63264,-0.147965,-0.670485,-0.329443,0.713807,0.034655,0.051175,0.26848,-0.221294,-0.320916,0.287288,0.494166,-0.440993,-0.056903,0.255369,0.147533,0.797439
define,-0.369594,2.069575,0.30713,0.009466,0.26684,-0.151504,-0.255141,-0.121839,0.224206,0.243775,-0.444733,0.212146,-0.031753,-0.80611,0.177246,0.393171,-0.940753,0.099165,0.529034,-0.591684,-0.489935,1.463851,-0.435805,-0.395137,0.577188,0.285991,-0.237282,-0.469045,0.397435,0.279113,0.371475,0.895478,1.243054,0.231996
graph,-0.10404,1.675737,0.307594,0.843103,-0.032935,0.159311,-0.075376,0.368404,0.359809,-0.244179,-0.76696,0.200238,0.223265,-0.994224,-0.451191,0.384599,-1.09503,0.598633,0.83226,-0.56191,0.334115,0.698039,-1.450212,0.059373,-0.636543,0.768962,0.930923,-0.67129,-1.122404,1.089969,1.215071,1.333555,0.370172,-0.569116
value,0.063461,2.198723,0.743692,-0.263203,0.354136,-0.444813,-0.269856,0.247431,-0.585204,0.329631,0.265706,0.585721,-0.094488,-1.375801,0.414006,0.330031,-0.640495,-0.378475,-0.572769,-0.532935,-0.683479,0.752044,-0.050785,-0.355721,0.334845,0.904738,0.463118,-0.506013,-0.207658,0.783056,0.03163,0.690317,1.898753,0.067172
problem,0.027937,1.674468,0.585753,-0.588565,0.368115,-1.210334,0.73164,0.277648,0.152037,-0.182669,-0.410666,0.177839,-0.251342,-0.050348,-0.10821,-0.107841,-0.576614,0.154278,0.445217,0.461872,-0.880485,0.642253,0.255727,0.600206,-0.762296,0.189068,-0.066078,-0.67295,0.368504,0.340845,0.118482,1.173835,0.753634,-0.244945
mathematic,-0.029096,1.248375,1.091781,-0.300935,-1.234817,0.19568,0.909372,-0.793522,-0.899912,-0.906345,0.023839,0.738888,-0.371268,-0.702663,-0.498109,0.153351,-0.508206,-0.549157,0.698045,0.48302,-0.707983,1.604525,-1.102389,0.808999,0.161508,-0.16288,2.065076,-1.29098,-0.416461,0.131091,0.301834,-0.158542,-0.240369,0.108008
order,0.021703,1.301947,0.188326,-0.227512,0.883785,-0.664462,0.594492,0.358363,-0.075224,0.224605,1.38141,0.536881,0.024781,-0.054515,-0.245281,0.716808,-0.282959,0.258548,-0.076423,-0.369567,-0.748365,0.498767,0.153642,-0.468365,0.312504,-0.485606,-0.708388,0.095862,1.023686,0.369619,-0.351311,0.085413,-0.213896,0.390094
equation,-0.252358,2.825078,1.402897,0.402449,1.039156,0.085452,0.131135,-0.336846,-0.123161,-0.149315,-1.600008,0.998295,-0.063304,-1.118606,0.088935,0.38816,0.209387,0.268802,0.244015,-0.545642,-0.131114,1.495255,-1.06379,0.913202,-0.890381,0.620395,0.851393,-0.66144,-1.360153,1.47281,0.226645,0.713872,-0.330793,-1.082656
first,0.078551,0.573301,-0.371795,-1.105487,-0.051192,-0.59646,0.713576,-0.308444,-0.35734,-0.796721,0.619248,0.274815,-0.486054,-0.258058,-0.334295,0.411297,-0.396773,0.038308,-0.242238,-0.308962,-0.185006,-0.077771,0.658,-0.814758,0.022971,-0.138059,0.271974,0.225652,0.757711,-0.225537,-0.662327,-0.129839,-0.647135,-0.308432
vector,-0.025944,2.179304,0.298879,0.185548,1.246103,0.290317,-0.139578,0.785401,0.403465,0.251965,-0.679794,0.559229,0.334527,-1.07521,-0.859132,0.478069,-0.391404,0.003984,0.954605,-0.246025,0.946071,1.146521,-1.094605,-0.093821,-0.468508,0.462913,0.713194,-0.313137,-0.720297,0.680243,0.738697,1.120998,0.15825,-0.213519
algebra,-0.680171,1.120995,1.00294,0.680229,-0.772058,0.319916,0.086147,-0.412422,-0.961174,-0.202606,-0.893583,1.007097,-0.106989,-0.641565,-0.669174,0.652974,-0.180525,-0.148902,0.813273,-0.670506,0.007303,1.490348,-1.852558,0.648083,-0.105386,0.86776,1.701787,-0.979257,-1.169375,0.491211,1.155912,0.906715,-0.476966,0.673652
$\mathbb{N}$,-0.485071,0.77114,-0.581369,0.739033,1.197739,0.119101,-1.041757,-0.609845,-0.338175,0.156402,-0.44764,0.131516,-0.660364,-1.154606,-0.611123,1.345678,0.227296,-0.17788,0.280163,0.206858,0.918826,0.281431,0.29698,-0.273474,-0.083324,0.829834,-0.085861,-0.202532,-0.737767,0.138898,-0.605229,0.116378,-0.026152,0.259053
field,0.137828,1.091693,-0.873407,-0.611684,0.285789,-0.126205,0.616062,-0.380105,0.143539,-1.116642,0.060397,0.841934,-0.232534,-0.509783,-0.303903,0.297915,-0.055894,-0.224569,0.24441,-0.273736,0.24279,0.709973,0.003699,0.747306,0.609592,-0.577922,0.777602,-0.542986,0.913198,0.781406,-0.642672,0.656954,0.042883,-0.245515
element,0.449847,2.419226,-0.760817,0.079897,0.284544,-0.837361,-0.504104,-0.394693,-0.359015,0.123038,0.166087,0.179629,0.032677,-0.041142,-0.187395,0.642102,-0.418794,0.479401,-0.102705,-1.079643,0.039361,0.945247,0.335714,0.587144,0.300459,0.321948,0.117133,-0.736194,0.245548,-0.748866,0.65222,0.597298,0.711423,0.29693
system,0.076523,2.08909,0.007909,-0.619376,0.664084,0.223215,1.673746,0.322589,0.352028,-0.244022,0.322569,0.107989,-0.346321,-0.832378,-0.309085,0.14201,-0.654747,0.289679,0.528678,-0.074395,1.047697,1.755563,0.716648,-0.291812,-0.158676,0.292335,0.080956,-0.71488,0.638033,0.071091,0.20931,1.143037,1.036714,0.43401
matrix,0.356915,2.019637,-0.622863,0.498019,0.556367,-0.292177,0.041817,0.368828,-0.275946,0.098024,-0.64896,0.493008,0.13069,-0.690922,-0.281724,1.363974,0.280736,-0.086221,0.733067,-0.479719,0.470316,0.643277,-0.560494,0.151591,-0.481345,1.237473,0.503262,-0.331321,-1.004422,0.681001,1.285719,0.772207,0.160429,-0.021079
mathematical,0.174268,1.941823,0.835141,0.156726,-0.62802,-0.111615,1.151049,-0.98723,-0.231155,-0.758737,-0.381733,0.484447,0.295458,-0.8376,-0.708541,0.146087,-0.483712,-0.161475,0.75838,-0.106677,-0.748401,1.317539,-1.226445,0.791768,0.070226,0.374453,1.947019,-1.49043,-0.764857,0.08165,0.69983,0.253356,0.142489,-0.557978
method,0.291158,2.232895,0.136824,-0.132679,0.360273,-0.543014,1.048893,0.696728,0.194006,0.085516,-0.427985,0.59629,-0.320648,-0.467267,-0.219315,0.636879,-0.684142,0.25296,1.056353,-0.348654,-0.562638,0.780517,-0.552807,0.747868,-0.395224,0.698367,0.62385,-1.599601,0.14823,-0.344563,0.01891,0.604388,1.200568,-0.335695
finite,-0.338268,2.215672,0.871702,0.796439,0.360763,-0.208602,-0.526408,-0.129745,-0.315692,0.103745,-0.925214,0.919202,0.253768,-1.045847,-0.602634,0.479331,-0.341864,0.694898,0.961076,-0.772735,0.043385,1.345791,-0.883101,0.626301,-0.384531,0.537694,0.929892,-0.571218,-1.255104,0.872367,0.578809,1.248556,0.200891,0.242348
result,-0.050269,1.659393,-0.82322,-1.231937,0.437668,-1.417689,0.814151,-0.277595,0.415747,0.172913,-0.15287,0.448889,-0.212743,-0.322166,0.173814,0.295679,-0.561853,0.195599,0.502255,0.179625,-0.859127,0.090586,0.465751,-0.391511,-0.035982,0.277869,-0.363549,0.494572,0.169075,0.917823,-0.684772,0.813036,0.239182,-0.423629
vertex,-0.061784,1.386685,-0.256525,1.230517,0.038678,0.099854,-0.504216,0.641273,0.641517,0.159417,-0.432827,0.09135,-0.19918,-0.075246,-0.307608,0.366323,-0.903518,-0.153118,-0.059889,-1.076565,0.934313,1.026858,-1.623171,-0.420607,-0.471974,0.448306,0.736487,0.388697,-1.668821,1.315148,1.133463,1.116345,-0.231275,0.714391
term,0.211269,1.685676,0.218971,-0.630881,0.37607,-0.56688,0.567128,0.003702,-0.234692,-0.08806,-0.414481,0.241562,0.097056,-0.524357,0.489992,0.389439,-1.020922,0.443156,0.095167,-0.254286,-1.057124,0.888365,-0.016775,-0.096045,0.444276,0.289622,-0.263595,-0.051476,0.641668,0.177929,-0.108517,0.025987,0.686214,0.334573
line,-0.018988,1.208123,-1.007971,-0.326219,0.209887,0.059058,-0.047562,-0.232469,-0.263532,-0.971676,0.252296,-0.162586,-1.220215,-0.240128,-0.107858,-0.20271,-0.564071,0.730767,-0.615675,-0.442846,0.894376,0.561064,0.458744,-0.674218,-0.523448,-0.564125,-0.943623,-0.251316,-0.110027,0.248887,-0.551804,1.199306,0.065639,0.236893
model,-0.241468,1.285441,0.261077,-0.761163,0.715893,-0.683224,0.925186,0.209501,-0.399932,-0.09281,-0.600117,0.16883,-0.122509,-0.890054,0.116863,0.606527,-0.1922,-0.343056,-0.453558,-0.158203,1.245714,1.260511,0.327385,-0.47508,-0.219979,-0.077731,0.511599,-0.96512,0.261622,-0.336499,1.099517,0.740265,0.704483,-0.313722
real,0.69781,0.910203,0.864781,-0.356976,0.295922,-1.169856,-0.08849,-0.401372,0.14203,-0.782201,0.142668,0.30223,-0.674369,-0.726976,-0.540412,0.135099,-0.199993,-0.108601,0.172973,-0.497627,-0.017444,-0.236277,1.009691,0.023892,-0.264021,0.257211,0.052392,0.560123,0.255693,-0.066466,0.487224,0.028705,1.028211,-0.448769
property,1.260146,1.816297,0.076751,0.249917,0.264007,0.270596,0.960484,-0.009439,-0.013293,-0.485543,0.045812,1.053726,-0.546098,-0.707537,0.249246,0.774061,0.512274,0.338943,-0.904688,0.062351,-0.833496,0.312315,-0.303998,-0.163961,0.063888,0.235148,-0.50463,0.277716,0.402503,0.809055,0.321817,0.579346,1.597115,0.401786
