word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
number,0.818901,0.219384,-1.032562,-0.724518,0.398825,-0.429855,0.266383,-0.60657,-0.140823,0.016416,0.51397,-1.347586,-0.518553,-0.069358,0.301844,-0.428151,-1.199773,0.040098,0.416156,-0.502015,0.468215,1.013139,-0.660205,0.41569,-0.607439,-0.162077,0.225042,-0.17171,0.165534,-0.115122,0.681951,0.493413,-0.309316,-0.039747,0.18582
function,0.001692,2.018,0.093411,-0.042835,-0.361798,-0.901272,1.659179,-0.106237,-0.297532,-0.865532,0.236272,-1.39046,-1.050758,-0.226559,1.956395,-0.75232,-0.045463,0.819867,-0.344982,-0.570449,0.12243,0.738381,-1.426562,0.571924,0.103626,0.294047,-0.053641,-0.178585,0.116767,0.040447,-0.365293,0.341406,0.468778,-0.609769,0.211994
one,0.534188,0.295258,-0.507572,-0.318818,0.177925,-0.373001,0.527127,-0.572178,-0.082226,-0.031478,0.333982,-0.996924,-0.418853,0.245659,0.787835,-0.300513,-0.66261,-0.647634,-0.066565,0.004549,0.637061,0.299014,0.479557,0.360958,-0.475936,0.101247,0.44513,0.014564,0.461669,0.143308,0.837071,0.49881,-0.393431,-0.023666,-0.145256
set,0.610068,0.507874,-0.286934,-0.120865,-0.224343,-0.644966,0.139927,-0.335155,-0.224259,-0.182525,0.717428,-1.045224,-0.871478,0.255852,0.904891,-0.554818,-0.446497,-0.420562,-0.114059,-0.61218,0.543868,0.477222,0.091335,0.456411,-0.169819,-0.259199,-0.031976,-0.187152,0.676927,0.469511,0.337885,0.464824,-0.602273,0.086976,0.671275
group,0.616204,0.444241,-0.939427,-0.193507,-0.264488,-0.181509,0.787349,0.316973,-0.181467,-0.115545,0.224598,-1.654178,0.352373,-0.695372,0.458583,-0.548644,0.304198,-0.484923,0.359502,-0.468055,0.582207,-0.326119,-0.038948,-0.117002,-0.567665,0.785312,0.326679,0.248754,0.70612,0.634838,0.092686,0.725305,0.306697,0.461523,-0.492141
space,0.724637,-0.027332,0.032623,0.293457,-1.061828,-0.892944,-0.18563,0.21069,0.307719,-0.701985,0.87723,-1.259006,-1.000093,-0.449567,1.843858,-1.175529,0.369418,0.34532,0.373818,-0.369387,-0.000722,0.264476,-0.145206,0.957395,-0.816551,0.001763,0.858401,-0.422821,0.524242,0.429818,0.010476,0.514667,-0.152772,0.366037,0.390653
two,0.255872,-0.005895,-0.551336,-0.464804,-0.167082,-0.322396,0.43498,-0.500663,0.156433,-0.393293,0.100342,-1.080951,-0.486226,-0.130179,0.755653,-0.056366,-1.022706,-0.632155,0.303448,0.072079,0.672118,0.416006,0.47527,0.737566,-0.465795,0.079325,0.304017,0.126121,0.691935,0.330766,0.767852,0.448302,-0.35619,-0.173968,-0.299778
theory,1.468567,1.162352,0.320049,-0.368798,0.312667,-0.116093,0.413893,0.144859,0.175316,-0.792764,0.481716,-1.847884,-1.249638,0.714981,1.682555,0.051949,1.14791,0.820182,-0.566959,-0.730579,-0.902837,-0.05823,-0.112067,0.570841,-0.243112,0.226184,-1.038818,-1.041972,0.112675,-1.292709,-0.495328,-0.486165,0.685907,1.020712,-0.102889
point,0.327011,-0.151166,-0.76683,-0.999712,0.748794,0.404385,0.050578,-0.513077,0.642864,-0.517331,-0.030488,-1.499875,-0.959226,0.099556,0.865801,-0.130099,-0.516724,0.207025,0.172486,0.388476,0.87597,0.280593,0.334662,1.4001,0.038899,-0.248661,0.493594,0.120771,0.848893,-0.371689,0.25202,0.337043,-0.682819,0.12414,0.731727
theorem,1.280718,1.176139,1.446248,-1.078291,0.482487,-1.111548,0.094178,-0.423887,0.94709,-1.155584,-0.418419,-0.901626,-1.178863,0.127187,2.408413,1.422839,0.315481,0.83763,-0.177222,-1.192333,-0.461035,0.526848,-0.61397,0.42528,-0.796054,-0.828513,-1.118189,-0.948752,0.354771,-0.718432,-2.138373,0.126788,0.522294,-0.193992,1.988335
