word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
number,-1.586646,0.480114,-1.092239,0.810802,0.881464,-0.314367,-1.502965,-0.888596,0.093802,-1.121864,-0.618905,1.080628,-1.336179,-0.653495,0.525243,0.603767,-1.828648,0.488013,0.100902,0.694026,-0.688849,0.425599,1.057023,-2.218504,-0.118877,-1.135153,2.592201,-0.569171,0.123091,-0.63986,-0.239268,-0.488609,0.045244,1.434734,0.31849
function,-1.398192,-1.103497,0.750671,-0.908814,0.225106,-0.872763,-1.121261,-0.178282,0.820477,-1.645479,-0.59335,1.798922,-2.340212,-0.117985,-0.627996,1.210557,0.069758,-0.167684,-0.594584,-0.364073,1.110044,-0.223679,0.021704,-1.3652,-0.011077,-1.668154,2.484148,0.051272,1.42093,-0.46003,-0.321546,0.472273,0.379211,0.763054,1.059175
one,-0.695874,0.341935,-0.4937,-0.703996,0.674674,0.791624,-0.114615,-0.954173,-0.441401,-1.604031,-0.814527,0.860352,-1.041368,-0.202389,-0.03655,0.51431,-1.06971,0.167529,0.265889,-0.336555,0.18533,1.242089,0.580535,-1.458691,-0.567289,-0.919092,2.571243,-0.615145,1.020732,-0.100684,-0.467245,-0.12295,-0.414945,0.544654,0.548774
set,-0.678853,-1.020943,0.528151,-0.195594,0.89977,1.094244,-0.115086,-0.923326,0.87191,-1.278223,0.233451,-0.047792,-0.434116,-0.145759,0.017719,1.202963,-1.623852,0.235738,0.819705,0.976085,-0.08494,0.339024,1.097144,-1.789414,-0.696129,-1.740551,2.715997,-0.119038,1.576334,-1.478311,-0.435155,0.270988,-0.665073,1.122808,0.214429
group,-0.959126,0.693884,-0.436636,-1.729592,1.866577,0.4976,1.260827,-1.690145,0.721097,-1.005718,-0.100523,-0.008112,-0.679592,-0.129514,0.0325,-0.267541,-1.839849,1.933029,-1.241875,-1.278834,-0.358605,-0.607838,-0.709624,-1.113559,-0.336965,-1.79079,1.564457,-0.641491,0.447282,-0.770378,-0.600366,-2.222704,-0.03117,0.591274,0.132821
space,-0.757162,-0.518022,0.803582,-1.9595,0.468215,1.814355,0.40571,-1.529291,0.276913,-1.224517,-0.623103,-0.092781,-0.852554,-0.104329,-0.042871,1.048906,-1.679233,0.383762,-1.639567,-0.170258,1.281791,1.113124,0.190547,-1.251063,-0.714532,-1.804869,2.01186,0.428755,0.873201,-1.436795,0.706918,0.880978,0.226059,0.056363,-0.481314
two,-0.82578,0.313108,-0.253862,-0.520582,0.698095,0.822845,0.268973,-1.363632,-1.152317,-2.071528,-1.154151,0.928415,-0.267414,-0.194998,0.105175,0.648956,-1.079176,0.208948,0.39104,0.018267,0.453092,0.845204,0.272371,-1.347755,-0.34015,-1.148963,2.274667,-0.827321,1.009748,-0.164001,-0.267718,-0.321305,-0.597647,0.792812,0.558762
theory,0.226059,-0.091124,-0.297766,-0.532564,1.083287,-0.628764,0.545821,-1.260905,1.387056,0.02872,0.789313,0.956439,-0.70499,-0.567417,-0.465817,0.421071,-1.231331,0.396113,-1.322338,-0.41975,0.772497,0.259993,0.651646,-2.674879,-0.489889,-1.091703,1.87687,-1.290527,1.113008,-0.20178,0.130326,-0.173012,-0.611407,1.854387,-1.441991
point,-0.280038,0.240335,-0.885374,-0.417489,1.234793,1.582825,-0.218311,-1.184731,-0.578905,-1.619715,-0.780734,0.721218,-0.391447,0.880702,0.050457,0.965127,-0.837728,-0.006198,-0.337508,0.714319,0.774836,0.488418,-0.912281,-0.504022,-0.209443,-1.67791,3.19503,-0.732993,0.890902,-0.171002,0.217525,0.546633,0.283105,0.765959,0.646681
theorem,0.072527,0.806302,0.958337,-0.54478,0.015244,0.455712,-0.573921,-1.358943,0.132269,0.336866,0.175919,1.194595,-2.096346,0.949542,-0.55946,-0.418125,-0.896565,-0.522986,-0.671362,0.385241,-0.745419,0.046957,-0.616077,-1.5628,-0.152657,-2.14648,2.567039,-0.403454,2.121338,0.271729,0.325202,-0.565331,-0.763692,1.312964,-1.311417
example,-0.689414,0.068902,-0.247969,-1.086207,0.103544,-0.215597,-0.555198,-1.046905,0.146176,-1.592256,-0.051098,0.529726,-1.136082,-0.324922,0.047833,0.636534,-1.112017,0.768658,-0.540809,-0.106312,0.068969,0.627322,-0.032208,-1.212177,-0.562815,-0.802909,2.373135,-0.539014,1.019612,-0.081682,-0.147779,-0.206191,-0.850648,0.496783,0.25651
form,-0.855279,-0.726979,-0.262395,-0.714759,0.405764,-0.10067,-0.137686,-1.514929,-0.344069,-1.567863,-0.814149,0.695894,-1.004618,-0.093064,-0.565353,0.367253,-0.795125,-0.380347,-0.400163,-0.550324,0.684228,0.423027,0.474943,-1.247574,-0.653343,-1.30028,2.184916,-0.646762,0.903131,-0.695457,0.112933,-0.916564,-0.983064,-0.157781,0.703205
define,-0.696727,-0.771817,0.252604,-0.982131,0.59881,0.243942,0.002007,-0.777859,0.324049,-1.440755,-0.231093,0.608319,-1.227414,0.295659,-0.28195,0.941684,-0.240622,-0.521386,-0.666146,-0.480902,0.368423,0.457923,0.092968,-1.009477,-0.997415,-1.668773,2.299007,-0.088407,1.129636,-1.478207,-0.385581,-0.124646,-0.229801,0.264598,0.919508
graph,-0.175763,0.612795,0.752832,-0.27518,0.757602,1.00448,0.084485,-1.381506,0.624405,-1.742938,-1.997336,0.10414,-0.789228,-0.001571,-2.497556,0.116276,-0.54522,0.849517,0.696337,1.72479,-0.307414,-0.732502,0.367201,-1.654457,-0.806653,-0.45088,1.704257,-0.701171,0.133049,-0.777457,-0.303722,-1.000606,-1.499622,1.278433,-0.763476
value,-0.477757,0.006946,-0.536076,-0.307496,0.626319,-0.388029,-1.084845,-0.421956,0.694213,-2.153083,-0.691165,1.378731,-1.334629,-0.419683,-0.082423,0.661412,-0.475729,0.044642,-0.000681,0.266348,-0.17432,1.227146,0.182459,-1.123914,-0.62414,-0.970118,2.300788,0.378326,1.270028,0.11442,-0.482938,0.789704,0.531737,0.490808,1.415643
problem,-0.607996,1.015249,0.542221,-0.401424,0.844141,0.148023,-0.346767,0.221828,0.891534,-1.137498,-0.778759,0.237098,-1.437657,-0.673774,-0.988568,-0.24362,-1.266531,-1.249788,-0.10253,0.437032,0.55256,-0.438096,1.253789,-1.933612,-0.277845,-0.064986,2.252994,-2.080554,0.538408,0.15883,-0.317046,0.883242,-1.662917,1.051618,-0.243168
mathematic,0.411387,-0.751286,-0.726746,-1.024415,1.168787,-0.011367,0.973119,-0.793996,0.491912,-0.128607,0.848478,1.363288,-1.183757,-0.742251,-0.730054,0.580653,-1.860291,-0.43529,-0.191439,0.064429,1.02482,0.700641,0.54878,-2.36422,1.552858,-0.256218,1.230603,-0.884979,0.039559,0.596995,-0.084498,-1.019042,0.140457,0.871783,-0.332183
order,-0.894175,-0.694108,-0.061302,0.013373,1.109799,-0.178173,0.156985,-1.318184,0.677127,-1.873038,-1.370767,0.768852,-0.44533,0.851714,-0.220366,1.093345,-1.70219,0.682046,0.420514,-0.873522,-1.235841,-0.23524,0.508722,-1.494874,-0.333875,-1.240878,1.669659,-0.653923,1.30416,-0.70707,-0.06555,-0.614624,-0.751436,-0.405122,-0.100753
equation,0.277519,0.753233,0.698694,0.040316,1.299457,-1.142981,-0.295549,-0.875535,-0.170045,-2.013509,-0.136754,1.138361,-1.555268,0.207503,-0.311437,0.014928,-0.597027,-0.65991,-1.320979,-1.496077,1.071256,0.329775,0.002629,-0.320032,0.440122,-0.328983,2.98996,-1.907138,0.993572,-0.056015,-0.073086,0.636609,-0.911507,-0.600332,-0.031987
first,-0.610097,0.098245,0.123482,-0.142343,0.658009,0.604622,-0.143483,-0.682663,-0.22663,-0.607789,-0.393507,1.591478,-1.0604,-0.04658,0.023804,0.361989,-1.160899,0.043885,0.113711,-0.567987,-0.227057,0.733366,0.763258,-1.922714,0.404039,-0.762955,2.226774,-1.164931,1.163429,0.449401,-0.333801,-0.43052,-0.269472,0.1643,0.640661
vector,0.553936,-0.37453,-0.268595,-0.599257,0.708791,0.895656,0.078813,-1.324034,-0.045389,-2.479482,-0.265787,1.008758,-0.783371,-0.652802,0.052169,0.178194,-0.636807,-0.37256,-1.471095,-0.934592,1.01092,1.360288,-0.098688,-0.526658,-0.664114,-1.387675,1.917523,0.792521,1.094427,-1.849309,0.335747,0.681825,-0.66325,-0.553271,0.927785
algebra,0.227343,-0.632919,-0.083426,-0.719758,-0.189665,0.117423,1.135947,-1.814664,0.494028,-1.310195,1.525466,0.604544,-0.949764,-0.486214,-0.097755,-0.521673,-2.158449,-0.005736,-0.972543,-1.010802,0.956949,0.275412,0.546468,-1.294798,-0.158776,-1.636244,1.293106,-0.37544,1.358934,-1.188271,-0.626877,-2.101753,-0.75574,-0.124417,-0.41836
$\mathbb{N}$,-1.307683,0.690165,-0.697263,0.342989,0.205424,-0.371236,-0.555255,-0.441202,0.079918,-1.458658,-1.134854,-0.229436,-0.954891,-0.124479,-0.639039,0.687969,-1.690404,0.881892,-0.903457,0.569604,0.055107,0.398813,0.440518,-0.620145,-1.306938,-1.441609,1.75048,-0.242583,0.894257,-1.293987,-0.517165,-0.731337,0.438839,0.681055,1.81585
