word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
number,-0.483488,-0.167879,-0.098902,-0.748044,0.29724,-0.195085,-0.321804,0.04759,0.810713,-0.67728,0.516518,0.650836,0.193982,0.052112,0.319699,0.744028,0.324773,-0.148695,0.111623,0.060583,1.090168,0.369629,0.388905,-0.787684,-0.209715,-0.655592,-1.02673,-0.790474,0.260057,0.035348,1.172604,-0.326743,-0.778021,0.713306,0.556302
function,0.470439,1.178512,0.170615,0.106453,-0.171649,0.388606,-0.389062,0.348917,1.650148,0.086865,-0.338046,0.018283,-0.271697,0.548257,-0.864041,0.785536,-0.63959,-0.244469,-0.877486,-0.153918,3.029648,-0.1661,-0.383133,-0.854863,0.145865,-0.003267,-0.238553,-0.336297,0.304767,-0.248524,0.634264,-0.396436,-0.037082,-0.09657,0.379087
one,-0.160325,0.012923,-0.295637,0.193132,0.051537,0.02094,-0.326379,0.274625,0.622078,0.419182,0.408648,0.899087,0.125493,-0.43878,0.230069,0.833903,0.104066,-0.136532,0.452799,0.078195,0.578441,0.172638,-0.414805,-0.773375,-0.193326,-0.740545,-0.340528,-0.583672,0.418242,0.183516,0.591889,0.418772,-0.472328,0.286343,0.758454
set,-0.265626,0.028734,-0.374712,0.231128,0.134451,-0.153054,-0.430686,0.46301,0.451903,-0.424753,0.403684,0.989062,-0.543913,-0.386605,-0.098462,0.712242,-0.019884,-0.037622,0.276612,-0.162253,0.75967,-0.32788,-0.188919,-0.854747,0.511302,-0.752475,-0.334706,-0.122199,0.503144,0.239127,0.574296,0.119948,-0.398797,0.446143,0.575427
group,-0.35548,0.291556,-0.792191,-0.645294,-0.477191,0.081499,0.422339,0.256905,0.644976,0.68453,0.289802,0.378384,-0.309562,-0.357211,0.001648,0.131736,0.215027,0.512091,-0.286286,0.251088,0.486481,-0.071477,-0.688314,-1.341035,-0.65527,0.607008,-0.234981,-0.033747,-0.100756,0.317988,0.717177,-0.210024,-0.80732,0.238271,0.943027
space,-0.447383,-0.158498,-0.032146,0.595602,-0.874314,-0.012597,-0.123446,0.324703,1.50181,-0.430012,-0.444802,0.817732,-1.048072,-0.127983,-0.339243,0.681994,-0.608603,0.221319,-0.113234,-0.369513,1.105639,-1.07799,0.205538,-0.65386,0.015617,-0.523968,-0.085323,-0.12273,-0.651552,0.107204,-0.072307,0.050372,-0.608468,0.23586,1.480275
two,-0.393984,0.126328,-0.307078,0.073778,0.315663,-0.286308,-0.135729,0.173779,0.654349,0.47427,0.493673,0.620496,-0.340056,-0.271546,0.374737,0.88891,0.151271,-0.20724,0.700431,0.066822,0.753079,0.229837,-0.482051,-0.924006,-0.071851,-0.751594,-0.668831,-0.472029,-0.12577,-0.018756,0.549306,0.697275,-0.321719,0.583219,0.872012
theory,-0.782193,0.762391,1.1524,0.330568,-1.283233,-0.520894,-0.557853,1.852012,0.781379,-0.279518,-0.600738,0.950852,1.137712,0.022505,-0.706017,0.32348,-1.308945,-0.569524,-0.189788,0.395577,1.569672,-0.700115,0.513487,-0.818951,-0.448932,0.501828,0.654152,0.63946,0.234889,-0.293526,0.612297,-0.490612,-0.719595,-0.731355,-0.608063
point,-0.055767,-0.493565,0.621645,0.228582,0.421737,-0.96305,-0.596029,0.655293,1.452256,-0.298086,1.079952,0.549379,0.341553,-0.37626,0.065625,0.134405,0.473664,0.080872,1.220272,0.110205,0.850348,0.256802,0.199477,-0.627512,-0.249872,-0.850743,-0.254623,0.211969,-0.343089,-0.168603,0.461909,0.885095,-0.588077,0.559411,0.580539
theorem,-0.719041,0.486608,1.062436,0.726578,-0.93779,-1.785383,-0.807523,1.480378,0.896767,-0.806099,-0.641892,-1.919537,0.359991,0.346805,-0.452507,-0.11256,-1.716712,-0.806061,0.239408,-0.929528,1.147373,-0.612278,0.076104,0.57715,0.001591,-0.396165,0.475867,0.44511,0.975426,-0.435338,0.454143,-0.380331,-0.120286,-0.246951,-1.208143
example,0.205162,0.212821,0.475395,0.292233,-0.478999,-0.061688,-0.395548,0.630648,0.752736,-0.087451,0.43638,0.581359,0.034081,-0.356087,0.190282,1.180115,-0.593027,0.029989,-0.83451,0.32659,1.837315,0.018363,0.189448,-0.535807,-0.195106,-0.144731,-0.029803,-0.641674,0.394329,0.234082,0.899198,-0.30668,-0.314529,0.248971,0.098533
form,0.111505,0.439913,-0.205617,-0.497475,-0.234859,0.131686,-0.094434,0.648533,0.892135,0.993225,0.266337,0.326073,-0.455274,-0.532068,0.484605,1.438654,-0.470176,-0.209051,-0.462769,0.742632,1.37098,-0.019897,-0.06617,-0.540612,-0.395523,0.163071,0.099249,-0.056944,0.008298,-0.149883,0.679954,0.344584,-0.38946,0.400741,0.367599
define,0.374129,0.627092,0.741906,-0.41709,-0.380138,-0.795141,-0.128302,0.470651,1.484144,-0.218041,0.59783,0.469527,0.368291,-0.175726,-0.416516,0.512617,-0.708129,0.133333,-0.783329,0.003831,2.243173,-0.406506,0.491299,-0.447006,-0.361658,0.292191,0.344434,-0.357303,0.414032,-0.245096,0.727879,-0.002054,-0.317277,0.053234,0.089339
graph,0.392093,0.057431,1.259843,0.112938,0.0824,-1.061748,-0.876314,0.867903,0.896343,-0.840327,-0.201374,-1.157803,-0.235353,0.365691,-1.390832,0.280683,-1.320031,-0.189951,-0.663063,-0.849858,1.942722,-0.82313,-0.270359,0.468753,-0.268598,-0.89074,0.372136,0.733071,0.237565,-0.326864,0.628745,-0.760239,-0.943792,0.084216,-0.118893
