word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
number,-0.150746,1.064724,-0.511729,-0.396805,-0.01825,-0.15693,0.583619,-0.137353,2.115445,-0.49131,0.144964,-0.10629,-0.062852,-0.001939,-0.181143,-0.217743,0.096848,0.570989,-0.859928,-0.076684,0.414903,-0.27418,-0.294707,0.116228,0.36657,0.58264,0.433046,0.822124,1.06706,-0.015372,0.129043,-0.373642,0.741755,-0.317563,0.69543,0.324387
function,1.256688,-0.688121,0.047669,-0.383612,0.050986,0.697306,0.733458,0.169853,1.996481,-0.818199,-0.884106,0.944875,0.182427,0.508051,0.064233,-0.662235,0.109767,-0.444431,-1.322367,1.622171,-0.34256,-0.405075,0.52754,-0.278466,1.085139,0.80231,0.052288,-0.24829,0.073638,0.021535,0.031498,-1.405648,0.300849,-0.62699,0.621739,-0.132319
one,0.379733,0.754828,0.140308,0.007244,-0.179403,-0.041476,0.633979,-0.110655,1.494439,-0.091495,-0.093472,-0.033752,-0.261938,0.039363,-0.266825,-0.683498,0.123199,0.125862,-0.536249,-0.311999,0.33674,0.020849,0.07633,-0.222327,-0.108931,0.013054,0.595228,1.279333,0.105369,-0.002554,-0.477508,-0.281295,0.261454,-0.425351,0.27614,0.102724
set,0.576919,0.641535,0.231052,-0.006301,0.603399,0.430752,0.323655,-0.20973,1.628475,-0.345533,0.270278,0.291802,-0.248619,-0.216341,-0.242181,-0.673861,0.801394,-0.007193,-0.598026,0.289199,0.133652,-0.258081,0.113133,0.014093,0.224657,0.083441,0.633055,0.898383,0.008428,-0.021331,0.233956,-0.015587,0.827958,-0.722507,0.085006,-0.016507
group,0.201767,0.6006,-0.009075,-0.201319,0.06351,-0.986808,0.121418,-0.298294,1.802695,0.100669,0.351455,-0.092821,1.152848,-0.187352,0.321425,-0.919131,-0.524689,-0.296241,-0.521435,0.846187,-0.390158,-0.162965,0.454675,-0.30121,-0.065959,-0.31279,0.369714,0.113029,-0.123043,-0.472032,-0.909909,-0.098968,0.150575,-0.445657,0.453838,0.294876
space,1.245386,0.589857,0.365442,-0.011816,0.019323,0.943856,-1.031865,-0.610665,1.924656,-0.134089,-0.127126,-0.015797,0.103858,0.078243,-0.109604,-0.461837,0.682791,-0.682418,-0.170047,0.952815,-0.331355,-0.746409,1.040725,-0.055027,1.116268,0.174714,0.530181,0.84271,-0.238384,-0.738741,0.075763,-0.170917,0.565119,-0.675092,0.724383,0.39262
two,0.422892,0.9605,0.37876,-0.043992,-0.234012,-0.156434,0.428731,-0.047695,1.201467,-0.227805,-0.301122,0.026457,0.002951,0.228433,-0.34509,-0.856566,0.255432,0.185601,-0.740364,-0.258136,0.262979,-0.207113,-0.265705,-0.009835,-0.055036,-0.156193,0.375102,1.328249,0.097097,-0.351906,-0.575394,-0.167886,0.501972,-0.478244,0.696641,0.299505
theory,0.361754,-0.958457,-0.194722,0.526881,-0.009655,0.300867,-0.638525,1.155902,2.141825,0.098134,-0.269554,0.47953,-1.285741,-0.736087,0.358078,-0.198666,0.707856,0.29538,-0.988464,1.288024,-0.741892,-1.132168,2.115618,-0.908295,0.269978,-0.335744,0.129319,-0.786008,0.713867,0.134037,0.086235,-0.831408,0.186296,-0.285084,-0.240094,0.166791
point,0.355077,1.011357,1.084092,-0.566987,0.311648,-0.028576,-0.223329,-0.049869,1.527471,0.083234,-0.980388,0.083903,-0.632133,0.178864,-0.249944,-0.256739,0.708578,0.151678,-0.809561,-0.866821,0.247824,-0.069376,0.525689,0.386579,-0.178988,-0.028853,0.817327,0.482248,0.816613,0.261426,-0.33579,-0.57396,1.120075,-0.07028,0.79947,-0.261992
theorem,0.559363,-2.26484,0.004434,-0.03435,0.676926,0.734962,-1.287949,0.083005,0.415397,-0.688721,-1.07075,0.378485,-1.431063,-1.193124,-0.288112,-0.623751,1.734758,0.791878,-2.176983,1.229397,-0.840977,-0.222519,1.96108,-0.155493,-0.020058,1.00604,0.855066,-0.588287,1.059995,0.442043,0.931603,-0.138172,0.451528,-1.277633,0.62682,0.094495
