word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
number,-0.687577,0.739031,0.673933,-1.012288,0.941768,0.474996,3.619493,-0.459564,-0.515245,-0.329048,1.195886,-0.131462,-0.220575,-0.963331,0.555168,0.145085,0.441573,-0.05799,0.578299,0.83492,-1.867591,0.461334,1.521304,-0.335935,0.865999,0.632044,0.124109,-1.256663,-1.141959,-0.327431,1.655141,0.964896,-0.214705,0.119987,-1.058834,-0.645361
function,0.445851,-0.276537,0.469191,-1.026088,1.098548,0.56174,3.387688,1.379228,-0.231613,-1.314221,0.676461,-0.899299,0.705055,-1.908614,0.612462,0.59738,1.268497,-0.188681,0.834584,0.243745,0.591128,1.146875,1.386578,-1.11795,-0.485148,-1.270042,-0.108287,-1.026734,-1.860793,-0.126014,-0.694099,0.279404,0.36185,-0.321307,-0.415343,0.005619
one,0.004983,0.4726,0.781888,0.020638,0.559795,-0.429111,2.655701,0.226718,0.280465,-0.42504,1.159962,0.105773,-0.111676,-1.074673,0.046364,0.706662,-0.114837,-0.070622,0.013454,0.627517,0.125061,0.55888,1.827499,-1.011857,1.31177,-0.07648,0.759913,-0.240645,-1.582387,-0.597575,1.55001,0.948922,0.255952,0.00621,0.260721,0.217608
set,0.17508,0.43903,-0.254534,-0.257186,-0.372794,-0.686518,2.707361,-0.47661,-0.735821,-1.007854,0.197967,0.213137,0.322771,-1.334169,-0.638386,0.930994,0.73573,0.286293,-0.33731,-0.196608,-0.742012,1.200757,1.489552,-0.815735,1.099396,-1.081985,1.357781,-1.668252,-1.976564,-0.654508,1.479235,0.232554,0.842517,1.100818,-0.773261,-0.847402
group,-0.64834,2.033393,-0.217131,0.078067,-0.725039,1.258903,1.37711,0.03509,-0.03071,-0.539848,1.128856,0.921526,0.213513,0.242403,-0.033891,1.768119,1.495055,-2.283416,0.239184,1.12336,-1.120007,0.394233,2.142985,-1.394166,0.09992,1.084277,1.149316,-0.71181,-1.885844,0.684859,1.413142,0.61395,0.954684,-0.379925,0.988257,0.737548
space,0.422597,0.292685,-1.302631,0.973127,-0.256948,-0.717009,1.511694,1.199185,-0.211357,-0.589357,1.131812,0.861351,-0.109091,-1.018553,0.064181,1.593077,0.508282,-0.394142,0.043836,0.368524,-0.118073,1.257218,2.351992,-1.374195,0.209614,-2.166293,0.358561,-1.249193,-2.09193,1.034267,1.819058,0.963009,-0.166872,0.591513,-0.040353,0.868001
two,-0.065659,0.776378,0.941565,-0.072359,0.427131,-0.484975,2.119247,-0.208683,0.486771,-0.123602,1.228905,0.216449,-0.013069,-1.345677,0.029459,0.610661,-0.21887,0.654773,-0.07008,0.573604,-0.093371,0.921764,2.721061,-0.935304,0.904606,0.075657,1.044938,-0.419233,-1.339693,-0.674673,1.437668,0.505153,0.422101,-0.151669,0.161085,0.619498
theory,-0.592108,-0.109468,-1.506756,-0.625334,-0.424602,0.966096,2.574789,-0.145794,-0.67902,-0.246179,2.217397,-0.473267,0.06462,-0.942171,-0.924849,1.220997,0.515735,-1.014522,0.574979,-0.604076,-0.824091,0.572053,0.707469,0.137713,0.126835,-0.098387,0.858006,-0.319669,-1.808888,0.107817,1.358053,1.399782,1.942464,0.018968,-0.084183,0.178509
point,-0.103272,0.266878,1.008536,0.243757,-0.886302,-1.02463,2.489788,0.742974,-0.200916,-0.681129,0.866863,0.100496,0.231714,-1.871782,0.369302,0.593637,-0.146601,0.173085,-0.929536,0.909443,-1.227245,1.682697,1.762396,-0.900888,0.639362,-0.911159,1.142818,0.516642,-1.225035,-0.656189,1.026931,0.420294,-0.350252,0.079868,0.735,0.36386
theorem,0.500513,-0.682449,-0.26542,-1.090773,-1.193834,1.677733,2.983433,0.365754,0.759459,-0.275991,0.18492,-0.193541,0.959632,-0.572904,0.509415,0.292673,-0.347755,-0.263345,0.642768,-1.090583,-0.763942,2.02501,0.890144,-0.915154,1.059881,-0.35234,1.409899,0.027195,-1.593894,1.086473,1.297876,1.563795,0.499231,-0.749982,-0.368361,0.298993
example,0.116739,0.257464,0.479745,-0.119832,0.346536,0.600958,2.21311,0.478606,-0.145745,-0.362675,1.386826,0.432415,-0.155659,-1.224861,-0.389419,0.45159,0.584121,-0.529102,-0.250291,0.359367,-0.296192,0.452231,1.653606,-0.828865,1.037774,-0.387037,0.169005,-0.386396,-1.786457,-0.266773,0.810368,0.593684,-0.012915,0.00692,0.062966,0.053367
form,0.227227,0.54326,0.462663,-0.11831,0.217101,-0.335432,2.091552,0.048565,0.417489,-0.067423,1.430232,0.315751,0.221647,-1.158849,0.23737,0.463599,1.001793,0.209693,-0.2461,0.427516,0.316365,0.769166,2.218042,-1.32882,-0.147282,-0.089769,-0.070638,-0.237062,-1.739133,-0.35904,0.615586,1.515203,0.762813,0.047391,-0.318384,0.111106
define,0.515035,0.4517,-0.131316,0.132193,0.021607,-0.510069,2.650479,0.763633,0.294325,-0.671361,0.410448,0.144345,0.323244,-1.052234,0.31612,0.510973,1.4538,0.028019,-0.245233,0.523709,0.175646,0.526606,1.66736,-0.850311,0.296657,-0.722204,0.296911,-0.91185,-2.121147,-0.2208,0.106262,0.994442,0.722076,0.105879,0.075268,0.143365
