word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
number,0.508004,0.013744,-0.78428,-0.313177,0.40512,-0.520078,0.012321,0.742653,0.370138,0.665515,-0.408259,0.878756,-0.415146,-0.96064,0.098194,1.05995,0.887434,-0.526712,-0.609993,0.152223,-0.170211,1.349174,-0.065542,-0.045917,-0.53534,-0.429671,0.534446,0.377146,-0.152045,-0.421724,0.417879,-0.004604,0.261987,-0.588532,0.476097,-0.035571
function,0.338471,0.963413,-0.907976,-0.019707,0.813322,0.707944,0.461296,0.278232,-0.402358,-0.379797,0.752597,0.954788,-0.468356,-0.837682,-0.682511,0.162491,0.423723,0.483688,-0.502287,-0.026652,-0.361761,2.444295,-0.077865,0.574082,0.200246,0.391314,0.250363,-0.47798,1.718258,-0.050953,0.46234,-0.435416,0.202935,0.03728,1.110404,-0.586595
one,-0.012151,0.066442,-0.52094,-0.665727,-0.121225,-0.300422,-0.166296,0.294911,0.483877,-0.055557,0.166124,0.331792,-0.439865,-0.268697,0.405845,1.123278,0.291539,-0.623715,-0.361304,-0.093341,0.008056,0.753241,0.458372,0.062075,-0.239125,-0.667339,0.351142,0.003834,0.282612,-0.260532,0.176895,0.029806,0.112068,-0.299077,1.25267,0.453762
set,0.436592,0.149235,0.004907,-0.354538,0.29404,-0.055645,-0.166801,0.165216,0.376593,-0.116945,-0.238166,0.321504,0.094546,-0.629728,0.190737,0.905224,0.637966,-0.31002,-0.572456,0.098759,0.30292,0.565605,0.250345,0.496851,0.215165,-0.328251,0.404171,-0.117116,0.315771,-0.668174,0.099171,-0.067558,0.331268,-0.416819,1.408476,0.31467
group,-0.34591,-0.201962,-0.476792,0.025141,-0.047767,0.586167,-0.493861,0.0458,0.547085,0.524598,0.353977,0.312136,-0.013979,0.399915,0.021768,-0.00474,0.355411,-0.079413,-0.202585,0.228818,-0.075053,1.295733,0.415649,0.137579,-1.020867,-0.521677,-0.322333,0.577578,0.61699,-0.704416,0.04451,0.270848,0.706138,-0.788655,0.741844,0.977022
space,0.4329,0.330586,0.278562,-0.35962,0.478473,-0.444562,-0.153734,-0.217954,-0.801629,0.592807,0.386666,0.14782,0.423114,-0.278621,-0.887699,0.675984,0.291318,-0.525264,-0.611633,0.154865,-0.100776,1.237128,0.596962,1.176827,-0.260528,-0.045046,0.460129,-0.131818,1.271372,-1.325915,-0.108774,-0.337632,0.256965,0.468159,0.865305,0.708259
two,-0.001729,0.175916,-0.376257,-0.563628,0.036701,-0.305943,-0.417607,-0.237908,0.49523,-0.066739,0.390198,0.637576,-0.330111,-0.038301,0.478363,1.439577,0.302955,-0.4717,-0.916208,-0.325476,-0.176066,0.845044,0.18921,0.026284,-0.420598,-0.673491,0.38827,0.031986,0.122576,-0.502651,0.098736,-0.002179,0.247538,-0.196612,0.982658,0.317347
theory,0.450793,0.597485,-0.651709,-0.999539,-0.547281,-0.092632,-0.129648,1.130447,-0.260526,0.103318,1.125871,1.123314,1.302975,-1.356515,-2.024313,-1.198395,-0.3811,0.363849,0.248925,0.227714,0.215348,0.947756,0.290352,0.820673,-0.173905,0.490862,-0.32357,-0.384231,0.555918,0.234045,-0.517871,-0.860379,-0.65211,-0.1271,1.654682,-0.077374
point,0.649499,0.048401,0.566991,-0.371095,-0.835469,-1.034297,-0.623211,0.924166,0.224877,-0.347895,0.864429,0.494739,-0.649527,-0.4294,-0.460617,1.36452,0.31811,-0.096672,-0.802819,-0.171271,0.134186,0.829282,-0.170983,0.073752,-0.396357,-0.610553,0.416008,-0.563723,-0.410163,-0.946673,0.357096,-0.354533,0.025753,-0.680941,0.592707,-0.179072
theorem,1.094246,2.004016,0.304664,-0.177385,-1.140181,-0.724605,0.059717,-0.058426,-0.234686,-0.994176,1.29634,0.619667,0.660931,-1.729905,-1.303581,-0.773385,1.056791,0.97633,0.418081,-0.075951,0.496389,0.642319,-1.055829,0.543898,0.711377,1.10914,-0.297965,0.369389,-0.036189,0.967092,-0.690708,-1.593202,-0.448043,1.217774,0.622118,-0.668222
