word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
number,-0.117193,-0.068559,-0.146356,-0.690783,0.59416,-0.725026,0.404898,-0.049932,-1.368552,-0.502519,0.812046,0.598553,0.157906,-0.552404,0.416687,-0.236356,0.185856,-0.025849,-0.150502,0.383834,0.82978,-0.354098,-0.996705,-0.015798,0.722835,-0.105126,-0.305361,0.592958,0.68519,-0.08489,0.703629,1.381269,0.220795,0.510288,0.355875,0.455596,-0.800673
function,-0.432873,-0.130619,-0.319446,0.234814,0.058154,0.202596,-0.518325,0.809006,-1.755429,0.120538,0.46257,0.035562,-0.068917,0.320714,-0.304425,0.020632,-0.962219,0.189247,0.374356,-0.885354,0.265667,-0.791655,-0.529402,2.00522,0.969395,0.114492,-0.448844,0.268101,1.087064,0.38377,0.313748,0.940062,-0.665862,-0.002641,0.875888,0.436349,-1.859784
one,-0.159074,-0.238305,-0.193255,0.016481,0.105157,-0.471736,-0.123404,0.455226,-1.349399,-0.125664,0.314594,0.805129,-0.08233,-0.19154,-0.111908,-0.857561,-0.040543,0.11072,-0.281073,-0.124211,0.592507,-0.414874,-0.215942,-0.38335,0.095203,-0.145153,-0.073875,0.101915,0.533198,-0.223359,1.225719,0.765529,0.124464,-0.021729,0.019069,0.306038,-0.115909
set,0.253595,0.134819,0.142843,0.187596,0.111823,-0.40071,-0.079638,0.169035,-1.191809,0.083961,0.467503,0.746005,-0.192867,0.17203,0.125368,-0.415518,-0.43848,0.359855,0.10104,-0.172633,0.546137,-0.65168,-1.450844,-0.204646,0.569919,-0.162398,-0.067707,-0.176136,0.479961,0.075965,0.726271,1.099064,-0.077129,0.246224,0.126951,0.585099,-0.296711
group,-0.456312,0.343081,0.198645,0.376366,-0.143683,-0.972502,0.265465,-0.002711,-1.541073,-0.797614,-0.170328,0.088874,-0.520954,-0.105451,-0.420974,0.038862,-0.414812,-0.035616,-0.463917,-0.440891,1.124511,-0.476336,-0.178771,-0.365273,0.519884,0.074173,-0.371347,0.803155,0.110246,-0.220631,0.351983,0.717817,-1.370393,-0.301048,0.578993,-0.343311,0.021703
space,-0.262715,-0.243717,0.308195,1.027628,-0.248737,-0.854566,0.305694,0.623657,-2.092541,0.507784,-0.393208,1.110935,-0.145657,0.725027,-0.364832,0.716309,-0.942935,0.308694,-0.181765,-0.402145,0.247624,-0.952281,-0.990129,0.544872,0.56661,0.310682,0.116486,0.258357,0.557296,0.244031,-0.120705,1.259677,0.293101,0.225918,-0.392256,0.713792,-0.193518
two,-0.020424,-0.029423,-0.198939,-0.102508,0.127602,-0.538365,0.096211,-0.071338,-1.447993,0.154305,0.297829,0.793007,0.232238,-0.440615,-0.149652,-0.809143,-0.335743,0.228341,-0.115198,-0.288902,0.724031,-0.395545,-0.106651,-0.787465,0.604344,0.205819,-0.138639,0.364316,0.458773,-0.107276,1.235726,0.794979,0.173086,0.038526,0.048279,0.500022,-0.176112
theory,0.167621,-0.237344,-0.141138,-0.07619,0.463564,-0.325344,-0.203506,0.818926,-1.847528,0.275885,-0.634358,0.269207,-0.467994,0.465079,0.124051,1.147173,0.319105,-0.423178,0.552597,-0.612114,0.381286,-1.592918,-1.370465,1.121083,-0.49221,0.298272,-0.99587,-1.315293,0.294804,-0.621626,-0.658491,0.52293,-0.293727,-1.433798,0.6522,-0.549531,-1.83087
point,0.309826,-0.18769,-0.160316,-0.6332,0.31486,-0.087776,-0.206238,-0.087171,-1.763326,0.007698,-0.337287,0.599846,0.150445,-0.315439,0.773424,-0.710828,0.075458,-0.207533,0.131467,0.108203,0.286787,-1.055054,-0.82398,-0.110394,0.074418,0.954052,-1.004214,0.744362,0.930466,-0.016543,1.014123,0.437732,0.805854,-0.12883,-0.146387,0.629537,0.430393
theorem,0.05835,0.864303,0.460085,-0.519317,-0.070039,0.081395,0.064759,0.8732,-0.74757,1.935772,0.06642,0.553944,0.191531,-0.12837,-0.348974,-0.082094,-0.427883,0.44713,1.981756,-0.017497,0.533546,-3.238366,-1.129903,1.804618,0.101758,0.125862,-0.869435,-1.092029,1.335591,0.420287,-1.331279,0.192996,1.137684,-0.314533,1.068827,-0.811442,-1.111359
example,-0.027515,-0.311946,-0.715913,-0.17394,-0.187066,-0.026381,-0.174975,0.696002,-1.62755,-0.071084,0.548228,-0.022523,-0.419753,-0.009751,0.712917,-0.19416,-0.301969,-0.150571,-0.226104,-0.59763,0.460911,-1.016711,-0.521563,1.051217,0.136701,-0.342714,0.225134,-0.095443,0.426828,-0.412606,0.253087,1.168947,0.077797,0.268249,0.555036,-0.044558,-1.016993
form,-0.086843,0.241111,-0.385463,0.159426,-0.298139,-0.600844,-0.027389,0.789425,-1.86322,-0.26691,0.425174,0.187571,-0.204767,-0.164242,0.444374,-0.493449,-0.740077,0.092204,-0.368443,-0.284495,0.847185,-0.59598,0.530812,0.08224,0.471414,0.556836,-0.085938,0.072215,0.06594,-0.646763,0.370098,0.394755,-0.400734,-0.006484,0.294608,-0.277474,-1.007577
define,-0.075479,-0.151862,-0.637405,-0.093448,-0.362723,0.097246,-0.077379,0.873743,-1.803894,-0.216464,0.184929,-0.102375,-0.134337,-0.238927,0.755927,0.362451,-0.690233,0.392227,-0.034328,-0.459797,0.288823,-1.117366,-1.125085,1.632328,0.115806,0.510994,-0.457361,0.426918,1.157276,-0.168468,0.066186,0.64925,-0.156647,-0.202327,0.548413,-0.292346,-1.064941
graph,1.030406,0.443836,0.744039,-0.011684,0.27648,-0.35705,-0.365944,1.214746,-1.26498,0.822391,-0.302229,-0.647997,-0.037569,-0.172735,-0.625271,-0.045251,-0.877135,-0.094031,1.433089,0.06223,0.573707,-1.984498,-1.813475,2.253251,0.967834,0.485333,-0.425425,0.427354,1.003319,0.411261,-1.103998,0.395665,1.003887,0.478538,0.908291,-0.117876,-1.114757
