word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
number,-0.169335,-0.502805,0.173115,1.578689,0.224533,-0.995579,1.08127,-1.703244,1.412427,-0.783045,-0.146856,-1.330997,0.818125,-0.218825,-0.530893,0.783449,2.685708,0.558411,0.54267,-0.40692,-0.351569,0.995041,-0.566753,0.556588,0.206449,1.529883,-0.215585,0.666654,-0.93255,-0.639814,-0.547354,0.825482,-1.977228,0.030972,0.76103,-1.415685,0.557864
function,-0.159469,-0.22802,1.09143,0.643327,0.182525,1.214716,0.881425,-0.602739,1.333816,-0.700371,-0.072084,-0.91511,0.887716,-0.402855,-0.197984,-0.538675,3.250374,-0.982982,-0.902982,0.729412,-0.672625,0.255527,0.08507,0.868021,-0.107222,0.68616,-1.534569,0.297313,-1.313728,0.696453,-1.220319,-1.222831,-2.045502,0.498832,-0.368509,-1.502288,0.143771
one,0.038319,0.314028,0.025024,0.820082,0.011284,-0.31385,0.748568,-1.199435,1.831513,0.356936,-0.626303,-0.627507,0.826458,-0.439444,-0.425227,-0.056538,1.875319,-0.645719,0.021652,-0.594091,-0.17582,1.335014,-0.308318,0.353653,-0.401128,0.412407,-0.393688,0.064194,-0.906738,-0.615099,-1.165772,0.794011,-1.490181,0.494191,-1.182223,-1.110283,1.667476
set,-0.211653,-1.100125,0.040594,-0.151028,-0.659776,-0.422176,0.191539,-1.16956,2.201247,0.231479,-0.751488,-0.410921,0.591242,-0.971324,-0.722493,0.015791,1.722533,-0.106581,0.95539,1.360067,0.240723,0.085645,-0.025537,0.653428,-0.823192,1.077186,-0.721028,0.406463,-1.045845,-0.273004,-1.630821,1.170767,-2.82203,0.053853,0.12523,-0.763826,1.138691
group,0.468598,-1.122961,1.196761,0.56489,-0.288248,-1.092808,1.307352,-2.065032,1.333465,0.347346,-0.897745,-0.834073,1.851202,-0.576826,-0.690361,-0.090054,1.777105,-0.439198,1.538441,-0.7138,-0.271679,-0.60807,0.294323,-0.77832,-0.190332,-1.344961,0.223083,-0.329787,-0.205307,-1.70975,-1.638405,0.609493,-0.242874,1.070579,-1.649948,-1.497366,-0.598994
space,1.274073,-0.620903,-0.356311,0.47493,-1.359867,-0.159763,1.436044,-0.662704,2.327881,-0.325297,-1.302801,0.879023,0.889428,-1.35175,-0.976801,0.038846,1.354793,-1.121697,0.882019,-0.001262,0.080533,0.59439,-0.459131,-1.05167,-0.508739,-0.917316,-1.010593,0.541085,-0.72549,0.56903,-2.240414,-0.292287,-1.966752,1.355769,-0.516811,-0.975862,0.029641
two,0.160277,0.38358,-0.581248,0.699963,-0.071479,-0.531882,0.639536,-0.878681,1.870168,0.752965,-1.006976,-0.747525,1.133943,-0.578062,0.190948,-0.053497,1.461584,0.158313,-0.291802,-0.460329,-0.049954,1.339534,-0.234628,0.118013,-0.019842,0.462034,-0.699399,-0.016687,-0.925424,-0.71478,-1.107371,0.823241,-1.752651,0.521874,-1.454005,-1.437684,1.168373
theory,-0.14396,-0.870424,1.857379,-0.157837,-0.874299,-0.607728,2.346667,-2.22411,0.957373,-1.018932,-0.242534,-0.294624,0.339855,-0.865517,-0.008169,-1.500104,0.872254,0.414366,0.305483,0.59944,-0.031882,-0.203451,-0.900517,0.310007,-0.231361,-0.169894,-0.481267,0.285503,-0.996748,-0.558355,-1.539627,0.67274,-1.37749,0.777146,0.203716,-1.436954,0.351768
point,0.577462,0.063627,-1.14954,0.450281,-0.545368,0.962923,0.656777,-0.739957,1.746439,0.444169,-2.001535,-1.814832,1.108205,-0.867081,0.362543,-0.207522,1.669505,-0.629937,0.460239,-0.123972,0.031509,1.447969,-0.42246,-0.784834,-0.850033,0.53099,-0.348513,0.372201,-1.078851,-0.362078,-1.280367,0.286828,-0.838338,0.386807,-0.031499,-1.250934,1.305499
theorem,-0.433873,0.071402,0.575362,-0.14826,-0.253015,-0.163076,2.307813,-1.122364,1.096487,-0.184057,-1.177882,-0.990526,0.294307,-1.239566,-0.629426,-0.147961,0.599726,-0.768229,-0.147752,-1.071396,-1.190725,-0.791729,-0.73843,0.328126,-1.410382,2.068805,-0.921621,0.777671,-2.081286,-0.828452,-1.923665,0.043386,-0.312945,1.29579,-0.17804,-0.678925,-0.443134
example,0.018937,-0.05919,0.22011,0.7242,-0.207729,-0.177485,0.411675,-1.089372,1.305774,-0.279491,-0.52721,-0.811921,0.375106,-0.402698,-0.737584,-0.775369,2.342807,-0.500959,0.326237,-0.282053,-0.351691,0.625247,-0.50223,0.427814,-0.466437,0.137284,-0.531876,-0.140258,-1.083757,-0.641241,-0.746132,0.686923,-1.238279,1.208847,-0.791564,-1.032392,0.490429
form,-0.323377,0.855874,0.160094,0.771125,-0.044078,0.416721,0.6278,-1.125527,2.35631,0.219412,-0.483805,-0.849496,1.392022,0.233918,-0.424997,-0.208115,1.313511,-0.144935,0.049505,-0.224613,-0.118221,0.251348,-0.923521,0.543939,0.415967,-0.37004,-0.94649,-0.663883,-0.779678,-0.217962,-1.392661,0.403649,-1.737802,0.882998,-0.776083,-1.280618,0.372433
define,0.014337,0.256034,0.476647,-0.09737,-0.370296,0.584664,0.332628,-0.98703,2.206641,0.054426,-0.907805,-0.252571,1.401249,0.026679,-0.656845,-0.372696,2.112399,-1.032958,0.419721,0.33969,-0.370339,0.220499,-0.398809,0.447552,-0.394288,0.167101,-0.845849,-0.349784,-0.732462,0.398414,-1.60558,-0.019031,-1.773193,-0.021608,-0.566734,-1.210543,0.278008
graph,-0.253592,-0.308844,0.549023,1.000081,0.540563,-2.449667,0.650352,-0.309083,1.946425,-0.104682,-1.178167,-2.112397,0.225017,-0.876571,0.041992,-0.446706,0.631342,0.677824,1.053557,-0.237837,1.423654,0.125558,-0.641838,0.863939,-0.119836,1.051177,-1.023793,0.323092,-1.408545,0.452207,-2.614505,0.772138,-0.203568,-0.78944,-1.636942,-0.001171,0.190494
value,0.25383,0.162589,0.550884,1.469652,-0.314424,0.260702,0.040744,-0.887777,1.403074,-0.634704,-0.923801,-0.840515,0.171553,0.182758,-0.440185,-0.175583,2.773322,-0.863965,-0.150283,-0.157615,-0.52643,0.903352,0.434551,0.496628,-0.41154,0.856449,-0.462988,-0.459929,-1.307291,0.281719,-0.463598,-0.34747,-1.488301,0.22072,-0.001561,-1.371572,1.640743
problem,-0.038717,-0.244567,0.268806,0.915264,0.55226,-0.969801,1.510722,-0.544119,1.24752,-0.381763,0.489467,-1.221682,-0.364613,-0.567487,-0.023248,-0.912479,1.181025,-1.227696,-0.244475,-0.241009,0.7913,0.046873,-1.654694,1.34067,-0.073022,0.448888,-1.248772,1.20585,-1.235528,-0.657949,-1.581738,1.099315,-0.361665,-0.025528,-0.00466,-1.175684,1.442439
mathematic,-0.680531,-1.271325,1.736243,-0.174763,-0.069603,-0.068567,1.344329,-1.456232,0.802843,-0.783816,0.134067,-0.515061,0.754511,-0.508963,0.73435,0.931915,0.462348,0.016525,-0.042132,-0.946818,0.439435,0.171809,-0.779107,-0.121968,0.315456,-0.825539,-0.170297,0.753522,-1.995717,-0.102537,-0.226387,0.661216,-1.133348,1.348093,-0.252265,-1.31535,1.390205
order,0.313765,0.014736,1.042609,1.432809,0.585191,-0.624204,1.254378,-1.075984,1.393847,-0.091232,-1.25456,-0.558377,1.390456,0.487164,0.163393,0.526356,1.533817,-0.03527,1.077715,1.314207,-0.315102,0.922589,-0.070658,0.623063,-0.593497,0.034484,-1.079948,-0.38967,-0.386141,-1.123165,-1.33271,1.476532,-1.50112,0.213145,-0.506302,-0.41201,0.294292
equation,0.768017,1.433768,0.219174,0.854085,-0.228175,0.939808,2.696112,-0.30139,1.343766,0.279854,0.319794,-0.865472,0.455923,0.628934,0.333046,-0.944706,2.043123,-1.03394,-0.547885,0.639522,0.337896,0.196433,-1.653635,0.776916,-0.696121,-0.157739,-0.892784,0.130086,-1.555273,-0.707216,-0.305462,0.060219,0.157018,0.540513,-0.701154,-2.275789,0.570634
first,-0.154178,0.035809,0.976173,0.365749,0.399976,-0.321939,1.207747,-1.277884,1.269964,-0.089096,0.119986,-0.496015,0.834257,0.299553,0.099915,0.472193,1.037815,-0.419432,-0.27301,-0.395169,-0.104765,1.336696,-0.355719,0.641025,-0.526086,0.776549,-0.481092,0.190413,-1.038768,-1.144727,-1.010701,0.27841,-1.620848,0.984191,-0.317565,-0.873242,1.481236
vector,0.49737,1.182857,-0.28819,0.587035,-1.126098,-0.132947,0.821069,-0.759878,2.369239,0.715681,-1.514806,0.186976,0.894487,0.994324,-1.236573,0.181522,1.837025,-1.24579,0.106491,0.329437,0.141643,0.187919,-0.337188,-0.721665,-0.569457,-0.813202,-0.344585,-0.329194,-0.768556,1.209435,-1.157367,-0.306667,-1.499218,0.939631,-0.262328,-1.712262,0.844193
algebra,-0.546028,0.179766,1.173552,-0.156992,-1.083027,-0.631908,1.123687,-1.463125,1.837688,-0.262462,-0.322953,0.009922,1.694116,-0.039555,-1.332269,0.183974,0.408434,-0.018524,0.460486,0.433721,0.218934,-1.676291,-0.16453,0.425685,-0.032772,-1.07223,0.630803,-0.210997,-2.097355,-0.553333,-1.102689,0.494388,-1.125814,1.915532,-1.208649,-1.454104,-0.058503
$\mathbb{N}$,0.940024,0.452001,0.557823,1.354679,0.322899,0.136893,-0.865588,-0.599594,2.387449,-0.554677,-1.061045,-0.820126,0.419288,0.040909,-0.551934,-0.046916,2.502993,0.111203,0.621595,-0.682652,0.029424,0.007308,-0.512354,-0.694865,0.135876,0.834032,0.541392,0.294667,-0.06326,-0.880197,-1.31253,-0.117498,-2.117985,0.166104,-0.251391,-0.941519,0.069639
field,-0.004855,-0.002021,0.485646,0.484607,-0.176051,-0.436728,2.033129,-1.432722,1.371321,-0.258248,-0.167346,0.06871,1.363859,0.211414,-0.138896,-1.065269,1.840792,-0.343604,1.064594,-0.035516,-0.331656,-0.578087,-0.273064,-0.177606,0.344786,-0.637551,0.124677,0.319022,-0.758617,0.701133,-0.849154,0.234076,-0.692181,1.021906,0.137937,-2.827722,0.791525
element,0.137439,0.549937,0.363734,0.887546,-0.190921,-0.564375,-0.065667,-1.252921,2.095574,0.554646,-0.478942,-0.383298,1.134441,0.029193,-0.705045,0.161233,1.735277,-0.200409,0.655385,0.864396,0.039491,-0.417255,0.806723,-0.2555,-0.421894,0.347124,-0.15011,0.553852,-0.441604,-0.565638,-0.718238,1.52154,-1.784336,0.520487,-0.630406,-1.642078,0.342186
system,-0.189644,-0.105841,0.171147,-0.269458,-0.127206,-0.57951,1.578859,-1.045366,0.693323,-0.112813,-0.37132,-1.177017,0.492167,0.615783,0.219085,-1.173889,2.148289,-0.201109,0.658023,1.032421,0.428199,1.053667,-0.394076,0.500256,-0.421383,-1.032859,-1.295087,1.173345,-0.307444,-0.596022,-0.263329,0.540055,-1.474885,1.286486,-0.086456,-1.375603,0.964641
