word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
number,-0.47653,-0.32449,0.561191,-0.318777,-0.001218,-0.429855,-0.224805,0.573979,-0.356911,0.707203,-0.195242,-0.0324,-1.426356,-1.36111,-0.683843,-0.724755,-0.002432,-0.428383,0.219851,-1.42124,-0.094475,0.172478,0.345177,-0.23626,0.435646,0.049328,0.802163,-0.232542,0.190665,0.46771,0.28166,0.040698,-0.020571,-0.25937,0.364686,0.342008,-0.334487
function,0.285967,-1.418419,-0.814038,-0.255668,-0.742745,-0.220482,0.108257,-0.008848,0.20233,0.201673,-0.162036,0.25348,-2.87981,-0.015737,-0.125637,-0.248076,0.578512,-0.343105,-0.385424,-0.599093,-0.092066,0.003024,-1.370072,-0.387633,0.474261,-0.137791,0.539904,-0.43465,0.463525,-0.492301,0.467999,-0.633442,0.950049,-0.00164,0.275948,0.199806,0.591115
one,0.038547,-0.721114,0.26286,0.341262,-0.307346,-0.37107,-0.082429,-0.480367,-0.454471,0.537912,-0.231735,-0.089294,-1.248818,-0.973964,-0.390113,-0.214289,-0.012434,0.178265,0.184877,-1.087405,0.171364,-0.258307,0.769918,0.084357,-0.029765,0.172256,0.384036,-0.152795,0.219565,-0.3746,0.32245,0.115069,-0.010586,-0.03481,0.048826,-0.004974,-0.232251
set,-0.007681,-0.720734,0.513511,-0.239699,-0.139005,-0.009469,-0.130616,0.000682,-0.456587,0.526978,0.209868,-0.030745,-1.169722,-0.965976,-0.342208,-0.172601,0.1307,0.028321,0.444396,-0.862214,0.635137,-0.064438,0.092377,0.40963,-0.260505,0.050375,0.097321,-0.343112,0.081757,-0.206792,0.663273,-0.124691,0.572849,0.010942,0.633907,-0.137964,-0.191934
group,-0.394971,-0.240457,-0.500203,1.03904,0.629264,-0.205974,0.203147,-0.343395,0.050811,0.398949,0.025919,0.097801,-1.763646,-0.151322,-0.18085,-0.696206,-0.099856,-0.347302,-0.147408,-0.648693,0.301705,-0.829809,0.70421,0.455364,-0.344909,-0.198435,0.373458,-0.248693,0.132516,0.014849,-0.820226,-0.009752,-0.086115,-0.792673,0.513082,-0.251002,0.434085
space,-0.623252,-0.351024,0.306677,0.196811,-0.253728,0.412051,-0.145136,-0.896676,0.359022,-0.411176,0.617071,-0.229459,-1.828327,-1.426732,-0.17696,-0.682514,0.492023,0.065744,-0.432332,-0.843285,0.898262,0.167293,-0.906512,0.707777,-0.603572,0.213737,0.073489,0.487019,0.351859,-0.479943,0.334221,-0.431811,0.936325,-0.359721,-0.076153,0.219719,-0.091053
two,0.073873,-0.915075,0.34476,0.709995,-0.289437,-0.517008,-0.216126,-0.080189,-0.349721,0.384711,-0.183127,-0.075657,-0.92958,-1.295439,-0.353049,-0.532691,0.009954,0.527994,0.006606,-1.102018,0.178239,0.055733,0.69639,0.125756,-0.008049,0.357279,0.513124,-0.479181,0.582731,-0.466275,0.166156,0.02437,-0.029923,-0.045509,0.349452,-0.184771,0.068217
theory,-0.62438,-0.041545,0.139459,-0.760362,-0.354661,0.480721,0.522649,0.281331,-0.613712,1.028288,0.739126,-0.130848,-2.380937,0.966333,0.783937,1.398581,1.021639,-0.335371,-0.197797,-1.039994,-0.20065,0.410376,-0.685483,-0.466015,-0.672219,0.697303,-0.442151,0.266024,0.32176,-0.940873,-0.842719,-0.741466,0.721356,-0.401805,-0.158262,1.525758,0.129044
point,-0.22553,0.221365,0.122617,0.276866,-0.933849,-0.107073,-0.021019,0.811088,-0.976293,0.756623,-0.390305,-0.418494,-0.735114,-1.485768,-0.224447,-0.919714,0.226109,0.483551,0.83159,-1.082562,0.681353,0.073586,-0.052656,-0.384246,-0.262609,0.693445,0.076415,-0.236602,0.444655,-0.938028,-0.136583,0.033184,-0.321253,0.117006,-0.155693,0.503645,-0.20393
theorem,0.493115,0.227009,0.380143,-0.494858,-0.500683,-0.144347,0.413709,0.904672,-0.684884,-0.015226,0.746228,-0.184071,-0.467092,1.058176,0.768112,1.773133,0.128804,-0.627382,-0.01655,-0.724603,0.664218,1.175213,-2.083098,-1.143234,-0.400118,0.719635,1.115289,-0.626869,0.783908,-0.859711,-0.246569,-1.110715,1.233107,0.76548,-0.805282,1.051553,0.184948
