word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
number,0.167776,0.560669,-0.867441,-0.55775,0.498367,0.076577,-0.397379,-0.161626,0.913434,-0.608622,0.595741,0.800355,0.903374,0.285052,-1.004189,1.072322,-0.88149,-0.295028,0.282477,0.070897,-0.285842,-0.697027,0.12225,0.157496,0.985941,0.002947,-0.256729,0.301595,0.610051,0.814562,-0.198948,0.146314,-0.222925,-0.523575,-0.152495,0.648594,-0.832027,-0.303853
function,-0.024486,0.292414,-0.158474,-1.334882,0.047877,0.197498,-0.590739,0.021512,1.027471,0.001454,0.188363,0.098759,0.700318,-0.113141,-0.22241,2.148328,-0.493951,0.764347,-1.170682,0.375149,0.292076,0.22221,-0.512964,0.136974,1.146369,-0.179216,0.510516,-0.865549,-0.034678,0.418065,-1.734432,0.224205,0.161346,-0.542025,-0.350857,0.49459,-1.075154,1.540579
one,-0.093988,0.619498,-0.08809,0.003115,0.437115,-0.10847,-0.29701,-0.49424,0.711707,-0.438475,0.735317,0.404641,0.617812,0.123108,0.141088,1.275377,-0.898791,-0.365916,0.323181,0.469576,-0.415639,0.038348,0.07579,-0.134712,0.220781,-0.244474,-0.12563,-0.140786,-0.146989,0.390395,0.167554,0.314633,-0.035791,0.287222,-0.318104,0.638309,-0.520343,-0.174662
set,0.295822,0.486708,-0.46907,-0.208568,0.279568,-0.197632,0.323588,-0.627551,0.88061,-0.03655,0.700717,0.363577,0.635245,-0.014747,-0.13864,1.093073,-0.962508,-0.445941,0.198591,0.434729,-0.112265,-0.302644,-0.24659,0.420534,0.170708,0.33657,0.303331,-0.553781,-0.241015,0.235152,-0.507475,0.156545,0.009684,-0.191403,-0.194992,0.819864,-1.0658,-0.162611
group,-0.000346,0.863599,0.222143,0.321451,1.073709,-0.102934,-0.400803,0.277817,1.046796,0.031549,-0.146931,0.161737,0.575614,-0.109752,-0.859957,0.905939,-0.534844,-0.155282,-0.059988,0.841198,0.634787,-0.007715,0.541244,0.147132,0.73964,-0.02828,-0.068226,-0.274042,-0.859068,0.854262,0.744888,0.702523,0.270056,0.210985,-0.202318,-0.159932,-0.352763,0.628122
space,0.439844,1.113033,-0.722143,-0.355504,-0.035863,-0.345937,-0.122994,-0.516939,1.390393,0.247019,0.699566,0.750674,0.812408,-0.252166,-0.739752,1.018349,-1.668765,-0.823909,-0.229037,0.005081,0.416148,0.572102,0.160074,0.318433,-0.166281,-0.175299,0.859891,-1.097545,-0.318594,-0.494058,-0.509839,0.178797,0.158055,-0.450451,-0.14121,-0.157151,-0.283485,1.309315
two,-0.263332,0.633118,-0.069619,0.07175,-0.14205,0.268304,-0.383287,-0.089947,0.713442,-0.623124,0.750807,0.648404,0.763994,0.042821,0.19808,1.303231,-1.193024,-0.360275,0.380616,0.527849,-0.230809,-0.3696,-0.072681,0.0109,0.280641,-0.338244,0.086095,-0.214167,-0.216193,0.466772,0.362982,0.429679,-0.185916,0.479756,-0.248778,0.178726,-0.583102,-0.302099
theory,0.37232,-0.139405,0.184471,-0.11777,1.115747,0.039485,-0.055964,-1.41932,0.989385,0.915713,-0.201814,0.677974,-0.362307,-0.43226,-0.865381,0.985211,-0.22207,0.517061,-0.381549,0.355611,0.441245,0.737495,-0.625033,0.45035,0.538677,-0.664134,1.48186,0.938854,0.761102,-0.289138,-1.028928,-0.389801,-0.615346,-0.195479,-0.652222,0.935355,-0.882837,2.580769
point,0.20599,0.408862,-0.247581,0.092421,-0.38587,0.468946,0.850036,-1.134605,0.330823,-1.345448,0.996961,1.150787,0.248887,-0.101926,-0.117281,1.193823,-1.080834,-0.166097,0.272127,0.080535,-0.068025,0.373647,0.483141,0.166932,0.573324,-0.663466,0.078359,0.19538,-0.124546,0.628108,-0.147467,-0.01948,-1.000076,0.080608,-0.178634,0.169645,-0.447481,0.104036
theorem,1.142566,0.23467,-1.601085,-1.155394,-0.335867,-0.037081,0.12138,-1.830734,-0.95617,-0.004738,0.514464,0.607984,-0.167005,-0.578859,-0.712635,1.087121,0.259158,0.602392,-0.542164,1.449611,-0.093182,0.398689,-1.402146,1.331656,0.781735,0.521907,2.461143,0.243763,0.932443,-0.015744,-1.436902,-0.044115,-0.467779,-0.35296,-0.755609,-0.634912,-1.530845,2.314302
example,0.398118,0.514188,-0.295342,-0.323517,0.377407,0.412043,-0.241831,-0.332075,0.56729,0.498468,0.375043,0.117095,0.325519,0.056942,-0.71027,1.957879,-0.486963,0.194794,-0.339699,0.322568,-0.029743,0.058533,-0.003132,-0.272259,0.823781,-0.268936,0.336802,-0.195981,0.388967,0.158826,-0.915788,-0.182782,0.391107,-0.175477,-0.263937,1.175959,-0.377708,0.42382
form,-0.112288,0.765736,0.239127,0.39031,0.121693,0.720488,-0.96932,-0.202846,0.42726,0.430945,-0.130453,0.039234,0.292909,-0.137366,-0.2028,1.846845,-0.977455,0.107256,-0.420288,0.743584,-0.052099,-0.355954,0.689324,0.186378,0.553963,-0.479327,0.283396,-0.039382,0.259351,0.443987,-0.109448,0.518068,0.242824,0.218413,-0.29687,0.531209,-0.279906,0.426334
define,0.20914,0.421071,-0.509307,-0.375632,-0.060317,0.577524,-0.025003,-0.661678,0.638153,0.039944,0.247082,-0.077628,0.388476,-0.483874,-1.107795,1.643663,-0.20274,-0.057108,-1.082754,0.43022,0.171519,0.303057,0.40255,-0.224024,1.452324,-0.834719,0.652171,-0.295672,0.270583,0.318471,-1.145689,-0.218941,-0.090378,-0.43334,-0.183258,0.852304,-0.811764,1.295196
graph,1.125851,0.058864,-1.395952,-0.991744,-1.383374,0.060205,1.104492,-0.53838,0.4115,0.050019,0.795942,0.726883,0.442,-0.274306,-0.973001,1.552995,0.66805,0.471867,-0.465436,0.468317,-0.175645,0.010275,-0.198463,1.177003,0.642477,0.139267,1.733838,-0.27895,0.937589,0.397249,-1.508528,1.077074,0.445523,-0.628859,-0.565867,0.152785,-0.653951,2.412153
value,0.18613,-0.224625,-0.463793,-0.281119,1.052533,0.551912,0.218757,-0.802895,0.600029,-0.367715,0.405997,0.363096,0.941118,0.154496,-1.725212,1.794924,0.032434,-0.69892,-0.412191,0.292344,-0.310106,0.626495,0.42299,-0.195393,0.754296,-0.506726,0.241331,-0.016719,0.301781,0.316854,-2.096167,-0.641119,-0.255546,-0.715663,-0.193376,0.478342,-0.441515,0.613754
problem,0.17302,-0.366307,0.077656,-0.671139,0.955808,-0.317769,0.263343,-1.020297,1.442445,-0.468109,0.252204,0.364632,-0.570006,-0.466211,-0.07985,1.588794,-0.505231,0.678735,-0.402499,-0.003322,0.098589,0.572826,-0.243204,0.433887,-0.072573,-0.299548,0.624861,0.23021,0.249481,0.376222,-0.990442,-0.652758,0.256131,-0.417132,-0.211644,0.37127,-0.881508,0.747343
mathematic,0.377085,-0.688369,-0.791429,-0.901499,0.453137,0.502956,-0.715863,-1.130846,0.47488,0.80276,-0.452675,1.933866,0.477095,0.957378,-0.309823,0.246995,0.817068,0.183773,-0.487693,-0.371406,-0.532032,-0.184049,-0.339968,0.176001,-0.184938,-0.334969,1.223471,0.339765,-0.490824,0.050359,-0.931551,-0.301468,-0.839996,0.296017,-0.898421,0.480801,-0.86806,2.395356
