word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
number,-0.590644,-1.044751,0.364312,0.626897,0.55942,0.245823,0.871925,0.389421,-0.101354,-1.339846,-0.583443,1.15527,-0.231252,1.48433,0.688188,-0.828008,1.301277,0.794468,1.456121,-0.13541,-0.146548,3.408016,0.09072,-2.439952,-0.650071,-0.206365,-0.036458,0.10918,-0.089962,-0.523229,-0.273898,-0.86624,0.47186,-0.462199,0.83299,0.609491,1.091029,1.359849
function,0.213465,-0.936084,-0.808533,-0.399097,-1.189053,1.821107,-0.455887,-0.767901,-0.750919,0.156245,0.309638,-0.307752,0.386309,0.477842,0.836306,-1.25526,1.835569,0.691703,0.768785,-1.055422,-0.746808,3.82616,-0.392211,-1.260958,0.788024,0.370282,-0.262391,0.592173,-0.184945,0.037191,-1.406349,-0.628093,1.134636,-0.696912,-0.333933,0.297446,-0.051632,0.124402
one,0.3213,0.138151,-0.315635,-0.0401,0.133058,-0.217039,-0.175669,0.192513,0.029889,-0.202166,-0.391983,1.972435,0.216286,0.619489,-0.2583,-0.862245,0.463396,0.345245,0.540885,-0.033833,-0.474892,3.321046,0.211819,-2.311404,-0.223285,0.663564,-0.111847,-0.201372,-0.342547,0.298431,-1.024426,0.320371,0.497117,0.03463,-0.03667,0.154548,-0.606685,0.716728
set,0.044463,-0.619881,-0.635331,-0.70393,-0.304991,-0.402045,0.347716,0.808686,-0.219594,-0.199214,0.197265,1.325011,0.409011,-0.085187,-0.130314,-0.289779,1.29181,1.367689,0.368472,0.130854,0.749161,3.907518,1.185108,-1.975099,0.620558,0.285215,0.297129,1.38604,0.282892,0.160834,-1.026858,-0.933951,0.312928,0.067259,0.236817,-0.644714,1.110275,0.388575
group,0.421426,0.371583,1.628314,-0.133151,1.46276,-0.239991,-0.063739,0.592199,0.183969,-0.062995,-0.357973,0.580641,0.12327,1.866864,-0.996837,-1.192025,-0.182476,-0.88484,-1.523231,0.497345,0.267054,3.515495,-1.095554,-1.613899,1.249797,-0.572299,-0.677214,-0.168061,-0.467805,1.462079,-1.85511,-0.471918,-0.220917,0.387268,-0.28309,0.238308,0.98275,0.784062
space,-0.06213,0.164228,-0.057137,-0.583222,0.334957,0.8267,0.317551,1.14249,0.048014,0.656793,-0.887188,1.915968,1.05379,0.213712,-0.521792,-1.537029,0.395419,0.247169,-0.26443,0.179557,0.881339,3.575084,-0.661924,-1.032853,0.585064,0.46355,-0.714373,0.837894,-0.620714,0.087246,-1.741933,-1.560205,1.019821,1.399768,-0.487685,-0.227373,0.006299,-1.033318
two,0.401826,0.444625,-0.161222,-0.118248,0.444821,0.057527,0.014206,0.189826,0.117459,-0.506198,-0.140018,1.738414,0.294479,0.895969,-0.6885,-0.980751,0.683296,0.379274,0.599861,0.2246,-0.26238,3.524869,0.336236,-2.189413,-0.444308,0.826099,0.69429,0.322323,-0.68285,0.264465,-0.682896,0.629149,0.417287,0.496341,-0.309494,-0.049605,-0.498062,0.438995
theory,0.140145,-1.160726,-0.156059,-0.223945,0.401729,0.33577,-1.228001,0.975851,0.147513,-0.032949,-0.11661,0.046287,1.092827,0.203413,-0.051416,-0.89207,0.086181,-0.095001,-0.865024,0.584732,0.497959,3.877018,0.196885,-1.404311,-0.862268,0.014248,-0.542313,-0.115369,0.14385,1.27257,0.096012,-1.448733,0.990897,-1.197653,0.584514,-0.023342,1.58723,0.702538
point,-0.099228,-0.059475,-0.467121,-0.323223,-0.12839,0.16447,0.355244,0.562938,1.469542,0.158679,1.34839,2.05145,-0.960341,0.467591,-0.494628,-0.907664,0.041146,0.541781,0.453657,-0.430499,-0.010839,3.644312,-0.437037,-2.197246,-0.189535,0.814937,0.895179,0.783354,-0.24502,0.368999,-0.66653,-0.520324,0.469221,0.766606,-0.220711,0.456129,-1.004834,-0.5133
theorem,0.596235,0.032326,1.438321,-1.673355,0.127895,0.30268,-0.343428,0.061004,-0.515791,0.312305,1.444269,1.113589,0.327106,-0.161991,-0.3861,-1.607301,0.537144,-0.493665,-0.417478,-1.08916,0.666944,3.089863,-0.28635,-1.463768,-1.760966,0.531062,-1.141439,1.090238,-0.168111,-0.246332,-0.108211,-1.052363,0.875904,-0.77858,1.068212,0.351797,0.095262,0.933563
