word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
number,0.152995,-0.31027,-0.2079,-1.395352,0.182752,0.978113,0.84234,-0.305624,0.299948,-0.587596,-0.567584,-0.080763,-0.129697,-1.049848,-0.54161,-0.343173,0.699244,-0.151779,0.052711,0.045738,0.248832,-0.051708,0.113931,0.478591,0.250659,0.296214,-0.348209,-0.501657,-0.622159,-0.35485,-0.108417,-0.390762,0.164415,0.65329,1.129323,-0.894206,0.159778,0.409544
function,-0.038246,0.497813,0.411937,-0.692683,-0.380699,-0.056494,0.686144,-0.056705,0.242862,-1.695046,1.511442,-0.064917,0.050981,0.120152,-1.682925,-0.365506,0.577253,-1.335527,0.250787,-0.736668,0.624025,0.122818,0.889283,0.292467,1.067738,0.332176,0.193771,-0.235779,-0.986197,0.098753,-0.611269,0.123131,-0.903536,-0.030735,1.24039,-0.729314,0.315871,0.025443
one,0.436224,-0.197207,0.004473,-1.28486,0.412664,0.587329,0.067312,-0.266617,0.278872,-0.096706,-0.174436,-0.032877,-0.374961,-0.331442,-0.379278,0.207904,0.655689,-0.184576,-0.462488,-0.08407,0.16199,0.155167,-0.12479,0.593748,0.379989,0.53292,-0.234887,0.214345,-0.376728,-0.808645,-0.123575,0.393154,-0.273845,0.431171,0.633741,-0.41278,0.492442,0.109168
set,0.144871,0.291656,-0.178861,-1.256973,0.449391,0.419716,-0.030466,-0.651211,0.463414,-0.175703,-0.154297,0.520577,0.327091,-0.707087,-0.6679,0.158698,0.336803,0.04387,0.054582,-0.200539,0.127621,0.305017,-0.360976,0.005417,0.632714,0.326439,-0.248896,0.143014,-0.565542,-0.788,-0.197516,0.187808,-0.382422,0.423944,0.942574,-0.237919,0.084474,-0.107657
group,-0.003719,0.060174,0.745581,-1.412552,1.092236,0.489721,-0.419142,0.072615,-0.28208,-0.782762,0.517167,0.067626,-0.796247,-0.533056,-0.314658,0.005551,0.15597,-0.46057,-0.699481,0.221697,0.326566,0.48591,0.137917,0.377684,0.174301,-0.421593,-0.612814,0.104915,-0.367936,0.363303,0.547453,0.175645,0.056404,0.149331,0.185162,-0.778027,-0.205434,0.155973
space,-0.329285,1.39607,-0.972343,-1.126224,0.724864,0.340301,0.279157,0.244861,0.432556,-0.456248,0.757597,0.556982,-0.484763,-0.52584,-0.619007,0.830565,0.080358,-0.900921,0.288974,-0.24516,0.386012,0.897776,-0.06488,0.077324,0.33495,0.22625,-0.070251,0.492148,-0.486463,0.003591,-0.888882,0.48824,0.236785,-0.22032,1.314552,-0.370625,0.116849,-0.42391
two,0.399955,-0.079142,0.37959,-1.594667,0.298703,0.898525,0.282239,-0.261174,0.474904,-0.147223,-0.179587,-0.021182,-0.398222,-0.431109,-0.22504,0.958535,0.646353,-0.105168,-0.222225,-0.095755,0.307662,0.260616,-0.202285,0.188656,0.326731,0.551252,-0.04026,-0.168805,-0.483329,-0.728671,-0.009884,0.35657,-0.168739,0.304305,0.645199,-0.101587,0.546617,0.289992
theory,0.046018,0.623168,-0.211723,0.517493,-0.16191,-0.748,0.511929,-0.422761,0.075399,-1.318282,0.044993,1.358189,-0.065788,-0.191569,-1.009645,-0.669646,0.242909,-1.558927,0.406829,-0.256753,-0.192016,1.000005,1.220989,1.399779,0.094211,0.572687,-0.231566,0.065258,-1.731294,-0.104941,0.333844,0.840865,-0.066569,-0.424979,0.612245,0.184255,-1.624362,-0.906227
point,0.571172,-0.59398,-0.132685,-0.871406,-0.116374,0.66169,0.2996,0.289666,0.908114,-0.717825,-0.823952,0.34411,-0.596659,-0.392384,-0.544498,0.7331,1.130062,-0.61978,0.157061,-0.230444,-0.494778,0.774886,-0.161137,0.415436,-0.075785,0.228013,-0.592926,-0.297757,-0.326716,-0.937515,-0.482752,-0.27655,0.647557,0.121663,0.940545,0.693761,0.394552,-0.272672
theorem,-0.820528,-0.128971,-0.354489,1.116741,-1.064587,-0.905673,1.025041,0.175816,0.568402,-0.591404,0.876015,1.272974,1.24169,-0.197381,-0.9355,0.348699,0.253099,-0.514771,1.270717,-0.428003,-0.857855,0.671102,2.720393,0.29881,0.066393,1.517228,-0.773493,0.250831,-1.120603,-0.423619,-0.10757,0.066756,-0.568823,-0.040364,-0.016168,0.963532,-0.395196,-0.023265
example,0.256198,0.058937,0.026444,-0.592267,0.172255,-0.211005,0.596109,-0.449487,-0.340776,-0.819878,-0.084465,0.344142,-0.239769,-0.590004,-1.015435,-0.639026,0.118388,-1.307328,-0.305447,-0.563456,0.017257,-0.193019,0.728533,0.203908,1.06882,0.499108,-0.040477,0.075964,-0.304583,-0.510121,-0.270543,0.444426,-0.29877,0.481157,1.251773,-0.322365,0.139002,0.210722
form,0.440567,0.234216,0.871253,-1.201988,0.07727,0.141134,0.157557,-0.167153,-0.130373,-0.950378,0.149368,0.240744,-0.569332,-0.33054,-0.48768,-0.207469,-0.094428,-0.918686,-0.47444,-0.372612,0.520999,0.099757,0.669738,0.359336,0.4078,0.478839,-0.127189,-0.156308,-0.40393,-0.359539,0.511912,0.969041,0.079519,-0.343829,0.919158,-0.365391,0.787075,0.252121
define,-0.054319,-0.063088,-0.150353,-0.246308,-0.10343,-0.105898,0.583958,-0.404171,0.168374,-1.626913,0.363681,1.008342,-0.40641,-0.540213,-1.223551,-0.795255,0.325839,-1.600485,-0.287081,-0.807525,-0.15458,0.245107,0.806347,0.244894,0.129578,0.271348,-0.097924,-0.649427,-0.429127,0.022682,-0.666522,0.359687,-0.132985,0.031033,1.061121,-0.234463,0.152796,0.264037
graph,-0.608176,0.445534,-0.174699,0.501446,-0.596341,-0.293188,0.625663,0.160442,0.964113,-1.033127,0.601813,1.382193,1.084196,-0.137506,-1.101785,-0.231394,0.512182,-0.776381,0.950526,-1.025546,0.551953,0.146729,2.240676,-0.508943,0.227159,0.559269,-0.651102,0.026897,-0.25785,-0.00524,-0.733323,-0.484004,0.620305,0.065824,1.214498,0.746103,-0.206791,-0.20769
value,0.656777,-0.514155,-0.532781,-0.062976,0.57182,-0.072124,1.290803,-0.290432,0.063126,-0.860046,0.20387,0.853003,-0.044813,-0.556892,-1.006094,-0.46436,0.454392,-1.510645,0.257877,-0.483882,-0.680473,-0.271665,0.756853,0.645758,0.323917,0.293891,-1.63196,-0.465861,-0.595549,-0.022642,-1.164731,-0.167263,-0.404016,0.275272,1.426728,-0.797431,0.1057,-0.126796
problem,0.610898,0.011069,-0.052163,-0.279069,-0.388116,-0.496156,0.081122,-0.603184,0.732071,-0.249447,0.156882,0.177871,0.297618,-0.165865,-1.024421,-0.388037,1.109174,-1.657202,0.039595,0.126459,-0.404069,0.600497,0.178731,0.568327,0.752763,0.081821,-0.08046,0.527503,-1.475815,0.438644,-0.26809,-0.0828,-0.493869,-0.458698,1.157652,0.044954,-0.447118,-0.201591
mathematic,0.562041,1.360781,-0.503954,0.373883,-0.413014,-0.163619,0.438899,-0.112484,1.09938,-1.031413,0.521972,0.66755,-0.333291,0.449605,0.093118,-0.553732,1.059672,-0.18214,0.451013,-0.23261,0.544641,-0.119965,1.313678,0.792508,0.34694,1.952513,-0.542373,-0.614775,-0.552132,-0.288541,-0.72867,-0.033153,0.134166,-0.903911,-0.267907,-0.402809,-2.079465,-0.662901
order,0.486858,0.097809,-0.012909,-0.761942,0.503197,0.517941,0.249723,-1.108421,-0.502009,-1.282143,0.332203,-0.248168,0.042957,0.241894,-0.529972,0.176534,0.940807,0.067235,-0.418437,-0.211656,-0.012869,0.028887,-0.639502,0.522983,0.058422,0.297765,-0.023505,0.063815,-0.774357,-0.011395,0.036957,0.488016,-0.880138,0.289701,0.420627,-0.273575,0.807122,0.321288
equation,0.127525,0.247939,0.045691,1.211132,-1.287264,-0.149968,2.377149,0.046626,0.456424,-0.867464,1.588203,1.236575,1.154406,-0.300047,-1.397029,0.885079,0.154239,-1.367324,0.352407,-0.021382,-0.208009,0.7895,1.958002,0.794786,0.029723,1.41064,-0.9845,0.356197,-1.100647,-0.426355,-0.519793,0.290874,0.057996,-1.057828,0.626694,0.807447,-0.790705,-0.218496
first,0.431088,0.023749,0.420513,-1.232667,0.634858,0.853571,-0.355067,-0.236058,0.183284,-0.323026,-0.206583,-0.092943,0.162572,-0.382254,0.171108,0.375595,0.69024,0.21524,-0.206331,0.101507,0.382885,0.325161,-0.505622,0.765821,0.450071,0.407833,-0.337752,-0.121241,-0.390207,-0.967065,0.021752,0.015469,-0.504639,0.193173,-0.017116,-0.08063,-0.301244,0.449009
vector,-0.554671,-0.364155,0.040503,0.11349,-1.000027,0.190384,1.187953,0.421987,0.200822,-1.44857,0.979221,0.504749,1.012945,-0.138337,-1.189973,0.630552,0.01737,-0.785344,0.079819,-0.903818,0.832213,0.571306,1.814618,-0.104321,0.555034,0.109347,-0.310235,0.478399,-0.780931,0.287395,-1.344328,-0.125892,0.418759,-0.261298,1.639708,-0.196452,-0.286978,-0.30886
algebra,-0.433125,1.130172,-0.068118,1.0062,-1.189256,-0.622664,0.653956,0.228978,1.075824,-1.097352,0.625588,0.820403,0.275686,0.042576,-1.56472,0.234291,0.720542,0.586141,0.897782,-0.699296,0.540787,0.439967,2.323281,-0.201554,0.644058,1.656848,-0.618507,-0.71266,-0.733952,-0.075473,-0.722121,0.253909,0.608157,-0.914955,0.125184,-0.588755,-1.039324,-0.169812
$\mathbb{N}$,0.043465,-0.019581,1.19555,-0.370201,-0.587226,-0.18812,1.179958,0.41245,-0.346231,-0.804096,0.791044,-0.378611,0.124996,-1.464781,-0.919579,0.751452,-0.418326,-0.046195,-0.05658,-0.1002,-0.109998,-0.225633,0.400748,0.22303,-0.101755,-0.357295,-0.211461,0.022721,-0.09649,-0.740572,-0.395216,-0.11537,1.440247,0.71668,0.233921,-0.549924,0.001375,-0.06524
field,0.064118,0.772137,-0.090697,-1.333867,-0.414135,1.006383,0.398936,0.808258,0.013062,-0.952921,0.198635,0.201228,-0.404618,0.297888,0.110073,0.083612,1.301453,-0.659228,-0.489147,-0.104589,-0.024849,0.804977,-0.065629,0.300944,0.366327,0.301496,-0.656203,0.251406,-0.79066,-0.603451,-0.136728,-0.027523,0.56291,-0.592755,-0.108668,0.040045,-0.376006,-0.466672
element,0.038153,1.100323,-0.020695,-0.726549,0.443603,-0.314842,0.609128,-0.112497,-0.377518,-1.116001,-0.194909,0.595885,-0.222817,-0.471621,-1.373049,-0.438906,-0.232278,-1.081578,-0.543288,-0.556444,0.4016,0.081739,0.129918,0.199683,0.604089,0.474708,-0.121798,0.300271,-0.210196,-0.580897,0.559562,0.665919,0.025449,-0.188937,1.745696,-0.48383,0.034866,-0.307235
