word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
number,0.044607,-0.910033,-0.013764,1.250938,0.885075,0.27528,0.094181,-0.278599,-0.400313,-0.232769,0.665761,-0.455019,-0.201625,-0.611067,0.745757,-0.140214,0.364377,-0.164689,0.043137,0.064756,0.48201,0.221902,0.040213,1.47224,-0.236728,0.699661,0.715339,0.512723,-0.448003,0.020901,-0.816459,0.57138,0.302576,-0.451656,0.850752,-0.162045,0.507746,0.137613,0.197638
function,0.404396,-1.062289,-0.390272,1.918741,0.195809,-0.405045,0.13196,-0.645054,0.393942,-0.192521,-0.561427,-0.411293,0.230226,-0.481283,2.072608,-0.02708,0.645256,0.11944,0.580132,-0.213744,-1.241085,0.929043,-0.875075,0.665255,0.889696,0.856189,-0.508635,0.123005,0.274185,-0.174792,0.185261,0.834082,-0.198974,-0.212331,0.247581,0.997702,1.501006,-0.342965,0.366893
one,0.138924,-0.91012,-0.021928,0.653794,-0.050845,0.002229,-0.114876,-0.112722,0.31968,0.027458,0.399342,-0.733008,-0.373523,-0.226244,0.428859,0.112083,-0.317944,-0.074407,-0.236785,-0.059782,0.23235,0.164638,-0.281972,1.279315,0.061921,0.182342,0.409695,-0.150195,-0.167816,-0.249795,-0.776461,-0.151346,-0.158623,-0.128975,1.158921,0.016952,0.156113,-0.11663,-0.292023
set,0.612684,-0.847312,-0.485771,1.032273,0.39354,0.129257,0.097235,-0.550923,0.09747,-0.373378,-0.256114,-0.3713,-0.036785,-0.09475,0.7384,0.407333,-0.244483,-0.286256,-0.354615,-0.00417,0.132392,-0.150951,-0.565445,1.443423,-0.042119,0.542973,0.592383,-0.274383,-0.445204,-0.068073,-0.504979,0.222345,-0.00768,0.248422,0.520763,0.137048,0.282201,0.02688,-0.143676
group,-0.511037,-0.524555,0.003415,1.563156,0.084662,0.248221,-0.063259,-0.227787,0.665097,0.245256,-0.165927,0.076209,0.666116,-0.616137,-0.151552,0.057115,-0.241853,-0.310091,-0.477854,0.877402,-0.574457,0.388767,-0.695136,0.552617,0.462268,0.001497,0.610347,-0.153017,0.48454,0.303889,-1.029979,0.896152,-0.131064,-0.578083,0.970644,-0.031084,-0.360032,-0.33567,-0.397755
space,-0.131967,-0.833827,-0.898585,1.802809,0.245537,0.48919,0.627813,-0.344368,-0.258199,-0.507104,-0.182333,-0.441455,0.956589,0.379955,1.000023,0.796806,-0.73242,-0.464926,-0.559844,-0.153371,-0.292071,0.09062,-0.168738,0.674807,1.160134,1.617407,0.889888,-0.400734,0.495175,0.098087,-0.315403,0.289674,-0.463655,0.444261,0.314963,0.938464,0.055405,-0.316844,0.261246
two,0.164312,-0.886631,-0.134299,0.978291,0.23038,-0.118163,-0.16113,0.00229,0.29919,0.127426,0.414129,-0.583602,-0.357889,-0.604575,0.40858,0.00368,-0.902215,-0.419959,-0.153171,-0.183451,0.130932,0.133558,-0.166964,1.46787,0.14149,-0.262433,0.738576,0.198987,-0.123144,-0.060644,-0.876339,-0.409212,-0.064912,-0.024624,1.023409,0.090157,0.034339,-0.295947,-0.051554
theory,0.421428,-0.801519,-0.411416,1.335789,1.223095,0.062151,0.113473,-0.319672,-1.121103,0.976136,-0.532121,-0.511621,-0.18659,0.966598,0.223657,0.350913,1.182579,0.250476,-0.089281,-0.418471,-0.911928,1.054537,-0.924084,0.660418,1.52357,1.249152,-0.432198,-1.096991,1.144739,0.039988,-0.329087,0.81414,-0.048879,0.071218,-0.640352,-0.474582,1.238089,-1.044365,-0.690649
point,0.078714,-1.065371,-0.242099,0.835239,1.476768,0.250724,0.23588,0.185466,-0.021189,0.217697,-0.158804,-0.942626,-0.8909,0.447298,0.950902,-0.266608,-0.585462,-0.177528,0.425645,-0.239787,0.688534,-0.138493,0.023684,1.197567,0.719492,0.187183,-0.052701,0.159132,-0.618479,-0.134382,-1.212438,-0.117089,-0.046055,0.035094,0.469531,0.178666,-0.676679,-0.437955,-0.327182
theorem,0.881147,-1.019857,-1.019181,0.971473,1.256222,-0.061011,0.357872,-2.314843,-2.014953,-1.080463,-0.730177,0.006693,-1.240925,0.775101,1.702213,0.432645,1.473729,-0.649812,0.754177,-0.666267,-0.2224,1.221745,-1.788444,-0.436268,1.098469,0.898465,-0.385384,-0.635402,0.363108,0.436523,-0.450866,-0.697643,0.158495,-0.267202,-1.368887,0.483667,0.898375,-0.792822,0.14271
