word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
number,0.627782,-1.019056,-0.228077,-0.543953,-0.465259,-0.161262,-0.272461,-0.67072,3.319956,-0.177316,0.684943,-0.185244,1.235897,1.856372,-2.340779,0.564999,-0.626287,-0.406048,-0.868835,-0.235763,-0.469548,-0.006654,0.963185,-0.477915,0.662015,-0.92122,-0.301431,-0.06184,0.41427,-1.555032,0.994442,-1.231891,-0.104405,0.048438,0.241825,-1.083493,-0.561707,-0.477594,0.280183
function,-0.722369,-0.636583,-0.591189,0.056037,-0.233657,-0.94761,0.134623,0.008898,3.145395,1.11011,-0.446742,-0.275833,1.982659,1.210389,-0.995161,-1.558317,-0.071052,0.343232,-1.379078,0.769318,-0.200753,1.004361,1.398392,-1.381114,1.239586,-0.915469,-1.290734,-0.979909,0.479604,-0.719788,-0.124617,-0.587479,0.613647,-0.653463,0.038731,-0.045057,0.833859,-1.575481,-0.283455
one,0.413854,-0.174572,0.031181,0.25488,0.368754,-0.562491,-0.142328,1.074527,3.773897,-0.238247,-0.16353,0.071867,0.610188,0.652379,-1.887141,0.483723,0.071506,0.074043,0.301624,0.448042,0.484879,-0.1425,1.163257,-0.345418,0.336326,-0.568489,0.035046,-0.497377,-0.026686,-0.763901,0.704457,-0.551584,0.038413,-0.250291,-0.065943,-0.261756,0.061371,-0.713924,-0.236602
set,0.51322,-0.394791,-0.333768,0.888822,-0.463211,0.715919,0.573503,0.796992,3.349022,0.275696,0.895738,-0.671415,0.427312,0.985375,-1.696812,0.08908,-0.045364,0.003089,-1.049643,1.884705,0.263524,-0.73276,1.610601,-0.142303,0.931931,-0.691653,0.232881,-0.117832,0.377079,-1.226222,0.842795,-0.735175,1.559799,0.698626,0.07659,-0.921884,0.647908,0.007931,0.03757
group,-0.406174,0.627083,0.54117,-0.64142,0.525666,-1.205206,0.282262,1.811431,3.536501,-1.058046,-0.094843,0.199723,1.392853,1.473115,-0.577347,1.355559,-0.425056,0.165386,-1.338802,1.795141,-0.965789,0.863288,0.32368,0.760578,0.193547,-0.363014,-0.263432,-0.139345,-0.21736,-0.397239,0.531019,0.93891,-0.962577,1.31139,0.127224,-0.305653,-0.994221,-0.526441,1.557917
space,-0.000628,1.793382,-0.580398,0.976659,-0.234082,-0.8714,-0.118055,1.308206,2.755399,-0.161955,0.152067,0.184429,0.816937,1.756991,-1.325966,0.42632,0.154849,-0.411833,-0.210338,2.157434,-0.01926,-0.471141,2.155406,0.391184,1.08548,0.452987,-1.132945,-0.343792,0.545432,-0.628174,0.204623,0.397993,1.536984,0.291961,-0.459825,0.615738,-0.462195,-0.994382,0.462171
two,0.567634,-0.109355,0.044703,-0.219544,-0.012466,-0.251057,-0.59265,0.99809,3.930545,0.002605,-0.593517,0.284788,0.736637,0.290347,-1.690313,0.553749,0.110731,-0.018446,0.095955,0.826367,0.678008,-0.530767,1.110775,-0.368043,-0.053388,-0.279877,-0.378366,-0.356909,-0.562593,-1.071055,1.051879,-0.207374,0.080771,-0.056754,-0.075561,-0.307365,0.120582,-0.803606,-0.574475
theory,-0.841721,-0.574316,0.437695,0.627951,0.668517,-1.245974,-0.49211,0.748585,2.779647,-0.056927,0.455389,-1.774275,0.784338,1.985004,-0.605003,1.122607,0.531891,-0.401865,-0.362384,1.299349,-0.046076,0.953844,-0.244196,0.268076,0.546526,-1.257489,-0.504376,0.571738,0.482396,-0.864323,0.759256,-0.70241,1.864421,0.708438,0.245098,-0.488388,-0.365505,-0.272281,0.702569
point,1.016286,0.520362,-0.893707,1.215897,-0.848933,-0.280484,-0.790399,0.796005,3.644748,-0.692436,-0.986664,0.470087,0.736751,1.100426,-0.520478,-0.396536,-0.053383,0.160454,0.211468,0.635729,0.514599,-0.54788,1.083293,0.000139,0.750397,0.227622,-0.057194,-0.321397,-0.919052,-1.542282,1.328897,-0.516072,0.4285,-0.645742,0.142263,0.028488,0.461165,-1.01647,0.424066
theorem,-0.013116,1.156776,-0.335059,0.817822,0.135404,-0.972418,-0.8236,-0.342148,3.715178,-1.196026,0.536905,-1.670559,1.494249,1.123014,-0.69401,1.1827,1.164459,0.300239,-1.017318,0.118332,-0.006428,-0.86703,-0.203265,-0.498107,0.798096,-1.080696,-0.078788,0.580252,0.044458,0.364047,-0.614132,-0.365451,0.772049,-0.791751,1.176748,0.298294,0.888826,-0.624624,0.560064
