word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
number,0.008323,-0.13125,-1.008311,-0.019523,0.942398,-0.703666,-0.160336,0.569946,0.992872,-0.099345,-0.254112,-0.286217,-0.435466,0.518383,-0.059007,0.144424,-0.494474,1.026855,0.144119,0.463002,0.389021,0.690675,0.088612,0.41678,-0.219214,-0.124262,0.065505,0.225324,0.426376,0.022123,-0.151117,-0.741266,0.29044,-0.86984,-0.781058,-1.419056,-0.132611,0.112165,0.322028
function,-0.205864,0.57199,-0.174456,-0.230959,0.070466,-0.835145,-0.397263,0.486108,1.320094,0.204068,0.289447,0.102102,-0.249615,1.528286,-0.738606,0.623527,0.123906,0.864955,1.435429,0.307086,-0.627008,0.505831,-0.573509,-0.796402,-0.035812,0.357078,0.27544,1.808985,0.986868,-1.086419,0.216729,-0.464661,0.205177,-0.644755,-0.3872,0.372989,0.858609,0.11119,0.435644
one,-0.063337,-0.156353,-0.723965,-0.141253,0.112593,-0.581095,-0.048881,0.394818,0.455051,-0.254529,0.302569,-0.006105,0.436794,-0.13417,0.186096,0.803832,-0.123775,0.917788,-0.181771,0.213103,0.111536,0.574556,-0.196282,-0.195724,0.115285,0.351411,0.195523,0.364986,-0.055292,-0.054189,-0.326384,-0.45532,-0.046146,-0.653429,-0.756987,-1.111837,0.296627,0.352376,0.006029
set,0.41492,0.298961,-0.567189,-0.177657,0.091564,-0.458095,0.238448,0.415464,0.195362,0.231623,0.431683,0.429816,0.539769,0.139599,0.00708,0.513374,-0.283793,0.999564,0.269956,0.351745,0.435502,0.914536,-0.152039,0.094077,-0.402548,0.141108,0.163079,0.192156,0.572289,-0.12168,-0.084076,-0.605957,-0.199088,-0.835016,-0.38693,-0.987611,0.23775,0.003263,-0.055288
group,0.311162,-0.373341,-0.842846,0.729226,0.440032,-0.572061,-1.168417,-0.447949,0.490859,-0.754317,-0.214828,-0.379286,0.424342,-0.250131,0.110121,0.748829,-0.206829,1.366878,0.039885,-0.38789,0.110355,0.232758,-0.712008,-0.00547,-0.036069,-0.178002,0.496278,0.46763,0.258472,0.003235,-0.1135,-0.089044,0.180958,-0.545181,0.428588,-0.387093,0.16101,0.063516,0.575663
space,0.648178,0.744479,-0.515142,-0.121907,-0.763459,-0.005243,-0.72591,-0.015993,0.282197,0.408266,0.608201,-0.043298,0.412424,0.972261,0.078711,-0.218812,0.488099,1.651869,0.40727,-0.182673,-0.502129,0.941021,-0.365976,-0.523698,-0.220264,-0.419984,-0.043918,0.286216,0.906335,-0.155101,-0.37563,0.191107,-0.01296,-0.521298,-0.209844,-1.241472,1.320542,-0.427396,0.105924
two,0.045605,-0.077592,-0.627389,-0.067835,0.026455,-0.694412,0.156199,0.508066,0.494331,-0.325854,-0.010457,0.150801,-0.050743,-0.313029,0.084875,0.505962,-0.168339,1.458955,-0.119347,0.083139,-0.244639,0.865307,-0.252267,0.090911,0.047841,0.603094,0.464911,0.073384,0.005181,-0.090558,-0.40791,-0.394637,-0.108266,-0.519114,-0.738726,-1.148271,0.686703,0.411815,0.031603
theory,-0.174948,0.962141,0.247187,0.182352,-0.497266,-1.315884,-0.509627,0.074821,0.860751,0.818162,-0.333527,-1.499169,1.986435,1.754467,0.820454,0.62664,0.312437,0.205003,1.269292,0.404306,0.218015,1.169452,0.371732,-0.505995,0.298964,-0.095618,0.188862,0.683043,0.951183,0.343704,0.367552,0.066079,-0.094417,-0.324913,-0.478935,1.155256,0.446001,-0.396457,0.361379
point,0.361798,0.527499,-0.598778,-0.641751,-0.764214,-0.555177,-0.016111,0.026812,0.932026,0.164462,-0.131911,-0.927689,-0.307035,-0.677164,-0.007024,0.096449,-0.278154,1.030333,0.009853,0.392111,0.617439,1.214948,0.243153,-0.079759,0.128501,0.176499,0.258028,-0.060571,-0.081932,0.086724,0.616475,-0.118257,-0.358073,-0.15234,-1.640023,-1.106908,0.416958,0.251425,-0.235064
theorem,-0.933268,2.075376,1.009575,-0.265057,0.487444,-0.489944,0.146001,-0.015531,0.647237,0.582659,1.219195,-0.379278,0.335609,1.343219,0.505554,0.097443,1.102878,-0.683681,1.416927,0.148147,-0.328319,0.752753,0.810741,-0.314586,-0.342528,-0.09266,0.34447,0.024243,0.80124,0.486584,1.314164,-0.75334,0.215587,0.775222,-1.190714,1.42336,1.363605,-0.146065,-0.758714
