word,1,2,3
number,-1.932312,-1.40684,0.382234
function,-1.763986,-0.118318,2.234303
one,-1.286905,-2.585969,0.413563
set,-0.957328,-1.784738,0.668408
group,-1.242158,-1.760367,0.226646
space,-1.589822,-0.962858,1.213044
two,-1.634171,-2.267378,0.047218
theory,0.04234,-0.622038,2.255783
point,-1.774345,-1.436002,0.152016
theorem,0.89623,1.026709,2.375804
example,-1.403614,-1.207043,1.782035
form,-1.585513,-1.623844,0.934892
define,-1.557379,-0.408359,1.988119
graph,-0.436221,1.190744,2.267702
value,-1.818087,-0.700714,1.960084
problem,-0.97839,-1.16778,2.059832
mathematic,-0.058938,0.214846,0.905265
order,-1.233975,-1.826162,0.366384
equation,-0.213463,1.036362,2.407574
first,-0.961613,-2.572579,-0.58638
vector,-1.312846,0.995541,2.425582
algebra,-0.064235,1.267447,2.122454
$\mathbb{N}$,-0.811872,0.136843,0.234716
field,-1.337859,-1.444362,0.067576
element,-1.28245,-0.91885,1.970477
system,-2.61799,-1.022026,1.185548
matrix,-0.896777,0.638048,2.200906
mathematical,-0.018406,0.238734,1.524493
method,-1.154985,-0.551729,2.366291
finite,-0.807337,1.064385,2.755158
result,-1.821745,-1.799566,0.744966
vertex,-1.23458,1.790268,1.843623
term,-1.109543,-1.685232,1.391547
line,-1.99876,-1.388313,-0.219201
model,-1.364165,-0.749852,0.956961
real,-0.373962,-1.791573,0.912541
property,-1.64096,-1.093816,0.824172
geometry,-0.360133,0.903351,1.996024
complex,-1.726796,-0.631372,1.24304
linear,-2.198037,0.862317,1.542169
polynomial,0.099747,1.347903,2.798256
algorithm,-0.477575,0.879743,2.435819
mathematician,1.739631,0.26075,-0.41106
definition,-1.20752,-0.260645,2.263527
product,-2.232954,-0.839146,1.400766
state,-1.248047,-2.399762,-0.315541
sequence,-0.912836,-0.377028,2.144219
distribution,-1.910676,-0.245796,1.048594
variable,-1.834224,0.389716,2.379021
solution,-1.617598,-0.255432,2.128971
square,-1.756706,-0.420651,-0.555791
map,-1.458196,-0.358978,0.194404
class,-1.524201,-1.232152,-0.233963
integer,-1.194191,1.303771,2.231985
mean,-1.307807,-1.497031,1.489812
proof,-0.197598,-0.359701,2.072896
three,-1.370625,-2.271208,-0.169807
dimensional,-0.959161,0.718778,2.672402
zero,-0.892962,-0.294706,1.599459
algebraic,0.06939,1.14631,2.551126
formula,-0.694531,0.180855,0.902744
ring,-0.486732,-0.806415,1.099013
edge,-1.34654,-0.730814,0.888692
sum,-0.85301,-0.026189,1.455521
plane,-1.343107,-0.349016,1.038568
analysis,-0.920856,-0.573315,1.922551
dimension,-1.069848,-0.053805,1.802432
curve,-1.432422,0.686848,1.382526
type,-2.369415,-0.542477,1.111708
operator,-1.376076,-0.021825,0.853514
prove,-0.354161,-1.325848,1.56301
probability,-0.948811,0.625412,2.464633
structure,-2.237252,-0.786885,0.763077
representation,-0.786573,-0.381038,1.592176
series,-0.356133,-2.133646,0.041263
prime,-0.00213,-1.101855,-0.149288
measure,-2.459886,-0.644757,1.47604
equal,-1.56986,-0.625457,1.280049
lie,-1.035473,-1.280947,0.121118
manifold,-0.235352,1.721774,2.231453
degree,-1.265229,-0.896431,0.063449
differential,-0.946989,1.013108,2.160123
$\mathbb{C}$,-1.129794,-0.221976,-0.623861
regular,-1.209847,-1.308615,-0.02115
second,-1.02123,-2.108982,-0.694713
triangle,-0.429654,0.375302,0.714013
subset,-1.427796,1.14773,2.479185
circle,-0.468044,-0.970375,0.576618
relation,-0.714665,-1.223556,0.869483
positive,-0.733896,-1.3487,2.13065
simple,-1.162317,-0.885658,2.479756
topology,-0.292828,1.276322,2.349437
category,-1.19255,-0.804828,0.725077
surface,-2.574241,-0.263471,1.791637
constant,-0.876955,-0.189673,1.84607
application,-2.13729,-0.241801,1.754588
integral,-0.720519,0.551206,1.784991
coordinate,-1.735203,0.146108,1.066773
complete,-1.314479,-1.596798,-0.502646
root,-0.629401,-1.111012,1.480655
length,-2.26183,-0.530119,0.830394
continuous,-2.048097,-0.131153,1.849795
logic,0.123815,0.366,2.228504
external,-0.792977,-1.713536,-1.207516
side,-1.425156,-1.732908,0.035049
unit,-2.863682,-0.75432,-0.285904
equivalent,-1.892529,-0.021986,0.892611
conjecture,1.186333,1.100972,2.151492
infinite,-0.12619,0.136981,2.428694
operation,-2.2254,-1.335872,0.065502
angle,-1.661263,0.163358,1.688252
random,-0.388625,-0.395342,1.958809
basis,-1.72141,-1.068664,0.855993
natural,-1.534257,-1.20285,0.929701
power,-1.796976,-1.666959,0.695924
area,-2.8036,-1.660796,-0.614736
open,-1.499354,-1.950773,-0.513432
solve,-0.440306,-0.674092,2.280458
pair,-0.948642,-0.838476,0.940723
hold,-1.071082,-2.291242,-0.582806
limit,-2.104614,-1.198009,0.721921
special,-0.926318,-1.857963,0.170019
generate,-2.26389,-0.433833,1.979702
coefficient,-1.089934,1.285775,2.290536
standard,-2.303226,-0.820279,0.910186
identity,-0.234496,-1.44191,1.715482
four,-1.496709,-2.037083,-0.309475
rule,-0.854779,-1.510677,0.452569
topological,-0.340538,1.546538,2.837563
computer,-0.941146,-0.525874,0.985287
derivative,-1.396094,0.701118,1.953538
symmetry,-0.665276,1.4497,2.248637
compact,-1.471375,0.557024,1.410436
factor,-1.733291,-0.802469,2.217121
family,-0.483199,-2.037122,-0.662599
transform,-0.710065,-0.677653,1.568729
convex,-1.151483,1.619329,2.365123
domain,-1.329471,0.076026,1.329761
subgroup,-0.894149,1.700444,1.447036
construct,-1.728174,-0.701325,0.191938
axiom,0.112754,1.344655,2.303754
construction,-2.114304,-1.037484,-0.218358
therefore,-1.608752,-1.222368,1.988239
compute,-1.266149,0.68585,1.847826
normal,-1.674187,-0.656438,1.663184
distance,-1.870032,-0.651919,0.404532
notation,-0.272939,0.805029,2.075509
parameter,-1.788118,0.626258,2.689203
euclidean,-0.800045,1.549084,2.497448
