word,1,2,3
number,-0.208772,0.030004,4.662745
function,0.374065,-1.322854,4.441826
one,0.384546,-0.302237,5.194789
set,-0.067948,-0.993346,4.756572
group,-0.802378,-0.22631,4.057382
space,-0.466101,-1.094406,4.421329
two,-0.180901,-0.231463,4.928566
theory,1.201027,0.653462,3.99039
point,-0.551605,-0.842358,4.553069
theorem,0.347603,-0.04152,3.278049
example,0.35501,-0.633462,4.5477
form,-0.385247,-0.896516,4.531789
define,-0.101232,-1.441188,4.641051
graph,-0.478531,-0.600029,3.349585
value,0.333494,-1.205287,4.419752
problem,1.563134,-0.043591,3.717876
mathematic,1.753134,2.279194,3.782771
order,-0.306003,-0.44866,4.260443
equation,0.882979,-0.465284,3.417564
first,0.832101,0.969091,4.387407
vector,-0.426977,-1.726985,4.197865
algebra,-0.325215,0.034429,3.490347
$\mathbb{N}$,-1.695216,-0.922612,4.320832
field,0.657991,-0.375436,3.98027
element,-0.74765,-0.964116,4.363049
system,1.647196,-0.173294,3.597875
matrix,-0.016437,-1.368541,3.715855
mathematical,2.166587,2.509598,3.683966
method,1.949393,-0.245461,3.318844
finite,-0.318772,-1.190242,4.157162
result,1.019771,-0.240124,4.102805
vertex,-2.034714,-0.315894,3.887977
term,0.724625,-0.775799,4.091245
line,-0.826856,-0.4914,3.812463
model,1.774157,-0.416844,3.332228
real,-0.181332,-1.035727,4.340842
property,0.450612,-1.3988,4.05121
geometry,0.279064,1.109258,3.506056
complex,-0.160208,-0.742657,3.991787
linear,0.493061,-0.990257,4.016958
polynomial,-0.117008,-1.059971,3.470599
algorithm,1.518019,-0.486886,2.894527
mathematician,1.855286,3.597978,2.661297
definition,0.566292,-0.858708,4.083732
product,-0.445844,-1.24247,3.923918
state,1.065291,0.769811,3.390109
sequence,-0.52448,-0.985506,3.584042
distribution,0.814732,-1.570478,3.160597
variable,0.704569,-1.306824,3.753995
solution,0.950583,-0.792401,3.696368
square,-0.933085,-0.660723,3.658589
map,-0.557184,-1.712773,3.673714
class,-0.022395,-0.421113,3.671836
integer,-0.631265,-1.004065,4.228903
mean,0.432301,-1.151635,3.982472
proof,1.08542,0.194907,3.444105
three,-0.451443,0.395625,4.100589
dimensional,-0.720386,-0.810123,3.909975
zero,-0.224504,-1.3949,4.067914
algebraic,0.26789,0.274864,3.599045
formula,0.411957,-0.865188,3.287956
ring,-0.94716,-1.37284,3.384606
edge,-1.65006,-0.655319,3.604248
sum,-0.575887,-1.21636,3.967457
plane,-1.189729,-0.62433,3.641763
analysis,1.820963,0.769014,3.312774
dimension,-0.820738,-0.429786,3.861217
curve,-0.359688,-1.009001,2.981857
type,0.284917,-0.621581,3.420656
operator,-0.050073,-1.161968,3.155178
prove,0.535219,0.443376,3.236426
probability,1.101402,-0.247521,3.398597
