word,1,2,3
number,1.14043,0.614483,2.202054
function,2.647638,-0.267625,1.024044
one,0.515905,-0.400752,2.771242
set,0.592546,-0.422328,2.122514
group,0.413364,0.008558,2.287105
space,1.595589,-0.058178,1.603879
two,0.468956,0.237031,2.719382
theory,1.453693,-1.7249,0.393464
point,0.795002,0.557841,2.176938
theorem,1.412862,-1.47057,-1.779313
example,1.867187,-0.627332,1.598448
form,1.309244,-0.199137,2.031109
define,2.300613,-0.338626,1.175855
graph,2.335263,-0.515284,-1.080805
value,2.402706,-0.32261,1.436759
problem,1.854255,-1.068468,1.528999
mathematic,0.659661,-0.130001,-0.171678
order,0.592631,-0.065491,2.255124
equation,2.183264,-0.822007,-1.01465
first,-0.403511,0.036681,2.79826
vector,2.772751,-0.209786,-0.511676
algebra,1.859635,-0.414022,-1.6896
$\mathbb{N}$,0.563274,0.525397,0.247231
field,0.563472,0.344823,1.987914
element,2.014677,-0.834993,1.331985
system,2.346615,0.657186,1.936181
matrix,2.256086,-0.478373,-0.36128
mathematical,1.259458,-0.730289,-0.422718
method,2.559461,-0.895455,0.958043
finite,2.755327,-0.617792,-0.863084
result,1.289915,0.028874,2.375424
vertex,2.415317,0.205631,-1.332292
term,1.302124,-0.838483,1.928314
line,0.756219,0.997689,2.241352
model,1.414435,0.082524,1.184801
real,0.375779,-0.975874,1.776818
property,1.366433,0.178341,1.748728
geometry,2.224105,-0.312521,-0.769919
complex,1.828236,0.200885,1.359799
linear,2.661698,0.912359,-0.152753
polynomial,2.246417,-0.911535,-1.905699
algorithm,2.403343,-0.661957,-0.663043
mathematician,-1.538731,-0.527667,-1.04589
definition,2.40701,-0.711253,0.835148
product,2.174361,0.104454,1.588798
state,0.014184,0.116192,2.789591
sequence,1.968907,-0.875256,0.665195
distribution,1.922239,0.557174,1.148542
variable,3.068005,-0.085947,0.282144
solution,2.575974,-0.300718,0.916028
square,0.495686,1.562688,1.434335
map,0.993469,0.854953,1.132521
class,0.481276,0.751316,1.90602
integer,2.503417,0.211362,-0.94781
mean,1.63367,-0.625112,1.762608
proof,1.558699,-1.109169,0.543245
three,0.2015,0.211607,2.67204
dimensional,2.661483,-0.902379,-0.211618
zero,1.55988,-0.345934,0.672286
algebraic,1.871372,-0.950181,-1.605766
formula,0.993326,0.159928,0.225239
ring,0.849325,-0.573857,0.96628
edge,1.299547,-0.049358,1.34933
sum,1.302458,-0.321245,0.468512
plane,1.434049,0.225699,0.966666
analysis,1.906757,-0.728752,0.763792
dimension,1.910809,-0.480172,0.481204
curve,1.990122,0.591807,0.301345
type,2.221323,0.583017,1.388918
operator,1.330722,0.562304,0.792214
prove,1.016044,-1.172673,1.555627
probability,2.566959,-0.851483,-0.342819
structure,1.769431,0.715514,1.684472
representation,1.455922,-0.699012,0.738098
series,-0.282574,-0.572549,2.025427
prime,-0.575231,-0.238011,1.117797
measure,2.546499,0.485108,1.653792
equal,1.707886,-0.096249,1.308182
lie,0.365411,0.133997,1.802507
manifold,2.053136,-0.077781,-1.371911
degree,0.56133,0.577308,1.421056
differential,2.510397,-0.110114,-0.575589
$\mathbb{C}$,0.254682,1.174158,0.814033
regular,0.364055,0.341401,2.015112
second,-0.350667,0.313572,2.421605
triangle,0.675493,0.053064,0.127915
subset,2.742021,-0.101723,-0.419957
circle,0.400594,-0.364113,1.23477
relation,0.746076,-0.509073,1.517297
positive,1.586632,-1.415525,1.50339
simple,2.243416,-1.220545,1.094492
topology,2.268338,-0.42921,-1.401046
category,1.089155,0.058957,1.467375
surface,2.9673,0.429955,1.36052
constant,2.0163,-0.624384,0.489973
application,2.633813,0.304291,1.163403
integral,1.728361,-0.078804,0.062663
coordinate,1.725201,0.644521,0.761711
complete,0.062405,0.579203,2.063647
root,1.16968,-0.973887,1.165019
length,1.829775,0.664323,1.431254
continuous,2.663181,0.177125,1.135421
logic,1.678707,-1.265086,-0.425419
external,-0.763519,0.723574,2.010033
side,0.536095,0.210417,2.238215
unit,1.422991,1.792424,1.958515
equivalent,1.635155,0.732186,0.928554
conjecture,1.157014,-1.400289,-1.546877
infinite,1.643455,-1.599033,-0.129857
operation,1.038617,0.954081,2.229699
angle,2.364169,0.051544,0.403397
random,1.474735,-1.175295,0.33979
basis,1.377563,0.159456,1.759769
natural,1.415832,-0.011252,1.757558
power,1.14534,0.042688,2.146544
area,0.900301,1.612873,2.815317
