word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
number,1.267165,-0.117053,-0.57541,-0.221906,0.164944,0.353235,-0.001303,0.005855,-0.165696,1.512723,-0.794781,0.66091,-0.424052,-0.885189,-0.240401,0.502901,-0.134698,0.279852,-0.112586,0.21198,-0.262579,-0.442258,0.305538,-1.117151,0.154266,0.290582,-0.094152,0.462072,-0.15606,0.116686,-0.400019,-0.095758,-0.505532,0.218362,-0.219205,-0.106364,-0.41289,0.742466,-0.800142,1.040397
function,1.049257,0.659507,0.272434,0.298859,0.866877,0.794185,-0.093765,-0.387,0.29835,0.664654,-0.777639,0.230873,-0.01392,-2.327281,0.338211,-1.269246,-0.209769,0.821682,0.159214,-0.428725,0.258347,-1.038491,-0.302338,0.114329,0.332762,0.585172,0.941623,0.33772,-0.549467,-0.505921,0.613692,-0.247329,-0.383685,-0.17754,-0.658683,-0.003062,-0.470391,-0.788951,0.407967,2.437763
one,0.565446,0.319668,-0.219268,-0.466709,0.261208,0.19173,-0.085574,0.127659,-0.42387,1.362811,-0.549247,-0.162813,-0.54167,-0.685671,0.310735,0.109131,0.387074,0.525611,-0.220333,0.264037,-0.216016,-0.151865,0.058439,-1.25277,0.244208,0.048101,-0.277031,0.261907,-0.025224,-0.340677,-0.034506,0.255424,-0.576261,-0.169615,0.340002,0.071591,0.021523,0.038171,-0.022527,0.558176
set,0.980952,-0.678208,0.319888,-0.348454,-0.179166,0.21705,0.012555,-0.219767,-0.306915,1.316066,-0.525482,0.053381,-0.390612,-0.748281,0.113835,-0.080175,0.267445,0.805273,-0.373536,0.504635,-0.24513,0.179858,-0.016083,-0.543463,0.239315,0.273262,-0.083591,0.437295,-0.06301,-0.077921,-0.092512,-0.108556,-0.758376,0.144393,0.363683,0.312388,-0.373302,-0.19995,-0.293661,1.040781
group,0.358075,0.376019,-0.543828,0.420251,0.428313,0.839,-0.289202,-0.17965,0.016457,1.351855,-0.288993,0.030773,-0.105235,-0.198088,-0.084888,0.098673,0.007114,0.772255,-0.455704,-0.068199,1.306509,-0.051299,0.25788,-0.6728,0.250767,0.532605,0.032162,0.12308,-0.143719,-0.694076,-0.23033,-0.207652,-1.162545,0.785094,-0.053517,0.670805,1.128656,-0.065,-0.459124,0.670681
space,1.150369,-0.11707,0.649236,-0.707711,0.480123,0.571929,0.627175,-0.785286,0.06639,1.086369,-0.117032,0.192559,-0.021331,-0.662997,0.601111,-0.287819,0.32164,0.778144,0.304773,-0.004416,-0.543837,0.407757,-1.17816,-0.10002,0.713615,-0.102217,0.025572,-0.27296,-0.345452,-0.274302,-0.039307,-0.485218,-1.057626,1.102537,-0.032512,0.859988,0.659064,0.020751,-0.137124,1.971341
two,0.257119,0.0975,-0.447405,-0.633612,0.209775,0.260066,0.185152,-0.097885,-0.615247,1.312336,-0.533735,0.139698,-0.551682,-0.512031,0.252872,0.045129,0.786498,0.826902,-0.437321,0.120239,-0.422142,-0.280795,0.090235,-1.400792,0.201376,0.232225,0.142298,0.654931,0.262076,-0.149467,-0.064755,0.463108,-0.596554,0.325585,0.161152,0.201396,0.178822,0.22181,-0.303394,0.535783
theory,2.247914,0.049702,-0.591779,0.895194,1.004976,-0.534492,-0.332572,-0.456481,0.023052,-0.515053,-0.300128,-1.153873,0.192944,-1.447856,0.371414,-0.629162,-0.154534,0.914052,1.171964,0.626565,0.985403,0.539669,-0.917272,0.632884,0.094193,-0.227733,0.079741,0.330659,0.380077,-0.684065,0.143724,-1.258819,-1.133223,0.007888,-0.371911,-0.672573,-0.10765,-0.36373,-0.130677,1.464994
point,0.695586,0.075865,-0.467006,-0.801875,0.054658,-0.535663,0.793634,-0.012363,-0.423721,0.917536,-0.130031,-0.392684,-0.764513,-1.153551,0.718359,0.913803,0.789783,0.426823,0.283627,-0.1023,-0.350568,-0.162734,-0.00755,-1.127345,0.360004,0.5044,-0.39297,0.312608,-0.084773,0.961649,-0.006201,-0.629192,-0.893417,-0.168073,-0.71588,-0.064506,-0.040928,-0.392775,-0.29961,0.466279
theorem,2.529535,-0.537129,-0.011178,-0.675336,0.338169,-0.364672,0.623152,-0.854226,-0.417861,-1.561772,-1.270613,0.080921,0.195592,-0.893451,1.355527,-1.478908,-0.560265,2.54857,0.700374,0.222247,0.445432,0.212101,0.123088,1.089905,-0.153635,-0.071562,-0.131024,0.28956,-0.624443,0.289844,0.001035,-0.638624,-0.510494,-0.728898,-1.8259,-0.609238,-1.309574,-0.722654,0.456146,1.895512
