word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
number,0.045437,-0.571005,-1.854444,-0.422657,-1.363751,-1.189763,-0.339959,0.875317,0.689076,0.074436,-0.799366,-0.97949,-1.715911,2.029462,0.5239,0.130107,-1.999832,0.274277,-0.243036,-0.618983,0.184271,0.09041,0.27219,-0.803733,0.285648,-1.727424,-0.721207,0.12883,-0.00688,-0.166596,0.185052,-0.869063,0.83865,1.438925,0.364747,0.549721,1.819242,0.618147,-1.100544,-0.816138
function,0.471622,0.232353,-2.43936,0.06912,-0.409093,-1.036163,0.709047,0.374135,0.874002,-0.101574,-0.791024,-1.2226,-1.281459,1.555535,0.790649,0.14777,-0.97749,-0.391062,0.571262,-0.197243,0.111218,1.170566,-0.179046,0.005009,1.227001,-0.957298,0.085555,-0.148246,-0.772637,-0.379012,-1.847067,-0.961801,1.926659,0.625118,-1.74147,-0.403289,0.285395,-0.108577,-2.134472,1.151925
one,-0.03801,-0.55166,-1.452242,0.069022,-0.765038,-1.092573,-0.801619,0.767846,0.521646,0.669205,0.042491,-0.790341,-0.637611,1.036838,0.844094,-0.390425,-1.400198,-0.735004,0.790284,0.344349,0.313006,0.057071,-0.319586,-0.371921,0.127444,-2.159087,0.161484,-0.141427,-0.034404,0.109417,0.481772,-0.68706,1.300837,1.018559,-0.425159,-0.032733,1.757655,-0.776963,-0.647152,0.556532
set,0.128086,0.227843,-2.287363,-1.085789,-1.466984,-0.693772,-1.670335,1.272908,1.410728,-0.142313,-0.341678,-0.905699,-0.897598,0.623754,0.267381,-0.783673,-0.506271,-0.46349,-0.280065,0.050245,1.074399,0.414978,-0.129302,0.256205,1.759506,-1.752287,-0.017921,0.697952,-0.456901,-0.613621,0.761329,-1.132548,1.162843,1.338831,-0.256209,-0.425259,1.453267,0.610073,-0.265515,1.091529
group,-0.999344,0.267712,-2.404505,-0.627768,-0.75121,-0.453746,-0.903308,0.311385,1.84614,-0.825121,-0.051289,0.867306,-0.952114,0.261209,-0.078794,0.494443,-1.857416,-0.890279,-0.222675,0.022654,0.884291,-0.495447,-0.406471,-0.628474,-0.898991,-2.14456,0.029098,0.340546,-0.464739,0.156443,-1.284045,2.047428,-0.295242,2.243279,-0.616902,0.578752,1.961354,-1.098397,0.075476,0.147911
space,-0.561603,-0.193972,-2.943412,0.137433,-0.499615,-0.531687,-1.447584,0.340898,0.85885,0.009682,-0.216914,0.614613,-0.887701,0.053952,-0.668701,0.614504,-0.723144,-0.201801,-0.145929,0.859451,2.043063,0.138764,-0.155873,0.944969,0.347201,-2.047497,0.688345,-0.893167,-1.647065,-0.263806,-0.661958,-0.703542,1.013844,0.27744,-0.585597,-0.208148,2.02038,-0.64681,-0.648705,1.057288
two,-0.171782,-0.196292,-1.351876,0.563653,-0.360169,-0.979768,-0.79172,0.636164,0.761874,0.226203,0.292228,-0.817221,-0.66076,0.87468,0.881877,-0.859881,-1.310104,-0.682476,0.583601,0.50203,-0.119486,0.099046,-0.413401,-0.065274,-0.046026,-1.853964,0.188108,0.628515,-0.517978,0.137228,0.409154,-1.056109,1.583514,1.196675,-0.055036,0.238994,2.099892,-0.897079,-0.253577,0.494712
theory,-1.415323,0.740527,-1.662022,-1.000492,-0.252887,-2.109167,-0.336401,0.689047,0.973296,0.348713,0.251875,0.973225,-0.780676,-0.074385,0.295524,-0.190043,-0.436628,0.049497,-0.663009,-0.770011,1.160157,0.317549,-0.846979,-0.383709,1.233565,-2.496106,-1.140034,0.08085,-0.250396,0.249038,-0.305687,0.410696,0.992775,1.230861,-0.384109,-0.633385,1.173254,0.531015,-1.501808,-0.42155
point,0.614176,-0.129264,-1.969129,0.411475,-0.431829,-0.828948,-0.884297,0.875579,0.457413,-0.282285,0.30566,-1.1828,0.058703,0.167961,0.552878,0.241706,-1.251843,-0.022366,-0.230928,1.431671,-0.41467,-0.125582,-0.536522,0.207664,-0.449139,-2.517672,0.892592,0.938148,-1.014975,-0.520799,0.320957,-1.001663,1.653781,0.308071,-0.618861,0.472888,2.350873,0.764935,-0.968567,1.106478
theorem,0.74095,0.717261,-0.780542,-0.462146,-1.062603,-1.692703,0.667085,0.985145,0.832703,0.31438,-0.296581,-0.068786,-1.075227,-0.449939,0.407608,-0.128799,-0.503984,0.379475,-0.817338,-0.554699,0.763374,-0.59397,-0.422547,-1.551498,-0.38495,-2.292957,-0.236164,-0.097617,-2.008926,-1.434066,0.177381,-0.21395,1.604712,0.319812,-1.898737,-1.363326,1.893584,0.073216,-0.650305,-0.16159
example,-0.23944,-0.239048,-1.61281,-0.199167,-0.793059,-0.802647,-0.657567,0.360667,-0.004001,0.299393,-0.1721,-0.793475,-0.702433,0.830356,0.706232,0.158778,-1.116385,-0.461169,0.218916,0.038031,0.241713,0.013697,-0.021161,-0.286076,0.631822,-1.576194,-0.24804,-0.088837,-0.931686,0.167134,0.132654,0.104103,1.029138,1.513294,-0.687006,-0.304696,1.546924,-0.762496,-0.961829,0.461786
form,-0.693666,-0.534024,-1.946615,0.369426,0.121863,-0.931734,-0.258156,0.549852,0.612265,0.293724,0.228258,-0.547096,-0.621961,1.268999,0.773843,-0.151036,-0.564894,-0.642865,0.170465,-1.043143,0.045724,0.028527,-0.264383,-0.077075,0.492978,-1.445286,0.549486,-0.194386,-1.011441,0.331379,0.049911,-0.675426,1.167614,1.343015,-1.243805,0.059808,1.820868,-0.825586,-0.256407,0.650888
define,-0.491074,-0.772149,-2.681529,0.1996,-0.749334,-0.501941,-0.401064,0.991488,0.674917,-0.00167,0.011162,-0.472763,-0.353343,0.569315,0.453046,0.042513,-0.890028,-0.385004,0.338556,-0.466578,0.524116,0.427828,-0.071019,-0.183853,0.806205,-1.374546,0.503474,-0.190534,-0.576401,-0.546233,-0.380927,-0.611123,1.301694,0.906665,-1.452701,-0.100232,0.930348,-0.287688,-0.368196,1.216051
graph,-0.759193,0.519862,-2.278706,-0.051738,-1.079478,-1.434842,0.060211,0.084947,0.750571,-0.259822,0.384267,-1.992762,-0.75956,0.878008,0.448794,-1.078315,-0.913732,0.271093,-0.213596,-0.536349,1.124596,-1.698092,-1.29408,-0.419927,-0.067913,-0.86879,-1.046275,1.047285,0.116352,0.610956,0.594832,-0.122337,0.655784,0.391134,0.372529,-1.932968,1.876843,-0.733596,1.3753,0.56113
value,0.648721,-0.748927,-1.646057,0.029992,-0.787256,-0.558993,-0.474131,0.37494,0.081785,-0.24718,-0.019953,-2.124301,-0.676824,0.990209,1.044223,0.179292,-1.787391,-0.336469,0.777902,-0.128613,0.239863,0.319978,0.011812,-0.194057,1.355201,-1.521406,0.378411,-0.445643,0.05292,-0.283229,-0.494898,-0.667795,1.313094,0.530958,-0.816013,-0.086379,0.780345,-0.200878,-1.986624,0.18638
