word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
number,0.045244,0.029362,-0.333222,0.728784,0.650814,-0.725356,0.190759,-0.308457,-0.364219,0.159344,0.628785,-0.203198,0.860788,-0.329001,0.521499,-0.650891,0.149968,-0.730261,1.162813,-0.345382,0.050629,0.849069,0.279943,-0.638764,-0.471684,0.081326,-0.227022,1.031078,-0.825882,-0.027626,-0.079115,-0.274863,-0.044601,0.059564,0.279128,1.165936,0.323912,0.016546,-0.691742,0.436939
function,-0.701074,0.100594,-1.541751,0.638678,0.17175,-1.062415,0.26616,-1.303649,0.181215,0.805592,-0.073269,0.218403,0.987976,-0.936236,0.222753,-0.391339,1.008637,-0.349172,-0.965108,-0.681428,0.168835,-0.020531,0.444423,-0.275453,-0.677944,0.340026,0.390699,1.032535,0.020387,0.427754,0.078605,-0.625651,-0.318196,0.888285,1.384302,0.642221,-0.549998,-0.017713,-0.755845,-1.00027
one,-0.706674,0.249799,-0.4027,0.401534,0.225621,-0.406652,0.064402,-0.69,-0.425103,-0.3463,0.033377,0.196895,0.37972,-0.384526,0.289397,0.13824,0.836332,-0.024725,1.152092,-0.058257,0.288458,0.741699,0.453986,-0.420456,-0.217157,0.312789,0.096194,0.727525,-0.62463,-0.054865,-0.144765,-0.374949,0.126742,0.200891,-0.292825,0.50624,0.201615,0.245457,-0.055791,0.216919
set,-0.126818,0.349533,-0.250975,0.253103,-0.065974,-0.474251,0.379973,-0.788187,0.283206,-0.133299,0.296447,0.452897,0.270077,-0.538153,0.329131,-0.594946,0.903322,-0.42425,0.768002,-0.209482,0.225404,0.266287,0.318702,-0.210229,0.077399,0.036172,0.351646,0.723278,-0.608664,0.056635,-0.225208,-0.355778,0.054601,0.188397,-0.650837,1.092343,-0.205071,0.318987,-0.426755,0.210052
group,-0.675216,-0.307219,-0.166794,-0.303749,0.372497,-0.575734,-0.914969,-0.67919,-0.302787,-0.430199,0.364448,-0.947051,0.54868,-0.628575,0.046578,0.256358,1.104982,-0.625905,0.283633,-0.073799,-0.266923,0.747794,0.136401,-0.370237,0.061195,0.242458,-0.583911,0.278102,0.188504,0.039947,0.103441,-0.071841,0.287998,0.292552,-0.142811,0.926777,0.624872,0.584403,-0.018483,-0.697987
space,-0.541321,-0.579676,0.46227,0.176498,0.71115,-1.281428,-0.005787,-1.319264,0.413292,-0.561412,-0.043721,0.65292,0.292837,-0.684669,-0.026462,-0.717106,1.327532,-0.963513,0.318921,-0.660797,0.583898,-0.584443,0.426323,-0.335614,0.439097,0.487282,0.535912,0.219258,-0.593474,0.359806,0.310878,-0.225775,-1.065445,0.35835,0.614238,0.7733,-0.026763,0.459688,0.234504,0.042307
two,-0.853131,0.381712,-0.125621,0.333561,-0.113599,-0.61223,0.324341,-0.824543,-0.383137,-0.23622,0.211774,-0.121684,0.130802,-0.346305,0.00086,-0.226943,0.918094,-0.231496,1.489576,0.273909,0.022994,0.289002,0.550069,-0.644872,-0.102266,0.463425,0.013495,0.713261,-0.262159,-0.388601,-0.309532,-0.62874,0.096291,0.313553,-0.02054,0.741588,0.192561,0.236296,-0.337893,0.378798
theory,-0.08441,0.707868,-1.582714,0.938396,1.530958,-0.504733,0.371799,-0.109004,0.816884,0.846078,-0.234697,0.610407,0.830822,0.193007,-0.31918,0.642084,1.45377,-1.064995,-1.552105,-1.098562,0.909681,-0.307402,1.235633,-0.855535,0.273535,-0.091456,-0.266457,-0.06697,0.083242,0.066634,-0.137073,0.078407,-0.65273,-0.100325,-0.066242,0.517327,-0.122195,0.277778,0.922965,-0.247091
point,-0.131101,0.647472,-0.027288,0.847547,-0.006459,-0.593632,0.696079,0.332412,-0.037609,-0.186388,-0.302404,1.18794,0.544564,0.258879,0.135403,0.339844,0.833807,-0.174471,1.627686,0.456233,0.275995,0.306896,0.275366,-0.397168,-0.358356,0.602319,-0.514223,0.218743,-0.149402,0.013194,-0.220492,-0.343342,-0.451308,0.354104,0.542273,1.296451,0.312848,0.705758,-0.012522,0.28485
theorem,0.800653,0.67611,-0.848058,1.227794,0.35256,0.388217,2.418303,0.306923,0.245318,0.828673,-0.236112,0.937352,0.780526,-0.333304,-0.242497,0.711822,0.93621,0.020342,-1.678467,-0.847279,0.275264,-2.025378,0.850105,-0.287075,-0.254161,-0.996208,0.383859,0.097846,-0.211922,0.443485,-0.354412,-0.469802,-1.071333,0.775424,0.170843,0.061751,0.936208,-0.569511,0.046701,-0.571504
