word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
number,-0.457777,-0.363678,-0.516198,0.464568,-0.073031,0.136093,-0.569816,0.051772,-0.223293,1.270763,0.435201,0.144756,0.236214,0.947324,-0.179764,-0.036912,-0.652853,0.34581,0.011596,0.03957,-0.411752,-0.222008,-0.266291,-0.44124,-1.405737,-0.183595,-0.053131,1.936764,0.525606,0.508484,-0.31874,0.05484,0.216112,0.300216,-0.580508,0.304157,-0.227629,-0.048849,0.240357,0.400564,-0.410133
function,0.251411,-0.129481,0.316259,0.868241,-0.102431,-0.130134,-1.308815,0.478079,0.98067,-0.709734,-0.109506,-0.630908,0.623528,-0.103564,0.045043,-0.767711,-0.944127,-0.896828,0.316828,-0.876161,-0.03377,0.877809,-0.889151,0.325512,-0.561556,0.260935,0.199014,2.166463,1.198643,0.339442,0.265316,0.220804,1.108926,-0.049811,-0.89092,-0.423681,-1.245812,-0.230943,-0.192211,0.982315,-0.177078
one,0.159462,-0.053206,-0.177321,-0.231216,0.301922,0.441131,-0.549211,-0.234831,-0.161487,0.18244,0.299157,-0.31073,0.49882,0.460674,-0.05363,0.017114,-0.258397,0.345248,-0.04375,0.44398,-0.523624,-0.244853,-0.097888,-0.427717,-0.976918,0.042776,-0.288527,0.844763,0.250911,0.756132,0.214956,0.126692,0.456784,0.008409,-1.112041,0.268406,-0.329188,0.11964,0.222581,0.780937,0.188901
set,0.359672,-0.061793,-0.418682,0.571739,0.14744,0.3551,-0.401976,-0.109318,0.075269,0.486478,0.286246,-0.314018,0.419413,0.36676,-0.290996,0.120052,0.187409,0.421723,0.106413,0.416803,-0.541892,-0.709815,-0.610327,-0.322665,-0.695389,0.179198,-0.196057,1.278125,0.625982,0.392937,-0.331847,0.45027,0.835802,-0.060717,-0.696428,0.153277,-0.655812,-0.064535,0.309734,0.278955,0.253631
group,-0.316452,0.428893,-0.079671,-0.708226,-0.196436,-0.599843,-0.010053,-0.244083,-0.262347,0.181475,0.801075,-0.582353,-0.521623,0.301387,0.53119,0.174249,0.068568,0.247066,0.243129,-0.23573,-0.589634,0.150864,-0.70234,0.329151,-0.75231,0.017923,0.740712,0.744442,0.039197,0.90072,-0.581814,0.570572,0.700418,0.491946,-1.394523,0.165938,-0.966143,0.287178,0.384962,0.293548,-0.563938
space,0.623055,-0.157554,-0.279674,0.26469,0.229495,-0.236411,-0.262811,0.046229,0.606786,-0.636902,0.111694,-0.809213,-0.029327,-0.610362,-0.078333,-1.081346,-0.390974,0.37342,-0.320699,0.764786,-0.675733,-0.97677,-0.387638,0.073718,-0.679675,-0.516178,0.33745,1.906981,0.384681,0.443302,-0.751149,0.65765,0.975601,0.274996,-0.068126,0.205667,-1.755921,0.043314,0.413708,0.544183,0.393185
two,0.233137,-0.267774,-0.116247,-0.480519,0.490997,0.151985,-0.581548,-0.163001,-0.380397,0.251196,0.386067,0.164192,0.460453,0.513958,0.164172,-0.264425,-0.412063,0.165099,-0.028665,0.558845,-0.947248,-0.636393,-0.270293,-0.550395,-0.964228,0.027581,-0.012884,0.946873,0.271951,0.362429,0.233846,0.035832,0.739107,0.084612,-1.141035,0.659059,-0.29834,0.178658,0.373212,0.54662,0.037606
theory,0.106946,-0.576239,1.479727,1.40771,0.049964,-0.666811,-0.4623,-0.942283,1.57084,0.3192,0.083597,-1.37864,-0.465673,-0.020728,0.188758,0.707426,-0.095504,-0.630242,-0.369079,0.037039,-0.507425,0.238051,-0.576593,0.464239,0.127519,-0.291651,0.113549,1.235364,0.934339,1.601913,-0.243639,1.092586,1.170586,-0.353205,0.638003,0.339238,-0.815173,-0.10709,-1.561722,0.584008,-0.44262
point,0.105086,-0.903932,0.180667,-0.14854,0.85225,0.552038,-0.581468,-0.302766,-0.639161,0.718657,0.038009,0.432352,-0.356643,0.379532,-0.26747,-0.36641,-0.283834,0.233146,-1.057917,0.522025,-0.797537,-0.515464,-0.358551,-0.235648,-0.718001,-0.264737,-0.769978,0.803753,1.257286,0.575824,0.292234,0.605252,0.153734,-0.264629,-0.348252,0.163686,-0.801182,0.088085,0.092128,1.060961,-0.1849
theorem,1.525715,-0.617288,0.824461,1.500242,0.093532,-0.285938,-1.756573,0.195407,2.415222,0.390756,0.872155,-0.285323,0.120524,0.478281,-1.390882,-0.299941,-1.539697,-1.018996,-0.19259,-0.776918,0.27321,-0.530084,-1.291611,0.401865,0.328287,0.229408,-0.374586,-0.028041,1.697643,0.221993,0.103619,1.720293,0.532214,-0.590946,1.046872,0.699819,-1.640617,0.030782,-1.491201,0.36002,0.294062
example,-0.159748,0.080374,-0.07853,0.469432,0.232812,0.021398,-0.833549,-0.338605,0.520539,-0.124232,0.009017,-0.952772,0.319861,0.762258,-0.265084,-0.303661,-0.356126,0.164951,-0.166564,-0.25783,-0.239574,0.394946,-0.741303,0.446926,-0.110973,-0.289648,-0.279088,1.951689,0.731364,0.670836,-0.06382,0.285908,0.379448,-0.015531,-0.783742,0.010574,-0.109299,-0.693249,-0.404966,0.630549,0.223426
form,0.100085,0.299297,0.422365,-0.683447,0.545818,-0.165082,-0.526367,-0.368105,0.1514,-0.229374,0.564718,-0.418095,0.370828,0.531932,0.056075,-0.2421,-0.752848,0.070143,0.342385,-0.263568,-1.311829,0.429022,-0.43765,0.048576,-0.012354,-0.153155,-0.176357,1.543946,-0.001765,0.676894,-0.010195,0.605522,0.693921,0.168459,-1.302638,0.194594,-0.185014,-0.083108,-0.302686,0.315273,-0.369092
define,-0.189169,-0.111242,0.374199,0.282156,0.318512,0.180916,-0.375044,-0.259949,0.579076,0.004865,0.417924,-0.77269,-0.26646,0.351124,-0.536037,-0.521212,-0.449747,-0.833671,-0.430968,-0.494981,-0.442058,0.909153,-0.808018,0.386003,-0.250415,-0.328042,0.198248,2.212237,1.627947,0.394975,-0.176277,0.529301,0.416973,-0.129451,-0.521182,-0.013557,-1.053903,-0.483238,-0.816145,0.330943,0.064165
graph,0.415756,-0.869254,0.840151,1.124268,0.383729,0.5404,-0.77129,0.266131,0.861355,0.49386,0.541124,-0.473225,0.347292,0.427185,-1.596075,-1.628278,-1.097478,-0.910879,0.460967,-0.681546,0.513818,-0.853062,-1.29612,0.80558,0.699483,0.656172,0.624801,1.449837,1.614505,0.220329,-0.380701,1.173356,0.319986,-0.274367,0.528974,0.573108,-1.739878,-0.473197,-0.112307,-0.102775,-0.529497
value,-0.084845,-0.275157,0.312413,1.013515,-0.02831,0.1836,-1.027001,-0.946383,0.553217,0.880982,0.225455,-0.544047,-0.360719,0.458015,-0.630968,-0.544027,-0.189341,-0.267854,-0.052745,-0.026301,0.03298,1.39586,-0.993236,-0.019589,-0.391247,-1.17969,-0.565237,2.206122,0.9365,0.716597,-0.216799,0.240211,-0.345437,0.174853,-0.308372,-0.428287,-1.056502,-0.148418,-0.0064,0.906493,0.810504
problem,-0.127746,-0.015433,0.696544,1.484629,-0.527689,-0.28677,-0.390084,-0.15079,0.19872,-0.145858,-0.288184,-0.605724,-0.19687,-0.037734,0.190199,0.490948,-0.555878,-0.553054,-0.266261,0.268123,0.299279,0.12877,-0.20093,-0.029616,0.148733,0.293694,-0.451748,1.440227,0.986979,1.008185,0.173807,0.8788,0.724585,-0.73619,-0.236633,0.06968,-0.508901,0.129262,-0.108042,1.390709,0.42689
mathematic,0.673787,-0.907741,2.063883,0.530748,0.026072,-0.249671,0.233333,-1.588798,1.989132,0.910726,0.471925,-0.444458,0.304501,0.194158,0.167936,0.397816,-0.555762,-0.371386,0.416099,-0.532563,0.380108,-0.845753,-0.144817,0.247073,-0.712806,-0.26475,0.810623,1.054364,0.634225,0.484035,0.603894,0.048448,0.404034,-0.402706,1.059668,-0.62969,-1.488999,-0.429237,-0.807366,0.910394,-0.473351
order,0.528254,0.225204,0.236879,0.421065,-0.032136,0.132704,-0.294327,0.185592,-0.653212,-0.016464,0.082928,-0.261532,0.317399,0.214021,0.317919,0.460256,-0.464291,-1.110165,-0.260871,0.160563,-0.827134,0.207888,-0.81224,-0.306921,-1.072549,0.318632,0.194851,1.026264,0.352287,0.906213,-0.308461,-0.309016,0.389262,0.661232,-1.230119,-0.206038,-0.163543,-0.183095,0.101466,0.217084,0.488182
equation,0.470096,-1.009976,2.018184,0.907943,0.010082,-0.687908,-1.583168,-0.268401,1.869245,0.440051,-0.125311,-1.009654,-0.360115,0.342298,-0.580207,-1.371282,-1.218743,-1.175885,-0.003827,-1.236015,-0.077872,-0.174326,-0.941427,-0.378783,-0.354144,-0.520621,-0.546645,0.452912,1.758854,0.515295,-0.104853,1.458975,1.094025,-1.109771,1.035267,0.107573,-1.068505,-0.102026,-0.948941,0.034859,0.930267
first,0.207283,0.009745,0.088422,-0.251205,0.417298,0.022615,-0.504865,-0.292345,0.093839,0.712414,-0.103643,0.225138,0.378818,0.431004,-0.051432,0.679935,0.287495,0.218087,-0.183303,0.288335,-0.592159,-0.600167,0.113631,-0.392286,-1.22197,0.338241,0.324073,0.389146,-0.116415,0.400921,0.469418,0.130104,0.613918,0.056871,-1.250328,0.096001,0.064595,0.226858,0.683355,0.455365,0.01003
vector,0.402453,-1.335186,0.130885,0.359988,-0.01766,-0.495283,-0.626814,0.88525,0.587575,-0.169865,-0.171082,-1.086603,-0.222556,0.544988,-0.095753,-1.709721,-0.488382,-0.882084,0.769708,-1.216293,-0.025566,-0.168265,-1.601199,0.145187,-0.307788,-0.612793,0.920656,1.717673,1.757714,0.282235,0.187335,1.373183,0.853497,-0.670142,0.280079,-0.122969,-1.371832,-0.101298,-0.730452,0.548485,0.351509
algebra,1.084904,-1.159086,1.589653,1.183896,-0.501248,-0.777815,0.106074,-0.501039,1.540357,0.341062,0.9783,-0.337782,1.10326,0.462217,-0.104258,-0.753966,-0.541202,-0.378818,1.090969,-1.604048,-0.432297,-0.973009,-1.053166,0.582818,-0.190298,-0.224965,0.569677,1.046034,1.631841,-0.151039,-0.12006,0.938197,0.734708,-0.181841,0.718294,-0.224636,-1.892292,-0.465176,-1.40758,0.427489,-0.241996
