word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
number,0.394993,-1.604154,-0.751964,-0.120731,-0.210203,0.444702,0.482853,0.115396,0.572326,0.060249,1.667985,0.501233,0.062121,-1.824262,-0.778918,0.253827,0.038755,-1.437692,0.820333,0.513814,0.025869,-1.431976,0.132376,1.005928,0.746352,-0.226095,0.19003,1.214819,-1.360065,0.61797,0.643379,0.18559,-2.293413,-1.533343,-0.11256,1.602411,2.016185,-0.43043,-0.272239,-0.733163,0.213298
function,-0.16636,-0.320056,-0.06177,0.864134,0.488059,-0.315729,-1.632513,-0.039598,0.699944,-0.2876,1.136733,-0.780659,-0.565936,-1.858506,0.610431,0.584541,0.091671,-2.726659,0.658912,0.997426,-0.944331,0.194312,-0.371635,-0.195271,-0.325384,-1.129839,-1.458575,1.11444,-0.999942,0.404969,0.53686,0.267224,-1.875633,0.010549,-1.225724,0.913288,2.151591,0.014787,0.171877,0.086676,0.371687
one,-0.430991,-0.205624,-0.601196,0.000733,0.291652,0.630153,0.134944,1.04411,1.168262,-1.301327,1.516581,0.468427,-0.584932,-1.673583,0.512715,-0.212311,-0.413242,-1.666406,-0.127457,-0.12195,-0.469376,0.009845,-0.326616,0.575713,0.499393,0.12245,0.583886,0.783714,-1.055306,0.581127,0.371519,-0.36975,-2.191531,-0.209022,-0.158681,1.108741,1.1152,0.426258,0.452701,0.017647,0.60493
set,0.091354,-0.954378,-0.044607,0.687756,-0.373409,0.207942,0.379463,0.106497,0.417187,-1.333396,1.322221,0.382368,-0.159583,-0.437753,-0.389053,0.776686,0.405958,-1.490066,-0.602229,-0.797388,-0.307592,-0.647981,-0.650004,1.056708,0.429938,-0.272255,-1.320625,1.786472,-0.347015,1.241135,0.234206,-0.272886,-3.446418,0.057466,-0.370096,1.571586,1.735355,-0.309989,-0.058653,0.280894,0.375362
group,-0.936395,-0.804001,1.1133,-0.730986,-0.023072,-1.411738,-0.398403,0.074504,2.635394,0.508976,1.983119,0.311791,-0.751827,-0.617437,-0.196692,-0.45791,0.175945,-1.582648,-0.799066,0.090699,-0.685767,0.787034,0.100351,0.2791,1.151189,0.013986,0.918762,0.644855,-1.406391,1.160549,0.061578,-1.513465,-2.281413,-1.318287,0.598105,1.255369,-0.115384,-0.747124,-1.029327,0.240465,-0.274672
space,-0.663502,-0.922959,0.366106,0.309914,1.065512,-0.956087,-0.440179,-0.771749,1.653504,-1.816431,1.066143,-0.168294,-1.787909,-1.09201,0.72298,0.123639,0.818359,-1.776867,-0.184988,-0.844217,-0.769704,-0.217085,0.030537,0.621223,0.278324,-0.197756,0.105829,0.970292,0.767009,0.617745,0.198208,-0.555911,-2.654475,0.082642,0.559019,1.92855,0.392974,1.096114,0.002272,0.547391,-0.23569
two,-0.687699,-0.457751,-0.329836,-0.072017,0.391431,0.81233,-0.071593,0.967711,1.075503,-1.506094,1.888626,0.652803,0.146395,-1.366585,0.421977,-0.144702,0.096766,-1.519427,0.25595,-0.229436,-0.589109,0.175427,-0.495813,0.9313,0.183217,0.276981,1.282428,0.662053,-0.929678,0.58289,0.353876,-0.304508,-2.154409,-0.188558,-0.140976,1.023727,1.438294,0.106378,0.173221,0.405455,0.795624
theory,-0.33594,-0.221063,0.355298,0.214916,-0.442901,-1.284833,0.450323,-0.950616,1.706949,-0.593274,1.390103,0.806994,-0.297626,-0.18789,0.511309,-0.232557,-0.692175,-1.324743,0.585289,0.183072,-0.607549,-0.446412,-0.092671,-0.066008,-0.036159,0.524061,-1.162422,1.963163,-1.161917,0.159588,1.055797,-0.879388,-2.443399,-0.11562,0.876631,1.272473,1.136208,-0.71256,-0.345051,-1.035578,-0.93077
point,0.511439,-0.134913,-0.305533,0.523429,1.029297,0.846412,0.129,-0.618154,1.018371,-1.673801,0.980682,0.379089,0.079773,-1.836669,-0.347732,-0.471808,1.328408,-2.412034,-0.742083,-0.311053,-0.492309,0.289656,-1.481645,0.592371,0.460612,0.706241,0.7349,0.70629,-0.937231,0.394894,-0.120565,-0.149388,-1.930388,0.141028,-0.17873,1.282218,1.367386,0.425565,0.459218,0.6107,0.453725
theorem,0.05624,-0.290389,0.050912,0.779726,-0.66235,-0.118036,-0.010843,-1.485036,1.210419,-1.038615,0.868674,1.040155,0.333016,-0.461097,2.019602,0.246577,0.568749,-1.644962,0.986836,0.786491,0.967316,-0.461294,-1.214049,-0.623681,1.075196,-0.103242,-0.002175,1.390887,-0.943767,-0.410343,1.16634,-1.651546,-1.870526,-0.952671,-0.78773,1.659994,0.214672,0.503542,0.429422,0.156739,0.111372
