word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
number,-0.574853,0.377668,-0.357057,0.101901,0.372328,0.150434,-0.249601,-0.365369,-0.365919,-0.270449,0.265808,0.282339,0.386772,0.945626,0.19161,-0.709479,0.421467,0.392436,-0.190248,0.065564,-0.201752,-0.934483,-0.124237,-0.013505,0.014099,0.803528,1.142139,-0.192503,-0.89307,0.336967,0.382128,-1.229831,0.359494,0.505265,0.620046,0.029451,-0.332161,0.013434,-0.722728,0.792906,-0.267701
function,-2.763686,-0.750198,-1.001731,-0.329472,0.096474,0.645649,-1.798726,-0.207547,-0.390988,0.29817,-0.492527,0.012152,-0.463031,1.219803,-0.347023,-0.135185,0.605684,0.653472,-0.285934,-0.120216,-0.365814,-0.639741,-0.173418,0.381995,-0.687138,-0.051527,0.027981,-0.097819,0.823058,-0.037127,-0.233974,-1.010241,-0.193309,0.167221,-0.07599,0.07087,-0.030757,-0.136572,-0.408151,0.685683,-0.765792
one,-0.319608,-0.104767,-0.487708,0.411016,0.329007,0.524391,0.044877,-0.32866,-0.744673,-0.106318,0.373932,0.449823,0.41126,0.065762,-0.157944,-0.289209,0.346829,-0.190568,-0.705587,-0.280255,-0.353871,-0.468903,0.025042,-0.314288,-0.280156,0.291975,0.731869,-0.246711,-0.335846,0.19658,0.18053,-0.224835,-0.18329,0.501289,0.499635,0.28843,-0.153357,0.013176,-0.414533,1.181184,-0.678773
set,-0.578948,-0.191677,-0.242224,0.27766,0.457373,0.304362,-0.18649,-0.561584,-0.984948,0.291712,-0.106419,-0.250013,0.018755,0.102148,-0.099629,-0.445382,0.161269,0.197604,-0.428768,-0.457846,0.246431,-0.55924,-0.142214,-0.39268,-0.09748,0.292581,0.703127,0.198123,-0.50665,-0.375573,-0.192044,-0.564877,0.137189,0.330413,0.641716,0.24016,-0.406165,0.244264,-0.779004,0.826393,-0.673977
group,-1.368913,0.477636,-0.441663,-0.030121,0.427002,-0.520847,0.345131,0.256042,-0.297571,-0.686978,0.46566,-0.019676,-0.329231,0.09841,-0.079849,-0.115602,0.871721,0.108002,-0.349765,-0.933042,-0.850382,-0.35169,0.432744,-0.162693,0.045128,-0.068552,0.294088,-0.2621,-0.432725,0.323027,0.185227,0.204019,0.534578,-0.193104,0.215321,-0.244481,-0.563555,0.224024,0.058538,1.479779,-0.469444
space,-1.265782,-0.398995,0.355004,-0.249293,-0.160943,-0.134509,-0.85439,0.027459,-1.098529,0.164336,0.358857,-0.620297,-0.474455,0.69679,-0.314438,-0.252713,-0.217163,0.249149,-0.294546,-0.950821,0.161865,-1.250409,-0.19228,-0.320482,-1.248845,-0.790421,0.903068,0.34583,-0.381805,-0.908901,-0.294299,-0.21291,-0.158192,0.558079,0.298281,-0.598422,0.043226,-0.05942,-0.318146,1.403745,-0.128658
two,-0.237529,-0.298852,-0.690583,0.464002,0.351562,0.18033,0.140973,-0.192428,-1.012958,-0.453404,0.227141,0.16056,0.19672,0.238173,0.03834,-0.208301,-0.011006,-0.170599,-0.910347,-0.507463,-0.6421,-0.631343,-0.095288,-0.119044,-0.402218,0.587646,0.946457,-0.384573,-0.37949,-0.345602,0.445256,-0.44491,0.16424,0.498159,0.388471,-0.050589,-0.235533,-0.366056,-0.272248,0.889532,-0.81705
theory,-2.11552,0.451429,-1.000811,-1.115459,-0.179274,0.682479,-0.584976,-1.435815,0.154885,0.19427,-1.117567,-0.015602,-0.05729,0.624808,-0.889175,0.152045,-0.579635,-0.212352,0.232653,0.330749,0.728077,-0.24156,-0.927065,0.565949,-1.739918,-0.964821,-0.748977,0.482638,-0.46823,0.455415,-0.572104,0.085391,0.627166,-0.200641,0.471182,0.186165,-0.490897,-0.034092,-0.628426,1.355878,0.313739
point,-0.09744,-0.000266,-1.084723,0.298391,-0.021208,0.638452,0.417003,-0.954125,-1.057956,-0.075892,-0.252078,0.227716,0.926426,1.283723,-0.044211,-0.152243,0.097098,-0.642302,0.089805,-0.051026,-0.069486,-0.881258,-0.877544,0.1672,-0.129974,0.522778,0.605044,-0.076183,-1.10362,-0.823237,0.319907,-0.076257,-0.51591,0.431114,0.135389,0.021938,-0.323137,-0.217199,0.087541,0.88007,-0.334433
theorem,-0.903687,-0.40342,-0.522691,-0.627341,-0.37699,1.367992,-1.237145,-2.323424,0.714826,0.986614,-0.686215,0.083366,-1.089975,0.864916,-1.36275,0.788663,-0.995024,-0.139656,0.739022,-0.147081,0.415138,0.300941,-0.764766,1.583196,-1.159415,-0.126423,0.070921,0.148573,-0.159481,-0.400073,-1.102869,-0.797691,-0.677346,-0.563892,-0.574911,0.129364,0.191785,0.036488,-0.923859,-0.445112,0.174637
