word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
number,-0.272953,0.462667,0.728478,0.207995,-1.066441,-1.415188,-0.137593,-0.331957,-0.092329,-0.73138,0.044107,-0.303017,-0.100124,0.330137,0.110014,-1.123561,0.108055,-0.839453,0.448816,0.450223,0.416416,-0.000849,-0.358885,0.185949,0.422124,-0.148515,0.006009,-0.488811,-0.295707,-0.527445,-0.187033,0.253175,-0.755597,0.712391,-0.537924,-0.5188,0.605803,-0.117363,-0.446619,-0.475081,-0.934158,0.710649
function,-1.436442,1.270241,1.130477,0.393143,0.589334,-1.928047,0.219091,-0.714249,-0.742491,-0.531364,0.374246,-0.814063,0.680903,0.092014,-0.104986,-1.091052,0.823318,0.558947,0.828983,0.692014,-0.2097,-0.375248,-0.70995,-0.264623,0.421588,0.627343,-0.589947,0.02477,-1.069106,0.413812,-0.011048,-0.192716,-0.908703,0.051804,0.151004,-0.029286,1.418175,0.431739,0.96684,0.75234,-0.100095,-0.294688
one,-0.134219,-0.251738,0.478928,0.068527,-0.361761,-0.892329,-0.290794,-0.006447,-0.247501,-0.669997,0.30786,0.337803,-0.091314,-0.082576,-0.175654,-1.111638,-0.35547,-0.318535,1.02583,0.216735,-0.08398,0.062518,-0.745147,0.338162,0.351955,-0.173503,-0.037351,-0.127349,0.143757,0.163924,0.215561,0.297848,-0.333832,0.124578,-0.265093,0.041099,0.305551,0.127737,-0.409137,0.071027,-0.783528,0.165036
set,-0.123837,0.834352,0.53052,0.095123,0.012677,-0.950799,-0.101342,-0.069046,-0.585139,-0.585724,0.037912,-0.077627,-0.281795,0.218505,-0.059147,-0.561441,-0.241082,-0.371113,1.293701,0.428466,-0.286369,-0.150129,-0.750852,0.505744,0.328042,-0.321153,0.229734,-0.427001,0.139581,0.127326,-0.167787,-0.141131,-0.400514,0.108887,-0.4458,-0.327208,0.958628,0.115518,-0.594504,-0.175543,-0.336305,0.594745
group,0.632461,0.234344,0.269489,0.512901,-0.529638,-1.051253,0.605167,-0.163209,-0.363872,-1.442398,0.663139,0.969378,0.051699,0.126709,-0.024294,-0.581485,0.740566,0.52342,0.967479,-0.457827,0.100399,-0.555432,-0.471935,-0.097004,0.655097,0.062335,-0.112539,-0.252166,0.014151,-0.122921,-0.426665,-0.493238,-0.158253,0.295856,-0.360902,-0.21866,0.00781,-0.285921,0.153948,-0.451099,-0.952051,-0.314067
space,-0.604478,0.980603,0.889788,0.397498,0.64637,-1.178363,-0.432494,-0.519114,-0.93687,-1.615842,-0.728773,-0.314027,0.795719,-0.415424,0.603581,-0.325264,0.048897,0.244052,1.246334,0.231047,-0.891096,-0.787333,-1.242284,0.312293,0.46238,0.738146,0.56194,-0.280856,-0.257517,0.29691,-0.608095,-0.361125,-0.517274,-0.466839,-0.612388,0.160084,0.331453,-0.187072,-0.612733,-0.833655,0.31215,0.257243
two,-0.050716,-0.029536,0.179406,0.132763,-0.474697,-1.060938,-0.085796,-0.028039,-0.396931,-0.418495,0.068315,0.354306,-0.212603,-0.161208,-0.167165,-1.125368,-0.412379,-0.497253,1.434754,0.250379,-0.203521,-0.154288,-0.892063,0.134353,0.299511,0.306631,0.375513,-0.484951,0.040169,0.171965,0.153044,0.544325,-0.646332,0.433237,-0.273302,-0.098654,-0.179696,0.153701,-0.450157,0.13894,-0.86426,0.076525
theory,-0.091085,0.843984,1.404951,1.720219,0.533031,-1.870917,-0.053743,-0.450518,-0.818286,-0.851875,-0.340296,-1.244511,1.19991,0.42214,-0.266085,-0.650664,0.549128,-0.006679,-0.357269,-0.893338,-1.077688,0.55314,0.046721,1.417051,0.479187,-0.672036,0.324387,0.050103,-0.188705,0.395031,-0.317213,-0.923794,0.227723,0.177695,0.25266,-0.027128,1.143643,0.228078,0.725911,-0.372139,0.408382,-0.850114
point,-0.629339,0.296889,-0.301915,0.251283,-0.851804,-1.760169,-0.105966,-0.156672,-0.318933,-0.511738,-0.369743,-0.530888,0.337278,-0.322514,0.148543,-1.054885,-0.753518,-0.626137,0.712387,0.312366,-0.940573,0.194367,-0.495754,0.072743,-0.530242,-0.140455,0.182963,-0.48978,0.212324,0.626665,0.265597,-0.069028,-0.381303,-0.287832,0.406175,-0.54658,-0.403417,0.572721,-0.61103,-0.446542,-1.028984,0.539748
theorem,-0.740584,2.452421,-0.193758,1.357401,1.541771,-2.237882,-1.325335,-0.574264,-1.084117,0.065055,-0.832364,-1.619387,1.823233,-0.079357,-0.798616,0.0499,0.227307,0.397222,0.24493,-0.091795,-0.6944,0.958494,-0.663102,0.466386,-0.946076,-0.683273,0.303279,-0.363952,0.459059,-0.078103,-0.537836,0.393061,0.517666,0.638811,0.322239,-0.166416,1.467209,0.717833,1.228777,0.168373,0.819319,0.868047
example,-0.992945,0.617613,1.076671,0.240048,0.05788,-1.22821,-0.262358,0.082264,-0.493091,-0.766064,0.202018,-0.844574,0.661815,0.132558,0.320535,-0.725655,0.315026,0.026768,0.663186,0.539465,-0.091897,-0.085285,-0.029332,0.435749,0.743339,0.059207,-0.463671,0.253212,-0.107691,-0.048981,0.546438,-0.129892,0.245747,0.51923,-0.254835,-0.310137,1.070007,0.31014,-0.026729,0.228097,-0.702425,-0.052607
form,-0.171943,0.1347,0.854161,0.363082,0.27958,-1.571199,0.294858,-0.160594,-0.439917,-0.332298,0.288446,0.244803,0.250646,-0.326807,0.213141,-0.803784,0.41051,-0.046205,1.162215,-0.416303,-0.310064,-0.040972,-0.532565,0.08208,0.646015,0.485638,-0.086939,0.660496,-0.16123,-0.065795,0.472766,-0.028626,0.017389,0.932164,-0.444048,-0.133632,0.055141,0.486887,-0.076853,0.35986,-0.957044,-0.428181
define,-0.762675,0.855875,0.955359,0.725139,-0.140739,-1.969384,0.018124,-0.601482,-0.817379,-0.645965,-0.18516,-1.218155,0.771872,-0.130975,0.400758,-0.401506,0.156647,0.977547,0.134088,0.585441,-0.571633,-0.152861,-0.218787,0.24803,0.461327,0.306751,-0.054844,0.146996,-0.117442,-0.141465,0.404451,-0.270036,-0.062551,-0.014715,-0.145235,-0.527791,0.927495,0.217594,0.454513,0.158456,-1.03988,0.063598
graph,-0.608409,2.707107,-0.045455,1.25581,0.601265,-2.749098,-0.083846,-0.644498,-0.658106,-0.747515,-0.621256,-1.819005,0.937079,-0.661302,0.66753,0.501428,0.677153,0.195347,0.598459,1.201761,0.275844,0.056219,-0.404602,-0.188632,-1.166442,-0.405253,0.740647,-0.184715,0.153868,0.038155,0.001452,0.305823,0.006582,0.143975,0.047709,-0.432056,1.217281,-0.293579,0.39246,0.543723,0.532201,-0.034734
value,-0.946757,0.361673,1.038688,-0.435697,0.053826,-1.936464,-0.276257,-0.716161,-0.54468,-0.824838,0.211237,-1.523338,0.917746,0.066499,1.277324,-1.280879,-0.070513,0.40049,-0.080441,0.504217,0.195608,0.323892,-0.160862,0.512899,0.523299,-0.296827,-0.939462,-0.454655,0.086381,0.245358,-0.406778,-0.913428,-0.120148,-0.19113,-0.346855,-0.559423,0.84454,0.51525,0.458014,-0.159685,-0.819013,0.496057
problem,-1.057103,0.658645,0.259982,0.15504,-0.077001,-1.030473,-0.231716,-0.549718,-0.946608,-0.777581,-0.147121,-0.606215,0.282478,0.513463,-0.030031,-1.14615,0.072985,-0.146757,-0.0207,-0.152944,-0.307523,0.29248,-0.429774,0.688494,0.175628,-0.277324,0.280076,0.255836,-0.175997,0.594386,0.447462,-0.690439,-0.429017,-0.30522,0.692574,-0.201018,1.560905,0.11191,0.519509,-0.613196,0.163253,-0.549617
mathematic,-0.048807,0.626401,1.932278,1.616477,0.481868,-1.735959,-0.074768,-0.318202,0.0394,0.371907,-0.441334,-0.294066,1.490477,-1.158984,0.035968,-0.414759,0.222292,0.60916,-0.12048,-0.614533,0.072363,0.265274,-0.127403,1.20983,-0.175903,-1.063667,0.725172,-0.802155,-0.314567,0.710338,-0.21982,0.678965,-0.467408,-0.013631,0.672464,-0.302938,0.902329,-0.777974,1.172868,-0.764207,1.038637,0.418017
order,-0.499152,0.141119,0.191143,0.495062,0.04704,-0.847977,0.538602,-0.165714,-0.551586,-0.394895,0.230519,0.430129,-0.036471,0.807891,-0.161609,-1.383772,-0.157486,0.63114,0.300703,0.930831,-0.147675,-0.012776,-0.775994,0.283201,1.245551,-0.389868,0.459855,0.056985,-0.074398,-0.311573,0.0605,0.062778,-0.923007,0.252688,-0.292574,-0.114888,0.181367,0.636729,0.047863,0.418593,-0.258417,0.255637
