word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
number,-1.847136,-1.248317,-1.049122,-1.150578,-0.390224,0.462618,0.229478,0.49736,1.062238,0.512353,2.047107,0.398035,0.001974,-0.163972,1.672851,0.446672,-0.016938,-0.052347,-0.109771,-0.649211,-1.054855,-0.839923,0.515676,-0.549938,-0.616103,-0.519251,0.45566,0.111513,0.092376,0.702955,-0.602721,1.769865,-1.275788,1.701566,-0.228314,-0.306326,0.042528,-1.19507,0.517022,-0.299069,1.590603,-1.690592
function,-2.678906,-2.459473,0.200054,-1.461849,-0.761235,0.908823,0.651009,1.053731,0.214226,-0.317235,0.909115,0.039334,0.15797,-2.137696,1.642105,0.463962,-0.714179,1.104853,1.416514,-0.353117,-0.119369,-0.18524,-0.058649,-0.832689,0.786971,-0.610713,-0.584848,0.180203,-0.442153,0.682004,0.167104,-0.45274,-0.358668,1.422911,0.671532,-0.391974,0.084018,0.074825,-0.75553,0.547545,1.045542,-0.429719
one,-2.224207,-1.800067,0.293931,-0.890091,-0.589199,0.351572,0.534824,0.169091,0.934845,0.284688,1.047515,0.014585,-0.365946,-5.7e-05,1.389805,0.67598,1.113181,0.964585,-0.117782,0.033186,-0.378182,-0.850645,-0.624742,0.291113,0.070477,-0.368369,0.134103,0.514192,-0.254294,0.234273,-0.300976,0.281605,-0.831952,0.270215,-0.458169,0.517441,0.30894,-0.304092,0.452217,-0.059082,1.47598,-1.458191
set,-2.75117,-1.855323,0.131705,-1.011103,-0.945078,1.498735,0.412192,0.406714,-0.156215,0.104206,1.270864,-0.4489,-0.29915,0.434503,0.367389,0.592141,0.29886,0.511014,-0.249716,-0.817229,-0.355072,-1.069772,-0.61048,1.213123,-0.139027,-1.174621,-0.233015,0.327365,0.384145,0.060197,-0.2225,1.199806,-0.383291,1.533422,-0.675466,-0.884581,0.335218,0.168022,0.058553,1.113713,2.246131,-0.486167
group,-3.455741,-0.816488,-1.010074,-0.445464,-0.798082,-0.205698,-0.098411,-1.535689,0.582473,1.80007,1.78832,-1.013838,0.310704,1.014306,-0.091272,1.834953,-0.333857,1.372433,-0.664107,0.350164,-0.142789,-0.328533,0.225556,0.126936,-0.34209,0.002536,1.011662,-0.720719,0.54937,-0.037964,0.88726,-0.660445,0.489096,0.780411,-0.074759,0.891881,-0.16403,0.423037,0.065093,-0.592778,1.351551,-2.091638
space,-3.005125,-2.271604,-0.772498,-1.54492,-0.294397,0.942684,0.770813,-1.049909,-0.153043,0.533656,1.633014,-0.712503,-0.113684,0.291373,0.208506,0.831905,0.833972,1.574873,-0.922607,-0.720418,0.34202,-0.551061,-0.427774,0.104702,0.345856,0.68531,-0.037703,1.139242,-0.517263,-0.147935,0.041851,-0.433043,0.953458,0.316514,0.336637,0.024816,0.026949,-1.056685,0.11508,1.705488,1.563797,-0.573745
two,-1.952637,-1.918319,0.641351,-0.7953,-0.651625,-0.073524,0.470854,0.085028,0.647083,0.37895,0.554268,-0.116276,-0.416453,0.082152,1.219383,0.622627,1.291174,0.954792,0.137645,0.387175,0.019939,-1.13228,-0.471111,0.297033,-0.318763,-0.349017,0.31846,0.49012,0.080266,0.82174,-0.702167,0.421002,-0.337402,0.500466,-0.596267,0.553763,0.32135,-0.698237,0.404132,0.012023,2.092071,-1.602372
theory,-2.803033,-1.166572,-0.60789,-0.868252,0.230628,1.174875,1.385866,0.349765,0.095105,0.920569,1.656863,0.107447,-1.192472,1.065865,1.025466,0.366613,-0.859599,0.37269,-0.129049,0.769191,-0.789834,-1.252221,1.003507,-0.255549,0.953964,-0.217627,0.313238,-0.113073,0.128672,-1.021992,-0.108992,0.149876,0.635938,0.366308,0.907817,-0.939193,-0.260324,0.571378,-0.228746,-0.687401,2.138771,-0.385897
point,-1.752421,-1.702432,-0.145564,-0.852075,-0.145745,0.630655,0.484142,0.08151,-1.032612,1.253986,0.864999,-0.565876,-0.622146,-0.256132,1.434435,0.429169,0.550559,1.1953,-0.642564,-0.603066,0.417208,-0.78117,-0.967565,0.06707,-0.291896,-0.643779,-1.461528,0.454945,-0.102687,1.26577,-0.867814,0.415631,-0.629481,-0.242582,-1.095961,0.261419,0.868237,-0.253467,0.040629,0.524094,2.038898,-2.305659
theorem,-2.446048,-1.243463,-0.074084,-2.510375,-1.10656,-0.220588,1.373705,0.070382,-1.077133,0.503894,1.583425,0.858094,-0.772402,1.178361,0.754737,1.790719,-0.554387,1.140585,0.675777,-0.734794,-0.165188,-1.416712,-0.160519,-1.477107,0.037907,0.024837,0.035647,0.090764,0.105237,0.352948,-1.206319,0.294633,-0.219626,-0.141576,0.126156,-0.265555,0.104856,0.736188,0.872142,-0.309824,0.399209,-0.119113
