word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
number,0.310305,-0.079264,0.456186,0.472309,0.482226,-0.241837,-0.091536,1.96561,-0.369814,-0.008697,0.045381,-0.367959,0.477136,0.759853,0.059156,0.21789,-0.025142,-0.071396,-0.674592,0.028965,-0.119852,-0.683632,-0.576345,0.16763,0.087257,-0.00882,0.151858,-0.321101,0.792635,0.636393,-0.265225,0.108585,-0.846409,-0.225867,-0.120567,0.287405,-1.039232,0.422828,0.565088,-0.646877,-0.312623,-0.156939
function,-0.13719,-0.318514,-0.09635,0.579074,1.831808,0.209996,0.000717,0.557188,-0.011508,-0.875265,-0.595491,0.855672,0.338169,-0.289955,0.068037,0.038044,0.593108,0.764872,-0.504628,-0.449242,-0.655112,-0.121321,-0.832434,-0.506855,-0.021663,-0.060204,-0.341844,0.312983,0.338129,0.138358,0.948145,0.129695,-0.092184,-0.12495,-0.269375,0.281139,-1.81388,0.543945,-0.782814,-2.303052,0.037456,0.183924
one,-0.070347,-0.294139,0.30043,0.100525,-0.112529,-0.033001,0.311038,1.665794,-0.205327,-0.352552,-0.181659,-0.122675,0.599009,0.045742,0.50562,0.235398,-0.592631,0.047412,-0.093175,-0.196234,-0.39574,0.080569,-0.254845,0.105151,0.208589,-0.392857,-0.070989,-0.123525,0.366758,0.232116,-0.337995,0.559861,-0.442921,-0.715219,-0.333271,0.106652,-0.560599,0.015569,-0.045138,-0.694424,0.106294,-0.326618
set,0.291774,-0.073827,0.546133,0.309427,0.021344,-0.217551,0.299271,1.355346,-0.292394,-0.693997,-0.014259,-0.482293,0.008771,-0.432174,0.616211,0.450811,-0.171923,-0.006863,-0.56733,0.161202,-0.278986,0.143723,-0.769419,-0.250218,0.333803,0.145621,0.100014,0.173595,0.443126,0.601698,-0.35775,0.156786,-0.49616,-0.576754,-0.277586,0.162065,-0.616184,-0.230378,-0.250175,-0.749196,-0.258357,-0.280338
group,-0.182779,0.539111,-0.328519,0.820572,-0.33349,-0.269146,-0.127256,1.820593,0.098215,-0.542966,-0.184022,0.168138,0.126765,0.490496,-0.061377,0.041386,0.490023,0.712102,0.256055,-0.203467,0.165484,0.082294,-0.244706,0.389932,0.616757,0.244815,-0.219438,0.025655,-0.459634,0.492463,0.215341,0.76865,0.042669,-1.249485,0.445186,0.185255,-0.702826,0.581791,0.018426,-0.305671,0.037911,0.18599
space,-0.331758,0.316034,0.700374,0.881976,0.621991,0.051795,-0.403798,1.336063,-0.087476,-0.963915,0.232257,0.341843,-0.366999,-0.651487,0.594347,0.651775,0.565034,0.058306,0.297883,-0.206956,-0.623493,0.460292,-0.306758,0.125602,1.307791,0.068701,-0.607783,0.339899,0.037224,0.619568,-0.006646,-0.306696,-0.755672,0.130642,-0.262811,-0.842817,-1.039003,-0.829295,-0.448318,-1.255021,-0.175367,-0.158755
two,-0.33767,-0.197941,0.172611,0.216752,-0.567522,-0.131049,0.717386,1.511933,-0.36498,-0.498602,-0.048527,-0.517708,0.433478,0.18022,0.325682,0.519583,-0.501693,-0.036272,-0.06683,-0.199053,-0.254421,0.094371,-0.333587,0.090456,-0.034278,-0.290782,-0.545784,-0.081701,0.216102,0.623322,-0.262433,0.344139,-0.709208,-0.643323,-0.461937,0.213752,-0.682447,0.076626,0.264925,-1.17263,0.232584,-0.095165
theory,-0.438821,-0.729208,1.693783,0.438073,1.356913,0.824862,-0.528926,0.311216,0.548147,-0.209485,0.265394,0.832898,-0.470783,-1.326422,-0.154959,-0.157425,1.008586,-0.691706,-0.527182,-0.619432,-0.713467,-0.308792,-0.011247,0.625868,0.788756,-0.036764,0.131636,0.347854,0.231069,0.953828,1.260591,-0.013686,0.65094,-1.271851,-0.166334,0.509721,-0.516865,1.167763,-1.076229,-0.515194,-0.273795,-1.027802
point,-0.445564,-0.988027,0.203562,0.272103,-0.127725,0.046802,0.565626,1.904737,-0.334391,0.226101,0.039335,0.162397,-0.426722,-0.222177,0.073928,-0.175473,-0.282888,-0.670156,-0.07046,-0.18661,-0.2409,0.19849,-0.351575,0.234573,-0.117778,-0.728602,0.413595,0.590781,0.117158,1.08614,-0.408016,-0.132791,-1.00341,0.166109,-0.728244,-0.37529,-0.094879,0.43538,0.418534,-0.908717,0.426656,-0.608767
theorem,0.315103,-1.262177,0.239557,0.577843,0.981498,0.110952,-0.952121,-1.50143,0.953858,-0.426834,-0.050223,-0.097303,0.374677,-1.54957,-0.798892,-0.427213,0.414874,-1.496828,-0.6577,-0.062417,-0.815148,-0.042771,0.233074,-0.715826,-0.247835,-0.595722,0.412461,1.144855,-0.127432,0.708539,1.084825,-1.07613,-0.442969,0.01331,-1.54548,0.073261,-1.03035,1.398489,-1.204596,-0.631091,-0.957733,-0.874252
