word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
number,-0.378927,-0.886821,-0.892602,1.866598,0.023491,-0.841544,0.666678,1.315062,0.479676,0.809874,-0.552581,-2.196458,-0.124708,-0.575017,-0.257705,-1.933152,0.459628,0.126167,0.329457,-0.458814,-0.362956,-1.430284,0.044083,0.07396,0.857589,-0.400769,0.019389,-1.51063,-1.080346,-0.037131,-0.255655,-0.058595,-1.711964,1.30243,-0.022343,-1.128568,0.118468,0.196865,-1.418103,0.008107,1.682864,0.715598,0.72081
function,-0.673805,0.363987,-1.468936,0.085987,-0.541346,0.234027,0.806258,-0.880245,0.118415,0.98992,-0.051389,-2.131011,-1.481522,-0.810199,-0.978781,-2.118887,0.650308,0.413362,0.605106,1.119402,0.497514,-0.895217,1.127241,1.563972,0.371355,0.129011,1.395021,-1.369912,-0.278596,-0.554421,0.817822,0.950315,-1.403487,0.366926,0.891986,-0.485609,-0.370456,0.304934,-0.740332,-0.411258,0.747856,0.95663,0.377029
one,0.137745,-0.556714,-1.800639,1.961355,-0.301497,0.318587,-0.453783,0.029455,0.059757,0.399424,0.199388,-1.547584,-0.419415,-0.55017,-0.021452,-2.860595,0.155314,0.172038,0.651465,-0.643281,0.384674,-0.597123,0.778587,0.157892,0.172701,-0.025356,0.759498,-0.571196,-0.305693,-0.133192,0.06528,-0.472304,-0.986216,0.918637,0.273711,0.021157,0.609167,-0.122762,-0.357662,0.024181,0.638423,0.317263,0.31977
set,-0.58157,-0.775346,-1.549318,1.255012,0.541014,0.33353,-0.489422,1.220223,-0.646235,0.253901,-0.384484,-2.232478,-0.378856,-0.437056,0.190293,-2.096453,-0.523571,-1.066886,0.830406,0.899626,-0.067303,-1.523932,1.163976,0.691951,-0.703839,0.169152,1.354523,-0.528167,-0.430025,-0.844037,-0.734921,-0.520744,-1.476459,0.702937,-0.009179,-0.330924,0.094352,1.099303,-1.162004,-0.825821,0.429038,0.488114,0.778204
group,-0.925524,-0.720716,-1.556539,0.237816,0.075921,-0.461693,-0.30434,0.347197,0.800927,-1.669251,-0.126561,-1.242435,-1.754597,-0.272537,-0.375295,-3.448009,-1.153394,-0.555089,-0.190326,0.099184,0.908114,-1.110836,0.772557,0.262673,1.982304,0.012994,-1.141368,0.233102,-0.440439,-0.193747,0.042359,-1.414706,0.079363,1.556747,-0.034039,0.582154,0.914675,0.04717,-0.30968,-0.954301,1.430254,0.254424,-0.578186
space,-0.177739,-0.354609,-2.376496,0.321355,0.506202,0.976037,-1.077343,-0.613087,-0.423497,0.024368,-0.237496,-1.319645,-1.460903,-1.541058,0.586648,-2.458205,-1.257511,-0.369068,-0.501412,0.38774,-0.1001,-2.215531,0.497648,-0.098006,0.441653,0.029488,0.938437,0.381725,0.326815,-1.20342,0.613995,-0.609211,-1.618057,0.009123,0.282773,0.575035,-0.33781,-0.92322,-0.986618,-0.826008,0.880104,0.749493,-0.375323
two,-0.419471,-0.483467,-1.832478,2.023315,-0.181528,0.465998,-0.879195,-0.166127,0.484199,0.301473,0.062444,-1.226998,0.043279,-0.309185,0.208598,-2.984457,0.24043,0.044324,0.55609,-0.768515,0.386946,-0.883464,0.655301,0.14064,-0.21335,0.381448,0.485697,-0.244014,-0.733285,-0.78614,-0.125064,-0.613484,-1.209083,0.944279,0.51724,-0.522911,0.830454,-0.111415,-0.419777,0.148615,0.204131,0.466532,0.43509
theory,0.323051,-0.587762,-1.551695,-0.111096,-0.126869,1.640322,0.517264,1.446478,0.291969,-0.291626,-0.624244,-1.675833,-1.308091,-0.395595,-0.779282,-1.86791,-0.757434,-0.462684,0.044015,0.19389,-0.106156,-1.127065,0.194016,0.552636,0.727992,0.565121,0.778931,-0.327326,-0.019811,0.574095,-0.714655,-0.90395,0.318614,1.755248,0.208754,-0.041554,-0.237522,-0.351582,-2.719235,0.043069,0.765652,0.842049,0.068414
point,-0.657247,-0.655814,-2.112425,1.925074,-0.055938,0.289908,-0.521113,-0.175476,0.260791,0.186158,-0.269109,-0.508298,-0.292073,-0.600516,1.533809,-2.666056,-0.530564,-0.374692,0.704578,-0.411813,0.146769,-0.998372,0.809462,0.763718,0.873285,0.926179,1.676372,-1.0719,-0.553472,-1.584615,-0.258173,0.165319,-0.506275,0.28358,0.671843,-0.454739,-0.087357,0.350417,0.089715,0.742084,0.633948,1.024353,-0.187791
theorem,1.016869,0.315321,-1.827914,-0.525028,0.777787,0.733705,0.645361,0.115392,0.834305,-0.219278,-0.196293,-1.333153,-1.239203,0.248512,1.565732,-2.61937,0.161549,-0.876391,1.08209,0.125606,0.285267,-1.032875,0.958726,0.491545,1.120512,-0.279006,0.874241,-1.246911,-1.172633,0.976819,-1.066709,0.099828,-1.005558,0.289054,0.452648,0.100162,0.40613,-1.112469,-1.909624,0.682957,-0.104633,0.286962,0.695564
example,-0.076783,-0.521382,-1.456514,0.961811,0.011472,0.272132,-0.516792,-0.184225,-0.136683,0.330298,-0.281865,-1.623684,-1.155372,-0.813494,-0.369558,-2.459141,-0.232288,0.751163,0.696238,-0.214395,-0.123573,-0.613889,0.836643,0.111128,0.792397,-0.110675,0.44952,-0.66396,0.049569,-0.094226,-0.264347,-0.128402,-0.791981,0.752642,0.708168,-0.462918,0.591482,0.136871,-0.331116,-0.434067,0.627109,0.268705,0.825015
