word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
number,-0.669911,-0.192886,0.277982,-0.488377,0.007802,0.7409,-0.137913,-0.874955,0.169078,-0.173419,0.834244,0.582575,0.357452,1.429493,0.652751,-0.78146,0.206329,-0.586547,0.46017,-0.72424,-0.696454,0.647848,0.229327,-0.59036,0.160214,-0.787456,0.007422,-0.087834,-0.380575,0.776769,0.325585,0.201019,0.164879,0.255179,-0.434888,-0.106592,-0.327295,0.362307,-0.415594,-0.551459,0.053515,0.220631,-0.497363
function,0.394962,-0.924584,-0.292433,-0.107508,-0.965883,-0.113382,0.269281,-1.1342,1.024488,0.669124,0.617825,0.203757,0.292366,-0.17273,1.282578,0.729094,0.239093,0.180042,0.855139,-0.365451,0.451116,1.055757,-0.954984,-0.869183,0.700983,-1.304126,-0.197793,0.018815,-0.785802,0.168406,-0.714167,1.135033,-0.043348,-0.361365,-1.183276,-0.481844,-1.297347,0.324302,-0.188365,-0.404518,0.325705,-0.065649,-0.172498
one,-0.816864,-0.360794,0.217615,-0.009095,-0.174093,0.356108,0.271795,-1.132672,0.078363,0.54703,0.343994,0.219769,0.4007,0.8157,0.504894,-0.334857,0.223416,0.114924,0.60385,-0.05214,-0.609025,-0.010917,0.049569,-0.535708,0.046689,-0.47516,-0.090022,-0.166281,-0.747417,0.21837,0.507473,0.465556,-0.076947,0.00963,0.171478,-0.089259,0.114236,0.232385,-0.042346,0.049805,0.051451,0.542908,0.099797
set,-0.565726,-0.299839,-0.06708,-0.600935,0.135292,0.379543,0.385809,-1.08118,0.315575,0.300877,0.213733,-0.173453,0.445275,0.824614,0.425607,-0.308667,0.164974,-0.132655,0.230883,-0.798013,-0.126976,0.022775,-0.424598,-0.260052,0.024117,-0.552118,0.03261,0.097533,-0.643316,0.272443,0.44584,0.617762,0.069237,-0.294546,0.082908,0.522634,0.308883,0.593824,-0.069355,-0.677308,0.039401,0.656382,-0.219003
group,-0.683075,-0.698641,-0.070091,-0.126466,0.822323,0.178644,0.086436,-0.589911,0.235018,-0.469904,0.12263,0.297863,0.009795,-0.218423,1.083866,-0.721469,0.652829,0.211512,0.41934,0.828226,-0.374736,0.187708,0.231695,-0.418854,-0.219188,-0.564599,0.701144,-0.135379,-1.058101,0.25814,0.957879,0.957551,0.63488,0.433785,-0.336527,-0.231404,-0.472452,0.241286,-0.175429,-0.360335,0.44271,0.111245,-0.171246
space,-0.17739,-0.737086,0.022658,-0.232613,0.259694,0.130558,1.235536,-0.510951,0.581425,0.384326,-0.601314,0.076247,0.600632,0.777369,0.184298,0.125816,-0.248922,0.996468,1.016589,-0.248118,0.017337,-0.016487,-0.307258,-0.184407,0.733596,-1.237996,0.103011,0.535251,-0.587138,0.621023,0.502701,1.213307,0.403383,-0.586915,-0.733456,1.235471,-0.215079,-0.118223,0.020607,-0.867398,0.300471,-0.328623,-0.690295
two,-0.718868,-0.273852,0.072335,-0.016039,-0.171491,0.547572,0.452932,-0.992473,0.61124,0.196025,-0.050826,0.578765,0.567383,1.014732,0.738927,-0.415053,0.573315,-0.092735,0.543452,-0.342156,-0.651706,-0.341393,0.248335,-0.355328,-0.076523,-0.399013,0.05358,0.306804,-0.867885,0.397959,0.598888,0.28912,0.063853,-0.039903,-0.186755,0.228828,-0.156757,0.341914,0.216298,0.423614,-0.122664,0.758989,0.082021
theory,-0.831676,-0.974768,-0.082823,-0.037707,-0.173797,-0.881345,-0.088831,-1.235047,-0.292263,-0.368907,-0.507393,-0.296575,0.60837,-0.12751,-0.172287,0.819974,0.814715,1.060252,-0.327387,-0.272156,0.400217,-0.047646,-1.212847,-0.76636,0.395617,-1.600934,0.578851,-1.360222,-1.031268,0.422888,-0.437837,-0.332209,-0.398331,-0.259131,-1.003693,0.142049,-0.720094,0.566066,-0.88843,-0.998091,-0.358607,-1.746933,-0.448183
point,-0.625248,0.019405,0.143598,0.397632,-0.650067,1.195262,0.808021,-0.890264,-0.026101,1.069763,0.228391,0.73632,0.882643,1.280958,0.115427,0.114054,0.772437,-0.168346,-0.026205,0.114644,-0.499857,-0.095894,0.329294,0.007165,-0.605885,-0.171136,0.041,-0.414133,-0.059905,0.583965,0.512618,0.18702,-0.037976,-0.387643,-0.408856,0.893961,-0.431266,0.41848,-0.16452,-0.084255,-0.417582,-0.261409,-0.077996
theorem,0.457632,-1.208407,-0.249008,0.843578,-0.532633,-1.093079,-1.430024,-1.162327,-0.389154,0.095119,0.418307,-0.563114,1.41047,0.12094,-0.170307,1.123444,-0.032593,0.540453,-0.181436,-0.791144,1.176616,0.435025,-1.284506,-0.08372,-0.56133,-0.304956,-1.059152,-0.413474,-0.615288,0.687942,-1.207382,-0.727597,-0.13927,-1.449739,-1.196407,1.19125,-0.491046,0.166273,-0.734619,-0.093623,-0.26346,-1.420127,0.284048
