word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
number,0.137123,0.352998,-0.27773,-0.380133,-0.257415,-0.23415,-0.088105,0.170413,-0.304199,-0.070652,0.409246,-0.302556,0.538041,-0.644221,0.594506,0.80978,0.973835,-1.487433,-1.599667,-0.826912,-0.145991,0.328109,-0.291609,-0.380985,0.428644,0.516284,-0.654892,-0.016605,0.301638,0.337637,0.355073,-0.456017,-0.057887,0.5394,0.209043,0.730463,0.640709,0.382115,-0.110888,-0.313662,0.926811,0.191683,-0.538918,0.215958
function,-0.376509,-0.00975,-0.14227,0.253783,0.120265,0.687414,0.407994,0.552356,-1.353639,0.503972,2.49851,0.027084,-0.346938,-0.664698,0.695704,1.210652,-0.021776,-0.45116,-1.486072,-0.651115,-0.255943,0.331776,0.385151,0.636585,-0.364831,0.26349,-0.547792,-1.512101,-0.19445,0.7018,0.667953,-0.346656,0.340229,0.819961,-0.740056,-0.309749,0.313982,-0.127016,-0.489267,0.62988,0.478578,0.723347,0.149501,0.665617
one,-0.436505,-0.147719,-0.479489,-0.026346,0.047307,-0.44415,-0.019701,-0.192515,-0.411637,-0.054323,-0.247599,-0.290594,-0.036549,-0.03418,0.452735,0.535846,0.014693,-1.014703,-0.5099,-0.963746,-0.520352,-0.221174,-0.120401,-0.178023,0.183405,0.24297,-0.306746,-0.155338,0.353584,1.009315,0.58731,-0.491419,0.02518,0.127641,-0.161196,0.262299,0.342584,0.07913,-0.120093,-0.244185,0.368465,0.559041,-0.544078,0.368386
set,0.183771,0.14675,-0.492692,-0.478594,0.265664,-0.057165,0.039197,-0.208609,-0.436106,-0.376721,0.372636,-0.119287,-0.004529,-0.290926,0.597453,0.950242,0.503519,-0.707973,-0.939739,-0.758154,-0.102953,-0.400107,-0.119666,-0.002333,-0.031204,-0.036992,-0.106448,-0.035409,0.439972,0.717556,0.087405,-0.560701,-0.036171,0.441204,-0.180788,0.029287,0.7169,-0.103751,-0.149643,0.167893,0.205589,0.82383,-1.270414,-0.075882
group,-0.155078,0.388047,0.07701,0.175778,-1.197081,0.195479,0.404178,0.171114,-0.505555,-0.762702,0.259454,-0.527888,0.189583,0.188228,0.746315,0.66938,0.573099,-0.698569,-1.305776,-0.915628,-0.37016,-0.242295,0.103532,-0.577155,0.893225,0.619252,0.220433,-0.005502,-0.204841,1.529604,0.136201,0.115873,-0.184813,-0.458004,-0.527173,-0.098566,-0.131948,0.280054,-0.28332,0.706322,-0.0739,0.54165,0.137051,-0.132738
space,0.634043,-0.024855,-0.667681,-0.407468,0.187164,0.177905,0.292709,-0.503767,-0.214411,-0.58758,1.061264,-0.035201,0.275871,-0.421162,0.480207,1.049513,0.068121,-1.562109,-1.027393,-0.688238,0.002707,-0.929744,0.909769,0.281289,0.263274,0.022343,-0.253099,-0.961216,0.016164,0.538918,0.022878,0.296765,-0.237431,0.534264,-0.562611,-0.194543,-0.334116,-0.155492,0.472103,1.528183,-0.147125,1.039117,-1.227885,0.334708
two,-0.082819,-0.262213,-0.452325,0.127248,0.171458,-0.478554,0.002613,-0.236142,-0.39255,-0.04308,-0.039199,-0.631365,0.187277,0.31208,0.552435,0.633342,0.307309,-1.257466,-0.281015,-0.516556,-0.743054,-0.265453,-0.172409,-0.425088,0.146952,0.264118,-0.041692,-0.21929,0.238276,1.069808,0.429601,-0.75394,-0.376546,0.169727,-0.094812,-0.025958,0.306563,0.562754,-0.040126,-0.394076,0.207031,0.647945,-0.845135,0.647626
theory,-0.043616,1.423299,-0.352394,0.059309,-0.337783,0.350552,0.331215,-0.382804,-0.158345,-0.670329,1.45674,0.320351,-0.184655,-0.810638,0.772381,1.042569,-0.935122,0.919472,-1.31472,-1.298358,-0.211621,1.346864,0.323005,1.436891,0.969596,-0.698469,-1.213639,-1.081887,-0.14634,0.210355,0.124297,0.165039,-0.301459,0.10039,0.564382,0.164172,-0.677379,-0.294959,-0.621919,0.621303,0.117741,0.880671,-0.871272,0.226563
point,-0.012267,0.334669,-0.75435,0.16933,0.529694,-0.734362,0.387132,-0.813691,-0.48469,0.436669,0.512567,-0.558037,-0.061015,-0.61303,0.471395,0.150844,0.063763,-1.737473,-0.416374,-0.3621,0.159394,0.220732,-0.227574,-0.045321,0.215853,-0.248794,-0.807426,0.533958,0.654836,0.248061,0.779953,-0.202271,-0.165419,-0.520173,0.579615,-0.422193,0.030589,0.406727,-0.351279,-0.263771,0.396354,1.133069,-0.939071,0.748377
theorem,1.595452,0.877118,-1.535925,-0.626781,-0.682772,-0.019665,-0.169436,-0.813769,-1.283556,0.563263,2.382269,0.076075,-1.129875,-1.040992,0.260444,0.937735,-0.076665,0.604931,-0.387537,-0.404756,-0.022213,0.595284,0.22136,1.528169,1.052045,-1.389494,-1.157607,-1.61007,-1.357792,-0.370568,0.692354,0.140295,0.84239,0.318162,1.160573,-0.092339,1.250812,0.087765,-1.208532,0.578557,-0.079594,1.039839,-0.435695,0.495801
