word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
number,-0.001908,0.688201,-0.939931,-0.477068,0.797277,0.394977,-0.455729,-0.750836,-1.814146,1.426459,-0.088802,-1.448122,-0.99566,0.059285,-0.744544,0.547857,0.175823,0.417,2.711033,-1.568277,0.05757,-0.299935,0.678342,-0.05861,0.521692,0.52594,-0.223166,-0.316689,-0.490628,0.319254,1.276062,-0.355358,-0.75874,0.563893,-0.53045,-1.235742,0.446696,-1.485418,0.159244,-1.468049,0.07731,-1.605592,-0.111891,-1.360308
function,0.024287,-0.559219,-0.001808,-0.298073,0.28234,1.157294,0.878588,-0.847981,-2.049543,0.236762,1.433436,-1.813142,-0.328046,0.603185,-1.22883,0.507042,0.796905,0.57172,2.566474,-1.362847,1.662504,0.777583,-0.108903,0.171996,1.324341,-0.486211,1.029686,-0.463293,0.608208,0.02897,0.235791,-0.848553,0.273719,-0.589762,-0.061076,-1.287575,-0.32903,-0.973173,0.314036,-1.039654,-0.60684,0.246948,-1.283944,-0.677282
one,-0.177862,0.832361,0.420198,-0.022001,0.443218,0.05924,0.690326,0.164606,-1.839471,-0.350007,0.09797,-0.967104,0.052299,-0.040006,-0.231815,0.434661,0.009535,0.316242,2.737459,-1.027128,0.291265,-0.189234,0.353181,-0.635856,0.227776,0.271918,0.014797,-0.990464,-0.320937,-0.270523,1.449621,0.33245,0.37801,0.410574,-0.684339,-0.595026,-0.108018,-1.077847,0.595007,-0.221443,-0.342183,-0.666016,-0.577178,-1.421748
set,-0.35277,0.203097,-1.051999,-0.140323,0.080044,-0.153786,-0.541397,-0.486924,-1.334722,-0.381894,-0.195218,-1.195599,-0.503537,0.176107,-1.048698,-0.905845,-0.261724,0.827978,2.919075,-0.96069,0.379735,0.599646,-0.198208,-1.189282,0.320144,0.173465,0.292357,-1.481613,0.460786,0.015054,0.048906,0.524601,-0.477608,0.018913,-0.941539,-0.721004,0.376189,-2.359881,-0.191494,-0.397978,-0.797229,-0.715574,-1.233308,-1.566105
group,0.271099,-0.652455,-0.256275,0.403019,0.710409,-0.333382,-0.877208,-1.401107,-1.738853,0.214759,-1.06134,-2.073855,1.011935,-0.599941,0.451378,1.321117,-0.456633,-0.588189,3.034327,-0.113208,-0.28651,-0.333949,-1.460037,0.074935,0.804505,1.57712,0.458596,-0.931093,-1.158238,-0.87875,1.434239,-0.18357,0.372482,-0.130164,-1.067393,1.290273,-1.11928,-0.398342,0.219315,0.523391,-0.142523,-1.060937,-1.295645,-1.3328
space,-1.262421,0.040496,-0.21517,-1.5469,1.538418,0.036427,-0.672242,-0.912198,-1.730861,-1.128972,-0.464546,0.029237,0.14746,0.471356,-0.618011,0.495181,-0.612255,-0.075014,2.969358,-0.319527,1.920154,0.253373,-0.652271,0.010922,0.753791,0.185789,0.032792,-1.532035,-1.054107,-0.497651,0.390292,0.612559,0.719622,-0.625611,-0.218576,-0.496506,-0.486099,-1.43639,0.037828,0.605329,-0.838756,-0.110165,-1.292221,-1.227538
two,-0.079499,0.625048,0.76259,-0.336555,0.553282,-0.014407,0.642991,-0.261931,-1.621539,-0.763767,0.190137,-0.995554,0.589963,-0.181827,-0.408627,-0.13986,-0.216314,0.580266,2.64096,-0.743964,-0.178624,0.185543,0.654103,-0.321637,0.492001,0.525565,0.202216,-0.654401,-0.268102,-0.517393,1.6783,0.655168,-0.289562,0.614738,-0.689751,-0.842427,0.138029,-1.224023,0.64971,-0.737029,-0.552324,-0.762726,-0.48823,-1.912932
theory,0.242696,-0.132782,-0.817937,1.268375,0.162473,0.253353,-0.636716,-0.468959,-0.523672,0.225695,-0.056968,-0.696246,0.02449,-0.079679,0.422389,0.452988,-0.959486,0.865443,2.212541,-1.717939,1.192319,0.405227,-1.264378,0.621439,0.73364,-0.09394,-0.762576,-0.922651,-0.969456,0.50118,1.257613,0.124646,-0.705955,-0.869638,-0.702628,0.650023,-0.276384,-2.019546,0.461149,-1.092087,-1.469332,-0.803189,-1.467119,-0.753041
point,-0.382896,-0.018543,0.814516,-1.674349,-0.179975,-0.465375,0.217724,0.195027,-1.979778,-1.3797,0.810817,-1.178476,-0.087091,0.117638,-0.469738,0.858465,-0.80025,1.078362,2.475554,-0.537432,0.598737,-0.295831,0.753618,-0.30764,0.112981,-0.363839,0.305709,-0.988555,-1.158735,-0.68742,0.206186,-0.267055,0.30292,0.989812,-1.419858,-0.351993,0.99453,-1.096706,0.653392,-0.491059,-0.445268,-0.536172,-0.570988,-1.885395
theorem,0.81559,-0.36455,0.035803,-1.105624,-0.309685,1.475678,-0.759377,0.750282,-1.923807,-0.02,-0.058999,-2.229729,-0.568005,0.017195,1.187891,0.130984,-0.952964,-0.239952,1.56771,-1.55034,1.630426,-0.200278,-0.56493,0.606299,-0.539599,-0.030073,-0.863647,0.168996,0.076548,-0.90313,0.69708,-0.093123,0.067713,-1.001369,-1.183759,0.171937,0.645915,-2.127615,-0.015631,0.627443,-0.943081,-1.279273,-0.868647,-1.173406
