word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
number,-0.34394,-0.028008,-1.13642,-0.838628,0.49166,0.276261,-0.011713,-0.739961,0.238614,0.11209,0.016991,0.098938,-0.088981,0.544118,0.48374,0.202711,-0.162505,-0.032686,0.574981,-1.595526,-0.906652,0.535642,-0.543498,0.081769,0.491867,0.067745,-0.618304,0.176824,0.05813,0.472274,0.25031,0.333417,0.608823,-0.370357,-1.161914,-0.694288,0.611223,0.002131,0.01704,-0.147424,-0.104986,0.128039,-0.246002,0.466413
function,-0.472742,-0.24231,0.524385,0.594887,-0.468853,-0.58868,-0.176127,0.123137,-0.945456,-0.017369,-0.676503,1.012015,0.159541,0.935461,-0.545284,0.247437,0.21135,0.681954,-0.069204,-1.716802,-0.434142,0.259498,-0.869333,0.682603,0.093904,-0.368687,-0.588452,-0.714653,-0.72729,-0.601244,0.575009,-0.22314,0.508921,-0.208873,-2.371756,-0.034499,0.422675,0.666625,-0.118269,-0.37066,0.761308,-0.390523,0.340745,0.452649
one,-0.222896,-0.151991,-0.407553,-0.673864,0.693412,0.661547,-0.042691,-0.144086,-0.098261,-0.219693,-0.300432,0.1767,0.054358,0.655896,0.062084,-0.468714,0.281958,-0.430648,0.560071,-1.327163,-0.885271,0.524806,-0.042766,0.32271,0.258367,0.164752,-0.455112,-0.104238,-0.290414,0.019243,-0.324771,-0.018193,0.159713,-0.306937,-0.287327,-0.06185,0.296058,0.157625,0.112378,0.287883,-0.010907,-0.005235,0.510818,0.448211
set,0.097972,-0.06454,-0.387023,-0.582404,0.100988,0.521141,0.11048,-0.54965,-0.509822,-0.319031,-0.131477,0.284518,0.019579,0.818014,0.141635,0.166431,0.480356,0.138085,0.552206,-1.327834,-0.868236,0.837963,-0.223783,0.313014,0.303907,0.372885,-0.34548,-0.134542,-0.219054,0.16765,-0.252518,-0.022194,0.331195,-0.259779,-0.192782,-0.277965,0.149953,-0.186116,0.398518,-0.534803,0.26037,0.327401,0.346365,-0.041919
group,-0.541688,-0.059648,-0.468632,-0.622108,-0.263652,0.136575,0.753538,0.323712,0.189162,0.827732,0.163224,0.279774,0.529681,0.699226,-0.385529,-0.083376,-0.838511,0.183246,0.490588,-0.669622,-1.182875,0.429726,0.277412,0.796253,-0.505675,0.187392,-0.42279,-0.32694,0.550347,0.351514,-0.077311,-0.222218,0.37095,-0.581147,-0.728088,0.194793,-0.323672,-0.009039,-0.392209,0.329898,-0.267234,0.333832,0.720343,0.755247
space,0.377584,-1.008364,0.807205,-0.398604,-0.189311,-0.582764,0.448896,-0.057046,-0.041861,0.542173,-0.501841,0.459894,-0.620856,1.718014,-0.320247,0.27742,0.575965,0.042454,0.171129,-1.878928,-0.963687,0.509133,-0.168428,0.487185,-0.479428,0.221805,-0.307006,-0.072547,-0.256206,0.398395,-0.530939,-0.75525,0.423251,-0.213762,-0.571596,-0.325085,0.172355,-0.357245,0.369097,-0.490268,0.738416,-0.011051,-0.322238,-0.319219
two,-0.207641,-0.425727,-0.253284,-0.648272,0.61184,0.70729,-0.006509,-0.20195,-0.240003,0.020972,-0.292326,0.021849,0.294494,0.513179,0.021883,-0.246844,0.431613,-0.340321,0.684045,-1.519874,-0.59529,0.601172,-0.13959,0.491586,0.113562,0.584932,-0.536277,-0.253328,0.116955,-0.082855,-0.483359,0.431978,0.008559,-0.456286,-0.42217,-0.052187,0.394264,-0.402156,0.124107,0.459983,-0.12457,0.335426,0.342126,0.610365
theory,0.45868,0.141859,0.211182,-0.621444,-0.399202,-0.504243,-0.35188,0.030289,-0.09446,-0.256721,-0.624689,0.845672,-0.536893,0.855104,-1.723595,-0.123937,-0.610262,1.494902,-0.911337,-1.032979,-1.140631,0.240028,-0.850195,0.671443,0.118609,-0.081401,0.130748,-0.685396,-0.133606,-0.375053,0.216739,0.714085,1.937092,-0.366952,-0.157117,-0.682887,-0.440988,1.819051,0.474054,0.305158,0.795761,-0.158721,-0.09034,-1.11954
point,-0.182732,-0.120986,-0.722174,-0.51827,0.620776,0.917628,-0.396208,0.441372,0.047819,0.673287,-0.484163,0.307779,-0.318787,0.610237,0.111664,0.18045,0.275676,-0.162473,0.132841,-1.548708,-0.788229,0.722217,-0.145196,-0.435512,0.562662,-0.080344,0.07948,-1.203902,-0.121877,-0.611134,-0.331456,0.939377,0.287875,0.260023,0.271182,-0.45931,0.519902,-0.425138,0.892828,0.334633,0.141233,0.211448,-0.17044,0.291187
theorem,0.378425,-0.432208,1.252777,-0.362329,-1.03152,-0.360062,-1.426807,0.33145,-1.311014,-1.187085,-0.236527,-0.195327,-1.302379,0.469407,-0.543887,0.463688,0.169305,0.80613,-0.225296,0.134919,0.311719,0.450128,-0.453569,0.459201,0.762978,-1.090161,-0.112872,-1.378873,0.078309,-1.11688,0.538288,1.207524,1.947561,-0.02376,-0.526428,-0.567275,0.221304,0.913449,0.063456,-0.767647,0.626109,-0.918102,-0.657276,-1.38036
