word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
number,0.05282,1.026952,0.752226,-0.127944,0.089319,0.120835,-0.063508,-0.510797,0.041627,-0.590383,-0.565984,-0.766804,0.567631,0.080517,-0.041286,0.210774,0.594502,-1.048564,0.674631,-0.74727,0.434233,-0.282246,-0.740894,-0.332086,0.587452,-0.145512,0.614143,-0.526882,-0.653537,-0.819004,0.385434,-0.81388,1.107823,0.188367,0.706909,0.745273,-0.108016,0.267346,0.103103,0.189923,-0.845056,-0.220654,-0.141089,-0.207371,-0.022988
function,-0.029894,0.950289,2.018748,0.012552,0.984613,-0.191805,-0.240046,-0.669269,-0.183494,-1.079624,-0.256916,-0.101095,0.981952,0.46513,0.017386,0.262951,1.090174,-0.197561,0.149257,-1.285264,-0.746998,-0.036982,0.571629,1.028766,-0.26801,0.455166,-0.212314,0.841733,-0.756701,0.211099,0.484931,-0.233166,1.649716,0.2442,0.545277,0.384673,-0.065211,-0.348208,0.265831,-0.306553,0.353013,-1.87656,0.211467,0.344906,-0.103972
one,-0.294748,0.643392,0.595483,0.071345,0.429439,0.084851,-0.375436,-0.317573,0.143762,-0.830848,-0.418355,-0.792,-0.013043,-0.0316,-0.548684,0.200473,0.179242,-0.740952,0.011942,-0.418545,0.512526,-0.483308,-0.031467,-0.005737,0.351406,-0.169888,0.010149,-0.279675,0.067283,-0.605822,0.778516,0.032245,0.529434,-0.400328,0.074288,0.417249,0.449064,0.028925,0.61643,-0.061779,-0.507874,-0.023263,-0.185506,-0.269989,0.146499
set,0.062433,0.646802,0.727521,-0.252761,0.16428,-0.148307,0.224982,-0.393396,0.211519,-0.325578,-0.453158,-0.696898,-0.087141,0.105742,-0.463977,0.267002,0.731334,-0.939502,0.088637,-0.755729,0.817152,-0.046157,-0.012658,0.203764,0.07798,0.209424,-0.020578,-0.074505,-0.591817,-0.951332,0.626286,0.113983,0.92326,0.472973,-0.220888,0.624142,0.315285,-0.207145,0.497354,-0.07856,-0.286816,-0.069063,0.074719,-0.252914,0.127649
group,-0.509663,0.7525,0.401877,-0.445855,-0.116141,0.31331,0.110729,0.00848,-0.156245,-0.162282,-0.155562,-1.018517,-0.388273,0.051487,-0.317729,0.235751,0.250186,0.501662,0.15232,-1.169393,0.045347,-0.514119,-0.488403,-0.246983,0.248992,0.907691,-0.036587,-0.639762,-0.300485,0.32066,1.40767,-0.691741,0.1653,0.201917,0.152872,0.481823,0.428152,-0.36258,0.349974,0.332593,-1.381207,-1.045491,0.100119,0.384622,-0.096516
space,-0.069291,0.65498,0.730032,-0.156495,0.316396,-0.141199,0.226175,-0.463334,-0.016623,0.440654,-0.61901,-0.092796,0.535653,0.713194,-0.44068,0.09165,1.08544,-0.14399,0.299545,-0.49143,0.816464,-0.011152,0.850462,0.434245,0.454765,0.875319,0.077605,0.045177,-0.866314,-0.789449,0.301423,-0.009037,1.297734,0.292297,-0.391817,0.529275,0.926946,-0.382968,1.814222,0.617533,-0.588528,-1.393933,0.745458,0.345126,0.202462
two,-0.362885,-0.038177,0.4802,0.368654,0.522701,-0.238615,-0.213988,-0.49251,0.093008,-1.062982,-0.440666,-0.856916,0.080714,-0.056221,-0.584411,0.287634,0.317869,-0.817112,0.076708,-0.286965,0.60371,-0.356091,-0.284705,0.228627,0.452861,-0.147326,0.249764,-0.646976,-0.470488,-0.390416,1.065298,0.12159,0.399244,-0.542787,-0.191107,0.467233,0.516338,-0.057589,0.640046,-0.156451,-0.74134,-0.150329,0.056562,-0.171215,0.449439
theory,-0.705215,1.355008,1.629404,-0.948927,-0.975974,0.772957,0.780961,-0.086487,0.818299,-0.520922,-0.691229,-0.336902,-0.581147,0.817641,-0.209762,-0.741143,0.492295,-0.315836,0.32436,-0.596418,-1.474198,0.768981,0.773259,1.112759,0.172171,0.093119,0.445514,0.344453,-0.629135,-0.421598,-0.433243,-0.155333,0.614317,0.390803,0.117806,0.546916,-0.003958,-0.617872,1.040939,0.697023,0.76231,-2.073657,-0.611741,-0.189191,-0.840858
point,0.555832,0.29142,0.004962,-0.588333,-0.188262,0.229384,-0.660106,-0.64807,0.340704,-1.397403,-0.750646,-0.452609,0.734345,0.369031,-0.116307,0.074788,-0.036359,-1.281569,-0.48849,0.059646,0.560272,0.140837,0.551589,0.117696,0.191197,-0.366131,0.366268,-0.659261,-0.695812,-0.527302,1.005558,-0.292703,0.096254,-0.144724,0.004454,0.371799,0.011467,0.145592,1.048517,0.251528,-0.082422,-0.625637,0.09017,-0.588517,-0.202915
theorem,-0.120616,0.645681,0.112978,-0.984044,0.4077,0.34427,0.940823,-0.055151,0.210691,-0.513249,-1.432034,0.557005,-0.459015,0.997749,-0.257792,0.02662,2.562767,-1.614317,0.018656,-0.297805,-1.626127,1.307631,1.377257,1.943235,-0.601211,0.308252,0.460722,0.430671,-0.836213,0.046583,-0.109974,-1.608038,1.499892,0.03307,-0.58956,0.267244,-0.254847,-0.012839,0.396679,0.005627,1.737572,-1.155669,-0.871956,-0.436763,-0.797763
