word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
number,-0.672842,-0.297605,-0.131657,-0.244874,-0.683938,-1.556006,-0.629916,-1.142352,0.065264,0.213627,1.036719,0.123477,-0.367657,0.793631,-0.116098,-0.112264,1.018476,-0.248344,-0.80417,-1.166857,0.132137,0.73962,0.31518,-0.523873,-2.042271,0.119642,-0.515443,-0.15734,-0.133416,-0.322577,-1.226663,-0.299641,0.287336,1.148718,0.051905,-1.128698,0.767718,-0.413898,1.175171,3.904787,0.957793,0.802349,0.138032,0.546489,-0.063658
function,-1.479461,0.831852,-0.244412,-0.096285,-1.591278,-0.711892,1.009794,-0.389842,-1.335263,-0.598695,-1.60916,-0.064239,0.367261,0.110551,-0.722169,0.467875,0.011913,-0.422672,-0.01781,-0.364011,0.603664,1.592973,0.068774,-0.600831,-0.131427,0.420139,-0.655927,-0.655424,-0.348076,0.737517,-1.757872,0.32978,1.105324,0.51216,-1.662533,0.684249,0.620963,0.163623,0.844704,3.24141,1.310482,0.562268,-0.724544,-0.117797,0.453171
one,-1.133946,0.481881,-0.182999,-0.260431,-0.526565,-1.112831,-0.31871,-1.386606,-0.174099,-0.129752,0.650311,0.204435,0.684288,-0.279382,0.08829,0.115752,0.474766,-0.008298,0.045232,0.400009,-0.464348,0.223346,-0.039674,-0.578636,-0.321573,0.027419,0.037034,-0.311199,-0.111709,-0.052124,-1.790122,0.196491,0.206132,-0.364186,-0.381892,0.485289,0.547867,-0.432035,0.741724,3.718454,0.020989,-0.092878,-0.100734,0.645358,-0.397127
set,-1.018865,0.063873,-0.296887,-0.282105,-0.786757,-0.374215,-0.057549,-0.124863,-0.546152,0.263489,1.230756,0.418342,-0.092025,0.704206,-0.205589,-0.069464,-0.201608,-0.417908,-0.526815,0.400094,0.664485,0.990651,0.914081,-0.221939,-0.847494,1.089256,0.078769,-0.758346,-0.972427,0.445834,-2.200004,-0.062516,0.472014,-1.731908,-0.808868,-0.86685,0.206884,-0.498496,2.019065,3.579352,0.03912,0.482255,-0.121359,0.373292,0.226649
group,-0.63453,0.27459,-0.707181,1.207193,0.349272,0.172882,-0.194269,-1.004679,-0.177737,0.185768,0.2897,-0.660014,0.28394,-0.995527,0.865564,-0.759526,0.543089,-0.80569,-1.519291,0.564146,-0.044894,0.757699,0.7718,-2.494227,-1.212348,0.286913,0.319342,-0.220853,-1.179253,-1.991796,-1.787181,-0.631838,0.483342,0.401355,-0.868039,0.573342,-0.268007,1.400794,0.955899,2.636943,0.060215,-0.563901,-0.216876,0.66401,-0.953765
space,-1.261278,0.601408,-0.529444,-0.45479,-0.403761,-0.251456,0.002075,-0.506638,-0.217327,-0.837148,-0.379398,-1.313005,0.690935,0.035911,0.641201,-1.420642,-0.937791,-0.135981,-0.020369,-0.421737,-0.136153,1.259763,0.740856,-0.938267,0.295263,1.059453,0.483401,0.976912,-1.172812,-0.855899,-1.626179,-0.411027,1.125927,-0.902385,-0.679451,-0.158011,0.100312,-0.683689,0.832151,3.576605,-0.693233,-0.969056,-1.406826,0.953373,-0.482254
two,-1.256449,-0.039563,-0.615287,-0.370031,-0.133362,-0.759686,-0.681173,-1.678062,0.340507,0.233137,0.773066,0.560345,0.327057,-0.600732,0.306959,0.091694,0.237505,-0.073507,0.37262,0.140717,-0.170889,0.410643,-0.352555,-0.806615,-0.060383,0.21306,-0.381388,-0.659598,0.188832,0.152469,-1.470807,0.091768,0.269739,-0.529395,0.028588,0.326118,0.109638,-0.098464,1.246078,3.817101,0.158566,0.016464,-0.681799,0.734851,-0.261931
theory,0.871721,0.0419,-0.171948,0.540525,-0.617161,-0.461274,-0.166269,0.329676,-0.375306,-0.097605,-0.320433,0.472359,-0.146287,-1.095098,-0.441182,-0.081169,0.547967,-1.696297,-1.329879,-0.564827,0.45319,0.360942,0.538111,0.601033,-0.192233,1.464572,-0.06745,-0.069631,-1.414388,-0.864101,-2.067714,-0.467696,0.38915,-0.065578,-1.176365,0.152736,0.559078,0.766729,1.121131,3.271053,0.33626,0.18704,0.208862,1.385578,-0.63153
point,-1.395945,1.344134,-0.267993,0.158901,-0.720053,0.010015,-1.540104,-1.966876,-0.616271,-0.182173,0.389937,0.408381,0.930512,0.784244,0.223939,-0.755875,0.03129,0.329807,-0.578292,-0.436368,0.475799,0.366432,-0.075552,-0.58425,0.223068,-0.175798,0.070081,0.144125,-0.142026,-0.090035,-1.550896,0.87222,1.209608,-1.04969,0.596411,0.360504,-0.835244,-0.113164,1.01611,3.288344,-0.070168,0.803295,-0.808893,0.165064,-0.372911
theorem,-0.625559,0.261877,0.114163,1.118714,1.191356,-0.631376,0.06073,-1.002455,-0.587782,-0.530941,-0.591901,0.49996,-0.95123,0.402484,0.292429,0.918836,0.19483,-0.83978,-1.313812,-0.901802,0.656257,-0.210413,-0.319098,-0.705248,-0.107295,0.449856,-1.194358,0.241997,-2.153277,0.541974,-2.199673,0.744733,0.8074,-0.843653,-0.793715,0.122132,-0.351321,-0.547606,-0.449904,2.775982,-0.12864,0.813203,0.240724,2.010654,-1.278541
example,-1.39916,0.4732,0.053822,0.00784,-0.572045,-1.108403,0.033975,-0.819835,-0.377174,0.086271,0.309414,0.172325,0.779537,-0.007691,0.462047,-0.095368,0.919707,-0.41002,-0.570531,0.294465,-0.352672,0.562337,0.196674,-0.647409,0.139505,-0.32183,-0.509059,0.140699,-0.60277,-0.239499,-1.788882,0.087383,0.564291,0.149399,-0.962576,0.120369,0.305201,0.039092,0.876949,2.700955,0.169406,0.122726,0.210966,0.862775,-0.171013
form,-0.985011,0.078297,-0.880479,0.13364,-0.367243,-0.543295,0.081159,-0.65347,-0.252588,0.207964,0.134593,1.21738,0.489127,-0.267059,0.443614,0.261024,0.707481,-0.67769,0.438812,0.308582,-0.871946,1.047817,0.025361,-1.00967,-0.205092,0.47164,-0.116819,0.063832,-0.199953,0.175616,-0.959892,0.700091,0.517536,0.076397,-0.733993,0.408582,0.750043,-0.436862,0.675371,3.362901,0.377631,-0.637878,-0.46057,0.235638,-0.312314
define,-1.120762,0.445145,-0.750873,0.869529,-0.951093,0.011923,0.499902,-0.693535,-1.049797,-0.022499,-0.186773,0.036201,0.743147,0.130485,0.251163,-0.039582,0.439745,-0.178997,-0.03163,0.358993,-0.056284,1.463352,0.472259,-0.924535,-0.028308,0.778399,0.118306,0.182583,-0.199396,0.397847,-1.773605,0.25463,0.681289,-0.484679,-0.89916,-0.03865,0.700153,-0.387629,0.462366,3.035765,0.171147,-0.272007,-0.555987,0.45475,0.006681
graph,-1.491479,-0.038645,0.723857,0.816698,1.029885,-0.576176,1.095239,0.076311,0.348735,0.521335,0.470825,0.252999,-0.094555,-0.532915,-1.215276,0.770635,0.514256,-1.035478,-0.532706,0.419186,-0.677879,0.565092,-0.603418,-0.663902,-0.9217,0.840967,-0.165363,0.432943,-0.201959,-0.310114,-1.408906,1.292215,0.36398,-0.66872,1.362802,-1.06206,-1.146449,0.320598,1.745985,3.873883,-1.333407,-0.53069,0.797919,0.189216,0.508089
value,-1.025681,1.095824,0.130276,-0.429974,-1.543121,-1.697907,0.091246,-1.136383,-0.825494,-0.750433,-0.247562,0.216874,0.149349,0.970468,0.001456,0.069533,0.668767,0.452482,-0.405064,0.34419,0.563012,1.445432,-0.299263,0.055595,-0.493221,-0.241267,-0.384764,0.062441,0.280429,0.557983,-1.565827,-0.042046,0.000526,0.065417,-0.157328,0.248823,0.914728,0.131669,0.741267,2.910439,0.692148,0.490464,-0.558119,0.3541,0.384809
problem,-0.266967,0.458671,0.778991,-0.616076,1.01682,-0.564394,0.514591,-0.189822,0.394148,-0.77852,-0.149322,0.616305,0.289138,-0.11698,-1.068621,-0.118491,0.975075,-0.267866,-0.136706,0.111856,-0.041388,-0.684703,-1.671283,0.781511,-0.774628,-0.026761,-0.066488,0.960798,-0.796856,0.232253,-2.177243,-0.056076,1.416529,-0.325879,-0.64023,-0.476238,0.54076,-0.266257,1.628229,3.166167,1.073624,-0.073269,0.727766,0.591006,-0.811127
mathematic,-0.182407,0.234874,-1.37196,-0.010916,-0.668973,-0.404173,-0.839368,1.184719,-0.517975,-0.260056,-0.04228,-0.126637,1.033542,-0.735096,-0.265355,0.75175,-0.064161,-1.704438,-1.156309,-0.586127,-0.129558,-0.435094,-0.625218,0.59113,-1.112377,-0.652768,0.200962,-0.639021,-1.100869,-1.058026,-1.285068,0.212991,-0.204939,0.364985,-0.096195,0.338704,0.218965,-0.464773,0.556025,2.881027,1.052406,-0.539943,-0.050293,1.064781,-0.718572
order,-1.329422,-0.445198,0.298455,0.322733,-0.090267,-1.057082,-0.042911,-0.170731,-0.380918,0.933386,0.763416,0.742959,0.184421,-0.102198,0.06168,-0.061181,0.975824,0.331579,-0.138716,0.29464,0.782135,-0.158875,1.430068,-1.360706,-1.290232,0.778072,-0.0892,0.414272,0.081108,-0.52467,-2.066623,0.725092,0.561829,-0.463838,-0.571378,-0.482777,0.181324,0.826015,0.2891,3.245328,0.809393,-0.771972,-0.790447,-0.187382,0.079069
equation,-0.929557,0.843147,-0.557799,0.064368,-0.360549,-0.753814,-0.521912,-1.28489,0.653607,-0.737421,-0.830815,1.068671,0.864142,-0.572057,0.395879,1.709999,1.522831,-0.381327,0.599386,0.071433,0.001959,-0.350311,-0.405053,0.196191,0.152433,0.347596,-0.191204,1.304011,-0.483282,-0.198557,-2.171524,0.3383,2.567824,0.088163,-1.522766,1.371752,0.185289,0.175284,-0.055571,2.537841,1.037461,-0.376393,-0.299278,-0.506865,-0.117033
