word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
number,-0.57636,-0.429224,-0.457623,-0.024724,-0.106342,0.181279,0.371837,-0.024394,0.452292,-0.27154,-0.716695,-0.64311,0.7509,-0.153545,0.1937,-0.014901,0.16042,-0.307834,-0.232737,0.255398,-0.018931,-0.453618,-0.703562,-0.733875,-0.283855,1.151613,0.615945,-0.348214,0.361525,-0.262508,-0.463089,-0.215838,-0.052001,0.377893,-0.873417,-0.12688,-0.431817,0.018607,0.967244,-0.178427,-1.822389,-0.35611,0.460021,0.116593,-0.459571
function,0.420216,-1.62111,-0.320585,-1.208659,0.109171,0.013612,0.459732,0.233568,0.408138,0.518842,0.207172,-0.535827,-0.021595,0.077262,0.680512,0.621632,0.187843,-0.182154,0.1757,0.833137,0.54583,1.125295,-1.17392,-0.738482,-0.822726,0.965162,1.039071,-1.871089,-0.121656,0.705714,-0.348085,-0.319624,0.265315,0.369241,0.804036,-0.236021,0.094638,-0.615787,0.588457,-0.603492,-0.578998,-0.713501,0.322256,0.113203,-0.210652
one,-0.282669,-0.2147,0.152142,0.230277,0.230245,0.175982,0.179768,-0.007622,0.140412,-0.072965,-0.46002,-0.194873,0.505311,-0.124047,0.523152,0.2938,-0.027624,-0.084848,-0.211259,-0.241646,0.210897,-0.429766,-0.809502,-0.400088,-0.264966,0.826473,0.404101,-0.032313,-0.141566,0.03355,-0.240974,-0.134262,-0.362735,0.469578,0.448047,0.327293,-0.447937,0.17891,0.127564,-0.2624,-1.565328,-0.032295,0.044534,-0.411336,0.163541
set,-0.282249,-0.52524,-0.615816,0.202808,0.088828,0.068327,0.207416,-0.035146,0.249376,0.040511,-0.170143,-0.170834,0.717737,0.040642,0.527062,0.142516,0.542138,-0.212439,-0.35389,-0.142917,0.056166,-0.290281,-0.152565,-0.467146,-0.782659,0.753697,0.299757,0.047212,0.032296,-0.043286,-0.342942,-0.838221,-0.233933,0.572508,0.298194,0.075558,0.059733,0.340689,0.252263,0.145787,-1.32408,-0.388599,0.055546,-0.764647,0.329079
group,-0.042941,-0.473634,-0.7209,-0.249867,-0.665178,-0.148028,0.23622,0.479968,0.422398,-0.200011,-0.046824,0.346614,-0.812339,-0.130602,0.288997,-0.081622,-0.224162,0.023168,0.148909,0.082207,-0.134079,-0.477716,-0.205895,-0.849704,0.357594,0.953488,0.648219,0.328341,0.332468,-0.307045,0.463912,0.438165,-0.352003,-0.058644,0.636017,0.235346,0.033711,-0.378547,0.404157,-0.450045,-2.057859,0.019246,-0.463208,-0.21981,-0.205446
space,0.318233,-1.074532,-1.040129,-0.480563,-0.746061,0.098473,-0.118866,-0.351566,0.229182,1.140692,0.366889,-0.741935,1.00226,-0.354635,0.524143,0.158549,-0.613581,0.217124,-0.307878,0.303082,-0.499772,-0.091941,-0.557091,-0.760696,-0.538947,0.075532,-0.083228,-0.945923,-0.304708,-0.412552,0.49836,-0.892485,0.075891,0.539317,0.933586,-0.025321,-0.07,-0.55194,0.383384,0.265969,-1.470477,-0.858949,0.420192,-0.370826,0.554329
two,-0.511303,-0.198199,0.318898,0.243204,0.254604,0.25881,0.117912,0.238912,0.576866,0.455327,-0.276152,-0.574363,0.485967,0.066411,0.036507,0.156236,0.160292,-0.040736,-0.220563,-0.158373,0.192598,-0.180095,-0.705874,-0.792306,-0.010411,1.126928,0.28808,0.026407,-0.002489,-0.249134,-0.335284,-0.280641,-0.203965,0.507517,0.530608,0.196035,-0.426417,0.429215,0.368441,-0.16075,-1.691767,0.219966,-0.309283,-0.735794,0.056142
theory,0.605889,-0.671285,-1.498213,-0.757897,-0.528572,0.401229,-0.966792,-0.4838,0.413445,-0.099785,0.806768,0.227878,-0.37388,1.121117,0.888195,0.333789,0.356583,-0.525368,-1.842629,0.398089,0.50975,0.085875,-0.824209,-0.184188,-1.265271,-0.510987,1.00648,-0.277413,-0.054788,-0.06471,-0.47423,0.572725,0.894176,-0.019915,0.951995,0.695199,-0.195125,-0.657727,0.998005,-1.192922,-0.364222,-0.929674,0.693264,0.655759,0.320089
point,-0.383055,-0.169704,-0.55608,-0.025804,0.757339,0.619536,-0.686374,-0.240568,0.485351,-0.050097,-0.868671,-0.700923,1.189293,0.062707,-0.381453,-0.208877,0.272934,-0.231842,-0.549163,-0.263102,0.341808,-0.697624,-0.640877,-0.09581,-0.274545,0.684546,-0.134106,-0.444035,-0.004204,0.252676,-0.417454,-0.033539,0.644414,0.1923,0.998481,0.79329,-0.574496,0.132297,0.300499,0.525383,-1.352543,0.098044,-0.045069,0.033801,-0.244436
theorem,0.179869,-0.719161,-1.041504,0.669806,-0.571428,-0.045473,-0.993371,-0.255699,0.341087,0.308743,0.338056,-0.8415,0.03347,0.547304,0.878223,-0.591302,1.066246,-1.626269,-1.022544,1.060135,1.897378,1.362525,-0.738031,-0.064603,-1.365824,-0.571518,-0.201167,-0.840715,-0.870547,-0.16545,-0.697892,-0.404263,0.078498,-0.330949,1.025552,0.371483,0.494262,-0.804486,0.499754,-0.011122,1.264563,-0.572836,1.397114,0.952513,-0.70836
example,0.524886,-0.398961,-0.183658,-0.815842,0.246138,0.069189,0.899916,-0.313744,0.580645,-0.634598,-0.413602,-0.819682,0.121158,-0.091039,0.894514,0.477894,0.17401,-0.270751,-0.391678,0.378966,0.292944,0.050999,-0.890712,-0.616281,-0.799676,0.037314,0.794787,-0.460731,0.277865,0.498025,-0.088852,-0.009454,0.210497,0.353034,0.722471,-0.14678,-0.114368,-0.065641,0.507179,-0.638277,-0.979185,-0.677485,0.362989,-0.086147,-0.019314
form,0.154201,0.083081,-0.292341,-0.142767,0.114772,0.146415,0.235791,0.445066,0.842594,-0.170022,0.313734,-0.633014,-0.427017,0.383462,0.313223,0.361511,-0.261958,-0.160026,-0.416764,0.347008,0.223801,-0.125317,-1.329267,-0.775147,0.009545,0.261065,0.639748,-0.480879,0.100318,0.352628,0.127738,0.129175,-0.067008,0.09868,0.938201,-0.396735,0.227563,0.253096,0.4937,-0.826248,-1.716775,0.087207,-0.32347,-0.820646,-0.170735
define,0.261371,-0.60308,-0.729612,-0.988369,-0.017955,0.710006,-0.154155,-0.082044,0.849666,-0.609429,0.094942,-1.016168,0.409264,0.22167,0.952563,0.250945,-0.018339,-0.755242,-0.231046,0.636957,-0.196785,0.29363,-0.798384,-0.400381,-0.810569,0.349288,0.787509,-0.871884,0.350631,0.553032,-0.438215,0.269108,0.394413,-0.145133,0.904843,-0.025356,0.609739,-0.251485,0.464024,-0.507454,-0.936471,-0.368131,0.345578,0.522222,-0.170247
graph,-0.141721,-0.85243,-2.099605,-0.127721,-0.463519,-0.612981,0.188785,-0.605609,1.538849,-0.024027,-0.280916,-0.540799,0.774238,0.088932,0.837437,-0.236328,0.479991,-0.492192,-0.115597,0.822416,0.699151,1.518055,-0.876913,0.090328,-1.149218,0.04059,-0.262808,-1.249513,-0.491948,0.185323,-0.074596,-0.144884,0.550854,-0.218601,0.872703,0.233714,0.353317,-0.289601,1.130227,0.270493,0.824084,-0.032836,0.622725,0.781555,-0.799016
value,-0.178988,-0.88135,-0.982056,-0.725553,-0.191598,-0.052637,0.689297,-0.632738,0.11576,-0.757526,-0.798596,-0.68231,0.524286,-0.12831,0.953656,-0.187846,0.935597,-0.523317,-0.720573,0.887271,0.015249,-0.581574,-1.454713,-0.509221,-0.344475,0.075993,0.638804,-1.279843,0.328242,0.202777,-0.578221,0.486484,0.78966,-0.008665,0.668155,-0.108427,0.039003,-0.147302,-0.566664,-0.334982,-1.139682,-1.261456,0.431848,1.212593,0.119489
problem,0.469918,-1.063128,-0.426755,0.072244,0.246375,0.047077,-0.527022,-0.653155,-0.694996,-0.277577,0.072515,-0.381647,0.418559,0.615723,0.728171,0.143084,0.157318,0.102715,-0.457893,0.170425,0.055935,-0.073897,-0.348843,-0.79109,-1.259835,0.485406,0.897464,-0.54404,-0.595875,1.007194,-0.228439,-0.048489,1.157693,0.547096,0.333738,0.594967,-0.112854,-0.378604,0.393221,-0.950045,-0.38027,-0.675207,-0.102617,0.497618,0.080462
mathematic,-0.625203,-0.067817,-1.526278,-0.242245,-0.533204,0.387627,-0.881014,0.4232,0.43278,0.469783,0.243919,0.317068,0.193113,0.958552,0.582683,0.667773,0.393837,0.271227,-0.988111,0.954697,0.406612,1.809464,-0.544649,0.482149,-1.03471,-0.408272,0.346253,-0.383464,-1.380631,-0.518578,-1.139558,1.432745,-0.073349,0.707345,-0.264353,0.583963,-0.210002,-0.928637,0.204387,0.084064,-0.683001,-0.662783,0.243402,1.137349,0.624648
order,-0.36956,-1.145086,0.993135,-0.236976,-0.106224,0.239044,-0.070113,0.884153,0.401355,-0.114376,-0.147326,0.07173,0.648145,0.240063,0.649771,0.248868,0.081527,-0.465885,-0.188399,0.034954,0.50837,0.228237,-0.127158,-0.216802,-0.281115,0.661466,0.688354,-0.103567,0.275899,0.287234,0.245105,-0.430825,0.366674,-0.091018,0.069867,-0.115013,-0.153091,0.091527,-0.543801,-0.705624,-1.474113,-0.689727,-0.252709,-0.425771,-0.042299
equation,-0.387838,-1.128852,-1.030357,-0.094253,-0.442257,0.142125,-0.980531,-0.103773,0.258086,0.83601,0.43248,-1.532551,0.041021,1.119415,0.675949,-0.421897,0.670678,-0.536286,-1.402329,1.619393,1.281807,0.953383,-2.082891,-0.031129,-1.386187,-0.155693,-0.270688,-0.641463,-0.580968,0.054329,-0.406272,-0.571987,0.262949,0.001147,1.598446,0.110182,-0.370022,-0.367063,0.212829,-0.595408,0.93952,-0.810782,0.944322,1.555901,-0.548912
first,-0.44776,-0.291331,0.176142,0.395213,0.347736,0.226297,0.377708,0.285022,-0.000592,0.190024,-0.150836,0.252146,-0.008118,0.16852,-0.088789,0.209542,0.072563,0.048308,-0.235805,-0.512991,0.351056,-0.106198,-0.004686,0.05396,-0.36873,1.034491,0.170381,0.355262,-0.343993,-0.264425,-0.451974,-0.15549,-0.529994,0.6096,0.272872,0.157418,-0.395025,0.418816,0.295539,-0.128719,-1.789735,-0.401081,-0.338856,-0.26919,0.121067
vector,-0.433357,-1.450004,-0.968454,-0.96366,-0.384508,-0.26914,0.008761,-0.310386,1.007846,0.870293,-0.034488,-1.144989,0.29472,0.368644,0.594682,0.141077,0.318811,-0.543067,0.44452,1.048606,0.626644,0.009164,-1.235381,0.04589,-0.82257,0.626215,0.902044,-0.809695,-0.414582,-0.265417,0.522515,-0.307717,0.315509,0.195736,1.119487,0.112758,0.454233,-0.828315,1.223059,0.073706,0.784683,-0.57257,0.404279,0.839618,-1.076375
algebra,0.01674,-0.813597,-1.778952,0.015292,-0.215602,0.03571,-1.158251,0.387422,1.420032,1.020047,0.203567,-0.446787,0.56796,0.525132,0.582111,-0.065275,1.184778,-0.056746,-0.821066,1.507315,0.452556,1.660529,-1.19537,-0.072246,-0.85587,-0.41064,0.370465,-0.99264,-0.755913,-0.931153,-0.986589,0.899814,-0.821496,0.21258,0.129251,0.329735,1.118486,-1.104231,0.992048,-0.019803,1.047081,-0.770294,0.349409,0.521619,-0.272624
$\mathbb{N}$,0.531133,-0.720934,-0.973954,-0.89538,-0.320693,0.506898,0.565671,0.181021,0.459623,0.949735,-0.482523,-1.015363,-0.07703,-0.252836,-0.618495,-0.211722,0.400961,-0.010917,0.136399,0.844237,0.289185,-0.092717,-1.360539,0.031203,0.36302,0.333261,-0.285516,0.537519,0.872462,0.310389,-0.064908,-0.193784,-0.862108,-0.288238,0.075747,0.132799,-0.31799,-0.110215,0.465899,-0.253054,-0.138839,-0.138665,0.094445,-0.051611,-1.548883
field,-0.646416,-0.796145,-0.520897,-0.48133,0.095527,-0.009227,-1.102154,-0.086859,0.159038,0.606662,-0.662464,-0.44563,0.158543,0.351583,-0.569161,0.03591,0.232807,0.26466,-0.325974,-0.122707,0.638734,0.40551,-0.317711,0.175772,-0.344572,0.198559,0.452022,0.05943,-0.464512,-0.434194,0.555834,0.295841,0.588523,0.798869,0.850873,0.116254,-0.494619,-0.679933,0.149146,-0.162865,-2.061549,0.054949,0.271765,0.203473,0.110447
element,0.42529,-0.701201,-1.105411,-0.748573,0.222414,0.117496,0.001313,0.379249,1.265173,-0.054819,-0.229798,-0.568751,-0.334186,0.010594,1.081507,0.275698,-0.119635,0.388198,-0.881265,0.382555,0.016396,-0.44947,-0.952005,-0.75079,-0.733809,-0.262174,0.181872,-0.787159,0.556571,0.235372,0.385236,0.044174,0.105344,0.550849,0.749883,-0.312198,0.117188,0.31824,0.562008,-0.754934,-1.11388,-0.640955,0.307163,-0.933114,0.2832
system,0.365226,-1.588828,-0.461857,-1.493075,0.479461,0.342613,0.361004,-0.073262,0.387559,-0.255487,0.65419,-0.624082,0.041134,0.089358,0.283666,0.493895,-0.365271,0.309015,-0.218165,1.003041,0.209575,0.000337,-0.287986,-0.774762,-1.31579,0.702328,0.604244,-1.029134,-0.938648,0.328587,0.447878,-0.430526,0.427921,0.347848,0.612209,0.056333,0.372629,-0.130952,0.304117,0.085518,-1.793318,-0.127932,-0.411769,0.777872,0.05184
matrix,-0.442907,-1.292285,-1.691208,-0.539884,-0.566313,-0.22946,0.138841,-0.321339,1.060212,0.678284,-0.260294,-1.193264,0.042871,1.095889,0.153942,0.11456,0.20868,-0.223327,-0.094236,0.725977,0.877003,0.050747,-1.180946,-0.972413,-0.308887,0.166398,-0.003811,-1.087714,-0.296747,-0.040719,0.101244,-0.088488,-0.439504,-0.324143,0.683378,-0.172571,0.514057,-0.442441,0.642369,-0.450666,0.534708,-0.832484,0.522067,0.011607,-0.13856
mathematical,-0.196215,-0.584215,-1.803146,-0.446685,-0.166619,-0.006257,-0.602924,-0.111626,0.540906,0.326657,0.159365,0.103385,0.083812,1.121956,0.788264,0.229533,-0.083453,-0.127467,-1.325316,0.782226,0.716993,1.553931,-0.636324,0.669502,-1.153543,-0.546061,0.198709,-0.492644,-1.104098,-0.187158,-0.430925,0.866855,0.314641,0.633024,0.254403,0.639318,0.169101,-0.560933,0.505174,-0.052515,-0.163334,-1.283327,1.067068,1.169314,0.284391
method,-0.212057,-1.256018,-0.81671,-1.206935,0.019776,0.026996,0.34482,-0.12554,0.154503,-1.088162,-0.005825,-0.932614,-0.037686,0.829111,0.494026,0.581097,0.619005,0.157865,-0.777855,0.595534,0.253994,0.597623,-0.88971,-0.384419,-1.676515,0.268945,0.665084,-0.574446,-0.551734,0.732301,0.594283,0.302352,0.696883,0.893997,0.560335,0.326022,0.077698,-0.466487,0.819004,-0.483426,-0.258022,-0.39156,0.812694,0.072162,0.083251
finite,-0.12601,-0.957959,-1.759539,-0.076416,-0.298258,0.185676,-1.118762,0.044378,0.972177,0.392935,-0.228195,-1.334733,0.49365,0.5749,1.006362,-0.171317,0.511594,-0.063788,-0.57081,1.362153,0.619217,0.838378,-1.407859,-0.437033,-0.910932,-0.324635,1.078813,-1.300975,-0.444616,-0.152582,-0.37252,-0.418951,0.02687,-0.26299,0.787437,0.298159,0.693866,-0.522333,0.392808,-0.509135,0.699459,-0.889015,0.310546,0.876905,-0.895277
result,-0.088471,-0.816928,-0.194414,0.335331,0.386578,0.0736,-0.251986,-0.080395,-0.377012,-0.70809,-0.676651,-0.62494,-0.212983,0.625789,-0.238846,-0.256743,-0.053707,-0.111549,-0.079943,-0.423769,0.441236,-0.204113,-0.289173,-0.314683,-0.516769,1.812961,0.020087,-0.737456,0.202625,0.729234,-0.122904,0.197053,0.815892,0.326917,0.731361,0.418924,-0.368122,0.400277,0.506597,-0.949505,-1.413056,-0.357579,0.13239,0.225715,-0.318936
vertex,-0.247598,-0.706592,-1.351734,0.076127,-0.599769,-0.407438,-0.373008,-0.226489,1.724976,0.943215,-0.243965,-1.20313,0.608272,-0.342711,0.791958,0.197204,0.063617,-1.22784,0.387221,0.670761,0.612549,0.97306,-1.206687,-0.754451,0.132957,0.206729,-0.472858,-1.513502,-0.609105,-0.246536,-0.18526,-0.122528,0.073166,-0.568945,0.618584,0.04283,0.922401,-0.446734,-0.055908,0.740119,1.225086,-0.152712,-0.012678,-0.187702,-0.635798
term,0.057003,-0.637689,0.081022,-0.192115,-0.082033,0.277156,0.142212,0.2249,0.320949,-0.597833,0.229582,-0.150833,-0.342556,0.249585,0.777788,-0.168865,0.102779,-0.444289,-0.660561,-0.20269,0.070607,0.194305,-0.720468,-0.235022,-0.787887,0.32827,0.976206,-0.75059,0.076635,0.737078,-0.691397,0.405088,0.320125,-0.070104,0.647342,-0.201043,0.107575,0.093,0.327594,-0.828097,-1.399047,-0.031815,0.088244,0.418274,-0.063866
line,-0.268949,0.414533,-0.295855,-0.089834,1.078703,-0.025851,-0.194344,-0.19143,0.551046,0.517964,-0.104481,-0.762792,0.370429,-0.241627,-0.249212,0.265287,0.105818,-0.777787,0.106212,0.874054,0.108919,-0.720847,-0.740375,-0.913435,-0.604303,0.300411,-0.457925,-0.039144,-0.326925,0.811731,-0.20604,-0.926025,0.360777,0.206129,0.257807,0.228383,-0.009399,0.06395,-0.073279,0.220901,-1.908628,0.300548,-0.716706,-0.747349,-0.118859
