word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
number,-0.33263,0.073342,0.251904,-0.085375,-0.021776,0.486385,-0.905491,0.737157,-0.896939,-0.534328,-0.070257,-0.062326,0.119601,-0.639361,0.569005,-0.120623,-0.246593,1.65752,-0.870516,0.86686,-1.11424,-0.417507,0.419121,0.16291,0.121218,0.17397,0.370783,0.339399,0.089487,1.06641,-0.06461,0.314635,-0.231943,-0.179121,0.487789,-0.334164,-0.769312,0.407883,-0.299302,0.307674,-0.470178,0.432088,-0.354424,-0.67269,-0.232018,0.103474
function,-0.956667,0.337946,0.459693,-0.037916,0.535558,-0.215479,-0.194612,0.816596,-0.818213,-0.123277,-0.49924,0.295436,-0.016295,-0.125136,0.412384,0.869996,-0.768127,1.244764,-0.130144,-0.141378,-2.473835,1.135118,0.600984,0.091819,0.066137,-0.93495,-0.06509,-1.045788,0.249131,0.351943,-0.969652,0.935175,-0.544575,0.257869,0.292446,1.014379,0.128415,0.350646,-0.773066,-1.103265,-0.174052,0.976555,-0.621651,-0.12048,0.013312,-0.649686
one,-0.260637,0.19026,0.553823,-0.136541,-0.140107,0.018207,-0.666379,0.175456,-0.266037,0.080205,-0.081369,0.161497,-0.181704,-0.366372,0.342249,0.1363,0.168181,0.717532,-0.985953,0.35487,-0.811117,-0.15951,0.025445,0.593311,0.369577,-0.866202,0.177539,0.199319,0.036389,0.617868,-0.404919,-0.157203,-0.135155,-0.752631,-0.18525,-0.450608,-0.224683,0.465521,-0.064674,0.080046,-0.325075,0.328487,0.2355,-0.469693,0.3175,0.37831
set,-0.637737,-0.009182,0.589293,-0.018361,0.077508,0.234549,-0.758201,0.372985,-0.040198,0.084094,-0.302441,-0.603264,0.292615,0.007534,-0.086636,0.099352,-0.097432,1.061755,-0.84535,0.02865,-1.229683,-0.311299,-0.006677,0.576082,0.125697,-0.162018,0.337203,0.380213,-0.316588,0.539719,-0.534926,0.342594,-0.717005,-0.667424,-0.150536,0.016137,-0.085067,0.569734,0.085946,-0.124577,-0.351139,0.651955,-0.352396,0.007201,0.107876,0.370638
group,-0.115364,0.328595,0.676523,0.087021,-0.02048,0.188302,-1.000285,0.137943,-0.137509,-0.376896,-0.858433,-0.052132,0.236777,-0.50101,-0.465184,-0.746526,0.421411,0.692811,-0.468635,0.872794,-1.155225,-0.180413,0.821157,-0.655343,0.293438,-0.682464,-0.700089,-0.077423,0.701372,-0.284179,-0.281551,-0.697308,-0.955781,-0.306002,-0.288067,0.022902,-0.459881,0.328093,0.548687,-0.132858,-0.024679,0.479355,0.3437,-0.95797,0.202129,-0.409437
space,-0.733999,-0.180631,0.348469,-0.203251,-0.129497,-0.408209,-1.139789,0.219228,0.003076,-0.788089,0.203849,-0.484466,0.783548,0.41379,-0.939811,0.576219,0.535414,0.688397,-0.872151,0.181321,-2.707741,-0.031211,0.232558,-0.115456,0.26673,-0.440487,-0.2772,-0.599821,-0.254029,0.279632,-0.705346,1.131949,-0.70995,-0.335941,0.048253,0.151966,0.176006,0.242271,-0.105375,0.085531,0.029118,0.846895,-0.287262,0.462889,0.650487,0.734946
two,-0.243396,0.119053,0.781429,-0.020006,-0.164129,-0.125279,-0.842708,0.291064,0.081171,-0.336652,0.148993,-0.030745,-0.300337,-0.592372,0.067743,0.516178,0.066292,0.627016,-1.055733,0.256735,-0.9874,-0.507144,0.222404,0.283551,0.237321,-0.594928,0.195014,0.483326,-0.193149,0.509276,-0.072315,-0.266224,-0.345086,-0.702164,-0.522533,-0.498228,-0.092519,0.345089,-0.388545,-0.118672,-0.666448,0.123199,0.075465,-0.616254,0.357895,0.280364
theory,-0.305011,0.106504,-0.375239,-0.557452,-0.434314,0.334292,-0.022545,1.707505,-0.132959,0.10116,0.606897,-0.430049,0.727679,0.161342,-0.311197,-0.531464,-0.631305,0.281325,0.756842,-0.353012,-1.926912,0.908226,0.880411,-0.067818,-0.093285,-1.232852,0.01018,-0.643731,0.99714,0.807576,-0.753794,0.394625,-0.668446,-0.910779,-0.292966,1.271874,-0.723535,1.277734,-0.387808,-0.439601,1.424855,0.789732,-0.152719,0.682131,-1.174329,0.335899
point,0.363126,0.149902,0.819779,-0.582225,-0.227366,-0.102205,-0.269594,0.475668,0.240316,-0.419361,0.159886,0.448209,0.567811,-0.524562,0.253878,0.576374,-0.132594,0.792555,-1.295551,-0.478224,-1.119411,0.129289,0.085146,-0.055182,0.00688,0.343151,0.1693,0.416815,-0.279727,1.341784,-0.547155,-0.102124,-0.052436,-1.114708,-0.380472,-0.928181,-0.076039,0.579602,-0.73264,-0.020019,0.77363,0.406174,0.002085,-0.132773,0.324504,0.26027
theorem,0.306071,-0.215427,-0.159899,-0.312254,0.585728,0.085972,0.746978,1.775225,-1.307916,-0.761749,0.009608,-1.339639,0.792613,0.485582,-0.039314,1.656274,-0.663399,0.739487,-0.243972,-0.474089,-0.535341,0.89717,0.53684,-0.93826,-1.331255,-1.330086,0.81307,-0.288866,0.208666,1.320474,-2.071098,1.759896,-0.779715,-0.137798,-0.187666,1.1383,-1.073852,1.067883,-0.508318,-1.244486,1.182368,0.415552,-1.258735,1.727363,-0.205555,0.161455
