word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
number,-0.121618,-1.019045,0.16901,-0.46729,1.157242,3.34697,-0.077919,-0.875896,0.110534,-0.771881,0.066186,-0.002928,-0.483734,-0.982381,-0.099969,-0.326534,-0.491838,1.551137,-0.220272,0.671619,-0.16612,-0.217321,-0.927076,-0.652625,0.286665,0.265209,-0.349051,0.833659,-0.430734,0.180701,-0.04715,-0.834126,-0.019621,-2.168407,-0.795519,-0.298822,-0.333407,2.095557,-1.162,-0.602493,0.339267,-0.300044,-0.962291,0.719038,-0.497668,-0.717665
function,-0.953814,-1.062682,-0.544475,-0.143588,0.10018,2.643838,0.834353,-2.518844,-0.889721,0.071685,0.281154,0.791123,-1.000772,-0.035253,-0.304423,-1.157143,-1.343594,1.339802,-0.686746,1.302837,-1.122386,-0.723354,-0.324397,1.266795,-0.710204,0.529001,-0.347974,0.919988,-0.185683,0.112804,-0.623842,-0.778092,0.948948,-2.147957,0.288334,1.291712,0.059289,-0.228557,-0.674895,0.024806,-0.100877,0.897067,0.668456,0.252601,-0.157934,-0.727116
one,-0.762153,-0.101016,0.013511,0.31,0.56611,2.933816,-0.853432,-0.568771,0.119186,0.011084,0.262051,0.449349,-0.540006,0.533319,0.333892,0.043656,0.369272,0.848504,-0.183601,0.987593,0.146426,-0.172163,-0.160727,0.427786,-0.364405,1.005145,-0.769385,0.185254,-0.216476,0.217562,1.054464,-0.436956,0.051117,-2.513493,-0.039016,0.054174,0.033407,1.412107,-0.521552,0.071486,0.425645,0.666494,0.209022,-0.018032,-0.056734,-0.076796
set,-0.194229,-0.814731,0.064143,-0.056421,0.353497,2.752434,0.927416,-1.059367,0.766098,-0.30869,0.697561,0.403162,-0.01808,0.136943,0.045642,-0.616686,-0.307901,0.480875,0.917767,1.099789,-0.96751,-0.422012,0.386474,-0.194571,-1.062228,0.612632,0.56203,0.683909,-0.304554,0.094001,0.672517,-0.612024,-0.612098,-3.288358,0.054054,0.106962,-0.216882,1.591807,-0.591592,0.546982,-0.740696,1.307543,-1.026631,-1.134213,-0.15284,-0.349192
group,-0.011763,-0.834729,-1.508978,0.280667,-0.386132,1.836758,-0.756138,-0.762661,-2.492275,-0.057386,0.181224,-0.777907,0.900904,0.78751,0.754728,-0.55153,1.329777,1.422714,1.298033,1.74704,-0.032751,-1.454493,-0.109851,-0.042833,-0.636898,-0.117993,-0.596553,0.232195,-1.18508,-0.386603,0.725722,0.448135,-0.19595,-2.235507,-1.307945,-0.960149,-0.332281,1.087967,-0.275661,0.006928,0.445695,0.841276,-1.341007,1.046509,0.964932,-0.010335
space,-1.175222,-0.233656,-0.089861,-0.458843,0.013797,0.852497,0.912441,-0.408408,-0.052041,0.177048,0.638693,-0.173907,-0.651737,0.985954,-0.336546,-0.157933,-0.146901,0.95773,-0.386656,2.231965,-0.246675,-2.285462,0.442551,0.312243,-0.44311,0.942433,-0.944352,0.578449,-2.467399,0.668593,1.514692,-0.14498,0.41495,-2.827508,-0.045301,-0.718705,-0.312785,1.023051,0.156361,0.498267,-0.142243,1.58657,-0.237063,-0.003171,-0.153248,-0.000989
two,-0.256195,0.135394,0.266569,-0.104503,0.521714,2.833213,-1.029608,-0.416467,0.16138,-0.027745,-0.108319,0.440494,-0.696953,0.267134,0.393906,0.602194,0.46475,0.700198,-0.075383,0.9132,-0.099865,0.003227,0.330336,0.435076,-0.391708,1.190258,-0.746124,0.255892,-0.026887,0.497956,1.180423,-0.313679,0.237612,-2.403044,0.299554,-0.231785,0.095441,1.649699,-0.676215,0.031376,0.154545,1.094987,-0.197892,0.118353,0.385002,-0.827754
theory,-0.700473,-0.782717,0.125194,0.573433,0.168306,2.048275,1.127302,-0.702297,0.111734,-0.635614,-0.214816,0.104284,0.086295,0.409783,-1.002714,-0.262504,0.290135,2.007237,0.700981,1.27541,-0.251915,0.128132,0.049765,-0.603102,-0.917752,0.382546,0.007195,-0.9299,-0.901118,-0.561226,0.417114,0.511211,0.424881,-2.880604,-1.01128,0.572542,-1.136356,-0.131223,-0.746829,0.268236,-0.304379,0.397278,-1.303405,1.176397,0.879989,0.601521
point,-0.454945,-0.104081,0.24461,-0.98127,-0.053383,3.257308,-0.326132,-0.891623,0.127513,-0.447868,0.264843,-0.313926,-0.44106,0.363457,-0.386004,0.082047,-0.10234,0.883674,-0.936959,0.843273,0.080513,-0.36602,-0.179136,1.713633,-1.009278,1.200048,0.096385,0.461899,-0.960485,0.985927,1.060867,0.258105,-0.526938,-2.312638,0.847567,-0.967361,0.675269,1.242886,0.589196,0.288498,0.421726,0.396138,-0.620821,-0.676769,0.564918,-0.144327
theorem,-0.887714,-0.421421,-0.410488,-0.339777,-1.265748,3.180466,1.004767,-0.931271,0.02592,-0.673711,1.012834,-1.600475,0.203488,-0.894638,-1.34665,0.351025,0.915485,0.809944,-0.284247,-0.049497,-0.005738,0.149296,0.544311,0.660212,-0.257508,0.47772,0.12737,0.271592,-1.033267,-0.711876,0.502881,-0.103696,0.802594,-2.55657,-0.987647,0.383941,-0.461556,0.722237,0.731805,1.325926,-0.235831,0.297745,0.412043,1.284257,-0.297623,0.444945
