word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
number,-0.111047,0.223396,0.088776,0.904538,-0.01084,0.134997,-0.525625,0.115336,-0.073354,0.859952,0.514195,-0.061299,0.508294,0.122776,-1.321685,-0.75716,0.124401,0.142399,0.224009,-0.172214,-0.393883,1.040947,0.065232,-0.401776,0.237152,0.456815,0.146649,-0.102106,0.555065,-0.393473,-0.520175,0.053668,0.711781,-0.032519,0.246025,0.04556,0.385131,1.625571,-0.414245,0.150316,-0.87349,-0.578442,0.334653,0.301597,0.06607,-0.959758,-0.422133
function,1.267455,-0.744602,-0.059024,0.959123,0.091528,-0.255934,-0.316381,0.742626,-0.065119,0.987021,0.583912,0.292257,0.272986,-0.245854,-0.609285,0.340462,-0.781968,0.159243,1.079452,-1.493892,0.065946,0.454723,-0.347168,0.365334,1.152742,0.962309,0.724214,-0.437701,0.564453,-0.283968,0.094953,-0.14144,-0.826332,0.832289,0.24298,0.016388,-0.176456,1.205697,0.23438,0.347147,-1.364902,-0.537673,-1.365449,1.427295,0.882224,-1.032228,-0.076736
one,0.469386,-0.389315,0.184777,0.270816,-0.201298,-0.1196,-0.05733,0.16092,-0.524344,-0.022908,0.267232,0.111566,0.514459,-0.031423,-1.238202,-0.889496,0.068298,0.006134,0.397265,-0.043398,0.11789,-0.211787,-0.17155,-0.636927,-0.216541,0.225154,-0.344772,-0.233217,0.641461,-0.294762,0.115821,-0.103024,0.416278,0.128046,0.053473,-0.404495,0.571133,0.825294,-0.213701,-0.125171,-0.546659,0.069301,-0.157127,-0.005586,0.117288,-0.722834,-0.353536
set,0.28958,-0.546071,-0.084319,0.633391,-0.305164,-0.121302,-0.372852,0.152368,0.086238,0.323748,0.623095,0.261283,0.064531,0.091583,-1.032694,-0.954347,-0.533908,-0.002556,0.36067,0.158476,-0.125972,0.284275,-0.09342,0.019774,0.066749,0.416083,-0.515889,-0.417997,0.775873,-0.844704,-0.121303,-0.202275,0.542029,0.499131,0.238355,0.095232,0.232351,1.19092,0.135759,0.063914,-0.599461,-0.016631,-0.414749,-0.279207,0.283833,-0.475582,0.108685
group,-0.228067,0.017395,0.192899,-0.407238,0.081037,0.516564,0.121546,0.521958,-0.934345,0.806955,0.313903,-0.35457,0.021657,0.554233,-1.181282,-0.536651,-0.47211,-0.012257,0.337349,-0.225719,-0.4125,-0.149718,0.629408,0.241098,0.739773,0.317479,-0.312025,0.163133,-0.110564,-0.642361,0.882737,-0.758883,-0.233499,0.054318,0.322588,-0.628593,-0.094366,0.786103,-0.644088,0.580478,-0.802495,0.44124,0.191481,-0.179254,0.149512,-1.4232,-0.275615
space,0.385305,-1.430087,-0.117573,0.476338,-0.592833,-0.226746,-0.19823,0.808294,0.107336,0.225187,0.364324,-0.101978,0.206865,0.352752,-0.663212,-0.23715,-1.290787,-0.215297,-0.380739,-0.24532,-0.609934,-0.234408,-0.151757,0.023926,0.973562,0.567386,-0.294538,-0.335519,0.672373,-0.068286,0.495209,-0.679254,0.438941,0.47177,-0.134662,1.020016,-0.124602,1.696889,-0.25496,0.82947,-1.594859,0.140475,-0.911714,-0.074118,0.041936,-0.261444,0.048019
two,0.287127,-0.308946,0.273211,0.49185,-0.212841,0.420671,0.104118,0.208338,-0.559058,-0.091557,0.619946,0.219272,0.459179,0.087709,-1.071513,-1.058741,-0.201576,0.098283,0.499402,0.047472,0.111883,-0.534649,-0.307149,-0.914694,-0.043182,0.070499,-0.382754,-0.024752,0.954589,-0.394699,0.221524,-0.051558,0.379256,0.179559,0.36407,-0.208626,0.579582,0.983229,-0.022605,0.21448,-0.381393,-0.145138,0.475761,0.418578,-0.076181,-0.549574,-0.338371
theory,0.324707,-0.868172,-0.020659,0.827864,-0.021623,-1.435501,-0.217054,0.853573,0.217252,0.618284,0.960579,0.414119,-0.375524,-0.018791,-0.282505,0.861903,-0.280797,-0.666188,0.476033,-0.464595,0.717996,0.125604,1.541839,0.523336,1.918977,0.601884,0.123607,-0.319182,-0.2541,-1.350906,0.096601,0.051661,0.573288,-0.564294,-0.18105,0.392409,0.555107,-0.084099,0.140188,-0.221072,-2.040172,-0.63748,-1.482253,0.33079,-0.056903,-0.680389,-0.098649
point,0.360526,-0.30907,-0.921267,1.083784,-0.042633,-0.024172,-0.312212,0.291131,-0.014119,0.377693,0.620438,0.707837,0.271924,-0.260182,-0.379471,-1.03637,0.373046,-0.343615,0.899273,0.259795,-0.032531,-0.56835,0.058633,-0.656968,0.330805,-0.130486,0.240633,-0.189984,0.62961,0.157118,0.339257,0.29173,0.448651,-0.402184,0.32847,0.896091,1.354067,1.321243,0.167259,-0.221303,-0.783014,0.509657,0.221826,-0.162756,-0.029592,-0.495525,-0.411664
theorem,1.510808,-1.584056,-1.708585,1.128559,-0.393472,0.129332,-0.545541,0.652486,0.863749,1.465888,0.835683,1.262846,-0.228163,0.24942,1.170702,0.479129,0.066644,-0.412849,0.014872,-1.074654,0.469452,0.820954,0.537537,0.086036,1.568469,1.756521,-0.733872,-0.286701,0.350182,-0.364647,0.147201,0.97269,-0.165252,0.199565,0.687397,1.12552,0.75776,-0.649943,0.139858,-0.857082,-1.941542,-1.711603,-1.359903,0.11453,0.494935,-0.243134,0.158149
example,0.570457,0.301314,-0.081949,0.667625,0.254792,-0.415172,0.132385,0.224147,-0.224889,0.343633,0.45042,-0.165879,0.390948,-0.197031,-1.129081,0.145565,0.38063,0.099041,0.429772,-0.270845,-0.06053,0.019882,-0.121746,0.321081,0.596765,0.756756,0.244266,-0.487867,0.604192,-0.803214,-0.018339,0.071207,-0.069149,0.482439,0.04489,-0.016197,0.398717,1.055427,-0.268478,-0.050974,-1.013861,-0.524141,-1.266937,0.436056,0.505393,-0.356061,-0.494423
form,0.160648,-0.054746,0.307398,0.163585,0.45434,0.126452,0.098772,0.656693,-1.052145,0.466235,0.499917,-0.604457,0.275574,-0.133903,-1.076971,-0.197801,-0.250776,0.151377,0.426811,-0.41189,-0.065389,-0.954051,-0.260695,-0.101678,0.289568,0.481799,-0.299041,0.194017,0.563259,-1.212401,0.593888,0.010548,-0.117708,-0.146031,0.186035,0.115216,0.249306,0.648382,-0.21362,0.000884,-0.598201,-0.1639,-0.550665,0.870045,0.27425,-0.798053,-0.677768
define,0.68932,0.296227,-0.605522,0.852138,0.155298,-0.582041,-0.095854,0.695734,-0.090726,1.384635,0.473183,-0.118379,-0.314421,-0.16966,-0.525232,0.4148,-0.309423,0.254898,0.963248,-0.374258,-0.375108,-0.200695,-0.021214,-0.019046,1.334545,0.841417,0.389064,-0.602018,0.700341,-0.485014,0.059089,-0.029737,-0.23539,-0.107499,-0.084284,0.752056,0.579632,0.92911,-0.494093,-0.144302,-0.932886,-0.387671,-1.263109,0.387607,0.369313,-0.943344,-0.314283
