word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
number,-0.118436,0.014038,0.888554,-0.723891,-0.801953,-0.463335,-2.102079,-0.02509,-0.162458,0.618928,-0.410998,0.83506,-0.506942,0.335235,-2.918761,0.335266,-0.218963,-1.629691,-0.147058,-0.255258,0.12557,-0.211237,-0.151207,-1.422583,-0.427452,0.550236,0.655161,0.193952,-0.116326,-0.215727,-0.578049,-0.348297,1.336328,0.226128,-1.08104,-0.88252,-0.013873,0.050581,-0.494658,-0.868006,-0.352923,0.710356,0.461582,0.874624,2.627733,0.667591,1.192397
function,-0.295673,1.332536,-1.22872,-0.933284,0.063552,0.917346,-1.652716,-0.658802,-0.070873,0.884194,-0.833049,-0.209843,-0.853176,0.063342,-2.943256,0.497482,-1.265478,-0.712281,0.535974,0.044783,0.094485,-1.366831,0.301323,-0.981095,0.89214,1.451,-0.915812,0.581421,-0.643275,0.523549,-0.623515,0.629382,0.102556,-0.091087,-1.843456,0.428201,-1.130671,0.668734,0.362628,-0.106852,1.023433,-0.053111,0.81383,-0.504654,2.109783,0.247516,0.710682
one,-0.8462,-0.645473,0.002096,-0.241622,0.308941,-0.43956,-1.09796,-0.085422,-0.292881,0.617793,-0.721058,0.097618,-0.160299,0.676207,-2.840305,0.140419,-0.399953,-0.084943,-0.017271,-0.344425,0.705061,-1.638915,0.541587,-0.29904,0.540797,0.5265,0.580128,0.516128,0.021539,0.002436,-0.315033,-0.119025,0.769892,-0.131134,-1.822053,0.037751,0.420648,-0.064095,-0.405011,0.386912,-0.623306,0.463763,-0.00956,0.493742,1.901915,0.296239,0.401361
set,0.067109,-0.857024,0.713331,0.351911,0.30806,-0.552044,-1.415591,0.478309,-0.926348,0.256457,-0.594611,0.329937,-0.747698,0.276631,-2.297547,-0.092611,-0.735003,-1.380147,1.306053,-0.474701,0.654925,-0.856734,1.779927,-1.342227,1.070564,1.690511,-0.09245,-0.183974,-0.926363,0.315486,-0.169895,-0.385968,0.543695,0.625404,-1.585171,0.981355,0.120441,0.052521,0.255833,0.005055,-0.524744,-0.014476,0.342179,-0.01153,1.860093,1.153026,0.948898
group,-0.28749,0.373106,-1.532128,-0.60826,-1.050231,-1.794353,-1.074117,-0.110107,-0.337483,0.569123,0.072651,0.403152,0.312157,1.369512,-1.791786,0.124036,-0.962951,0.635029,-0.35783,-2.556159,-0.080072,-0.769544,0.736496,0.152861,0.6574,1.176689,0.334236,-0.922565,1.510122,-0.110207,-0.587209,-1.481535,1.127824,0.365804,-0.6609,0.261017,0.912099,-0.109072,-0.237416,0.38993,0.564255,-0.166303,0.466122,-0.432518,1.360929,2.031234,2.064857
space,-1.286736,-0.493822,-1.581304,0.334537,0.14792,-0.839005,-1.582487,-0.184033,-0.831012,0.462644,1.05355,0.863005,-0.828977,-0.148641,-1.688195,0.525573,-0.964523,0.379259,0.986265,-1.147662,-0.531985,-1.897018,0.304326,-0.982835,2.599427,1.302735,1.046043,-0.852623,0.258422,0.146732,0.177259,0.551835,0.588158,0.063561,-1.685955,0.190428,0.586309,-0.405465,0.711275,0.189022,-0.402385,-1.16615,0.42416,0.610663,1.328535,0.846023,0.993247
two,-1.178703,-0.126318,0.129959,0.006262,0.396882,-0.291711,-0.348736,0.018785,-0.133539,0.075304,-0.514475,0.005324,-0.34657,1.243468,-2.53949,-0.395539,-0.017567,0.098467,-0.252702,-0.593798,0.842245,-1.288422,0.640237,-0.954653,0.63853,0.80342,0.60681,0.501979,-0.164762,-0.114398,-0.431348,-0.299921,0.908956,-0.139255,-2.286986,-0.091546,0.470519,0.073717,-0.544411,0.461932,-0.888387,0.059786,-0.310656,0.37409,2.071102,0.496918,0.883837
theory,-0.045395,-0.680182,-0.621694,0.152429,-0.993572,-0.830599,-1.153498,0.107616,0.254811,0.194932,-0.543395,0.763625,0.970571,1.416518,-2.448815,0.88264,-0.370262,-0.269923,0.98297,-1.554308,0.503404,-0.305904,1.445538,-0.798986,0.546609,0.753063,0.761401,-1.094079,-0.615309,-0.046297,-0.105212,-0.305054,-0.558786,-0.648178,-0.551714,-0.162331,0.172694,0.781738,0.782,-0.606681,1.196722,-0.356153,1.392381,0.199969,1.882115,0.70787,0.395831
point,-0.87182,-0.504562,0.574968,-0.552477,-0.084965,-0.036416,-0.892128,-0.556346,-0.806027,-0.127975,0.289698,0.331265,-1.805933,0.974174,-1.884692,0.598823,0.333054,0.186013,-0.179214,-0.60358,0.147966,-2.409122,1.012383,-1.300903,-0.124453,1.829551,0.713745,0.579718,0.90797,0.098415,-0.289629,0.611178,0.907484,-0.248242,-1.791906,0.32901,0.865175,-0.281712,0.282759,0.337793,-0.787382,-0.314669,0.370631,-0.94655,1.664803,0.707612,0.080961
theorem,-0.655228,-1.195237,-0.535861,0.442887,-1.507219,-0.093106,-2.742474,0.082676,-0.038737,0.970131,0.060018,0.2871,-0.416327,0.995258,-1.205339,0.406272,-0.924279,-0.107901,-0.662516,-1.657092,1.303109,-1.10857,-0.048357,-0.238749,-0.165205,1.849678,1.330805,1.141608,-0.500233,0.445293,-0.643468,0.378387,-0.594245,-0.160623,-0.990397,-0.465599,-0.705669,0.473058,1.517184,-0.590761,-0.516479,0.699454,1.194562,0.240569,0.533845,1.005442,0.755316
example,-0.678432,0.114579,0.082919,-0.645498,-0.771017,-0.715042,-1.195838,-0.047682,0.013053,0.330126,0.01356,0.077425,-0.120362,0.53077,-2.549216,0.088367,-0.502151,0.022077,0.198655,-0.694685,0.62156,-1.607754,0.587705,-0.255289,0.69312,0.430302,-0.114764,0.266005,-0.219636,0.207609,-0.338185,-0.209398,0.617046,0.358854,-1.162765,0.255635,-0.007288,-0.401084,0.215598,0.293586,-0.057315,0.173394,0.338858,0.735188,1.588745,-0.027208,0.632901
form,-0.674557,0.354622,-0.119853,-0.67712,0.061309,-0.186122,-0.837221,0.089011,-0.171565,0.48216,-0.494802,-0.29922,0.017712,0.883445,-2.653158,0.555665,-0.584449,0.600098,0.128204,-0.745201,0.365068,-1.457369,0.636792,-0.595149,0.231694,-0.528238,0.846825,0.074825,-0.939565,0.062765,-0.55525,-0.06136,0.361409,0.126818,-1.851651,0.261433,-0.620708,-0.640359,-0.02869,-0.093414,-0.316883,-0.307603,-0.156015,0.058412,1.414572,0.389369,1.522089
define,-0.213295,0.333312,-0.580416,-0.328231,0.116538,-0.181603,-1.221702,-0.081741,-0.242347,0.55123,0.133102,0.291739,-0.350492,0.37928,-2.843261,0.05866,-1.287225,0.418039,0.615584,-0.415952,-0.05918,-1.679477,0.999695,-0.070494,0.882299,0.807169,0.323471,0.126088,-0.648485,0.133436,-0.109805,0.235683,0.494157,0.118698,-1.576954,0.686598,-0.704672,0.407744,0.034128,-0.237251,-0.203187,-0.257213,-0.045765,-0.591484,1.336142,0.826899,0.879086
graph,-0.685031,-1.073475,1.178025,0.90413,-0.206989,-0.947273,-1.161031,1.33214,-0.070459,0.009166,-0.899939,-0.359067,1.144685,0.835688,-1.809061,0.273288,-0.514385,-0.541585,-1.020072,-1.255683,-1.724487,-0.841573,0.785751,-0.981556,0.528758,0.14657,-0.040114,0.282344,-1.118523,0.541133,-0.172386,-0.422332,0.004319,0.725069,-2.225317,-0.654695,0.078255,1.794353,0.975956,1.478108,-0.420397,0.671618,-0.540343,-0.060356,1.657922,1.379705,0.6487
value,-0.245776,0.624989,-0.248583,-1.03803,-0.35827,0.351682,-1.284448,-0.441542,-0.064348,0.243053,-0.597856,-0.238062,-0.964307,0.006831,-2.823376,0.006775,-1.019455,-0.633893,0.247331,0.573296,-0.267772,-1.970826,0.477001,-0.567658,-0.288485,0.780534,0.192954,0.542065,-0.167423,-0.313686,-0.456962,0.813487,1.252911,-0.234136,-1.193473,0.653838,0.164351,-0.057198,0.190206,0.060167,-0.392807,0.751864,0.877554,0.559839,1.471424,0.198806,-0.146485
problem,-0.873604,-1.237963,-0.049383,0.288604,-0.985425,-0.438603,-1.664861,0.349653,-0.722705,1.020103,-1.150798,1.684462,0.889909,1.346833,-1.795524,0.872742,0.143498,-1.050723,0.302017,-0.67789,-0.501488,-1.757685,0.047404,-0.973081,0.067278,0.663804,-0.397547,1.288879,-0.603271,-0.073837,-0.222353,0.531868,-0.606419,0.061885,-1.431939,-0.086341,-0.444836,-0.073429,0.42088,0.708466,0.983555,1.028852,-0.175322,1.317197,1.067574,0.388585,-0.235046
mathematic,0.782798,0.088013,-1.213948,-0.293325,-0.008879,-0.81357,-1.134504,-0.22946,-0.758704,0.274819,-0.912929,0.270719,0.112118,0.814017,-2.18998,0.579848,0.280879,-0.366493,-0.269639,-1.739241,0.906659,-0.324507,-0.502964,-1.164965,0.612368,0.53826,1.487257,-0.566164,-0.387589,-0.174365,-0.684571,0.353595,-0.388498,0.084648,-0.024789,0.116918,0.775623,-0.015363,0.436907,-0.110944,1.334544,0.345535,-0.350485,0.575812,2.041751,0.144174,-0.784673
order,0.123404,0.067835,0.233749,0.333284,-0.496358,0.974183,-0.918662,-0.444236,-0.61382,0.150958,-1.170763,0.236869,-0.169281,0.692097,-2.214954,-0.254637,-0.516742,-0.378913,0.128313,-1.402823,-0.172306,-1.45732,1.059986,-0.590097,0.676113,-0.52662,0.519092,0.114288,-0.260821,0.671531,0.516367,-1.134617,0.729481,0.365513,-1.201938,0.574235,0.210985,-0.338916,-1.272943,-0.338378,-0.451031,0.057458,0.504762,0.507543,1.442358,1.979421,1.382791
equation,-1.532882,0.151356,-0.953706,-1.086612,-0.458287,0.732786,-1.897907,-0.270754,0.507984,-0.417972,-0.166709,0.915951,0.83704,1.306308,-1.795916,1.326827,0.382296,0.658305,0.18392,0.544968,1.138281,-2.82298,0.399716,-0.643643,0.206097,-0.24539,-0.504088,0.966352,-0.430068,0.907093,0.437429,0.487823,-0.865319,-0.310607,-1.494141,-0.26102,-0.402958,-0.689946,-0.541702,-0.351668,1.229285,0.98844,0.163586,-0.409656,1.64567,0.810343,0.947226
first,-0.192616,-0.414656,-0.420674,-0.244607,0.517953,-0.015113,-1.405117,-0.198231,-0.63089,0.173998,-0.997887,0.022831,-0.023287,0.813337,-2.116067,0.413301,-0.223161,-0.143734,-0.081378,-0.652783,1.198229,-0.783741,0.227643,-0.174561,0.416595,0.184449,0.772655,0.562485,0.106923,0.005249,-0.267307,-0.186853,0.275732,-0.460067,-1.035866,-0.093358,-0.096639,-0.138853,-0.656705,-0.468453,-0.390544,0.512249,0.253713,1.169981,2.039919,1.202081,0.177966
vector,-0.624877,0.061196,-1.359557,-1.354775,0.15215,-0.488428,-0.840792,0.142169,-0.129704,-1.016922,1.482846,0.484327,-0.568176,0.163325,-2.201844,0.720506,-1.064092,0.500744,0.149565,0.414942,0.059574,-2.584816,0.147746,-0.272376,0.740205,0.595739,1.126291,-0.647456,-1.121608,-0.02557,-0.028124,0.563764,1.103897,-0.017701,-2.016561,0.572064,0.395527,-0.577483,0.110954,-0.095424,-0.706419,-0.527144,-0.356393,0.151043,0.762967,0.515903,0.986922
algebra,-0.77273,-0.359449,-1.290976,-0.647775,-0.190993,-1.34304,-1.530937,-0.05929,-0.098026,-0.283815,-0.185684,1.029659,-0.042409,0.800521,-1.93119,-0.660371,-1.467194,0.745996,-0.111833,-1.645425,1.298869,-1.189358,0.402753,-0.10511,0.326622,0.324513,0.958473,-1.321716,-1.153337,0.509476,-1.5539,-0.894052,-0.018391,-0.35987,-0.464202,0.863892,0.785113,-0.483235,0.842941,-0.080259,0.96963,-0.741518,-0.300495,0.546452,0.522727,0.965734,1.23826
