word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
number,-0.102375,-0.273375,-0.638814,-0.641319,-0.347698,0.476424,-0.197363,-0.542347,-0.342048,-0.239355,0.756364,0.673817,0.254321,-0.495003,0.095259,1.467071,-0.110186,0.432393,0.026699,0.001284,0.463613,-0.150148,0.117244,-1.405018,-0.441194,0.558421,-0.13912,-0.04517,-0.220327,-0.300913,0.603146,-0.280328,0.031877,0.169002,-0.023307,0.223923,0.375226,-1.000041,0.06435,0.461586,0.398479,0.312532,-0.397099,-0.073993,0.407312,0.725226,0.026637
function,0.157813,0.099827,-0.41693,-1.205365,-1.059978,-0.361046,0.611674,0.181172,-0.021866,-0.293861,-0.414663,-0.046219,0.578067,0.202587,-0.719724,1.56878,0.388475,-0.089989,0.683284,-0.62689,0.408817,0.038006,1.171729,-1.30724,-0.232519,2.122811,-0.152427,0.691213,-0.646243,-0.166561,-0.148226,-0.381767,-0.537632,-0.475323,-0.776969,-0.132353,0.269175,0.291051,-0.439028,0.960509,-0.427925,0.426337,0.500063,0.198449,0.859665,-0.240607,-0.417382
one,-0.266093,-0.298009,-0.491547,-0.14078,-0.549574,-0.329903,-0.072699,-0.412912,-0.098926,0.22586,0.090042,0.331785,-0.189552,-0.090638,0.043889,0.973798,-0.351057,0.54174,0.380021,-0.843364,0.579651,-0.400597,0.456677,-0.942917,-0.387943,-0.083161,-0.03049,0.014131,-0.179846,-0.353732,0.091251,-0.550527,-0.206895,0.413875,-0.061137,-0.029374,0.07624,-0.716139,0.43278,-0.082246,0.187982,-0.131858,-0.459789,0.11178,0.365587,0.377186,-0.254173
set,-0.133505,-0.34754,-0.131614,-0.185404,-0.334463,0.368285,0.140685,-0.077045,0.177963,-0.292387,0.32949,0.258828,-0.151644,-0.30704,-0.031158,1.18451,-0.094505,1.061928,0.372155,-0.88818,0.979721,0.096431,0.262799,-0.532237,0.055742,0.19641,-0.165218,-0.279661,-0.097907,-0.284121,0.111469,-0.312318,-0.119856,-0.217995,-0.214749,-0.184516,-0.055439,-0.496617,0.346175,0.427886,0.613389,-0.055647,-0.200106,0.073678,0.537296,0.247862,-0.421516
group,-0.232213,0.43994,-1.448808,-0.031669,-0.422512,-0.482613,0.302214,0.274785,-0.885093,-0.293969,0.817358,0.74565,-0.350175,0.136907,-0.014885,0.61524,-0.457198,0.268111,0.852943,-0.414351,0.343952,-0.794083,0.331664,-0.570636,-0.249317,0.24747,0.50983,0.976786,-0.022489,0.125728,0.57414,0.286722,-0.125332,-0.292903,-0.497447,-0.020745,-0.0324,-0.259755,-0.253913,-0.36553,0.570102,-0.00615,-0.074826,-0.108919,-0.407945,0.825202,-0.695512
space,-0.250275,-0.13613,-0.327515,-0.267987,-0.173705,-0.073457,0.653895,-0.118692,-0.147298,-0.549503,-0.674011,0.143882,0.216738,-0.512342,-0.511075,0.979177,-0.636783,1.598273,0.240122,-0.4586,1.392022,-0.187269,0.779156,-0.500661,0.096727,1.138941,0.320892,0.611913,0.078062,-0.964478,0.634695,0.262434,0.523086,0.354051,-0.55018,-0.979207,-0.434688,0.389885,0.232206,1.027398,0.046339,0.205446,0.56911,-0.132947,0.392239,0.145201,0.035538
two,-0.220643,-0.105201,-0.256791,-0.240494,-0.649407,-0.085415,-0.17805,-0.010055,-0.64878,-0.129758,0.024996,0.446346,-0.302687,-0.179225,0.078504,0.891109,-0.502291,0.782342,0.16686,-0.53616,0.812785,-0.311166,0.084184,-1.129714,-0.45401,-0.356089,0.044164,0.409261,-0.175393,-0.31059,0.168075,-0.70869,-0.209483,0.332634,-0.086335,0.11843,-0.067837,-0.653539,0.546727,-0.016703,0.220123,-0.19531,-0.238408,0.493242,0.646127,0.221031,-0.60072
theory,0.862682,-0.645964,-0.501469,0.216644,0.011238,-0.879765,1.510452,-0.65998,1.580083,0.132873,0.677317,0.752945,0.454608,-0.312698,-0.592466,1.032357,-0.324711,-0.055388,0.527753,-0.256369,0.03939,0.419185,0.5135,-0.460879,-0.378627,1.414893,0.948119,0.136294,-0.625562,0.038551,0.225037,0.336634,0.207696,-0.713732,0.409671,-0.267982,0.013041,0.458146,-0.884166,1.146964,0.285274,-1.066514,1.347586,-0.723706,1.415975,-0.120136,-1.023477
point,-0.286451,-0.380779,-0.535367,-0.479041,-0.043574,-0.147981,-0.070435,-0.782476,0.255534,0.238727,-0.568522,0.808975,-0.152564,-0.022777,0.51956,0.084925,-0.406759,0.923063,0.382955,-0.035388,1.074933,0.409642,0.181428,-1.125641,-1.24195,-0.152359,-0.021648,-0.115383,-0.409695,-0.668785,0.285867,0.004021,0.317549,-0.177247,-0.05419,0.663529,-0.198912,-0.649766,0.145862,0.335214,0.785181,-0.132392,-0.234603,0.809659,0.85341,-0.189786,-0.289712
theorem,0.877347,-0.301424,1.065587,-0.983278,0.034413,0.338925,0.754473,-0.639402,1.95667,0.538417,-0.99435,0.066813,0.243027,-0.236067,-1.306949,0.940428,0.720715,0.042191,-0.644672,-0.277618,-0.073146,1.423489,0.986388,0.07332,0.11223,0.840983,1.439911,-0.29643,-0.235991,0.420052,-0.977022,0.576904,0.399325,-0.362015,0.400007,0.348701,0.040518,0.269426,-1.664672,0.894922,-0.297601,0.491765,1.014597,0.266763,1.976913,0.280574,-0.937436
example,0.490408,-0.042826,-0.396268,-0.444189,-0.655473,-0.310793,0.313732,-0.520007,0.22083,-0.164712,0.476626,0.441057,0.320353,0.399723,0.227568,1.069379,0.564644,-0.436004,0.361016,-0.668843,0.97513,-0.219406,0.806976,-0.97674,-0.491169,1.043797,0.074279,-0.319201,-0.565014,-0.574756,-0.065699,-0.321856,-0.127837,-0.090117,-0.45389,-0.380571,0.588969,-0.266811,-0.139609,0.426006,0.209739,-0.02813,0.538262,-0.200768,0.531302,0.291759,0.222312
form,0.388846,-0.222991,-0.736567,-0.065014,-0.717833,-0.401406,0.278601,0.24184,-0.511512,-0.450685,0.444555,0.61494,-0.02914,0.375548,-0.239526,0.738351,0.14803,-0.447472,0.335251,-0.575639,0.53035,-0.46977,0.575582,-1.076241,-0.625691,0.150578,0.316813,0.649647,-0.494514,-0.315962,0.197097,-0.261338,0.107843,0.363397,-1.137069,0.099062,-0.034549,-0.118815,0.539787,-0.231605,0.025647,-0.386811,0.420544,-0.061162,0.936294,0.482328,-0.534516
define,-0.205942,-0.143135,-1.159427,-0.664979,0.064465,-0.406955,0.654626,-0.443801,0.235901,-0.040895,0.514166,0.341521,0.881519,0.011472,-0.4159,0.9634,0.375711,-0.400051,0.063412,-0.462142,0.797436,0.357853,0.770417,-0.879644,-0.460715,1.144676,0.232743,0.015416,-1.290417,-0.440954,-0.381042,0.365498,0.314501,-0.284623,-0.891017,0.029451,0.26562,0.057828,-0.549106,0.592672,0.324333,0.042445,0.825432,0.389604,0.845935,0.062156,-0.129283
graph,0.587892,0.240707,0.879067,-0.748844,0.023175,0.423158,0.885918,0.062406,0.946103,-0.264016,-0.614483,0.696222,-0.06984,0.195894,-0.798445,0.838399,0.807701,-0.094568,-0.069414,-0.442871,0.924404,1.079505,0.537788,-0.034644,-0.821037,1.587951,-0.20726,-0.15336,-0.68447,-0.370725,-0.495082,0.74604,0.761014,-0.535568,-0.122271,0.458719,-0.02217,0.249312,-1.473091,1.779782,-0.259107,0.699458,0.116387,0.727538,1.267999,0.352156,-0.672681
value,0.163292,-0.384181,-1.057046,-0.499535,-0.56802,-0.522991,0.426493,-1.0058,0.705294,0.367366,0.654458,0.824162,1.033554,0.434082,0.112084,0.882074,0.447433,0.164958,0.3459,-0.179232,1.128414,0.35601,1.039793,-1.250573,-0.54883,0.519623,0.536878,-0.774894,-0.712913,-0.895676,0.596822,-0.106174,-0.053544,-0.588123,-0.402587,0.397389,0.694425,0.315756,-0.898599,1.057723,-0.247491,1.131853,0.261904,-0.387419,0.122694,0.010392,-0.243513
problem,0.647571,-0.687784,-0.686387,-0.25259,-0.169332,-0.90491,-0.006349,-0.301088,0.791546,0.497168,-0.312135,-0.105625,0.396402,0.400705,0.25921,1.328846,-0.239221,-0.028161,1.152909,-0.152598,0.35943,0.16348,0.092795,-0.838365,0.372468,1.079456,-0.001412,-0.159885,-0.246346,-0.309992,-0.101569,0.220673,0.317101,-0.808282,0.011796,-0.564254,0.352709,0.194047,-0.523214,0.620078,0.309746,-0.420763,-0.058367,-0.236941,1.105419,-0.712205,-0.222307
mathematic,0.127631,0.09802,-0.469008,-0.438868,0.694173,-0.574279,0.834484,0.298759,1.541301,0.832989,0.919479,-0.505933,0.626321,-0.820684,-0.685437,-0.15657,-0.029207,0.983094,-0.464849,-0.618226,-0.381074,0.028283,-0.038066,-0.263798,-1.168184,1.104999,-0.101826,0.686343,-0.092241,0.360254,0.068155,-0.63185,0.487265,-0.070793,0.305915,-0.117557,-0.639187,-0.135574,-1.109129,1.729901,-0.520954,0.138986,0.210391,-0.961636,1.725114,-0.207266,-1.299695
order,-0.16678,0.301712,-0.813197,-0.331208,-0.698786,0.164562,0.339724,0.015393,0.143931,-0.429292,0.100939,-0.703024,0.650341,-0.337512,-0.262473,1.270576,-0.246075,0.116005,0.9413,-0.549368,0.142109,-0.034292,0.502126,-1.33564,-0.095908,-0.743931,0.180344,0.083437,0.032461,0.171587,0.089723,0.000724,-0.892514,-0.145572,-0.282692,-0.302455,0.423122,-0.362592,0.127946,0.298405,0.094815,-0.14984,0.062253,0.497815,0.43944,-0.119117,-0.004835
equation,0.781799,-0.292438,1.18544,-0.995865,-0.24497,-1.138947,0.486437,0.111558,1.587757,0.390038,-0.636669,0.485601,0.736526,-0.193786,-1.250261,0.51356,0.415113,0.54202,-0.184345,-0.631398,0.277035,1.446093,0.988125,-1.18619,-0.254919,1.128779,1.916431,-0.256364,-0.6045,-0.015953,-0.449948,-0.240819,1.055355,-0.279889,-0.008775,0.8739,0.26443,0.701599,-1.807851,1.127291,-0.293851,-0.140993,0.887129,0.064139,1.778521,0.154078,-0.860433
first,0.045215,-0.152497,-0.598442,0.308821,-0.438137,-0.100755,-0.553912,0.407603,-0.254887,0.091456,0.339459,0.052339,-0.673296,-0.241243,-0.108493,0.705442,-0.381755,1.198657,0.252307,-0.568725,0.121153,-0.381892,0.389005,-0.729465,-0.557965,-0.357151,-0.221123,0.097412,-0.156798,0.278337,0.126366,-0.473454,-0.491078,0.116016,0.269061,0.034348,-0.005889,-0.873993,0.346295,-0.020746,0.49291,-0.236856,-0.41705,-0.134367,0.40704,0.063249,-0.414649
vector,-0.117571,0.437691,0.440936,-0.774058,-0.457552,-0.186005,0.281749,0.249044,0.903775,-0.925713,-0.700184,0.808039,0.423311,0.036655,-0.89004,1.166639,-0.319797,0.092939,-0.128395,-0.224717,0.17641,0.951614,1.306295,-0.998128,-0.275061,2.144804,0.115396,-0.049503,-0.805899,-0.047065,0.502416,0.010231,1.26502,-0.664611,-0.249239,-0.049206,0.293905,0.253378,-1.85002,0.544066,-0.129741,0.757085,0.614971,0.897614,0.71807,0.263935,-0.461792
algebra,0.130865,0.128448,0.670507,-0.640407,0.191162,0.529628,0.953636,0.248387,1.428992,0.656739,0.610286,-0.127294,0.693822,-0.908425,-0.304404,0.365704,0.177878,0.283903,-0.869777,-0.75135,-0.409098,0.715514,-0.137966,-0.288149,-0.415726,1.872556,0.637142,0.466122,-0.36581,-0.294272,-0.206957,-0.559842,0.335334,-0.405357,-0.354917,0.543491,-1.228144,0.752353,-1.934804,0.986867,-0.582385,1.145257,0.452041,0.446278,2.372603,0.528008,-1.374343
$\mathbb{N}$,0.170818,0.17524,0.602963,-0.971637,0.160776,-0.542937,0.287013,0.266027,-0.014254,-0.945699,-0.003463,1.161536,-0.067976,-0.366835,-0.07481,0.0701,0.829263,0.680308,0.21989,0.37866,0.170747,-0.334714,0.370108,-1.057467,0.076209,1.000325,0.575234,-0.354461,-0.34462,-0.466932,0.340903,0.010977,-0.159534,0.494531,-0.105523,0.894369,0.063306,-0.431672,-0.953606,-1.170911,0.02715,0.508134,0.399334,0.794052,-0.046165,0.775961,-0.169439
field,0.079472,0.30626,-0.927126,-0.94272,0.056067,-0.419539,0.453933,-0.032071,0.394819,0.020422,-0.448826,0.051279,-0.351817,0.087614,0.307815,-0.290947,-1.136511,1.511928,-0.042974,-0.464544,-0.163008,0.17105,0.309372,-1.571786,-0.848089,0.360414,0.098246,0.586214,-0.035583,0.296077,0.420127,-0.031031,0.529555,-0.339565,-0.185519,-0.213503,0.189799,0.028719,-0.033603,0.714033,0.465697,-0.447473,0.164682,-0.148704,0.482663,0.491161,-0.572618
element,0.451402,0.15235,0.094949,0.317747,-0.487496,-0.151487,0.615398,-0.17419,-0.112829,-0.640192,0.789847,0.480187,0.631787,0.472346,-0.014909,0.876482,0.182629,0.167539,0.598343,-1.12213,0.741162,-0.15564,0.370765,-0.988218,-0.844097,1.179257,0.369627,-0.013941,-0.283129,-1.207429,0.253922,-0.026339,0.050789,-0.454444,-1.268544,0.067584,-0.106402,0.182291,0.572922,0.499319,0.248675,-0.586656,0.991711,-0.337429,0.552423,0.978506,-0.04603
system,-0.026526,0.021673,-1.036725,-0.215747,-0.513386,-0.3185,0.033915,0.879399,-0.070955,0.013964,0.135378,0.315291,0.726149,-0.000386,0.121177,0.577814,-0.438324,0.59211,1.078658,-0.410641,1.257954,0.308172,1.317766,-1.253293,-0.0119,1.853148,-0.233465,0.722145,-0.15589,0.27465,-0.572042,0.4441,0.460637,-0.184275,-0.912439,-0.179606,0.414281,-0.432122,-0.107326,0.852757,0.072103,0.125301,0.68634,-0.271681,0.933943,-0.45043,0.254276
matrix,1.057313,0.157557,0.736648,-0.650829,-0.569117,-0.24011,0.050985,-0.248243,0.315632,-0.875307,-0.041973,0.351796,0.433952,-0.252418,-0.277672,1.019838,0.115994,0.492894,0.429565,-0.085526,0.457183,0.836226,0.604982,-0.485122,-0.341543,1.516892,0.551058,0.363717,-0.477914,-0.257975,0.263004,-0.085214,1.005385,-0.676514,-0.557545,0.616822,-0.266961,0.952303,-0.994045,0.212749,-0.668922,0.760394,0.479917,0.295814,1.101731,1.170132,-0.807009
mathematical,0.690752,0.394769,-0.006249,-0.182395,0.731438,-0.417059,0.785706,-0.251197,1.961443,0.452996,0.512555,-0.137243,0.384672,0.073007,-1.113012,0.454797,0.109686,0.794403,-0.277422,-0.27022,-0.071113,0.647636,0.717635,-0.436678,-1.122464,1.486771,-0.112543,0.170925,-0.256695,0.176352,0.0234,-0.240289,0.624733,-0.426692,0.445926,-0.039636,-0.447877,0.271308,-1.243106,1.802638,-0.2411,0.038044,0.720329,-1.205479,1.436643,-0.098647,-0.653637
