word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
number,-0.120349,-0.390356,0.247232,-0.12744,1.123002,-0.22491,-0.481224,-1.023037,0.761839,-2.225952,-0.754852,-1.180047,1.244593,-0.188185,0.009961,-0.136577,-0.596127,0.769472,-0.420706,0.545387,0.765581,-0.08257,-0.783936,-0.206016,-0.037152,0.05582,-1.37017,0.342254,0.449149,-1.310471,-1.179702,-0.790449,-0.210216,1.08862,0.076335,0.197802,-0.778086,0.669653,2.571252,-0.103826,-0.705475,0.875151,1.651665,-0.050161,1.19313,0.037979,-0.975711,-1.433601
function,-0.759161,-0.189962,0.255362,0.550979,1.643687,-1.424278,-1.928853,0.318635,-0.534978,-1.279749,-1.1628,-1.172059,-0.177571,0.460321,0.274905,-0.603678,-1.305379,1.707227,1.020007,0.335136,0.302159,0.466156,-6.3e-05,-0.922283,0.550682,-0.126041,-1.166209,1.334066,-0.109172,1.270815,0.209912,-0.62263,0.715737,0.282433,0.222083,0.172312,-0.187692,-0.366704,3.061585,0.750938,-1.118141,0.816459,0.967817,0.379515,0.222077,-0.122547,-0.164892,-0.537228
one,0.345502,-0.658756,-0.422099,-0.00157,0.666277,-0.009463,-0.903715,-1.109352,0.434594,-0.955631,-0.414752,-1.138418,0.578967,-0.29617,-0.317661,-0.725841,-0.316438,1.223858,-0.179761,0.28936,0.535871,0.019426,0.070608,-0.681792,-0.495514,-0.778278,-1.426615,-0.785935,0.437917,-0.421786,0.429945,-0.322949,-0.029285,-0.081669,0.286824,0.076744,0.662875,0.087418,2.91642,0.290891,-0.095714,1.046836,1.139173,0.416637,0.094984,-0.366432,-1.028213,-0.478911
set,-0.67697,-1.167023,-0.086776,0.447279,1.227659,0.278021,-1.473055,-0.913976,-0.606308,-0.39608,-0.167131,-1.677103,-0.044489,0.672703,-0.64418,-0.199532,0.15743,0.815961,-0.176237,0.473162,0.14183,0.085263,0.670444,-0.339497,-0.749686,-0.047773,-1.59419,-0.055303,-0.358661,-0.403329,-0.767373,-0.282759,0.832298,0.218755,0.516202,-0.059814,0.259842,0.356263,2.910087,-0.489152,-1.325336,-0.255804,1.226477,-0.260335,1.110927,-0.520556,-1.992894,-0.876695
group,0.331221,-0.854139,-0.959322,-0.278174,-1.036789,0.010877,-0.415931,-0.11354,-0.784607,-0.686646,0.897422,0.286254,-0.070561,0.83929,-0.109604,1.012418,-0.796486,0.334603,-0.660365,-0.567595,0.338749,-0.12556,-0.819696,-2.12046,0.430159,0.154772,-1.47825,-1.203172,2.686045,0.153275,0.218615,0.931946,0.408268,-0.374687,0.461178,0.477583,-0.070584,0.284094,2.763681,0.578237,-0.41738,0.710545,1.973032,0.721059,0.764895,0.041088,-1.43482,-2.110724
space,0.617566,-1.368657,-0.751924,0.597576,-0.016127,0.608062,-0.837969,0.764687,-0.630048,-0.027032,-0.207441,-1.153121,0.388596,0.44734,0.549726,-0.921016,-1.345677,0.724498,-0.171373,0.050225,-0.051383,0.406312,-0.203578,0.08024,-0.583479,-0.060689,-1.548601,-1.25455,0.982285,0.468428,0.349505,0.653647,1.884003,-0.624556,-0.609347,-0.670791,0.118255,-0.194786,3.3434,1.581738,-0.363874,-0.50311,1.705372,-0.599628,0.666398,-0.551919,-1.19505,-0.460888
two,0.10613,-0.788579,-0.256401,0.233344,0.865888,-0.073952,-1.317792,-1.289112,0.636605,-0.34827,0.044199,-1.325095,0.81519,-0.208199,-0.232164,-0.388007,-0.877364,1.132142,-0.539631,-0.186396,0.434769,-0.255988,0.090495,-0.177891,-0.6422,-0.632347,-1.256348,-0.346056,0.507596,-0.376711,0.303742,-0.161262,0.04048,-0.349715,0.072523,0.194914,1.00772,0.357969,2.809737,-0.052487,-0.041127,1.695193,0.799995,0.174993,0.181655,-0.267305,-1.664587,-0.45915
theory,0.178551,-2.261039,0.005036,-0.450078,0.910364,1.142823,0.128338,-0.597904,-0.572597,-1.129986,-0.837004,-0.246713,0.405173,0.187213,0.313894,0.121172,-1.613629,0.219925,0.765977,-0.14187,0.678304,-0.384275,0.524973,-2.030072,0.296294,0.505971,-0.95845,-0.616692,0.596504,0.33162,-1.2701,0.012309,1.251986,0.390853,0.752025,0.563972,0.449834,0.503982,2.421418,-0.065427,-1.171713,-0.116853,0.465091,0.722595,0.577497,-0.455889,-0.441457,-1.3511
point,0.032938,-0.519426,-0.440829,0.269674,-0.088188,-0.620389,-0.91684,-0.937764,1.405715,-0.215051,-0.524917,-1.552049,0.685674,0.614808,-0.102923,-0.655208,-0.804525,1.874314,0.885677,-0.717108,0.131399,-0.369082,-0.765554,-0.228832,-0.922654,0.026641,-1.257134,0.145387,0.055471,-0.317461,0.452141,0.587718,0.165702,-0.995714,0.843999,-0.287332,1.305211,-0.381445,2.317436,0.594293,-0.473949,0.019412,1.378551,-0.878964,0.3505,-0.209707,-1.855922,-0.562557
theorem,0.62432,-1.676061,0.317798,-0.701752,0.076123,-0.53569,-0.240884,1.003122,1.50157,-1.499117,-0.669408,-0.66331,-0.042491,0.813083,-0.000444,-0.099958,-1.557197,-0.19365,0.492658,-1.045202,-0.058013,0.096623,-0.315691,-0.90999,-0.065241,-0.445582,-1.647699,-0.846786,-0.431848,0.022202,0.072645,0.3056,0.73187,0.189487,0.798768,0.013505,-0.680802,0.734152,3.788882,-0.700946,-0.611937,0.096004,-0.79581,-0.016724,0.075156,-1.389827,-0.652784,-0.430136
