word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
number,-0.355072,0.025241,-0.501582,-0.376427,-0.63148,0.614659,-1.053303,-0.488488,1.1771,0.458954,-0.093472,0.434872,-0.636838,0.13693,-0.033777,0.364485,-0.109324,0.775041,-0.537721,-0.096648,0.302407,0.220679,-0.477095,0.080138,0.646896,-0.498315,0.355176,-0.009464,1.219867,-0.925617,0.090335,0.601364,-0.060359,0.326181,-0.259615,0.361782,-0.075308,-0.511375,-0.616533,0.11126,0.487384,0.516345,0.340076,-0.270503,0.025828,-0.613384,0.797586,0.506928
function,0.437455,-0.526864,-0.883348,0.286327,-0.664735,0.733454,-0.258017,-0.556697,1.63287,0.990415,0.269985,0.101984,0.660169,-0.092497,-0.246598,0.005544,0.238021,-0.566798,0.601698,0.887411,-0.641155,0.036505,-0.485656,0.135831,-0.285141,-0.199211,0.778582,-0.033321,0.303058,-1.867427,-0.367416,1.343903,1.181635,0.23186,-0.222684,0.105985,-0.855579,-0.342765,-0.220938,-1.291353,0.25529,-0.508279,0.32185,-0.57519,-0.380266,-0.330913,0.02486,0.139486
one,-0.197808,-0.392729,-0.383945,-0.666971,-0.573591,0.374033,-0.866028,0.079494,1.211504,-0.03392,-0.076622,-0.073074,0.212899,0.014232,-0.072092,0.599817,0.26006,0.03054,-0.01154,0.157508,0.186562,0.222617,-0.198509,-0.281625,0.625927,-0.263896,0.700719,-0.142899,0.607191,-0.410482,0.184625,0.225591,-0.597893,0.022361,-0.104223,0.119979,0.010958,-0.265475,0.058362,0.354188,0.276385,-0.26021,-0.049946,-0.153254,-0.099028,0.003371,0.560475,0.253848
set,-0.179001,-0.4325,-0.479008,-0.387765,-0.177826,0.237158,-0.969962,-0.069419,1.347604,0.142955,-0.064021,-0.286974,-0.019582,0.028662,0.269275,-0.022101,-0.118811,-0.203602,-0.095747,0.209136,0.107768,-0.176709,-0.086595,0.117332,0.475826,0.106187,0.232553,-0.374925,0.770822,-0.677118,0.448435,0.102952,-0.480647,0.229605,0.300359,0.185812,-0.566711,-0.728775,-0.276498,0.260339,-0.121666,-0.074134,0.080394,-0.365793,0.037758,0.006763,0.302179,0.674005
group,-0.182266,-0.090913,-0.584698,-0.481717,0.218138,-0.193837,-0.301704,0.010616,0.338562,-0.004435,0.335117,0.227325,0.213755,-0.097713,-0.340426,-0.043518,0.932679,0.119027,0.41665,-0.103594,0.487102,0.480636,0.415072,-0.58903,0.610136,0.095148,0.282967,0.558041,0.533368,-1.580343,-0.677964,1.354241,-1.091394,0.131649,0.391286,-0.034569,-0.170165,-0.079353,-0.4575,0.151002,-0.163199,0.204782,0.154177,0.238885,0.10507,-0.216514,0.868353,0.407091
space,-0.418405,0.165957,-1.50624,-0.669009,-1.054861,0.61178,-0.661283,-0.48868,1.227578,0.611177,0.649225,0.493791,-0.186512,0.387869,-0.10571,-0.122738,0.396536,-0.208587,0.065734,0.120389,-0.068139,-0.356751,-0.18036,-0.32711,-0.517133,-0.172059,0.360447,-0.420198,0.122042,-1.289022,0.351115,0.277808,-0.06339,0.517423,1.026031,-0.025081,-1.188095,-0.720989,0.436151,0.176762,-0.580687,0.231452,0.219459,-0.238395,-0.209578,0.303771,-0.762531,0.497202
two,-0.387335,-0.345649,-0.641612,-0.045027,-0.812869,0.618723,-0.934487,0.378021,1.485959,-0.307782,-0.509284,0.222914,-0.023663,-0.103173,-0.061823,0.019857,0.43725,-0.059276,0.314791,0.177362,0.198623,0.130424,0.127673,-0.237745,0.819867,-0.147687,0.343741,-0.18349,0.58206,-0.442512,0.381412,0.48467,-0.767319,0.116151,0.008482,-0.033033,0.101648,-0.208674,0.078537,0.443004,0.194235,-0.114853,0.053866,-0.189236,-0.050105,0.050652,0.518636,0.14239
theory,0.120056,-0.458797,0.311525,-0.333657,-0.102094,0.538946,0.720404,-0.840673,0.469867,0.680719,0.582829,-0.133457,1.528167,-0.190991,-0.201843,-0.057405,1.561158,-0.751327,-0.425839,-0.598373,0.623897,0.491737,0.245595,0.035262,-0.151882,-0.43851,0.088738,-0.708329,1.120948,-1.168946,-0.833336,-0.173223,0.770565,0.498508,-0.961342,0.283598,-2.080252,-1.117181,0.110913,-0.82693,-0.484521,0.312354,0.704156,-0.884021,0.203152,0.140125,-0.849375,0.315444
point,-0.256945,-0.384522,-0.67432,-0.14589,-1.193431,0.695408,-0.546469,0.474555,1.358802,-0.112938,-0.540374,-0.931693,-0.004485,-0.019988,0.180504,0.908301,0.264689,0.12646,-0.763912,-0.34145,0.651017,0.304945,-0.607614,0.217921,0.656613,0.34124,0.310961,-0.044064,0.00865,-0.08231,0.222839,0.652619,-0.580076,-0.478615,-0.383721,0.43839,-0.432263,-0.117431,0.113433,0.233412,-0.274441,0.688335,0.515643,-0.675005,0.210931,-0.098749,-0.31387,0.11601
theorem,-0.696249,-1.306862,0.381098,1.135233,0.061748,0.888454,0.785331,-1.073664,0.787257,1.293177,1.062779,0.128943,0.637278,-0.258872,0.413004,0.399024,0.485386,-0.885187,0.069442,-0.406722,-0.528581,-0.786763,-0.422328,-0.466376,-0.496171,0.275085,-0.729375,-1.050918,0.890447,0.789668,-0.48018,0.222815,1.476961,-0.293366,-1.407881,-0.350978,-1.015288,-0.859365,-0.534879,-1.017767,-0.289422,-0.006671,0.808057,-1.056927,0.682016,0.526012,-1.412659,0.178341
