word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
number,-1.01937,0.452824,1.014343,-0.576881,-0.253636,0.089195,-0.400591,-0.499251,-0.089064,-0.310229,0.958991,-0.269253,0.241785,0.611983,-0.738725,0.647483,0.626348,-0.241751,-0.255446,0.182865,-0.335011,0.052489,0.432348,0.792262,0.37315,0.807065,0.336207,-0.610513,-0.013654,0.151585,-0.515525,-0.614925,0.197078,-0.057296,-0.585877,-0.017241,0.123483,-0.04215,0.051504,-0.416409,-0.224147,0.489768,-0.48885,0.374673,-0.888479,-1.133774,-0.218787,0.378094,-0.967853
function,-0.49279,1.08907,-0.279145,-0.079857,-0.195284,1.117935,-0.205039,-0.42943,-0.097348,0.473342,-0.298176,-0.967146,0.038604,1.554343,0.130881,0.730671,0.87071,0.145986,-0.06035,-0.119967,-0.226126,-0.1611,-1.13489,1.45147,1.19156,0.502555,-0.2564,-0.136495,0.684752,0.185613,0.17008,-0.085902,-0.992282,-0.359421,-0.915554,-0.451874,0.840081,0.841403,-0.847088,-0.628635,-0.174367,0.555191,-0.06999,0.081632,-0.66906,-2.140426,0.403913,-0.177926,0.129796
one,-0.436524,0.361489,0.477157,-0.11912,-0.139855,-0.054871,0.521561,-0.264515,-0.005015,0.308701,0.513455,0.321363,0.052194,-0.391383,-0.68201,0.536521,0.275548,-0.250378,-0.045549,0.183779,-0.225072,-0.380739,-0.314612,0.623406,-0.040785,0.482936,0.795036,-0.492225,0.111321,-0.119079,0.04841,-0.15777,0.236765,0.345259,-0.551346,-0.015811,0.047463,0.061067,-0.042765,-0.404921,-0.096345,-0.159443,-0.017676,0.375895,-0.344144,-1.187781,0.264444,0.170598,-0.790875
set,-0.609434,0.478191,0.878667,0.383535,-0.314961,0.205017,-0.273316,-0.343546,-0.102675,-0.022021,0.461754,-0.181716,0.074083,-0.337652,-0.307073,0.667569,0.392012,-0.345541,-0.353843,0.283619,-0.118212,-0.431652,-0.212631,0.863894,0.659474,0.023868,0.476404,-0.424096,0.16798,-0.087561,-0.147855,0.432834,0.339063,-0.017757,-0.098897,0.102114,0.329163,-0.205666,0.246947,-0.636449,-0.352467,0.121739,-0.31196,0.079584,-0.300265,-1.435153,0.377676,0.645191,-0.638334
group,-0.38823,0.71895,1.215242,-0.462166,0.030004,0.127465,-0.211035,-0.498758,-0.150476,0.047205,0.776465,0.323258,0.808876,0.342762,0.437524,-0.049674,1.004984,-0.787854,-0.634942,0.617375,-0.546966,-0.236751,-0.683389,1.316027,0.079709,0.223893,1.127405,-0.076695,-0.254458,0.338104,0.227248,-0.491029,0.154414,0.364494,-0.832915,-0.153663,-0.263909,-0.366558,-1.07501,0.373807,-0.07876,-0.206243,-0.251751,-0.194458,-0.104479,-0.253173,0.037704,-0.203804,-0.194428
space,0.240895,1.180311,0.70675,0.080744,-0.6155,-0.012188,-0.325534,-0.286874,0.145651,-0.212808,0.559125,-0.255868,1.017607,0.701429,0.291122,0.666276,0.408701,0.399681,-0.564326,0.390236,-0.532435,-0.229115,-0.631394,1.165053,1.028408,-0.446143,0.146028,-0.358981,0.434885,-0.054129,-0.223704,0.934478,0.543564,-0.954106,-0.538772,0.115215,-0.265435,0.228576,-0.395189,-0.471466,-0.159274,-0.432467,0.584505,-0.426658,-0.216976,-2.378214,-0.661884,0.366106,-0.231462
two,-0.473495,0.669006,0.49638,0.055902,0.342412,-0.344164,0.796174,-0.454033,0.063637,0.050102,0.433978,0.135939,0.198001,-0.678147,-0.431421,0.220483,0.606239,-0.286247,-0.094791,-0.06676,-0.41256,-0.345703,-0.199653,0.912797,-0.039,0.40013,0.313567,-0.738918,-0.280127,-0.382902,0.066183,-0.345125,0.547792,0.35863,-0.576993,0.133279,-0.371824,0.165,0.059232,-0.251884,-0.127495,-0.03124,-0.054017,0.46761,-0.357171,-1.315936,0.469106,0.58323,-0.755669
theory,-1.547162,0.241296,-0.509761,0.559005,-0.675861,1.134867,-0.608435,-0.703445,-0.819694,0.687175,-0.074982,0.908043,-0.035183,1.084843,0.230651,0.866054,0.498175,0.443075,-0.439331,0.73694,-0.234105,-0.169054,-1.250464,0.218529,1.182946,0.085529,0.336154,0.370989,-0.354772,1.126695,0.152724,1.453391,0.449241,-0.997832,-0.483189,-1.200054,-0.471577,-0.048652,-0.780483,-0.182763,-0.171386,1.442905,0.644674,0.235555,-0.385026,-1.073014,-0.124092,-0.418103,-0.085998
point,-0.89069,-0.135378,0.085114,-0.077121,0.280353,-0.096686,0.680154,0.139015,-0.323015,0.05912,0.016912,0.566808,0.53868,0.317968,-0.222494,0.895215,1.023676,0.047945,-0.109513,0.460839,-0.306948,-0.419509,0.242724,0.827679,-0.217006,0.880633,-0.051623,-0.320323,0.271118,-0.432109,-0.066813,0.102971,1.168775,-0.119937,0.407281,-0.287114,-0.056752,0.176102,0.771042,-0.40642,-0.38085,-0.33214,0.12941,0.151503,-0.974615,-1.425669,0.01517,0.217376,-0.691677
theorem,-1.097273,0.680381,-0.773588,0.686872,0.187278,2.284775,-0.450223,-0.031453,-0.525616,1.13901,-0.065795,1.190925,0.365686,0.848555,0.756835,1.442161,0.285569,1.475413,0.144284,0.513186,-0.013491,-0.28597,-0.023942,0.74556,1.261257,-0.611439,-1.064065,0.527444,0.247878,0.154877,0.440692,2.216225,-0.418225,0.208785,-0.641565,-0.591463,1.22473,0.480523,0.110662,-0.547208,-1.342587,1.788938,-0.297594,-0.292115,-0.936868,-1.302153,-0.893509,0.915773,0.092807
example,-0.529646,0.057748,0.652072,-0.115499,-0.377596,0.294839,0.200236,-0.366829,-0.458071,0.759558,0.186356,-0.305791,-0.022297,0.845208,-0.498457,0.68638,0.355014,-0.156055,-0.237766,0.211018,-0.022074,-0.635571,-0.190247,0.240073,1.045947,0.941551,0.105463,0.030913,0.37266,0.642827,0.318887,-0.008086,-0.238992,-0.272689,-0.87651,-0.2359,0.225406,0.143247,-0.668046,-0.318266,-0.425756,0.414801,0.154291,0.098351,-0.357409,-1.509567,0.465411,-0.063807,-0.348112
form,-0.060624,0.599103,0.453474,-0.283462,0.124313,0.38891,0.822272,-0.406814,-0.095593,0.221224,0.220672,-0.281946,0.08026,0.157924,-0.385993,0.349141,0.568392,-0.432169,-0.20575,0.352761,-0.131119,-0.958804,-0.728344,0.812915,0.449499,0.425014,-0.175654,-0.296721,0.049504,0.339608,0.495528,-0.472424,0.367548,0.234806,-1.351376,-0.536998,-0.448059,-0.399396,-1.027165,0.195993,-0.44257,0.284464,0.325029,0.428643,-0.395429,-0.785142,0.513003,-0.180516,-0.614763
define,-0.29296,0.308829,-0.129704,0.08567,-0.049958,0.51128,0.162397,-0.583464,-0.89317,0.291472,0.331259,-0.08509,0.402588,1.613991,-0.117725,0.95969,0.598663,-0.269646,-0.488039,0.479631,0.056282,-0.635072,-0.671065,0.68224,1.182254,0.832825,-0.32945,0.08852,0.774815,0.735402,0.172089,-0.061101,0.280517,-0.126717,-0.431622,-0.82316,1.030722,-0.014986,-0.769898,-0.096716,-0.656495,0.442117,0.303327,0.030457,-0.658028,-1.323392,-0.014025,0.009321,-0.209961
graph,-1.140705,0.325248,-0.036093,0.268779,-0.630336,1.128893,0.341642,-0.031144,-0.114758,-0.931821,0.013484,-0.124028,0.964479,1.247117,0.582235,0.645826,0.415043,0.854971,0.150652,0.059046,0.828487,-0.261668,0.490868,1.644183,1.549509,0.749018,-1.172611,0.717071,0.018077,0.124354,0.549474,1.949362,0.200988,0.430489,0.190024,-0.850328,1.15646,-0.239934,-0.140313,-0.704894,-0.906617,1.430186,-0.289712,-0.201218,-1.02631,-1.916917,-0.565037,0.263901,0.560304
value,-0.330095,0.267578,0.826862,-0.58706,-0.229395,0.888403,-0.181567,-0.460667,-0.731874,-0.038406,0.048076,0.633564,0.10092,1.931893,-0.230406,1.276824,0.103158,-0.385946,-0.113837,0.215179,-0.201137,-0.275347,0.053153,-0.212843,0.607841,0.761779,0.467477,0.455527,1.193013,0.534822,-0.117328,-0.121498,0.408651,-0.71835,-0.0256,-0.533029,0.502568,0.680122,-0.166679,-0.075373,-0.633088,0.712359,-0.28446,0.231509,-0.526831,-2.135842,0.643059,-0.602534,-0.508953
problem,-1.218751,-0.010336,-0.163321,0.303133,-0.162748,0.669944,-0.668894,-0.229488,-0.137916,0.535223,-0.61694,0.503062,-0.108475,1.003888,-0.447532,0.004748,0.063491,0.416666,-0.613344,0.604794,-0.528276,0.669793,-1.075426,0.152812,0.700512,0.601864,0.177797,-0.130871,0.186487,0.107352,-0.289126,0.390446,-0.356923,-0.097892,-0.235283,-0.606696,0.194793,-0.47251,0.116237,-0.486524,-0.418033,0.484357,0.35221,-0.369411,-0.619716,-2.13333,0.226834,-0.324319,-0.254325
mathematic,-1.047609,1.931627,-0.15495,0.430166,-0.43512,1.357509,0.625322,-0.5801,-0.087818,0.253208,0.835093,0.816801,0.322019,1.059718,-0.631285,1.089443,0.676917,0.688316,-0.117111,-0.610407,0.031938,0.726633,-0.600301,0.289115,0.388276,-0.336472,0.22684,-0.366511,-0.584977,1.600075,-0.173896,2.028913,-0.268151,-0.754138,0.779497,-0.967796,0.079477,-0.256082,-0.280747,-0.483951,0.031006,1.026848,0.456079,-0.266834,-0.816204,-0.279848,-0.26648,-0.249587,0.194868
order,-0.61137,0.478915,-0.400407,0.494111,0.056877,-0.039288,-0.297627,-1.159384,-0.064021,-0.33533,-0.056423,-0.523226,-0.421427,-0.176215,-0.05886,0.247832,0.413806,-0.973258,0.031368,0.045245,-0.291485,-0.199432,-0.440852,0.378011,0.052366,0.031442,0.748089,0.238276,0.026654,0.646015,0.177203,-0.448934,-0.081097,0.350443,-0.644304,0.327868,0.319592,0.468555,-0.326677,-0.329635,-0.22841,-0.131306,-0.113631,-0.338571,-0.856517,-1.481024,0.027183,0.38195,-0.947351
equation,-1.280636,1.338087,-0.473987,0.033248,-0.221946,2.153019,-0.177549,-0.232291,-0.768729,1.281699,-0.606246,0.509216,0.642791,1.382336,0.721491,1.22375,-0.30373,1.221878,-0.146596,0.27855,0.344575,-0.446985,-0.751207,0.690088,0.458356,-0.405221,-1.494246,0.280478,0.635789,0.369584,0.263517,1.151383,1.049556,-0.018068,-0.287935,-0.710682,0.404212,1.190165,0.116571,-0.399366,-0.153835,2.116793,0.810107,-0.188075,-1.150571,-1.675138,-0.37531,-0.438904,0.08228
first,-0.862009,0.639966,0.607302,0.055525,0.211388,-0.142931,0.815512,-0.065711,0.288194,0.376326,0.112162,0.04857,-0.195506,-0.494135,-0.214437,0.243067,0.342322,-0.478497,-0.257311,0.099963,-0.141919,0.044018,-0.281389,0.357672,-0.272871,-0.041886,1.15439,-0.648772,-0.623833,0.090265,-0.143863,-0.024034,0.302908,0.380364,-0.35189,0.001865,-0.03481,0.117571,0.262215,-0.727579,-0.005682,-0.17307,-0.300007,0.451426,-0.087895,-0.409411,0.279653,0.315352,-0.877979
vector,-1.26817,1.384008,0.008723,-0.066556,-0.18351,1.137721,-0.146522,-0.017726,-0.52921,-0.017577,0.680713,0.086755,0.448445,1.706838,1.176348,0.895379,0.208513,0.475511,-0.908003,-0.009019,0.304252,-0.569278,-0.47648,1.2128,1.315424,0.483866,-1.210575,0.077612,1.125629,-0.456878,-0.0143,0.521422,0.02443,-0.129128,-0.252351,0.251318,0.592481,1.04553,-0.954376,-0.414416,-0.332512,0.910458,0.106341,-0.955558,-1.164478,-1.506417,0.273634,-0.204068,0.385683
algebra,-1.021075,2.503138,-0.558143,0.16497,0.318518,2.24881,-0.515461,-0.66007,-0.407539,0.605686,0.875433,0.895121,0.393634,0.498589,-0.100624,1.493936,0.957564,0.639158,-0.06618,0.309801,0.696906,-0.055356,0.328562,1.00346,1.890673,-0.476286,-1.18877,-0.052746,0.268411,0.638296,0.531049,1.660587,-0.109704,-0.383573,0.310336,-1.073261,0.170807,-0.226365,-1.117203,-0.368076,-0.576106,1.207247,0.099905,-0.92663,-0.882144,-0.488967,0.262896,0.256214,0.830535
$\mathbb{N}$,-0.395727,0.729949,0.772368,-0.306085,0.641556,0.247522,-0.421344,0.44476,-0.179549,0.480915,0.42075,-0.373093,0.340533,0.528525,-0.31002,0.001902,0.868109,0.088664,-0.455114,0.470855,0.872421,-0.175746,0.952176,1.489269,0.704422,0.074803,0.109541,0.142387,1.345463,-0.355426,0.471097,-0.036334,0.672287,0.103045,-0.791502,0.37227,-0.023238,0.879219,-0.471665,0.44387,0.042183,1.048609,0.37114,0.042545,-1.090082,-0.324374,-0.634004,-0.170318,0.124964
field,-0.894926,1.350316,0.057952,-0.224533,-0.386383,0.468697,0.868075,-0.06334,-0.568617,0.105632,0.81952,-0.257744,0.288261,0.438668,0.187763,0.172121,1.289976,-0.128006,-0.122163,0.605075,-0.618562,0.13088,-0.714718,0.416008,-0.766045,0.239022,0.480571,0.173272,-0.320192,-0.109937,-0.053181,0.395421,0.594656,-0.810722,-0.329542,-0.248959,-0.384568,0.122433,0.564574,-0.147485,0.193781,0.022463,0.193984,-1.143387,-0.248057,-1.049025,-0.105405,0.18924,-0.407766
element,-0.257566,0.364841,1.132319,-0.670188,-0.729307,0.877959,0.090038,-0.57102,-0.332723,0.386525,0.09964,-0.32811,-0.019595,0.148519,-0.381181,0.484009,0.48129,-0.12142,-0.130362,0.80935,0.386821,-1.226331,-0.325951,0.847233,1.104149,0.440916,-0.305634,0.020384,0.165064,0.794716,0.260118,-0.337544,0.456565,-0.742026,-0.854929,-0.712105,-0.391051,0.227047,-1.3627,-0.45909,-0.255556,-0.047217,0.786349,-0.163376,-0.032887,-1.414751,0.314791,0.058301,-0.374646
system,-0.697945,1.003099,0.412807,0.605237,-0.378539,0.02675,0.180721,-0.740093,0.561768,0.536324,-0.211931,-0.796621,0.322261,2.106127,-0.216549,0.112235,0.526508,-0.49368,-0.579831,0.278127,-0.656561,0.13725,-1.310857,0.332782,0.928568,0.611761,-0.586684,-0.296542,0.067598,0.158751,0.37724,-0.122215,0.50696,-0.024331,-0.489082,-0.489289,0.399318,0.51498,-0.102411,-0.887919,0.085023,-0.531465,0.221168,0.037624,0.440387,-1.290108,0.256632,-0.84631,-0.606307
matrix,-1.358516,1.503782,0.508974,-0.423841,-0.187337,1.351122,-0.302718,-0.065966,-1.013719,-0.442775,0.063257,-0.261521,0.464408,0.773814,0.720682,0.124067,0.145111,0.604912,0.293085,0.363858,0.393083,-0.693647,0.059548,1.10606,1.393242,-0.054035,-0.99592,-0.134792,0.93438,-0.160706,0.428862,0.222279,0.395539,-0.063726,-0.322192,-0.700968,-0.060709,0.414502,-1.043049,-0.318357,-0.300238,1.077496,-0.007381,-0.249466,-0.70287,-1.646545,0.386712,-0.260119,0.743571
mathematical,-1.298448,1.395726,0.043881,0.227612,-0.780405,1.362654,0.494936,-0.340179,-0.505932,0.385514,0.052362,0.248505,0.201688,1.549889,-0.155115,0.772727,0.2923,0.698324,0.208962,-0.130153,0.120126,0.146562,-0.452275,0.071795,0.781361,0.006407,0.05733,-0.222438,-0.381876,1.385657,-0.723808,2.420869,-0.261648,-0.902319,0.432307,-0.918731,0.046856,0.429322,-0.417572,-0.459179,-0.066603,1.04481,0.366143,-0.355317,-0.801484,-0.626224,-0.403398,-0.439414,-0.220511
method,-1.371013,0.613652,0.20009,-0.107126,-0.760139,0.364873,0.316552,-0.340468,-0.281508,1.365219,-0.031107,-0.188521,-0.400046,1.849302,-0.332651,-0.329072,0.592346,0.012567,0.255839,0.374266,0.301388,-0.397845,-0.96653,-0.13229,0.841919,0.458207,-0.501652,0.396886,-0.080337,0.650719,0.023726,0.638276,-0.156941,-0.034644,0.014222,-0.452859,0.139406,-0.253346,-0.254663,-0.503989,0.167981,1.217318,0.42575,-0.269434,-0.063405,-1.953864,0.555817,-0.470487,-0.234701
finite,-0.914211,1.206154,-0.354974,0.258881,-0.14018,1.945384,-0.628953,-0.04894,-1.023826,-0.051977,0.58623,-0.130125,0.215839,1.074056,0.057465,1.280814,0.462351,0.853943,-0.437406,0.597137,0.288378,-0.166015,-0.0745,1.557728,1.206047,-0.165165,-1.560138,0.126891,1.159389,0.661265,0.437887,1.322149,0.276506,-0.069196,-0.735842,-0.800908,0.664218,0.308103,-0.852546,-0.140845,-0.515767,1.221928,-0.103096,-0.692339,-0.963297,-1.786726,0.079086,0.181771,0.315727
result,-1.30446,-0.109659,0.238587,-0.48544,0.542599,0.130413,0.307957,0.310074,-0.87787,0.499831,-0.580293,-0.06025,-0.192897,0.697711,0.233485,0.002148,0.492921,-0.097773,-0.27834,1.028525,-0.152313,0.299761,-0.621806,0.487086,-0.494189,0.59814,0.483215,-0.092055,-0.515879,0.007725,-0.264089,-0.545106,0.073253,0.608372,-0.526806,-0.764559,0.20534,-0.20982,0.345893,-0.21821,-0.231337,-0.134306,-0.065318,0.414361,-0.57914,-1.79178,0.191019,-0.043556,-0.839856
vertex,-0.692188,0.243921,-0.069027,0.2549,0.216823,0.503872,0.690591,0.2864,0.449148,-1.754913,0.696375,0.385089,1.097724,0.459125,0.600494,0.641009,0.172784,0.57571,0.683963,0.046575,0.376562,-0.424903,1.002513,1.91633,1.897804,-0.081859,-1.591106,0.101785,1.009023,-0.300598,1.044325,1.045073,-0.195467,0.61201,-0.07463,-0.353607,0.417669,0.79621,-0.995545,-0.144422,-0.859278,0.836384,0.112968,-0.18487,-1.527084,-2.289849,-1.262054,0.66558,0.02636
term,-0.337528,0.109037,-0.190916,0.04285,0.31071,0.765437,0.339329,-0.671434,-0.411333,0.385762,-0.107326,0.049618,0.080255,0.992182,-0.547977,0.463117,0.177909,-0.169139,-0.033107,0.62147,-0.151283,-0.124253,-1.02963,0.183871,0.646103,0.433079,0.69098,0.118681,-0.021851,0.854717,-0.015399,-0.507775,0.121629,-0.016098,-0.575228,-0.428858,0.23498,-0.080192,-0.370379,-0.026875,-0.455093,0.483052,-0.089615,0.584259,-0.173117,-1.04402,0.532075,-0.155606,-0.665233
line,0.042992,0.301538,0.915639,0.765105,0.251255,0.293649,0.767571,-0.133413,0.300944,0.31597,0.122841,-0.546556,0.319579,-0.478546,-0.131378,0.467135,0.518262,-0.527876,-0.778076,0.059434,-0.777514,-0.393696,0.009705,0.606165,0.403287,0.854683,-0.697585,-0.210947,0.114126,-1.230783,0.60011,-0.260984,0.577809,-0.109042,-0.155899,-0.510197,-0.158851,-0.178799,0.486432,0.031298,-0.108934,-0.420886,0.305342,0.42811,-0.553981,-1.115138,-0.120844,-0.049829,-1.223545
