word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
number,-0.615057,-0.447501,-0.265687,0.048769,0.48232,-0.230676,0.352092,-0.675052,-0.402742,-0.557713,-0.805645,-0.371144,-0.03564,-1.264359,0.172405,0.413342,-0.542968,0.93016,0.44703,-0.992601,0.712792,0.151319,2.32765,-0.442832,0.890728,0.166994,-0.732309,-1.037136,1.444462,0.232455,-0.478166,-1.790622,-0.277426,1.649205,-0.551841,-1.989782,-0.980425,-0.037222,0.227712,1.243256,0.68092,-0.298484,0.884675,-1.099123,-0.533316,1.100098,0.056576,0.724956,-1.40199
function,0.239868,-1.530798,-1.350361,-0.313898,-0.298841,-1.321409,0.396159,-0.157361,-0.041823,0.844174,-1.224587,-0.149709,-0.404947,-0.605838,1.164711,-0.370709,0.914575,0.913058,0.800905,-1.789985,0.880392,-0.370818,2.666563,-0.358864,-0.233207,0.373639,-1.863481,-0.110925,0.175015,0.584564,1.275205,-1.284366,0.121467,0.383887,0.25365,-1.359656,0.429864,1.171436,-0.301174,1.311839,-0.318854,1.100705,0.305578,-0.720517,-0.667184,1.375314,0.158158,0.192417,0.039002
one,-0.026671,-0.247785,-0.086794,-0.5173,-0.304868,-0.833414,-0.349989,0.457578,-0.530457,0.308178,-0.259066,-0.08769,-0.061277,-1.782364,0.633094,0.200276,0.154715,0.235161,-0.206861,-1.481531,0.085864,-0.579432,2.256999,0.190477,-0.206913,0.340425,-0.395182,0.010051,0.454661,0.632627,-0.322803,-1.169462,-0.329669,1.582927,-0.242806,-1.146889,-0.703793,0.38221,0.123143,-0.656875,0.385854,-0.029798,1.0908,-0.380072,-0.112134,1.853309,-0.07976,0.381222,-0.977168
set,0.237039,-0.242834,0.663587,-0.063137,-0.521206,-0.614247,0.264873,0.839069,0.111244,0.59715,-0.595512,-0.704099,0.356467,-1.020645,0.534594,0.511243,1.63223,0.388176,0.677216,-1.665982,1.206713,0.724856,3.028416,1.02027,0.648176,0.890089,0.110934,-0.626942,-0.007435,-0.048761,-0.041491,-0.665348,-0.573684,1.022395,-0.343625,-1.590508,-0.806986,-0.058316,-0.408535,0.459516,-0.082627,-0.332794,0.215355,-1.224459,-0.443742,1.297539,-1.277853,0.191058,-1.374913
group,-0.331599,0.501147,0.724968,-1.28791,-0.760232,-0.511778,0.782246,0.956795,0.653446,-0.675171,-1.547958,1.621959,0.575211,-0.872001,-0.760265,-0.911288,-0.371077,-0.554406,-1.033183,-0.161706,-0.756856,-0.098702,2.126333,-0.257351,0.9191,1.532043,-0.0884,0.657329,1.125963,-0.313181,0.093397,-2.428898,-0.049352,1.622264,0.555094,-1.229839,0.047598,0.292999,0.409155,-0.360751,0.64966,0.042416,0.6079,-1.207974,0.576971,2.141628,-1.405106,-1.365381,-0.112668
space,1.116942,-0.765835,0.434571,-0.344488,-0.80157,-1.644191,0.653206,1.216962,1.111242,0.271292,-1.152917,0.182049,1.324393,-1.200446,-0.429472,-1.339701,-0.489236,0.215102,0.539583,-1.780523,0.89164,-0.204251,3.193565,-0.433933,-0.395062,0.020361,-0.505694,0.903204,-0.243127,0.193539,-0.300561,-0.578509,-0.741945,0.305548,-0.26677,-1.217595,-0.595993,-0.82092,0.121581,-1.080714,-0.392223,0.12075,0.715581,-0.923544,0.115748,1.564371,-0.786198,-0.807223,-0.61686
two,0.306389,0.096465,-0.038417,-0.465045,-0.76348,-0.851633,-0.983831,0.207723,-0.171846,-0.166103,-0.00574,-0.049297,-0.354057,-1.803154,0.696748,0.514606,0.558779,0.721039,-0.052687,-1.009579,0.076439,-0.061573,2.642199,-0.144344,-0.315364,0.186334,-0.508889,-0.036045,0.779074,0.673493,0.272547,-0.915776,-0.286003,1.657773,-0.501935,-0.770417,-0.374794,0.032852,0.518042,-0.931387,0.546475,-0.321712,1.142627,-0.555396,-0.354964,1.658223,-0.423697,0.195121,-0.749353
theory,-0.526892,-1.010408,0.579383,-0.397138,-0.587076,0.038017,-0.214081,-0.770629,0.525305,0.867777,-0.435639,1.095036,0.876568,-0.468372,-0.714246,-0.655217,0.479363,0.884689,-0.057607,-1.214948,0.571793,-0.192403,2.007458,0.068789,0.622099,1.125228,0.172164,-0.319256,-0.15947,0.913655,0.551808,-0.774069,0.465412,-0.049955,0.979315,-2.189479,0.315044,0.211542,0.527613,0.74528,0.729934,-0.552274,1.10415,-1.164233,0.4901,1.548716,-1.996645,-0.044687,-1.463333
point,0.339008,-0.333913,0.668658,-1.231605,-0.590365,-1.045604,0.684123,2.070525,-0.057452,0.376472,0.216534,-0.987976,0.097639,-1.911345,1.282531,0.043759,0.933303,0.310846,0.444977,-0.773729,0.431907,-0.137051,2.565142,-0.715259,-0.310926,0.047906,0.104115,-0.996171,0.445728,1.435874,-0.5711,-0.099457,0.196522,0.814237,-0.207382,-0.977558,0.046358,-0.360855,-0.27214,-0.680186,1.503617,0.019143,0.69733,-0.30196,-0.456657,2.195694,0.012672,-0.286422,-0.195905
theorem,-0.422457,-0.921142,0.554239,-0.034929,0.508883,-0.758239,-0.314156,0.098258,0.368687,-0.281012,-0.954775,-0.103642,-0.00813,-1.859237,0.64024,0.140876,-0.376108,-0.133897,1.19311,-1.952063,-0.502617,-0.217482,1.416143,-0.505759,0.330039,1.043931,0.137825,-0.615764,-0.72515,1.284584,-0.807811,-2.389363,-0.268123,-0.404832,1.151586,-1.133202,2.070263,-0.170784,0.30884,0.101191,-0.153413,-0.8488,0.619833,-1.147873,-0.812909,1.574707,-1.003167,-0.384349,-1.131789
