word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
number,-0.580245,0.553192,0.035628,-0.210115,0.109618,0.185162,0.71613,0.211602,-0.311975,1.582099,0.385956,-0.470675,-0.063927,0.125072,-0.262284,-0.20081,-0.513739,-0.103606,0.118296,-0.301925,-0.543521,-0.10646,-0.129927,0.405622,-0.200546,0.557829,0.397711,-0.297464,-0.351328,0.394174,0.598858,-0.098927,-0.591226,0.705559,0.061449,0.510432,-0.795918,-0.324239,0.289319,0.333667,0.497433,-0.895381,0.304404,0.41235,-0.062027,0.061827,1.267374,-0.79841,-0.24038
function,-0.40691,-0.32915,0.940717,-0.301754,-0.343945,-0.788843,0.132023,-0.697003,-0.338754,0.787701,0.074336,0.02757,-0.598128,0.065885,-0.296985,-0.036714,-0.778847,-0.169827,-0.952806,-0.173746,-0.017425,0.387539,0.304589,0.532668,-0.207613,1.232301,-0.279158,0.054785,-0.414792,0.649905,1.217032,-0.488947,0.253666,-1.195206,0.365169,-0.437819,-1.525032,0.146726,0.451537,-0.550924,0.089683,-0.541399,-0.20693,-0.366834,0.389885,0.126474,0.305136,-2.475055,0.198265
one,-0.007253,0.126144,0.238023,-0.030115,0.086509,0.466889,0.675441,0.140455,-0.202181,1.181,0.255822,-0.027059,-0.120591,0.411319,0.17613,-0.106108,0.444691,-0.013473,-0.277988,0.072177,-0.257344,0.104275,0.046701,0.496549,-0.202641,0.193661,-0.177629,-0.685922,-0.672237,0.405554,0.326233,-0.305931,-0.189992,0.402871,0.345948,0.026054,-0.111299,0.240573,0.647247,0.064138,0.690834,0.064144,-0.101142,0.080991,-0.277449,-0.015199,0.889669,-0.661338,0.221265
set,0.226501,-0.070891,-0.419448,-0.166653,0.248693,0.092746,0.489138,0.14865,-0.53848,0.859951,0.099844,-0.220868,0.054231,0.294804,0.201783,-0.101243,0.172069,-0.569278,0.154077,-0.030052,-0.139767,-0.15294,-0.405126,0.891118,-0.27231,0.516741,0.027339,-0.356764,-0.477779,0.681021,0.438239,-0.248942,-0.421039,-0.040438,0.150009,0.013045,-0.219453,0.338325,0.508546,-0.312941,0.179067,-0.570554,0.070416,0.483515,-0.117439,-0.497751,0.95054,-0.764516,0.304198
group,-0.72309,0.669196,-0.309709,0.012046,-0.507224,0.383186,0.22085,-0.492255,-0.282679,1.005534,0.942774,0.695076,-0.39877,0.020038,-0.762387,0.25753,0.656504,-0.272357,-0.75884,-0.109381,0.591561,0.045114,-0.001625,0.376155,0.45265,0.367881,-0.195208,-0.276535,-0.3743,0.827038,0.115138,-0.101978,0.06061,0.267413,0.495399,0.90999,0.174155,-0.091105,0.464244,-0.211942,0.556354,-0.409313,-0.725647,0.341806,0.206712,0.250347,0.496942,-0.5969,-0.810889
space,0.137564,0.457409,0.039249,-0.450227,0.137861,-0.893929,0.046294,0.603259,-0.891038,0.505437,-0.620906,0.230915,0.109798,0.655595,-0.180925,0.450064,0.12246,-0.035611,-0.822559,0.803351,-0.128773,0.106686,-0.503939,1.313833,-0.862245,0.687004,-0.340078,-0.16285,0.038903,1.02658,-0.035838,-0.211505,0.095589,-0.466961,-0.067148,0.067443,-0.324508,0.073712,0.772416,0.087638,0.53759,-0.759212,-0.287177,-0.085425,0.291874,-0.917759,0.592134,-1.584603,-0.616856
two,0.243929,0.080581,-0.013435,-0.422351,0.06684,0.383532,0.576367,0.397508,-0.438614,1.134524,0.3834,-0.137959,0.316484,0.522698,0.156643,-0.027611,0.168626,-0.206364,-0.275396,0.02041,0.022275,0.115307,0.010593,0.293584,-0.405339,-0.024364,-0.084911,-0.743882,-0.466119,0.683447,0.537024,-0.36274,-0.303172,0.633278,0.43816,0.390694,-0.179308,0.263232,0.27134,-0.089842,1.030986,0.239679,-0.453834,0.288223,-0.538007,0.054452,0.645624,-0.82244,0.319244
theory,-1.108233,-0.145341,0.567805,-0.350488,-0.872142,-0.444738,-0.338641,-0.058322,-0.820404,0.856249,-0.064574,1.04798,0.953589,-0.584248,0.114121,-0.175803,0.789565,-0.083847,0.228986,-0.14526,-0.011392,0.506208,0.641071,0.689526,-0.071618,1.463543,0.523241,1.980417,-0.009743,0.044439,0.654581,0.460634,0.726051,-0.959125,-0.725272,-0.790418,0.326065,1.161198,0.851299,-0.19467,0.204216,-0.544577,-0.494174,-0.084397,-0.237794,-0.62102,0.609269,-1.448385,-0.342107
point,0.068536,-0.247369,-0.547151,-0.291271,-0.502113,-0.493182,-0.067646,0.478372,0.051798,1.167089,-0.06805,0.171484,0.834397,0.788376,0.545862,-0.300455,0.391901,0.008734,0.443119,0.242453,-0.424766,0.006039,0.185436,-0.180122,-0.777745,0.126688,0.101574,-0.36231,-0.997969,0.444066,0.466706,-0.261853,-0.066268,0.700173,-0.028116,0.451382,-0.300727,0.463101,0.060552,0.201315,0.633948,-0.693808,0.016821,-0.587174,-1.086461,-0.079005,0.883283,-0.508073,0.218176
theorem,-0.520355,-0.95595,0.622805,-0.477818,-0.929532,-2.092124,-0.618355,-0.380146,-1.394608,0.150645,-0.368471,0.195685,0.492553,-1.299039,1.200279,-0.16736,0.104632,-0.132642,0.183328,-0.12641,-0.84502,0.903562,-0.306115,0.637052,0.455254,1.175025,1.691225,1.242233,0.20968,-0.311386,0.778864,-0.206803,0.235116,-1.569718,0.294139,-0.382888,-0.597138,1.146507,0.174921,-0.56086,0.409576,-0.106129,0.602983,-0.040167,-1.053375,-0.421843,-0.731084,-0.505168,0.199132
example,-0.600975,-0.322146,0.197249,0.382872,0.172304,-0.394476,0.644717,-0.423241,-0.263424,1.217388,-0.129259,-0.309831,-0.343564,0.116516,-0.157256,-0.2661,0.067904,-0.278354,-0.161547,0.095248,-0.462145,0.02545,0.635238,0.323801,-0.056239,0.988775,0.006988,0.04526,0.05739,0.177384,0.391689,-0.161629,0.548829,-0.351543,0.312537,-0.30116,-0.187958,0.378266,0.235873,-0.289977,-0.037756,-0.207503,-0.266445,0.10071,-0.295138,0.027017,1.24487,-1.622711,-0.194559
form,-0.582469,0.561862,0.198726,0.169321,0.021867,-0.090088,0.062602,-0.29579,-0.211194,1.09015,0.424466,0.112174,-0.120385,0.2577,-0.217329,0.374067,0.704566,-0.684272,-0.400464,0.314429,0.1611,0.498741,0.357344,0.128487,-0.412451,0.502736,-0.303486,-0.087888,0.059529,0.371144,0.971833,0.176829,0.231249,0.221249,0.99475,0.09427,0.030469,0.198672,0.018353,-0.128354,0.372095,0.381876,-0.526033,0.23859,-0.006491,0.663551,0.886374,-1.478311,-0.047548
define,-0.878368,-0.335656,0.090555,-0.064713,-0.3422,-0.765221,0.030267,-0.076459,-0.039557,0.764754,0.087663,0.278981,-0.193776,0.0755,-0.030248,0.303653,0.129759,-0.324277,-0.356862,0.34926,-0.469622,0.278591,0.450684,-0.473104,0.09006,1.253464,0.352026,0.906323,-0.635546,0.131188,0.62815,-0.141342,0.013215,-0.402262,0.727816,-0.192389,-0.515528,0.201829,0.094044,-0.181393,-0.343453,-0.767076,-0.052418,-0.088902,-0.495242,-0.195977,1.095498,-2.094876,-0.203507
graph,-0.813694,-0.316878,-0.002911,-0.722814,-0.48114,-2.526479,-1.235979,-0.733435,-0.690884,0.337114,0.191377,-0.416495,0.335074,-0.767742,0.62261,-0.433343,-0.698516,-0.515394,0.09491,0.383075,-1.029909,-0.323288,-0.256588,0.101549,-0.105595,0.991348,0.32696,0.873791,-0.57698,0.085671,1.313518,-0.163693,-0.160766,-1.053423,0.233115,-0.082432,-1.280246,1.101447,-0.181956,-0.780344,-0.275265,-0.218298,0.000271,0.317896,-0.817481,-1.099591,0.083325,-0.896071,-0.634454
value,-0.623729,0.475636,-0.3749,-0.078975,-1.075933,-0.668362,0.450597,-0.559909,-0.442603,1.128118,-0.296126,0.19771,-0.267351,-0.553707,-0.095199,-0.288431,-0.557089,0.134343,-0.295952,0.28071,-1.373535,-0.140511,0.225814,0.560037,0.621936,0.677491,0.270536,0.401429,-0.478183,-0.237456,0.443347,0.1398,0.431046,-0.464049,-0.302128,-0.288689,-0.224285,0.13687,-0.308307,0.000441,-0.122404,-1.270768,0.056787,-0.756289,-0.488831,-0.033663,1.798391,-2.007873,0.056799
problem,-0.284903,-0.554614,0.531464,-0.138648,-0.319077,-0.671265,-0.292387,-0.109329,0.13924,0.381937,0.027778,0.709758,0.782133,-0.262965,-0.166078,-0.283461,0.380579,-0.342263,0.190144,-0.182185,0.005003,-0.347909,0.305115,0.186928,0.107235,1.201299,0.296427,0.020436,-0.514776,0.004349,0.188884,-0.257058,0.063702,-0.765699,-0.575306,-1.194182,-0.367628,-0.078928,1.095337,0.102268,0.781013,-0.692801,-0.237805,-0.358782,0.297945,-0.251847,1.020159,-1.495836,0.604587
mathematic,-0.223396,0.38337,1.108178,-1.218708,-0.962535,0.431934,-1.081653,0.160053,-1.179216,0.070123,-0.875665,0.0782,0.758519,-0.88025,1.580848,0.055413,0.136534,-0.58321,-0.387437,-0.596105,-0.598829,-0.241263,-0.374669,0.434637,0.236928,1.406079,-0.431841,2.092963,-0.894355,-0.666826,0.228521,0.205647,0.109506,-0.19752,-0.98695,0.219045,-0.771905,1.122504,0.685983,-0.25236,0.357924,-0.106213,-0.457127,0.382322,-0.166898,0.256662,0.095661,-0.822582,-1.12218
order,0.079535,-0.11091,0.205155,-0.216984,-0.012857,1.030012,0.334228,0.170522,-0.260182,0.725732,0.305127,0.321138,-0.079844,-0.256214,-0.248275,0.448533,-0.509699,0.249361,0.413516,-0.584643,0.457343,0.230119,-0.046912,0.321809,-0.154667,0.664631,-0.043546,-0.541017,-0.473666,0.521011,0.430508,-0.647415,-0.215472,-0.776089,0.89281,0.084672,-0.11832,-0.173214,0.357396,0.178834,0.279944,-0.13185,-0.049832,-0.383572,-0.857033,-0.046146,0.727491,-1.276147,0.292065
equation,-0.173969,-0.120964,1.381305,-0.652739,-1.100769,-1.965074,-0.790657,-0.075072,-0.936516,0.256173,-0.086405,0.381279,0.239675,-0.924945,1.000913,0.745267,-0.186999,-0.37207,0.335172,-0.09672,-1.346636,0.442121,-0.311032,0.970118,0.262455,0.820568,1.335511,1.759753,0.203508,0.490822,0.855319,-0.214135,1.365718,-0.364022,0.190771,-1.146654,-1.102543,1.228241,-0.226304,-0.400836,1.165039,-0.403626,0.558962,-0.644191,-0.890736,-0.483056,-0.585136,-1.795236,0.184892
first,0.499623,0.324056,0.155099,0.096025,0.323775,0.893375,0.459764,0.341041,-0.294128,1.013051,0.462901,0.225789,-0.130838,0.061653,0.471374,-0.15494,0.633365,-0.383515,-0.090275,-0.556331,0.218875,-0.029015,-0.009012,0.665538,-0.083896,-0.188704,-0.425548,-0.190828,-0.683585,0.382749,0.455664,-0.633699,-0.221164,0.322125,-0.155553,0.459625,-0.29973,0.09132,0.333066,0.180228,0.635482,-0.121256,-0.422883,0.229211,-0.315078,0.05516,0.408395,-0.210736,0.308384
vector,-1.231915,-0.363391,0.984418,-0.579235,-0.29516,-2.291428,-0.702726,0.273446,-0.567346,0.419848,0.269292,-0.200856,-0.570683,-0.727167,0.350977,0.223299,-0.585922,0.207549,-0.240604,0.192787,-0.25611,0.144648,0.152568,0.888286,0.199607,0.948611,0.222526,0.351162,-0.7376,1.247857,0.705604,-0.485453,0.500817,0.059092,0.066377,-0.808499,-1.150088,-0.147687,-0.701664,-0.698412,0.29789,-0.808848,0.74027,0.15618,0.06878,-0.496957,-0.265888,-1.735093,-0.553588
