word,1,2,3,4
number,1.28653,1.528605,-1.129117,-0.876106
function,-0.892121,2.416346,-1.169064,-0.829112
one,1.946303,1.747477,-0.98539,0.140805
set,1.336231,1.779521,-0.372193,-0.124267
group,1.351469,1.211229,-0.98289,-0.137484
space,0.545655,2.001978,-0.229978,-0.978112
two,2.234726,1.480549,-0.743713,-0.371817
theory,-1.01122,1.814745,-0.894387,0.991332
point,1.63193,1.363119,-0.384669,-0.99387
theorem,-2.159573,1.327289,0.778907,0.426143
example,0.214069,2.349179,-1.032651,-0.22113
form,0.978404,1.91396,-1.01082,-0.382129
define,-0.607723,2.181993,-1.174274,-0.567772
graph,-1.958848,1.711615,0.436937,-0.73533
value,-0.228233,2.370215,-1.361875,-0.728293
problem,-0.135846,2.403668,-1.011804,0.25844
mathematic,-1.128363,0.464228,-1.072867,0.38517
order,1.035338,1.217184,-1.586817,0.144106
equation,-2.01172,1.628085,0.181298,-0.344269
first,2.39228,0.760571,-1.003447,0.292922
vector,-1.606903,2.195422,0.008045,-1.415076
algebra,-2.275288,1.239502,0.170341,-0.435745
$\mathbb{N}$,0.459955,0.725339,0.783285,-1.230025
field,1.49113,1.166521,-0.583124,-0.609615
element,-0.069236,2.587507,-0.613972,-0.330335
system,0.489128,2.11019,-1.733802,-1.424748
matrix,-1.29734,1.997235,0.347159,-0.967886
mathematical,-1.436879,0.801579,-1.066157,0.506637
method,-0.705549,2.38559,-0.912778,-0.252545
finite,-2.125197,2.194423,-0.076941,-0.807075
result,1.19319,1.883701,-1.32875,-0.41081
vertex,-1.556487,1.778756,0.901184,-1.878533
term,0.42952,1.990369,-1.666012,0.375588
line,1.951918,1.139524,-0.638359,-1.299936
model,0.490028,1.67324,-0.433781,-0.728635
real,1.026982,1.544403,-0.279825,0.560427
property,0.493822,1.431735,-1.501836,-0.436535
geometry,-1.756325,1.431496,0.198389,-0.557331
complex,0.254608,1.820624,-0.91551,-0.938068
linear,-0.83526,1.898333,-0.148964,-2.065557
polynomial,-2.419902,1.808094,0.672017,-0.061852
algorithm,-1.788495,1.935553,0.245772,-0.509393
mathematician,-0.699294,-1.195819,-0.158063,1.843247
definition,-0.997246,2.182629,-1.10628,-0.353416
product,0.395991,2.236017,-0.815692,-1.300937
state,2.021545,0.8444,-1.916622,0.357599
sequence,-0.326484,2.350017,0.480329,-0.547177
distribution,0.158423,1.691613,-0.876729,-1.406621
variable,-1.094767,2.500929,-0.352926,-1.379798
solution,-0.642565,2.317742,-1.01013,-0.739002
square,1.225698,0.416352,-0.196431,-1.649338
map,0.250166,0.806676,-0.961373,-1.003663
class,1.340182,0.702091,-0.915973,-0.729595
integer,-1.774432,1.90343,0.285967,-1.278916
mean,0.531358,2.277114,-0.964958,-0.067795
proof,-0.952837,1.777571,-0.205689,0.431752
three,2.351857,1.215498,-0.664128,-0.356411
dimensional,-1.434606,2.484801,0.400495,-0.890507
zero,-0.057412,2.077173,0.336327,-0.845488
algebraic,-2.498353,1.504811,-0.029559,-0.146132
formula,-0.319765,0.961373,0.3428,-0.726679
ring,0.748611,1.640375,0.846853,-0.496963
edge,1.168278,1.913267,0.667126,-1.264215
sum,-0.594334,1.4457,-0.256864,-0.437506
plane,0.441635,1.652063,0.233773,-1.284505
analysis,-0.617285,1.85848,-1.234633,0.124244
dimension,-0.440605,1.998174,0.007397,-0.796627
curve,-0.499654,1.741216,0.591257,-1.701476
type,0.499995,2.05239,-0.848876,-1.628622
operator,-0.190978,1.126084,-0.434091,-1.09595
prove,0.151021,1.870586,-0.565721,0.684627
probability,-1.757135,1.973033,-0.456907,-0.465717
structure,0.437801,1.561129,-1.535407,-1.153525
representation,-0.840445,1.517888,-1.126896,0.117708
series,2.224575,1.189911,0.728296,0.185246
prime,0.477382,0.017407,-0.924706,0.836941
measure,0.08979,2.260052,-1.45884,-1.322283
equal,0.085308,1.666441,-0.803215,-0.705424
lie,1.219474,0.932513,-0.697371,-0.284282
manifold,-2.20079,1.632501,0.847285,-0.904621
degree,0.404009,0.558049,-1.639622,-0.251226
differential,-1.469105,1.620165,-0.090611,-0.857068
$\mathbb{C}$,1.144554,0.081769,0.264957,-1.375013
regular,1.63272,1.050502,-0.14805,-0.800671
second,2.318439,0.669431,-0.665712,-0.071092
triangle,-0.146942,0.918755,0.809655,-0.965829
subset,-1.774047,2.072765,-0.105162,-1.273264
circle,0.573404,1.206705,-0.015662,-0.016723
relation,0.01217,1.118149,-2.242177,0.908159
positive,0.19085,2.6513,-0.286844,0.356322
simple,-0.161348,2.958466,0.139468,-0.314508
topology,-2.100019,1.512204,0.375834,-0.616238
category,0.457604,1.174838,-0.790345,-0.599307
surface,0.257423,2.747757,-0.061764,-2.029529
constant,-0.684027,1.990136,-0.274105,-0.376361
application,-0.291116,2.132018,-1.301771,-1.296455
integral,-1.200942,1.493635,-0.46394,-0.595486
coordinate,-0.560679,1.189471,-1.154899,-1.084754
complete,1.573478,0.512732,-1.256213,-0.310664
root,0.29544,1.987165,-0.27481,0.079741
length,1.16273,2.050767,0.031689,-1.978499
continuous,-0.415462,2.304257,-0.704421,-1.414353
logic,-1.571854,1.477217,-0.26112,0.292251
external,2.098551,-0.154588,-0.733897,-0.122744
side,2.045286,1.356354,-0.229629,-0.692162
unit,1.217166,0.904573,-1.641654,-2.017161
equivalent,-0.22395,1.264728,-1.098592,-1.297851
conjecture,-2.193282,0.88888,1.169023,0.654334
infinite,-1.099371,2.320239,0.782855,-0.124545
operation,1.297487,1.120062,-1.626711,-1.005139
angle,0.054148,2.369394,0.822487,-1.783403
random,-0.464468,2.111175,0.615207,-0.124044
basis,0.439484,1.521751,-1.602208,-0.568034
natural,0.533901,1.576151,-1.324696,-0.381477
power,1.279663,1.776138,-1.248126,-0.533231
area,1.985928,0.888162,-2.082515,-1.439021
open,2.157689,0.871147,-0.802723,-0.473707
solve,-0.677017,2.17564,-0.334597,0.357256
pair,1.008332,1.797403,0.70622,-0.716848
hold,1.962,0.596218,-1.538064,0.308832
limit,0.907153,1.734622,-1.296444,-1.053888
special,1.623561,1.267476,-0.644811,0.132692
generate,-0.060348,2.768864,-0.760825,-1.377688
coefficient,-1.77291,1.766801,-0.001464,-1.332628
standard,0.5606,1.764796,-1.261103,-1.354283
identity,-0.143658,1.920415,-1.072911,1.163154
four,2.254208,1.054414,-0.557245,-0.594485
rule,0.583759,0.967667,-2.03707,0.541013
topological,-2.539123,1.942484,0.332486,-0.620316
computer,0.123703,1.372541,-0.505629,-0.420302
derivative,-1.268472,1.718125,-0.288667,-1.132748
symmetry,-1.890957,1.75771,0.538506,-1.105533
compact,-0.332898,1.579187,0.26877,-1.621422
factor,-0.351943,2.534647,-1.079399,-0.620586
family,1.831926,0.305997,-0.964867,0.547505
transform,-0.284678,1.783212,-0.344115,-0.034274
convex,-1.71802,2.220212,1.135765,-1.644948
domain,-0.779955,1.319834,-1.201497,-0.696998
subgroup,-1.892063,0.748454,-0.123106,-1.221102
construct,0.773965,0.921585,-1.10871,-0.9251
axiom,-2.371562,1.247875,0.240108,-0.201971
construction,1.144393,0.677234,-1.669387,-1.083007
therefore,-0.094249,2.453869,-1.634286,-0.172672
compute,-1.300885,1.717887,-0.645194,-1.06207
normal,0.233603,2.167142,-0.518259,-0.92475
distance,0.888536,1.281246,-0.554774,-1.362298
notation,-1.619283,1.414982,0.308422,-0.324103
parameter,-1.549586,2.481507,-0.450466,-1.324018
euclidean,-2.279821,1.787471,0.581922,-1.206533
symmetric,-2.060802,2.039897,0.347304,-1.159001
metric,-1.413536,1.399484,-0.3953,-1.516147
test,0.772206,1.790488,-0.694614,-0.805736
bundle,-0.841204,1.904616,0.892698,-1.215277
center,1.860119,0.323469,-0.989606,-0.790118
symbol,-0.653463,1.455762,-0.545319,-0.135358
projective,-2.539804,1.5913,0.570621,-1.113788
sphere,-1.01126,1.713996,-0.24014,-0.35507
interval,-0.557249,1.918881,-0.018826,-1.436141
single,2.181056,1.787779,0.70967,-0.613972
geometric,-1.653021,1.902482,0.209618,-0.511357
ideal,-0.539082,2.014449,-0.734707,0.433193
dual,-0.037159,1.188422,-0.090994,-1.477178
module,-0.945043,1.718834,0.095143,-1.72531
invariant,-2.462759,1.467273,0.273733,-0.631006
$\mathbb{Q}$,-0.088758,0.768939,0.979999,-0.738578
index,-0.387979,0.914832,-1.10306,-0.876786
information,0.515435,1.646353,-1.842389,-0.03748
transformation,-0.924466,1.70654,-0.674369,0.082784
extension,0.382296,1.013217,-0.8976,-1.414093
direct,1.334596,0.983801,0.234548,1.184752
uniform,0.145504,1.551422,-0.173188,-0.886572
path,0.360096,1.770647,-0.407171,-0.690822
negative,-0.33348,2.900302,-0.574631,0.129562
image,0.439419,1.952519,-0.155098,-0.151743
member,2.179919,0.06039,-1.510155,0.984115
inverse,-2.144373,1.895664,0.117993,-1.012943
step,0.782674,1.911165,-0.095438,0.040279
independent,1.322098,0.839021,-1.520724,0.286826
arithmetic,-2.214129,1.400492,-0.130697,-0.484376
position,1.342199,1.128973,-1.377663,-0.004069
calculus,-2.29222,0.734611,-0.263774,0.245939
rational,-1.970407,2.068595,-0.696429,0.644569
law,1.015941,0.573555,-2.33636,1.319474
tree,0.98573,1.663948,0.065029,-0.669868
component,-0.235628,2.534467,-1.08426,-1.762521
lattice,-1.873186,1.668684,0.461035,-1.460027
inequality,-2.224933,1.116126,-0.729427,0.461233
volume,0.629277,0.351413,-0.384838,-0.229434
section,1.369436,0.931041,-1.283803,-1.149556
add,1.316714,1.844257,-0.334324,-0.537099
$\mathrm{e}$,0.688091,-0.131869,-0.151743,-0.493441
fundamental,-1.087441,1.881212,-1.3911,0.370024
game,2.757887,1.285209,0.481298,-0.587796
polytope,-2.104876,-0.046304,1.285872,-1.468709
smooth,0.060235,2.56728,1.293909,-1.291541
partial,-0.0611,1.344006,-0.442595,-0.609344
extend,1.14198,1.13191,-0.998932,-1.184429
multiplication,-2.068353,1.878487,0.260216,-1.217232
boundary,0.44406,0.817156,-1.304084,-1.173443
local,1.759448,1.054268,-1.911147,-0.036118
node,-1.190183,2.171152,-0.209286,-1.773536
develop,0.759176,1.842927,-0.965283,-0.210132
difference,-0.05349,2.486061,-0.96878,-0.246532
statement,-0.071057,1.924017,-1.329618,1.373822
tensor,-2.65276,1.773911,0.330712,-0.822448
discrete,-1.935156,2.058199,-0.175217,-1.004347
variety,0.773861,2.199448,-0.432155,-0.218423
generalize,-2.208317,1.729597,0.164679,-0.26645
sample,0.155279,2.357145,0.415709,-0.54828
statistic,0.791317,-0.077298,-1.211703,-0.889897
axis,-0.38765,1.665687,-0.339607,-1.512112
hyperbolic,-2.236791,1.429637,1.056645,-1.180044
rotation,-0.361999,1.887921,0.424074,-1.578099
Hilbert,-2.388796,0.960249,0.338447,0.151407
digit,-0.644699,1.31748,0.158007,-1.777155
intersection,0.695946,-0.30402,-0.16922,-2.293131
addition,1.28993,1.616405,-1.043285,-0.415155
expression,-0.878441,2.729725,-0.719979,0.457448
Student,1.407991,0.3372,-1.724342,0.435002
approximation,-2.23286,1.940391,0.053919,-0.673083
$\mathbb{Z}$,0.204865,0.262068,0.992733,-0.615176
mathematics,-1.028819,-0.812223,-0.797618,0.327186
code,0.170489,1.240651,-1.049293,-1.158562
rank,1.631439,0.226225,-1.144393,-0.385487
characteristic,-0.327776,2.749161,-0.676666,-0.72946
binary,-1.306309,1.718088,0.022752,-1.176954
closed,-0.195033,1.684452,-0.455089,-1.581901
tangent,-1.762655,1.527591,0.963774,-1.504441
diagram,-1.280545,1.521887,0.281044,-0.994074
divide,0.655904,0.948534,-1.514082,-0.822099
functional,-1.24511,2.180236,-1.128074,-0.837233
abelian,-2.721838,1.499587,0.57542,-0.886767
odd,0.381218,1.597572,0.596818,0.021647
action,0.937681,1.924238,-1.069831,0.717154
tiling,-2.208984,0.961076,2.149974,-1.568739
ratio,-0.616663,1.576581,-0.6745,-2.421534
program,1.183856,1.358439,-1.298602,-0.185569
quadratic,-2.638264,1.747079,0.324174,-0.785012
cube,-0.460292,1.30672,1.616302,-0.769306
cycle,0.314134,1.554794,-0.514953,-0.893413
figure,0.95289,1.260723,-0.453477,0.612665
argument,-0.737495,2.117551,-0.758767,1.613424
Riemann,-2.762667,0.649887,0.305457,0.045571
Euler,-2.487526,0.628535,0.290199,-0.018343
calculate,-0.894186,1.979463,-0.598233,-1.278172
shape,0.538812,2.769489,0.278532,-1.221835
formal,-0.100706,1.521039,-1.870585,0.617983
derive,-0.330591,1.65579,-0.773353,-0.318173
statistical,-0.496525,0.351005,-1.088924,-0.726284
network,0.874754,1.369267,-1.049938,-0.737933
estimate,0.605995,1.086951,-1.800413,-1.590622
norm,-0.5205,1.258137,-0.189266,0.696221
polygon,-1.277559,1.290022,1.25752,-1.213656
permutation,-1.931343,1.4972,0.707614,-1.314785
world,2.176974,0.788389,-0.928996,0.341044
maximum,0.640185,1.853816,-0.768761,-2.50904
equivalence,-2.261289,1.654977,-0.138781,-0.695491
parallel,0.314369,1.562495,-0.427949,-1.086413
numerical,-1.628452,1.58516,-0.756804,-0.662872
orthogonal,-2.206286,1.957111,0.634027,-1.283614
isomorphic,-2.402089,1.637824,0.599826,-1.377389
connection,0.641997,1.353867,-1.06243,-0.079752
locally,0.363786,1.200468,-0.626289,-1.09506
existence,-0.009335,1.570934,-1.279709,0.53944
complexity,-1.468432,2.385999,-0.470041,0.03839
isomorphism,-2.617109,1.632008,0.483453,-0.795017
commutative,-2.808981,1.279595,0.488474,-0.68838
