word,1,2,3,4
number,-3.948039,0.292548,-1.712813,1.545135
function,-3.074204,0.316173,-1.166337,3.303866
one,-4.05803,0.680483,-2.342177,2.002478
set,-3.431036,0.114838,-1.419031,2.76683
group,-3.784572,-0.301551,0.246655,2.364883
space,-3.671064,-0.223005,-0.438928,3.27767
two,-4.050815,0.139176,-2.22976,1.694599
theory,-3.518853,2.389598,0.292343,2.364468
point,-3.498833,-0.503759,-2.001965,1.972009
theorem,-3.019049,1.084893,0.759937,2.940312
example,-3.435082,0.504447,-1.72067,2.265597
form,-3.605648,-0.153284,-1.146866,2.524676
define,-3.3347,-0.127708,-1.247719,3.240557
graph,-2.584478,-0.401226,-0.854095,1.986326
value,-2.884288,0.144053,-2.767275,2.18349
problem,-2.655932,1.766053,-1.241417,1.719122
mathematic,-3.820861,3.054249,-0.143227,0.234939
order,-3.460432,-0.194962,-1.257864,1.805948
equation,-2.585528,1.208779,-0.266812,2.693778
first,-3.67597,1.43836,-1.312412,1.077254
vector,-2.803909,-0.670778,-1.38062,3.029778
algebra,-3.400714,0.469734,0.895681,2.574851
$\mathbb{N}$,-3.561247,-1.665249,-1.879956,1.738987
field,-3.060937,1.114048,-0.361353,2.57746
element,-3.350669,-0.598308,-1.600984,2.075192
system,-2.492832,1.829021,-1.385706,1.899162
matrix,-2.546588,-0.216418,-1.093383,2.857034
mathematical,-3.556959,3.280772,-0.12066,0.300549
method,-2.103789,2.182447,-1.072889,2.235501
finite,-3.129103,-0.055411,-0.667318,3.077647
result,-3.005662,1.255074,-1.54031,1.90766
vertex,-3.51076,-1.738054,-2.030495,0.620952
term,-2.783086,0.816347,-1.788057,2.307136
line,-3.219927,-0.781582,-1.834183,1.433438
model,-1.973224,1.855412,-1.396747,2.054779
real,-3.279722,-0.01044,-0.995396,2.806543
property,-2.733081,0.462155,-1.080569,3.054774
geometry,-3.525554,1.064032,0.608696,1.386817
complex,-3.203431,0.330193,-0.259118,2.810491
linear,-2.785968,0.687143,-0.889368,2.963939
polynomial,-2.507272,-0.037022,-0.498729,2.888931
algorithm,-1.61767,1.704484,-1.22304,1.851019
mathematician,-3.295363,3.770142,0.666804,-0.92287
definition,-2.906246,0.737716,-0.950768,2.830453
product,-2.955757,-0.420829,-0.937904,2.679967
state,-2.930328,1.524896,-1.089456,0.833752
sequence,-2.65222,-0.51036,-1.247183,2.173104
distribution,-1.722041,0.463252,-1.598243,2.453798
variable,-2.268899,0.585087,-2.282438,2.370098
solution,-2.455675,0.85782,-1.495398,2.161981
square,-2.950586,-0.925911,-1.854597,1.153024
map,-2.703392,-0.516912,-0.665933,2.830805
class,-2.90539,0.267405,-0.50859,2.008717
integer,-3.226191,-0.595496,-1.572173,1.95962
mean,-2.528866,0.198165,-2.386349,2.028962
proof,-2.744379,1.532336,-0.474308,1.864183
three,-3.641125,-0.053919,-1.727546,0.719576
dimensional,-3.368695,-0.495894,-0.416547,2.416534
zero,-2.750422,-0.461263,-2.097258,2.338006
algebraic,-3.362568,1.074293,0.776038,2.343155
formula,-2.25248,0.512716,-0.623689,2.552623
ring,-2.75362,-0.809228,0.353763,2.910638
edge,-2.939743,-1.373114,-2.317214,0.67179
sum,-2.935134,-0.555541,-1.799061,2.100011
plane,-3.147709,-1.128024,-0.793434,1.79537
analysis,-2.571508,2.648846,-0.163786,1.694318
dimension,-3.323151,-0.504965,-0.534999,1.979428
curve,-2.225979,-0.361211,-0.65493,2.228429
type,-2.572203,0.431542,-1.222344,2.108055
operator,-2.371511,0.126952,-0.209177,2.85253
prove,-2.675046,1.180253,0.164061,1.903242
probability,-2.236677,1.341351,-1.75258,1.583259
structure,-2.545987,0.722064,-0.603348,2.546275
representation,-2.867857,0.046685,-0.096631,2.602588
series,-2.818213,0.772989,-0.462509,1.462384
prime,-2.795088,-0.913735,-0.761616,1.046024
measure,-2.222025,0.507252,-1.474344,2.435516
equal,-2.969458,-0.856506,-2.455504,1.628577
lie,-3.185948,-0.556655,0.034554,2.268365
manifold,-2.737027,-0.149873,0.902849,2.8912
degree,-3.4634,0.118168,-1.104747,0.578134
differential,-2.943273,1.537363,0.518328,2.183021
$\mathbb{C}$,-2.837676,-1.453621,-1.144919,1.291336
regular,-3.83429,-1.59182,0.252148,0.712054
second,-3.195403,0.675599,-1.20892,1.144745
triangle,-2.894332,-1.300472,-1.510499,0.421637
subset,-2.685238,-1.127749,-1.401647,2.933156
circle,-2.825013,-1.115722,-1.197311,0.841442
relation,-2.516346,0.126188,-0.755954,2.614419
positive,-2.712718,-0.622472,-1.756977,2.501273
simple,-2.802956,0.347826,-1.353175,2.376531
topology,-2.858003,0.468971,0.912372,2.487777
category,-2.113807,0.031538,0.379396,2.669015
surface,-2.217177,-0.499672,-0.1444,2.243555
constant,-2.205917,-0.016185,-1.485166,2.470882
application,-2.645575,1.951119,-0.668934,1.409693
integral,-2.366082,0.657421,-0.413758,2.75689
coordinate,-2.333109,-0.849151,-1.107568,1.878327
complete,-2.904326,0.538772,-0.471306,1.527455
root,-2.730312,-0.531053,-1.434315,1.571437
length,-2.805504,-0.860445,-2.335126,1.266605
continuous,-2.348979,-0.130058,-0.886606,3.286027
logic,-1.933303,1.894331,0.524717,1.891181
external,-3.431055,1.387063,0.512652,0.083805
side,-2.870995,-1.111258,-2.380236,0.675391
unit,-2.520998,-0.424121,-1.864994,1.384883
equivalent,-2.495341,-0.098546,-1.163576,2.687927
conjecture,-2.121743,0.929519,1.094762,1.868323
infinite,-2.697252,-0.228004,-1.115093,2.195784
operation,-2.379196,0.473162,-1.543677,1.863513
angle,-2.328684,-1.325722,-2.211033,0.735153
random,-1.85561,0.741687,-2.002668,2.049369
basis,-2.419312,-0.014505,-0.900943,2.432955
natural,-2.693148,0.71843,-1.023065,2.170094
power,-2.4379,0.22002,-1.696667,1.553949
area,-2.611747,0.405488,-1.636532,0.878512
open,-2.679775,-0.10806,-1.01995,1.398555
solve,-2.167681,1.440825,-1.241152,1.856936
pair,-2.794073,-0.860822,-1.867986,1.532345
hold,-3.061688,0.798034,-0.903434,0.777933
limit,-2.132581,0.296901,-1.592944,2.34036
special,-2.885286,0.75763,-0.734417,2.089839
generate,-2.599253,-0.362391,-1.023647,2.361866
coefficient,-2.032531,-0.208763,-1.293389,2.502752
standard,-2.200297,1.042247,-1.426251,1.534666
identity,-2.618004,-0.318477,-0.393834,2.32544
four,-3.205105,-0.228133,-1.489426,0.409911
rule,-1.934614,0.885274,-1.492934,1.738596
topological,-2.665632,0.298337,0.150886,3.021505
computer,-2.344609,2.922834,-0.965509,0.451567
derivative,-1.792249,0.343157,-0.829697,3.005986
symmetry,-2.70747,-1.083418,-0.295945,1.037466
compact,-2.581114,-0.784761,0.202664,3.346635
factor,-2.138658,-0.00598,-1.96887,1.834487
family,-2.681763,0.234611,-0.582759,0.891293
transform,-1.486695,0.522282,-0.547295,2.565529
convex,-2.589894,-1.169748,-0.335011,1.94302
domain,-2.224193,0.026116,-1.089142,2.522013
subgroup,-2.487942,-1.688001,0.305565,2.50338
construct,-2.78383,-0.0937,-0.824408,1.573372
axiom,-1.836607,0.349089,-0.375615,2.113047
construction,-2.69642,0.300833,-0.401526,1.527322
therefore,-2.551251,-0.176428,-1.96673,1.949999
compute,-2.117657,0.790602,-1.686088,1.679552
normal,-2.130805,-0.346042,-1.126719,2.443811
distance,-2.113614,-0.386491,-1.864881,1.372697
notation,-2.238853,0.571395,-0.878444,1.213033
parameter,-1.607949,0.39245,-2.355051,2.374182
euclidean,-3.085853,-0.364708,-0.229202,1.965039
symmetric,-2.476756,-0.763981,-0.349593,2.624857
metric,-2.100985,0.030301,0.119185,3.086334
test,-1.32304,1.098986,-1.52768,1.578227
bundle,-2.078359,-0.872645,0.402445,2.866547
center,-2.799199,-0.443671,-1.174857,0.153907
symbol,-2.153108,-0.319885,-1.275811,1.073384
projective,-2.577714,-0.64189,0.296097,2.687863
sphere,-2.524727,-1.160878,-0.593659,1.410536
interval,-1.928212,-0.364086,-2.012648,1.789744
single,-2.235237,0.027053,-2.631949,1.27701
geometric,-2.62383,1.022641,-0.130886,1.962436
ideal,-2.344882,-0.853923,-0.270664,2.569771
dual,-2.810671,-1.304431,-0.124509,1.753337
module,-2.031985,-0.838291,0.191309,2.732153
invariant,-2.300277,-0.15224,0.296588,2.826975
$\mathbb{Q}$,-2.431667,-1.642599,-0.961525,1.715115
index,-2.334176,-0.257954,-1.189723,1.26822
information,-1.724246,2.218494,-1.623259,1.147667
transformation,-2.316136,-0.122447,-0.240129,2.502927
extension,-2.415758,0.091427,-0.071121,2.608156
direct,-2.406655,0.057065,-1.179361,1.942311
uniform,-3.089123,-1.240335,0.202973,0.61936
path,-2.042568,-0.286971,-1.8489,1.575748
negative,-2.228978,-0.162951,-2.106834,2.135431
image,-2.03632,-0.37693,-1.073244,1.054235
member,-2.952623,2.002204,-0.789616,-1.005282
inverse,-1.975,-0.365604,-0.831993,2.848741
step,-2.224858,0.372899,-2.538621,1.000166
independent,-2.01158,0.389339,-2.172923,1.947392
arithmetic,-2.285285,1.178435,-0.520669,1.801629
position,-2.634653,0.789574,-2.043616,-0.044948
calculus,-2.11277,2.109009,0.462841,1.928986
rational,-2.437476,-0.374998,-0.816307,2.27319
law,-1.617616,1.454437,-0.707682,1.875391
tree,-1.502415,-0.329049,-1.475492,1.446632
component,-1.856018,-0.264947,-1.81183,2.197299
lattice,-2.288172,-0.76948,-0.09871,1.84107
inequality,-1.447674,0.563571,0.368819,2.303056
volume,-3.147208,0.180504,-0.219814,0.105131
section,-2.761347,0.058208,-0.475571,0.845717
add,-2.555627,-0.093066,-2.218856,0.799686
$\mathrm{e}$,-2.64452,-1.610888,-0.38691,1.03957
fundamental,-2.751787,0.625635,-0.198405,2.009486
game,-1.498006,1.212142,-1.268655,0.641359
polytope,-3.429354,-1.294983,0.839264,0.017744
smooth,-2.374403,-0.556445,-0.183108,3.189286
partial,-2.289038,0.55574,-0.610772,2.206631
extend,-2.493963,0.267212,-0.714677,2.051893
multiplication,-2.24478,-0.135432,-1.400894,1.984935
boundary,-1.9326,-0.18641,-1.044081,2.073112
local,-1.762195,0.633549,-0.6117,2.594412
node,-1.943916,-0.322965,-2.561614,0.122201
develop,-2.129963,2.394583,-0.215275,1.072923
difference,-1.978003,0.535441,-1.864724,1.635085
statement,-2.214419,0.828461,-0.871475,2.184866
tensor,-1.633388,0.154921,-0.153704,2.936471
discrete,-2.08918,0.912709,-0.296019,2.400121
variety,-2.342707,0.189707,0.699836,2.746208
generalize,-2.166106,0.386464,-0.059477,2.551903
sample,-1.171007,0.774235,-2.974459,1.687859
statistic,-1.681194,2.58049,-0.659697,1.014545
axis,-2.074767,-1.263302,-2.029699,1.005094
hyperbolic,-2.642648,-0.979075,0.505406,1.463119
rotation,-2.067806,-0.884217,-1.396952,1.45459
Hilbert,-2.51737,0.744586,0.695546,2.077733
digit,-2.391368,-0.677655,-2.726288,-0.318107
intersection,-2.547766,-1.081911,-1.004519,1.894598
addition,-2.38553,0.355298,-1.468606,1.707668
expression,-2.015128,0.357546,-1.772769,2.121419
Student,-2.529084,2.209414,-1.028325,-0.756258
approximation,-1.628903,0.9456,-1.143032,1.904258
$\mathbb{Z}$,-2.525013,-2.134887,-1.165445,1.384828
mathematics,-3.102239,2.38923,0.789101,-1.283285
code,-1.439612,0.635725,-1.156511,0.945994
rank,-2.105253,-0.273055,-1.273076,1.368046
characteristic,-2.344997,0.117539,-0.615322,2.415709
binary,-1.850497,-0.424224,-1.756096,1.463492
closed,-2.432169,-1.109609,-0.843294,2.908232
tangent,-2.242236,-1.399477,-0.908828,1.937358
diagram,-2.172411,-0.322358,-0.42164,1.407558
divide,-2.722074,-0.765537,-2.234565,0.649407
functional,-2.226361,1.230837,0.205625,2.347848
abelian,-2.567594,-0.659661,0.590921,2.99597
odd,-2.425915,-0.917806,-1.901607,1.403195
action,-1.947514,-0.02869,-0.60011,2.279392
tiling,-2.544712,-2.328387,0.566729,0.298641
ratio,-1.597804,-0.099618,-2.175351,1.040758
program,-1.862632,2.215974,-1.239055,0.348179
quadratic,-2.072109,-0.296782,-0.516805,2.510097
cube,-2.888357,-1.507935,-0.829264,-0.057636
cycle,-2.131164,-0.728943,-1.426157,1.232695
figure,-2.773309,-0.982178,-1.216634,0.097549
argument,-1.765292,0.934826,-1.407543,1.701887
Riemann,-2.253871,0.382959,0.613811,2.41222
Euler,-2.31704,0.424083,-0.032282,1.44047
calculate,-1.865774,0.680438,-2.139224,1.083872
shape,-1.908052,-0.295571,-1.502227,1.020449
formal,-1.968776,1.55103,-0.262646,2.225724
derive,-2.135607,0.846814,-0.715845,1.887391
statistical,-1.583108,3.13334,-0.865262,1.230297
network,-0.914374,1.797943,-1.209026,1.376546
estimate,-1.280843,1.066604,-2.398669,1.693867
norm,-1.670438,-0.706342,-0.422534,2.53599
polygon,-2.366513,-1.433813,-0.865571,0.728497
permutation,-2.346182,-1.013545,-1.049211,0.991444
world,-2.433598,2.282257,-1.229439,-0.280765
maximum,-1.439795,0.06343,-2.379856,1.711416
equivalence,-2.067992,-0.068799,-0.433053,2.609556
parallel,-1.919465,-0.313042,-1.715191,1.053575
numerical,-1.757153,2.206944,-0.744485,1.548682
orthogonal,-2.199225,-1.010953,-0.664953,2.392053
isomorphic,-2.631638,-1.519869,0.01305,2.67134
connection,-2.15718,0.66776,-0.036421,2.524835
locally,-1.872136,-0.911551,-0.285432,3.505647
existence,-1.865907,0.831822,-0.713174,2.367671
complexity,-1.447527,1.367131,-1.016069,1.696879
isomorphism,-2.272422,-0.553461,-0.121205,2.980808
commutative,-2.405612,-0.181204,0.740628,2.624759
quotient,-2.455263,-0.828013,-0.398915,2.515946
half,-2.676339,-0.714668,-1.713662,0.633643
decomposition,-1.577668,-0.081917,-0.071306,2.56869
density,-1.226279,0.111989,-1.550426,2.308162
affine,-2.378727,-0.652008,0.201084,2.768429
arbitrary,-2.326626,-0.281719,-1.493131,2.491399
morphism,-1.781723,-1.274134,-0.37899,3.028034
scale,-1.534189,0.3571,-2.01762,1.405526
suppose,-2.235797,-0.429371,-1.228273,1.9262
increase,-1.547899,0.48479,-3.158035,1.065839
projection,-1.908969,-0.835244,-0.553637,1.29605
partition,-1.87324,-0.504194,-1.508597,1.650589
exponential,-1.593179,0.441806,-1.190809,2.524593
range,-1.683033,0.469133,-2.204052,1.338548
subspace,-2.22969,-1.140868,-0.421689,2.673752
support,-1.761448,1.12508,-1.1716,0.907803
diagonal,-2.289592,-1.276565,-1.849555,1.227704
computation,-1.872062,1.619882,-1.108077,1.203182
curvature,-1.515776,-0.376883,-0.330727,2.521302
flow,-0.889624,0.732732,-0.973411,1.867827
analytic,-2.042616,0.980316,0.006449,2.194889
chain,-1.627071,-0.093678,-0.776134,2.021026
cohomology,-1.88226,0.077537,0.995085,2.779389
trivial,-2.333851,-0.923428,-0.732287,2.6044
converge,-1.139049,-0.631936,-2.211006,2.519613
lemma,-1.347605,0.452383,0.569178,2.121229
origin,-2.292302,-0.317305,-1.426196,0.95679
convergence,-1.253095,0.400639,-1.167007,2.468331
division,-1.632098,0.400416,-1.583147,1.057241
union,-2.23459,0.3324,-0.633177,0.672125
empty,-2.061922,-0.981626,-1.812657,1.821765
computational,-1.658342,2.752099,-0.645451,1.204287
functor,-1.325111,-0.92463,0.065271,2.81105
fraction,-1.937067,-0.16441,-1.536459,0.990802
source,-1.974022,1.357801,-0.848344,0.632136
eigenvalue,-1.648066,-0.666675,-1.207329,2.567043
translation,-2.472102,0.496962,0.15155,0.662743
hypothesis,-1.249035,1.182829,-1.483146,1.758076
scalar,-1.859508,-0.574017,-1.206973,2.75899
coxeter,-3.360556,-1.310302,1.719683,-0.119623
third,-2.722555,0.296452,-1.167498,0.223476
Fourier,-1.41989,0.689167,-0.152391,2.418344
bit,-1.67449,-0.342625,-2.915747,-0.197149
exact,-1.971673,0.463177,-1.153462,2.029995
elementary,-2.271388,1.005013,-0.025864,1.490407
maximal,-2.070578,-1.23673,-0.520459,2.618309
radius,-2.015225,-1.388708,-1.793605,0.944759
