word,1,2,3,4
number,1.78313,-0.426508,-0.104443,1.617651
function,0.348018,-1.39785,1.22521,2.253624
one,2.087138,-1.199926,-0.81619,1.032283
set,1.390464,-1.05724,-0.821826,1.095997
group,1.923472,-0.738771,-0.219052,0.754344
space,0.808593,-0.821801,-0.482429,1.960132
two,2.073521,-0.537519,-1.030649,1.257288
theory,-0.08001,-2.287579,0.969705,0.393717
point,1.556175,-0.090408,-0.862914,1.680093
theorem,-2.232003,-1.034034,0.881085,0.478487
example,0.872686,-1.639141,0.319709,1.780659
form,1.452517,-1.037609,-0.037021,1.541039
define,0.539235,-1.488241,1.115868,1.864663
graph,-1.538413,-0.825861,1.049677,1.544625
value,0.770899,-1.468943,1.002845,2.12826
problem,0.738847,-1.970712,0.545519,1.491335
mathematic,0.186449,-0.76961,1.529478,-0.159919
order,2.013728,-1.158454,0.421695,0.701083
equation,-1.645147,-1.083883,1.048281,1.540444
first,2.450664,-0.592597,-1.00069,0.330603
vector,-1.21985,-0.68682,0.886113,2.376717
algebra,-1.910858,-0.294036,1.574375,0.713915
$\mathbb{N}$,-0.141491,0.526111,-0.757017,1.175037
field,1.631449,-0.281818,-0.560449,1.10965
element,0.491983,-1.66736,0.231955,1.86547
system,1.483033,-0.709632,0.816425,2.518678
matrix,-1.192675,-0.747026,0.397437,1.922844
mathematical,-0.52728,-1.34055,1.672635,0.269532
method,0.094268,-1.835007,0.856962,1.966983
finite,-1.531798,-1.133337,1.467457,1.976384
result,1.856446,-1.037414,0.018145,1.599592
vertex,-1.769039,0.016988,0.579629,2.126754
term,1.512848,-1.823631,0.636448,0.96553
line,1.802902,0.269892,-0.717226,1.669568
model,0.62049,-0.51267,-0.143749,1.696387
real,1.042765,-1.336809,-0.743164,0.534535
property,1.536956,-0.848513,0.625939,1.368849
geometry,-1.2379,-0.700724,0.992656,1.599722
complex,0.837909,-0.764798,0.447752,1.895694
linear,-0.458325,0.310112,0.596785,2.839909
polynomial,-2.461538,-1.0526,1.403569,1.248192
algorithm,-1.447329,-1.103464,1.014918,1.706398
mathematician,-0.44589,-0.196279,0.533705,-2.3084
definition,0.273482,-1.68284,1.313671,1.661596
product,0.788784,-0.862453,0.166979,2.488535
state,2.705003,-0.797203,0.037175,0.361556
sequence,-0.338122,-1.353796,-0.287327,2.083811
distribution,0.727736,-0.28472,0.485335,2.083361
variable,-0.623677,-0.919365,0.761366,2.812972
solution,0.195543,-1.281889,0.908761,2.236302
square,1.220547,1.078377,-0.609038,1.376182
map,1.082315,0.088792,0.523862,1.091889
class,1.729317,0.104628,-0.215683,1.008922
integer,-1.552002,-0.073928,1.009638,2.161266
mean,0.992139,-1.617956,0.103026,1.566075
proof,-0.112868,-1.791279,0.474098,1.007315
three,2.084752,-0.4858,-0.96298,1.029265
dimensional,-1.348009,-1.399471,0.485476,2.28394
zero,-0.260596,-0.842656,-0.494029,1.901706
algebraic,-1.992212,-0.935974,2.066837,0.654627
formula,-0.152461,0.019719,-0.099884,1.209164
ring,0.11148,-0.574578,-1.336152,1.361413
edge,0.463255,-0.258682,-1.356725,2.188083
sum,-0.07873,-0.815164,0.402236,1.128908
plane,0.301525,-0.221517,-0.544781,2.028282
analysis,0.338013,-1.631778,1.022265,1.279358
dimension,-0.268287,-0.969906,0.04546,1.853577
curve,-0.511829,0.128298,-0.273176,2.490667
type,0.786535,-0.469887,0.140862,2.564603
operator,0.448692,-0.048535,0.340776,1.528295
prove,0.757775,-1.888874,-0.011015,0.87238
probability,-0.919163,-1.339247,1.355504,1.775746
structure,1.44871,-0.451263,0.788381,1.894933
representation,0.381374,-1.57328,1.165709,0.904642
series,1.169039,-0.536141,-2.277353,0.712292
prime,1.311116,-0.627098,0.301309,-0.728278
measure,1.02307,-0.891895,0.913646,2.590646
equal,0.807676,-0.883053,0.461143,1.646698
lie,1.381314,-0.480527,-0.325814,0.751388
manifold,-2.134212,-0.079242,0.595099,1.651848
degree,1.518827,-0.274344,0.827047,0.623547
differential,-1.020348,-0.556563,0.961928,2.157208
$\mathbb{C}$,0.6521,0.982656,-0.64593,1.078416
regular,1.568453,-0.102658,-1.111604,1.234864
second,2.079897,-0.099396,-1.110485,0.515842
triangle,-0.426479,0.156412,-0.67258,1.143524
subset,-0.906255,-0.759293,1.379606,2.09896
circle,0.632621,-0.752989,-0.460059,0.694411
relation,1.727814,-1.732235,1.409392,0.112622
positive,0.407407,-2.016036,-0.221755,1.423446
simple,-0.066376,-1.888503,-0.254593,2.172135
topology,-2.052367,-0.707225,1.353412,1.494649
category,1.19784,-0.539054,0.243071,1.198043
surface,0.307402,-0.522535,-0.303107,3.57454
constant,-0.263951,-1.303969,0.399503,1.518181
application,0.620005,-0.932502,1.106584,2.411974
integral,-0.281613,-0.758702,0.873611,1.297682
coordinate,0.556002,-0.351254,1.40523,1.502924
complete,2.121937,-0.087796,-0.121844,0.542912
root,0.383896,-1.472506,-0.248545,1.130294
length,0.699618,0.079038,-0.854252,2.699615
continuous,0.362073,-0.804472,0.605914,2.61035
logic,-1.074094,-1.44807,0.93911,0.669616
external,2.023538,0.321252,-0.663078,-0.047645
side,1.69228,-0.29935,-1.213159,1.445552
unit,1.958578,0.71262,0.580026,2.109437
equivalent,0.738909,-0.187629,0.923669,1.733118
conjecture,-1.965356,-1.098232,0.848637,-0.017637
infinite,-1.29912,-1.58168,-0.304187,1.298502
operation,2.030775,-0.138339,0.319078,1.534807
angle,-0.362646,-0.477769,-0.761016,2.709806
random,-0.683937,-1.317896,-0.333331,1.383932
basis,1.554567,-0.880355,0.739753,1.397532
natural,1.242378,-0.93919,0.487054,1.440138
power,1.680061,-0.908479,-0.064748,1.61332
area,2.857413,0.35171,0.335648,1.73574
open,2.150384,-0.047088,-0.795082,0.974809
solve,-0.073156,-2.129149,0.484562,1.27958
pair,0.251556,-0.544051,-1.315239,1.658789
hold,2.528514,-0.662953,-0.276756,0.279965
limit,1.582205,-0.622335,0.297958,1.964447
special,1.628159,-0.781205,-0.793016,0.831774
generate,0.491643,-1.113416,0.46565,2.897145
coefficient,-1.372607,-0.405044,1.296718,2.182975
