word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
number,0.343847,0.996514,-0.244043,0.227046,1.025989,0.121466,0.015318,0.038305,-0.961205,0.614515,-0.687319,-0.075512,-0.084211,-0.522523,0.486489,-0.575745,0.625205,-0.498239,-0.509983,0.478585,-0.047982,-0.901714,0.460875,-0.214711,0.01859,-0.154602,-0.394626,-0.357865,-0.140864,-0.115442,-0.502163,0.549884,-0.107751,-0.967859,-0.296217,-0.572505,0.284823,-1.033123,-0.094986,-0.279605,-0.237303,0.862661,0.855196,-0.216904,0.294998,0.003706,-0.439519,-0.598416,-0.530147,-0.004161
function,0.719618,0.753726,-0.908468,-0.367545,0.659604,0.202595,0.164946,-0.145513,-0.824168,-0.578202,-0.692665,0.245022,0.970858,-0.22516,-0.107899,-1.082914,0.700022,-0.035376,-0.669804,0.088761,-0.124384,-0.856592,0.920852,0.070695,0.530366,-0.355191,0.003721,-0.84501,-0.239881,-1.10705,0.640353,1.044493,0.785017,-0.531592,-0.86897,-0.261318,-1.03731,0.594899,0.369467,0.472687,-0.097402,0.75208,0.908459,1.197372,1.707724,-0.555826,-1.200125,0.526007,-0.200383,0.635499
one,0.567254,0.14313,-0.333908,0.206548,0.691151,-0.029765,0.051782,0.493214,-0.448358,0.429154,0.232074,0.156641,0.12412,-0.21308,0.38597,-0.81328,0.219851,-0.684124,-0.492944,0.511778,0.061414,0.22619,0.562306,0.073616,0.321869,-0.29417,-0.141389,-0.133304,-0.254601,0.042436,-0.532985,0.633046,0.11156,-0.684224,-0.321602,-0.433697,0.170349,-0.54156,0.209635,-0.058452,0.389957,0.528432,0.503796,-0.015437,-0.564481,-0.406848,-0.295707,-0.200238,0.036712,0.252117
set,0.18843,0.321392,-0.67305,-0.10092,0.340246,0.31759,-0.201256,0.203771,-0.700794,0.023467,-0.322695,0.537315,0.414277,-0.622802,0.76072,-0.443498,0.371522,-0.809607,-0.174705,0.127787,0.128923,-0.152839,0.606106,-0.254616,0.318581,-0.407684,-0.327299,0.110846,-0.171248,-0.596871,-0.02123,0.856111,-0.240315,-0.507069,-0.590278,-0.552,-0.213772,-1.123307,0.499262,0.008618,0.108069,0.35441,0.70931,0.076224,-0.483477,0.092933,-0.417809,0.098463,-0.101092,0.073715
group,0.859291,0.666489,0.296481,0.017053,1.118919,0.636398,-0.157254,0.978638,0.410634,0.200902,-0.776651,0.055913,-0.255622,0.575638,0.335631,-1.054559,-0.123212,-0.33256,0.132478,-0.040547,0.231742,0.027305,0.936602,-0.555742,0.598663,0.52164,-0.377837,-0.04282,-0.278138,0.147863,-0.121088,0.920689,-0.160048,-0.583903,-1.085163,-0.89257,0.389992,0.021648,-0.521007,0.609587,-0.182282,-0.057705,0.131758,0.265229,-0.111026,-0.044349,-0.535209,-0.253376,-0.248615,-0.404054
space,0.632195,0.20633,-0.980451,-0.475803,0.723628,0.385243,-0.065215,0.115712,-0.431981,-0.803493,-0.459723,0.299393,1.018809,-1.163213,0.738112,-0.863494,0.597617,-0.538972,-0.256865,-0.630819,0.391446,-0.520957,0.678806,-0.082375,-0.788288,-0.372041,-0.42021,-0.503914,0.679249,-0.720696,0.159019,1.22495,0.139459,-0.319253,-1.132749,-1.341295,-0.257048,0.053082,0.261527,0.149886,-0.468818,-0.157978,0.54194,0.759893,-0.759119,-0.163691,-0.600253,0.360473,-0.547116,-0.22594
two,0.453589,0.260736,-0.17797,-0.328063,0.616335,-0.047991,0.280299,0.567424,-0.108762,0.552598,0.10899,0.251598,0.548043,-0.329144,0.505504,-1.031966,0.24611,-0.512453,-0.494313,0.49885,-0.23274,0.301812,0.533976,0.027267,0.649654,0.01264,-0.198265,0.121683,0.179307,0.269453,-0.384724,0.695003,0.149247,-0.776762,0.016533,-0.620801,0.284427,-0.595548,0.062712,0.018386,0.542753,0.50459,0.711935,-0.178364,-0.764749,0.018822,-0.166899,-0.269973,-0.109528,0.579049
theory,0.506541,0.739957,0.163789,-0.190351,0.613894,0.01887,-0.976596,0.876581,-0.58705,0.110177,-0.181262,0.823256,1.077528,-0.625694,0.197459,-0.363299,0.111928,-0.715448,-0.263852,-1.190257,-0.039596,-0.912573,0.882679,1.20284,0.065847,-0.367404,-0.536607,-0.776262,-0.887566,-0.138479,1.186777,0.221547,-0.435512,-0.203607,-1.249983,0.100033,0.548359,-0.188168,-0.175944,-0.08364,-0.763647,-0.326527,1.13511,1.308792,1.226321,-0.818674,-0.022787,1.804713,0.356819,-0.646599
point,0.787313,0.329107,-0.332766,-0.718882,0.953032,0.333996,-0.551599,0.086196,0.029691,0.272765,0.783957,0.464226,0.680184,-0.203657,0.948373,-0.113449,0.618157,-0.554942,-0.755228,0.253036,0.080722,0.225838,0.145499,0.696188,0.785013,-0.034531,0.014781,-0.114953,0.373013,-0.344641,-0.421178,-0.348723,0.051901,-0.131119,0.063872,-0.923589,0.468681,-1.079987,0.080401,-0.44813,-0.111145,0.481404,1.274626,-0.039757,-0.194302,-0.306813,-0.266678,-0.123935,-0.733318,0.222355
theorem,-0.387223,0.790179,-0.62705,-0.498931,-0.079367,-0.226594,-1.301635,-0.414467,-1.631262,0.972642,-0.32183,-0.103284,1.489824,-0.499592,0.912451,0.240409,1.446185,-0.390644,0.258012,-1.883541,0.531494,-0.546959,1.00361,0.668375,0.998794,-0.080749,-1.332364,-0.006341,0.086196,-0.852913,1.16659,-0.068175,0.958195,0.332233,0.683988,-0.617233,-0.499439,0.136325,0.949169,-0.101627,-0.698278,0.877767,0.89138,1.843641,1.32641,-0.637965,-0.62613,2.374087,0.212275,-0.723821
example,0.460156,0.780895,-0.879923,0.427515,0.453393,-0.063743,-0.559009,0.123503,-0.063964,-0.13467,-0.267635,0.194882,0.21621,-0.555269,-0.013623,-0.957497,0.308098,-0.376744,-0.758712,0.486827,0.010426,-0.706723,0.322062,0.415303,0.309167,0.024829,-0.209097,-0.047548,-0.601849,-0.443554,-0.04663,0.199472,-0.186017,-0.545404,-0.902842,-0.050365,-0.490487,-0.45068,-0.130667,0.391337,0.106217,0.925855,0.484888,0.896199,0.374627,-0.796868,-0.526149,0.450633,-0.169648,0.094411
form,1.086445,0.446458,0.105868,-0.176326,0.814276,-0.047415,0.252131,0.749483,0.148395,0.289412,-0.336104,0.212538,0.280054,-0.555428,-0.368084,-1.21807,-0.056499,-0.35036,-0.124045,0.136336,-0.263763,0.062381,0.443725,0.052198,0.772364,-0.045414,-0.312439,0.475821,-0.26617,-0.085305,0.220289,0.103538,-0.153931,-0.941117,-0.661807,-0.306229,-0.224589,-0.098077,-0.797054,0.172867,0.457004,0.59394,0.299508,0.655075,0.020012,-0.881657,-0.555808,0.026103,-0.186627,0.383454
define,0.632125,1.161773,-1.070178,-0.037734,0.879751,0.505991,-0.39882,0.260638,-0.168334,-0.379654,-0.205587,0.210042,0.560306,-0.829474,0.208221,-0.49049,0.40179,-0.302736,-0.26328,0.164916,-0.084809,-0.615335,0.704732,0.309821,0.412418,0.17073,-0.014901,0.05654,-0.162903,-0.649407,0.480741,0.124632,-0.211771,-0.177071,-0.732125,-0.48596,0.154524,-0.354126,0.140738,0.143053,-0.013858,0.384638,0.64525,1.235939,1.494655,-1.376067,-0.971232,0.363826,-0.424422,-0.231482
graph,0.132506,0.967408,-1.774422,-0.744385,-0.096567,0.265973,-1.187473,-0.037563,-1.013624,-0.166538,-0.181078,0.455874,1.185819,-0.995213,-0.327774,-0.334737,0.840558,-0.485334,0.520017,-0.828676,0.119001,-1.562608,1.264663,-0.246513,1.106887,0.154042,-1.397518,-0.39807,0.655513,-0.760768,0.778401,-0.783585,0.922826,0.53404,0.230339,-1.487912,-0.317113,-0.591128,0.705538,0.050486,-0.113815,0.92168,0.828696,1.069609,1.453125,0.125019,-0.249882,1.356793,-0.800893,-0.769696
