word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
number,-0.62961,0.520997,0.626883,-0.248901,0.166152,-0.607739,-0.36749,-0.535746,-1.426263,0.864732,-0.017549,-1.426604,0.831275,0.11244,-0.105469,-0.06818,1.336553,-0.804226,-0.393904,1.114483,0.078272,-2.140106,0.214028,-0.279968,-0.655068,-0.525789,0.77082,0.142465,-0.201179,0.791253,1.724436,-0.417655,-0.369925,-2.17583,2.210742,0.990802,-0.491987,-0.275106,-0.173343,0.26691,-0.766762,0.162042,1.339374,-0.563572,0.08357,1.119506,-0.393883,-0.749817,0.515699,-0.749644
function,-1.151549,1.294194,-0.219721,-1.761996,-0.587226,-0.540977,-0.54969,-1.311728,-1.014282,-0.81222,-0.6387,-1.301981,0.886504,1.085909,1.029722,0.210645,-0.19619,-0.007935,0.662563,2.293888,0.344746,-1.123731,-0.323916,0.034872,0.458404,-1.130185,0.218066,-1.010298,-1.240878,-0.605961,1.159523,-0.510687,0.034329,-1.301614,2.449662,0.281529,-0.641439,0.298038,0.045782,-0.28582,-0.796628,0.772104,-0.001684,-0.297876,-0.121539,-0.013381,-0.114433,0.059363,-1.033892,-0.850994
one,0.535926,0.682695,-0.184043,-0.693246,0.262886,-1.141579,-0.253781,-0.17197,-0.534886,-0.628231,-0.558735,-0.717934,0.29624,-0.40306,0.215241,0.894517,0.482304,-0.2251,-0.626395,0.279782,0.72099,-1.566289,0.121067,-0.149465,-0.434837,-0.248907,0.393858,-0.189793,-0.052215,-0.05877,1.073737,0.04509,-0.199628,-2.129339,2.628546,0.610068,0.040327,-0.355056,-0.249307,-0.183605,-1.04213,1.005224,0.083076,-0.119957,-0.247994,0.774934,-0.052589,-0.404044,-0.136492,0.344024
set,0.246217,1.002839,0.311393,-1.078873,-0.093988,-0.362421,0.575778,-1.189744,-1.032963,0.47154,-0.469927,-0.699243,0.433785,0.898997,-0.438251,1.354121,0.515196,-0.174511,-0.708419,0.107086,-0.587439,-1.464631,0.294031,0.174566,-0.200852,-1.54027,0.000791,0.423468,-0.696404,0.391646,1.930234,0.110048,-0.263137,-2.519267,2.148502,0.007961,-0.425044,-0.421987,-0.413328,1.148289,-0.906554,0.885652,-0.318059,-1.230584,-0.21318,0.249511,0.382689,-0.005986,-0.651919,0.350832
group,1.35113,1.301591,-0.790481,0.680085,0.418039,-0.404997,1.235003,-0.555815,1.327766,-0.825955,0.863425,-0.597989,0.434947,1.060736,0.482424,0.58867,0.950668,-1.262963,0.001688,0.390418,0.519376,-1.111587,-1.350311,0.524414,-0.834346,0.053665,-0.897348,1.175906,-0.135099,-0.646702,2.273309,0.803869,-0.461388,-0.183282,2.928238,1.244588,-0.17254,-0.730248,-0.15843,0.507921,-1.753972,1.27396,0.872954,0.048982,0.17255,-0.044615,0.575196,-1.227576,0.672898,-0.897694
space,0.163029,0.763754,-1.204444,-0.940609,-0.425516,-0.080197,0.653632,-0.271369,-0.527424,-0.856244,-0.376522,-0.704718,0.028649,0.54466,0.282634,0.288118,-0.624683,-0.509581,-0.493926,-0.540552,-0.193606,-2.080458,-0.257584,-0.756457,-0.868404,-0.554792,-1.577454,-0.201653,-0.160824,-0.965776,1.737928,0.626345,-0.354768,-1.376875,2.482678,0.307885,-1.704805,-0.024418,-1.620389,0.366016,-1.209566,1.662642,-0.61903,0.509277,0.235472,0.388007,0.93213,0.286082,-0.41783,-1.0196
two,0.5131,0.678571,-0.205458,-0.757056,0.207229,-1.092945,0.190642,-0.400963,-0.602448,-0.30032,-0.91536,-1.109289,0.766718,-0.577779,0.075171,0.823492,0.166864,-0.434325,-0.84004,0.076689,0.722835,-1.522497,0.174302,-0.003752,-0.935454,-0.101362,0.361558,-0.396491,-0.451934,-0.078055,0.681231,0.254334,-0.041537,-1.946768,2.56747,0.550412,0.229661,-0.95664,-0.340018,-0.305525,-1.53111,0.463686,-0.475191,-0.319971,0.173947,0.786764,0.206367,-0.228079,-0.057935,0.22369
theory,0.977104,1.330218,-0.130665,-0.731312,-0.292952,-1.019277,0.283176,0.046202,-0.822665,-0.556352,0.478646,-1.111999,-0.097891,0.726394,0.469365,0.022857,0.707805,-1.250208,-1.649516,0.840282,-0.569385,-1.146391,-1.542209,-0.191198,0.447292,-1.566904,0.028724,1.322349,-0.073082,0.162483,2.452319,-0.49728,0.745396,-1.025889,1.402608,0.156694,0.619648,0.621803,-0.701756,-0.135436,-1.471026,0.446212,-0.167798,-0.821566,0.230236,-0.298979,-0.010313,-0.162878,0.292159,-1.016347
point,1.163228,0.935588,0.378969,-0.402399,0.604835,0.29612,0.415499,-0.069318,-0.624517,-0.144933,-1.623932,0.577037,1.212965,-0.440243,0.563718,1.452454,-1.095991,-0.064317,0.158746,0.489689,0.378573,-1.283559,0.216239,-0.923881,-0.066133,-0.70313,-0.258207,-1.010272,0.264435,0.071194,2.096236,0.303055,-0.411767,-2.427839,2.450799,0.722238,-0.213336,-0.405472,-0.380855,0.063467,-1.167862,0.423025,0.192461,-0.026172,-0.554216,0.37492,0.473692,-0.308466,0.237233,-0.210242
theorem,0.672737,1.880403,0.340644,-0.177044,-0.690101,-0.446755,-0.55659,-0.58031,0.04164,-0.038916,0.131838,0.807348,0.069732,0.391142,0.603639,-0.215977,-0.145104,-0.208835,-1.399045,1.708595,1.057367,-2.133175,-1.041865,0.108109,0.461951,-0.875907,-0.714108,0.018561,0.112332,1.080582,1.463736,-0.298593,0.891734,-0.844048,3.193139,0.237371,0.034913,0.24508,-1.34392,-0.032529,0.826304,0.202788,-0.551624,0.363401,0.545918,0.877602,1.468722,-0.363383,0.301415,-0.017516
