word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
number,0.13449,0.213575,-0.01142,0.025597,0.334719,-0.653949,0.528552,0.295223,-0.676629,-0.144277,0.043005,-0.02589,0.473983,0.20712,-0.261875,-1.205493,0.226777,0.231253,-0.678205,-0.840372,0.831776,0.108486,-0.294183,0.828743,-0.427004,-0.547122,0.107565,0.277289,0.141912,-0.188141,0.309614,1.056622,-0.444637,0.55823,-0.02375,0.012668,-0.456515,-0.455123,-0.272357,-0.916018,-0.081469,-0.379829,-0.370543,0.278126,0.437837,-0.245528,-0.477917,0.704992,0.869307,0.279422
function,0.631016,0.328675,0.997958,0.288144,0.221262,-0.57232,-0.275073,-1.054253,-0.262552,0.272417,0.356522,0.606145,0.904149,0.742663,0.885486,0.082171,-0.382307,1.178353,0.27781,-0.346374,0.664574,0.534199,0.453303,1.049343,0.528934,-0.05048,0.309066,0.342769,-0.0861,0.25839,0.423332,1.350496,0.738981,0.154994,0.337605,0.077732,0.092987,-0.904577,-0.409454,-0.727717,-0.21222,-0.466585,-0.480391,0.77951,0.011424,0.515149,-0.110083,-0.208945,2.301717,-0.919369
one,0.604942,-0.085776,-0.894425,0.141555,0.514372,-0.680086,0.154954,0.281557,-0.974284,0.201557,0.15633,0.252558,0.362433,0.245144,-0.280009,-0.565224,-0.093196,-0.340074,0.020267,-0.556818,0.346537,0.185439,0.010955,0.341531,-0.617101,-0.331646,0.190595,-0.056799,0.024233,-0.051691,0.3298,0.437973,0.060272,-0.054322,0.28482,0.155939,-0.364627,-0.471523,-0.521617,-0.263479,-0.140758,0.03675,-0.020874,0.565055,0.085087,-0.114343,-0.445979,0.467237,0.519767,-0.061232
set,0.41557,0.049492,-0.36512,0.449003,0.539814,-0.73814,0.42033,-0.052389,-0.794381,0.306544,0.296511,-0.096211,0.395729,0.002239,-0.374122,-0.900667,0.153259,0.003454,0.190361,-0.00518,0.763478,-0.046738,-0.135376,0.690602,-0.131187,-0.568077,0.145946,0.299134,-0.006203,0.26433,0.617459,0.478801,-0.082848,0.020993,-0.094845,0.003922,-0.002888,-0.515584,-0.230274,-0.05205,-0.315688,0.002922,0.162095,0.321923,-0.625387,0.336669,-0.465182,0.667917,0.54703,0.068477
group,0.308217,0.402072,0.146946,-0.23789,0.965505,-1.204312,-0.045681,0.527233,-0.472973,0.073738,-0.127962,-0.365177,0.288242,-0.188255,0.953053,-0.111706,-0.122687,0.28351,-0.596299,-0.082153,0.804481,-0.271396,0.003386,-0.317947,-1.114478,0.208334,0.548475,-0.040759,0.426209,-0.463253,0.330765,0.029956,-0.066974,-0.277198,0.260778,0.290835,-0.178578,-0.135704,-0.87989,0.015529,0.133351,0.112081,0.266802,-0.038281,0.299042,0.101084,-0.741363,0.112541,1.478252,0.408119
space,1.585617,0.007269,0.735411,0.631083,0.153891,-0.791193,-0.244622,-0.697579,-0.173898,0.193774,0.129214,0.053098,0.417503,0.122176,-0.019164,-1.174096,-0.346569,0.289317,0.500983,0.491435,0.789885,0.440259,0.252211,0.029483,-0.307032,0.064348,0.004934,1.090869,1.04531,0.3969,0.588621,1.051323,-0.475785,-0.078607,-0.373576,0.192455,0.330275,-0.272656,-0.713321,0.488169,-0.621295,0.185626,0.313128,0.180291,0.047462,0.212672,-0.099184,0.89366,0.972932,-0.489601
two,0.820758,-0.15834,-0.959155,0.098593,0.299468,-0.539778,0.294279,0.046985,-1.214451,-0.309901,0.085643,0.093947,0.013293,0.312218,0.112123,-0.320523,-0.069936,-0.321091,0.098946,-0.444685,0.945463,0.052168,0.036594,0.39907,-0.541605,-0.45961,-0.050311,0.378925,-0.071011,-0.456222,0.397201,0.430247,-0.095915,-0.124338,0.156802,-0.181853,-0.36942,-0.332877,-0.502539,-0.204415,-0.323933,0.097969,-0.114285,0.544731,-0.101017,-0.361916,-0.635859,0.676644,0.676484,0.04806
theory,1.117607,0.108271,1.280647,-0.239372,-0.572376,-0.557368,-0.335352,-0.239846,-0.433869,0.123675,-0.845213,-0.767162,1.719957,1.114224,-0.500101,-1.18399,-0.598615,0.861235,0.188564,0.270993,-1.029255,-0.929098,0.690596,0.000288,0.168258,-0.378681,0.168847,0.036252,0.200887,-0.179367,0.571423,0.194842,0.440144,-0.811211,-0.458314,0.591327,0.760326,-1.200661,-0.180279,-0.171551,0.035156,-0.532518,-0.715536,-0.090203,-0.040967,1.162774,-0.917129,-0.553597,1.531413,-0.382524
point,1.019501,-0.00015,-0.762415,-0.173664,0.609222,-0.434151,0.330271,0.25647,0.047206,-0.326515,-0.09188,-0.125782,-0.124185,0.91655,-0.460262,-1.491269,0.230634,-0.816133,0.580005,-0.05393,0.338385,-0.273983,0.464021,0.523426,-0.158717,-1.215863,0.202507,0.360733,0.080034,-0.323611,0.198285,0.328492,-0.14498,-0.33328,0.308817,-0.23206,-0.407886,-0.711481,-0.106829,-0.146763,-0.023137,0.089982,-0.263052,0.415044,0.07189,-1.013693,0.141069,-0.138964,0.657201,-0.361229
theorem,0.321664,0.080711,1.257958,1.146734,-0.518741,0.210472,0.303263,-1.026016,0.597469,-0.081075,-0.915888,0.531274,1.209427,1.857262,-0.020823,-0.73016,0.206225,1.02872,1.038946,0.255053,-1.092885,-0.488199,-0.212504,1.681454,0.804122,-0.325653,-0.194616,0.163979,0.434301,-0.288546,1.16821,-0.455007,0.392434,-0.434309,-0.171918,0.45419,2.049232,-1.107926,-0.369504,-0.465868,0.195338,-0.682282,-1.123977,-0.152966,-0.229902,0.327568,-0.58744,-0.564967,-0.531735,-1.01695
example,0.371182,0.1102,0.672533,-0.307168,0.540519,-0.652181,0.072212,-0.148017,-0.814292,0.465053,-2.7e-05,-0.144981,0.775913,0.429047,-0.445379,-0.316876,0.088038,0.497286,-0.169796,-0.303984,-0.124718,0.001975,0.338428,0.818505,0.472917,-0.121493,0.741643,-0.201095,-0.336484,-0.080309,0.247133,0.844565,0.125043,0.201938,0.06024,0.125336,0.033616,-0.661935,-0.517696,-0.307906,0.16591,-0.03015,-0.639928,0.900286,0.245899,0.275647,-0.065672,0.819121,1.393605,-0.666689
form,0.57374,0.234686,-0.233169,-0.32436,0.477844,-0.810964,0.0036,-0.797694,-1.068439,-0.316207,-0.162322,-0.356038,0.472097,0.072123,0.216125,0.379196,-0.397708,-0.159899,-0.470068,-0.14827,0.345506,-0.211877,-0.198453,-0.042648,-0.158654,0.026046,0.243983,-0.295094,0.216136,-0.343355,0.326905,0.163104,0.064447,-0.155674,0.297456,-0.213133,-0.15319,-0.690087,-0.825987,-0.228677,-0.238928,-0.002245,-0.630495,0.58752,0.451953,0.093996,-0.56389,0.518438,1.724046,-0.390132
define,0.300442,0.380796,1.126888,-0.129837,0.535775,-0.682889,-0.127389,-0.553042,-0.364537,0.117716,0.0541,-0.439447,0.607354,0.67027,-0.11512,-0.613958,0.469179,0.129655,-0.182799,0.12646,0.075597,-0.022422,-0.253155,0.645528,0.254988,-0.12867,0.889871,-0.131242,0.198131,0.03392,0.348015,0.943786,0.033574,-0.343574,-0.010627,0.449484,0.514512,-0.898142,-0.098905,-0.540479,-0.129424,-0.499014,-1.012816,0.415314,-0.093508,-0.332923,-0.212534,-0.348609,1.917388,-1.12008
graph,0.594285,1.142088,2.123175,0.794819,0.092587,-0.345884,0.766543,-1.138299,0.682494,0.275853,-0.520437,-0.307835,0.719844,0.975665,0.035499,-0.499958,0.139183,0.624956,1.381113,0.248526,0.580973,-0.567589,0.226979,1.230379,1.122178,-0.223327,0.477266,-0.120319,0.34617,0.016631,0.923669,0.081389,-0.008085,0.420685,0.607651,0.56568,1.133251,-0.949441,0.111817,-0.614975,0.035981,0.049037,-1.520628,0.442074,-0.427673,-0.506241,-0.03387,-0.218431,0.148854,-0.577585
value,-0.145055,-0.147297,0.839057,-0.025143,0.384352,-1.106822,0.34342,0.460367,-0.14032,0.283148,-0.217969,0.037177,1.274421,1.35828,-0.836845,-0.958395,0.850059,-0.056089,0.243991,0.322551,0.321336,0.179468,0.338581,0.905492,0.371993,-0.181712,0.947114,0.003349,0.197674,0.110391,0.13357,0.814209,0.210293,0.029415,-0.452832,0.647465,0.263554,-0.468762,-0.527665,-0.981093,0.15427,0.285787,-0.876897,0.57828,1.14611,0.434466,0.554195,-0.139715,1.904946,-0.221699
problem,0.737645,0.307107,0.001634,0.32339,0.456581,-0.71469,-0.098106,-0.23727,-0.190097,0.41108,-0.072136,-0.178336,1.080226,1.082791,-0.295777,-0.587697,-0.117539,0.64197,-0.185815,0.249985,-0.650893,0.350215,0.685092,0.063061,0.486379,-0.895931,-0.155003,0.010312,-0.258384,0.217348,0.163124,1.265118,0.94157,-0.008554,0.256981,0.79837,0.097229,-0.440013,0.366935,-0.299431,-0.049481,-0.222257,-0.341518,-0.676375,-0.126292,0.22757,-0.278488,0.078759,1.325701,-0.164612
mathematic,0.736043,0.611701,0.551061,1.213924,-1.26858,-1.282298,0.430125,-0.140933,0.162034,-0.506922,-0.968647,-0.379077,0.755374,0.965069,-1.100489,-0.440009,-1.124116,1.33332,1.207103,0.393281,-0.136113,-1.069564,-0.296989,0.724364,-0.773613,0.614343,-0.007248,0.09354,0.104384,0.092551,-1.108748,0.45718,0.36697,-0.708677,0.024417,0.317705,0.690916,-0.641887,0.448494,-0.512108,-0.518896,-0.426511,-0.279098,0.296422,-0.076494,0.289187,-0.820758,-1.009472,0.446621,-0.426231
order,-0.486732,-0.353462,-0.312308,0.357769,0.196709,0.334725,-0.389336,0.43536,-0.476056,-0.037251,0.354309,0.494406,0.658984,0.495421,0.084481,0.253459,0.221507,-0.090132,-0.227741,-0.113562,0.62737,0.386969,-0.04316,0.525989,-0.74558,-0.60833,0.131943,0.156706,0.212316,-0.130993,-0.000595,1.000456,0.026046,-0.306419,-0.127221,-0.173732,-0.349088,-0.564708,-0.154637,-0.094863,-0.18013,-0.103921,-0.040399,0.092881,-0.627564,0.373303,-0.876288,0.526541,1.484971,-0.623408
