word,1,2,3,4,5
number,2.108171,0.104002,0.229783,-1.187759,0.463182
function,1.094399,1.24255,-1.454737,-2.061242,0.713058
one,2.663794,0.77008,0.668511,-0.250929,0.174964
set,1.79732,0.929325,0.600069,-0.508122,0.592192
group,2.039666,0.195523,-0.072172,-0.249556,1.018103
space,1.299135,0.894363,0.377066,-1.558853,0.83924
two,2.57746,0.217921,1.100004,-0.573439,0.141934
theory,0.684666,1.885097,-1.723296,-0.370205,0.685171
point,1.855295,0.076558,0.998658,-1.129305,0.500643
theorem,-1.287269,1.860021,-1.32959,-0.868486,-0.399599
example,1.766594,1.35409,-0.609249,-1.391296,0.141397
form,2.232383,0.681585,-0.020673,-1.024255,-0.338534
define,1.28813,1.132449,-1.352989,-1.700575,0.433811
graph,-0.924993,1.396177,-0.937009,-1.942805,0.044537
value,1.561886,1.048775,-1.101582,-1.850654,0.82172
problem,1.600235,1.620444,-0.901142,-1.058221,0.747858
mathematic,0.109451,0.360419,-1.807738,0.051842,0.893038
order,2.502758,0.296114,-0.404483,-0.211101,-0.244124
equation,-0.665207,1.472782,-1.33802,-1.81592,0.103618
first,2.518582,-0.056952,0.80675,0.519291,0.583825
vector,-0.263963,1.236031,-0.806088,-2.630987,0.567642
algebra,-1.106676,1.250143,-1.451513,-1.478488,0.111379
$\mathbb{N}$,-0.063142,-0.063502,0.806093,-1.118527,0.688246
field,1.850315,0.064942,0.586709,-0.621829,0.90587
element,1.41646,1.452451,-0.43961,-1.523009,0.043239
system,2.099821,0.366489,-0.754083,-2.025986,1.534051
matrix,-0.25787,1.366771,-0.512306,-2.156969,0.492121
mathematical,0.029952,0.832584,-1.951463,-0.263175,1.012604
method,1.08453,1.566298,-1.159874,-1.703041,0.788216
finite,-0.521208,1.587415,-1.429702,-2.374154,0.111203
result,2.299414,0.556192,-0.22031,-0.937349,0.772609
vertex,-0.827235,0.856238,-0.045417,-2.8241,-0.790202
term,2.239049,1.071828,-1.068894,-0.518444,0.330612
line,2.117739,-0.350392,1.173058,-1.200059,-0.000205
model,0.994081,0.734175,0.006272,-1.307191,1.37035
real,1.404487,1.31711,0.118024,0.008192,1.299512
property,1.870713,0.397217,-0.559921,-1.135663,-0.21144
geometry,-0.52083,1.003303,-1.054024,-1.50192,0.026833
complex,1.498433,0.600384,-0.395242,-1.638373,-0.12465
linear,0.133754,0.384436,-0.351727,-2.896832,0.871578
polynomial,-1.206535,1.807362,-1.230467,-1.738454,-0.233571
algorithm,-0.64056,1.718164,-1.076464,-1.79237,1.212087
mathematician,-0.773581,0.061853,-1.179917,1.916326,-0.22768
definition,0.844918,1.374833,-1.625482,-1.559159,0.691749
product,1.577414,0.878956,-0.110888,-1.983811,1.493247
state,2.77957,-0.203432,-0.23845,0.416206,0.775066
sequence,0.394453,1.820037,0.078632,-1.794956,0.525145
distribution,1.172488,0.235678,-0.340783,-1.891873,0.509157
variable,0.327037,1.251822,-0.637846,-2.805234,0.430575
solution,1.040982,1.331735,-1.023604,-1.929497,1.07366
square,1.261034,-0.980039,1.1546,-1.372578,-0.330973
map,1.184024,-0.411374,-0.286596,-1.1941,-0.270464
class,1.766792,-0.518478,0.265912,-0.645849,0.766408
integer,-0.560951,1.01745,-0.81347,-2.453609,0.172829
mean,2.013313,1.231385,-0.235914,-1.076282,-0.295987
proof,0.235902,1.649126,-1.0836,-0.891397,0.187928
three,2.420947,0.106571,1.158808,-0.260282,0.186202
dimensional,-0.254642,1.832075,-0.633274,-2.48136,0.346999
zero,0.494707,1.307241,0.230492,-1.723755,0.947198
algebraic,-0.857881,1.395492,-1.899993,-1.492353,0.377341
formula,-0.025051,0.647967,-0.136068,-1.167629,0.998899
ring,0.628552,1.031871,1.168542,-1.064436,-0.193421
edge,1.203768,0.770045,1.51825,-1.742712,-0.534946
sum,0.352972,0.938534,-0.53886,-1.353029,0.268176
plane,0.886746,0.509675,0.667046,-1.727764,-0.077853
analysis,1.044867,1.222366,-1.526507,-0.897614,1.22464
dimension,0.422365,1.285083,-0.200109,-1.774043,0.274311
curve,0.111117,0.580144,0.556248,-2.402916,-0.588623
type,1.652093,0.273374,0.147798,-2.317685,0.157534
operator,0.574539,0.144006,-0.369447,-1.453545,1.202244
prove,1.336704,1.569768,-0.462061,-0.41224,-0.142682
probability,-0.026763,1.512423,-1.49648,-1.814858,0.800615
structure,2.222125,-0.04906,-0.454781,-1.670207,-0.504914
representation,0.861165,0.958389,-1.562916,-0.801685,0.275083
series,1.411164,0.910025,1.750548,0.191236,1.529191
prime,1.025066,0.129174,-0.852148,0.7564,0.77386
measure,1.891751,0.569471,-0.775334,-2.327845,0.390171
equal,1.150835,0.614315,-0.4958,-1.443108,0.439973
lie,1.93018,0.091164,0.599925,-0.514088,-1.171291
manifold,-1.318,1.427781,-0.80169,-2.163456,-0.335503
degree,1.562378,-0.343719,-0.847567,-0.36666,0.816841
differential,-0.368161,1.164123,-1.102835,-2.130157,0.622183
$\mathbb{C}$,0.540266,-0.793833,0.976006,-0.864752,0.780869
regular,1.339914,0.204909,0.88513,-0.743418,1.052958
second,2.089263,-0.107254,1.082944,0.197996,0.618324
triangle,-0.299203,0.469044,0.591284,-1.250506,-0.366422
subset,-0.272998,1.27073,-1.249057,-2.648391,0.166595
circle,1.021246,0.629372,0.338104,-0.407731,-0.352731
relation,1.909474,0.476639,-1.978052,0.262491,0.488457
positive,1.146703,2.108885,-0.412979,-1.030947,1.351995
simple,1.161968,2.141678,0.034005,-1.891483,-0.080591
topology,-1.078997,1.396584,-1.321873,-1.740352,0.190109
category,1.198627,0.380447,-0.528508,-0.907914,1.358961
surface,1.295978,0.922968,0.566446,-3.020972,-0.518829
constant,0.53882,1.346679,-0.613329,-1.457329,-0.151465
application,1.335218,0.783603,-0.969082,-2.130897,2.045234
integral,0.031116,0.899862,-1.20961,-1.514646,0.203874
coordinate,0.676277,0.061588,-1.17024,-1.683972,0.703701
complete,2.058297,-0.546496,0.329899,-0.118176,0.123312
root,1.181315,1.395864,-0.001642,-0.917762,-0.432567
