word,1,2,3,4,5
number,-2.670058,0.089686,0.477546,-1.72579,3.311697
function,-1.427264,0.46197,2.088495,-0.99391,3.772273
one,-2.502555,-0.350698,0.815449,-1.874599,3.695
set,-1.942341,0.451225,1.430325,-1.177515,3.889661
group,-2.000474,2.073278,0.97921,-0.774944,3.188887
space,-1.657042,1.695874,1.462114,-0.557368,3.83252
two,-2.455634,-0.111481,0.289571,-1.672173,3.689709
theory,-2.069123,1.749048,2.560178,-2.349212,1.843445
point,-1.954336,-0.100752,0.431777,-0.964813,3.884026
theorem,-1.420639,2.259995,2.291527,-1.054746,2.378702
example,-2.003624,0.089152,1.216883,-1.45269,3.400611
form,-1.96812,0.725335,0.966789,-0.941141,3.748223
define,-1.618842,0.498496,1.534997,-0.599923,4.089415
graph,-1.233533,0.724734,0.721103,-0.462001,2.926021
value,-1.941776,-1.097594,1.053486,-1.361136,3.693799
problem,-1.743826,0.113309,1.890836,-2.028738,2.10054
mathematic,-2.701562,1.129749,1.221555,-3.231725,0.725865
order,-2.159482,0.457525,0.584024,-1.078676,3.320644
equation,-1.336661,0.988515,2.172151,-1.284406,2.459383
first,-2.600705,0.227645,0.931897,-2.357122,2.285855
vector,-1.30684,0.507332,1.210915,-0.385177,3.996329
algebra,-1.764423,2.437092,1.579783,-0.962368,2.585287
$\mathbb{N}$,-2.215428,-0.048097,-0.689257,-0.27924,4.102591
field,-1.666086,1.09044,2.096815,-1.461347,2.742119
element,-1.97056,0.195292,0.409829,-0.729775,3.715673
system,-1.638121,-0.321131,1.890251,-2.159179,2.072708
matrix,-1.106462,0.374027,1.495291,-0.3576,3.397855
mathematical,-2.668695,0.863465,1.602037,-3.456867,0.347331
method,-1.288532,-0.071491,2.614202,-2.001615,1.863838
finite,-1.568231,1.029239,1.589737,-0.614054,3.646183
result,-1.970011,-0.079836,1.53293,-1.931028,2.660032
vertex,-2.245748,-0.455158,-1.547498,-0.528862,3.467011
term,-1.595287,-0.318259,1.525536,-1.375269,3.02233
line,-1.934936,-0.189679,-0.245671,-0.770303,3.351136
model,-1.123363,-0.359942,2.140693,-1.853888,1.941685
real,-1.697932,0.765083,1.474761,-0.846296,3.636697
property,-1.341802,0.562432,1.968859,-1.004158,3.354441
