word,1,2,3,4,5
number,-1.473674,-1.315861,-0.051348,-0.742755,1.188244
function,-0.387002,-1.097111,1.662433,-1.826705,1.353378
one,-0.839553,-1.28691,-0.924866,-0.307309,1.99133
set,-0.405059,-1.410435,-0.683124,-0.493875,1.422024
group,-0.788235,-1.68431,0.114533,0.2129,1.31087
space,-0.463407,-1.633039,-0.07966,-1.472841,0.878832
two,-1.337325,-1.300152,-1.169278,-0.472853,1.476874
theory,1.115492,-0.568162,1.502933,-0.605365,1.691025
point,-1.18948,-1.433131,-0.77473,-0.713278,0.766444
theorem,1.742762,0.657032,1.50712,-1.390476,-0.303677
example,-0.395037,-0.810056,0.480437,-1.407484,1.94729
form,-1.07728,-0.66938,-0.17349,-1.030434,1.814257
define,-0.330319,-0.854317,1.360576,-1.386225,1.501523
graph,0.809835,-0.259775,1.546431,-1.869873,-0.174088
value,-0.414679,-1.304569,1.398054,-1.445856,1.569062
problem,0.266395,-1.321592,0.952887,-1.100253,1.935502
mathematic,0.37223,-0.470163,1.757027,0.52407,0.37425
order,-1.205593,-0.481011,0.052392,0.071541,2.040059
equation,1.028891,0.170705,1.472028,-2.033932,-0.093573
first,-1.049604,-1.452203,-0.966733,0.610351,1.484941
vector,0.375182,-0.720802,1.459534,-2.453945,0.017858
algebra,1.101993,0.293779,2.194183,-1.203312,-0.604828
$\mathbb{N}$,-0.267126,-0.98224,-0.374996,-0.884136,-0.708365
field,-0.868848,-1.479698,-0.362532,-0.307374,0.782785
element,-0.093228,-0.710795,0.402955,-1.760094,1.677987
system,-1.247208,-2.13242,1.277296,-1.341175,1.23922
matrix,0.534342,-0.628241,1.01655,-2.233795,-0.040806
mathematical,0.906752,-0.414,2.112752,-0.292151,0.682467
method,0.192716,-1.086094,1.284191,-1.732644,1.564386
finite,0.858766,-0.342732,1.950486,-2.334461,0.227174
result,-0.982358,-1.599458,0.27492,-0.615869,1.655996
vertex,0.085749,0.374546,0.828631,-2.666321,-0.758958
term,-0.388765,-0.929266,0.780227,-0.419154,2.222572
line,-1.845325,-1.202101,-1.07661,-0.867047,0.642927
model,-0.188376,-1.780962,0.501653,-1.035792,0.494663
real,0.527781,-1.702641,-0.164885,-0.06765,1.309628
property,-1.333101,-0.43769,0.389395,-0.719803,1.679281
geometry,0.417233,0.061822,1.408409,-2.062599,-0.029467
complex,-1.005064,-0.606386,0.412587,-1.479972,1.186215
linear,-0.563721,-1.051693,1.003962,-2.618279,-0.348987
polynomial,1.526373,0.724265,1.891623,-2.195719,-0.497775
algorithm,1.240051,-0.926704,1.708774,-1.932134,0.002396
mathematician,1.212816,1.136524,0.496946,1.703693,-0.306529
definition,0.252385,-1.02219,1.769907,-1.248527,1.471641
product,-0.554352,-2.316432,0.836935,-1.671946,0.846698
state,-1.122146,-1.473598,0.012954,0.864027,1.874542
sequence,0.536311,-1.035326,0.166459,-2.1756,0.744939
distribution,-1.079248,-0.989098,0.639562,-1.510719,0.67913
variable,-0.163027,-0.815426,1.223324,-2.669325,0.463584
solution,-0.034814,-1.532985,1.454221,-1.740712,1.068389
square,-2.005165,-0.411078,-0.93692,-0.728342,-0.02276
map,-1.364685,-0.163235,0.336384,-0.610788,0.564499
class,-1.329284,-1.27399,-0.046493,-0.045637,0.54146
integer,0.540029,-0.351018,1.520451,-2.373859,-0.550397
mean,-0.546275,-0.473147,0.027801,-1.265877,1.957196
proof,0.692694,-0.488655,0.760723,-1.125026,1.305049
three,-1.255755,-1.266114,-1.15557,-0.21775,1.36845
dimensional,0.667788,-0.605302,1.010076,-2.693944,0.365999
zero,0.39887,-1.53459,0.217291,-1.731026,0.384243
