word,1,2,3,4,5,6
number,-0.62579,-0.628646,0.669039,1.6429,0.495857,-0.923433
function,0.455467,-0.146351,0.395943,2.47219,-1.580813,-0.792363
one,-1.197899,-0.43991,1.855527,1.176722,0.74007,-0.796176
set,-1.165344,-0.562985,1.121372,1.05453,0.063612,-0.463765
group,-0.655841,-0.479737,1.083896,1.675236,0.504999,0.222588
space,-1.009402,-0.078997,0.330323,1.83199,-0.618186,-0.754567
two,-1.407344,-0.39266,1.233829,1.202659,1.133131,-1.051607
theory,0.748303,1.081012,1.30935,1.480948,-1.770596,0.456266
point,-1.293348,-0.57637,0.368269,1.360683,0.648735,-0.938936
theorem,0.773569,1.049003,-0.248991,0.072639,-2.603493,-0.396397
example,-0.129268,-0.311305,1.27581,1.688857,-0.786449,-1.12986
form,-0.319279,0.026437,1.312274,1.477141,0.242934,-1.376744
define,0.527502,-0.194536,0.696943,2.073725,-1.303633,-0.805884
graph,0.435974,0.178461,-0.631337,0.870252,-2.477975,-0.834393
value,0.194463,-0.67576,0.803176,2.431866,-1.156884,-0.750359
problem,-0.18322,0.143914,1.295801,2.026187,-1.295152,-0.271594
mathematic,1.242821,1.112293,0.151171,1.354981,-0.929744,0.901985
order,0.097997,-0.231185,1.625309,1.246547,0.762721,-0.79309
equation,0.661503,0.723504,-0.511561,1.006313,-2.41498,-0.55295
first,-1.186764,-0.242169,1.485458,1.009051,1.527305,0.021171
vector,0.217129,-0.365972,-0.637027,1.719222,-2.349539,-1.13525
algebra,0.98397,0.846091,-0.773759,1.06362,-2.256591,-0.473619
$\mathbb{N}$,-0.90413,-0.804751,-0.697841,0.424422,-0.28898,-0.457075
field,-1.107125,0.668411,0.322979,1.820496,0.543138,-0.173008
element,-0.19552,-0.426144,1.117505,1.475832,-1.129552,-1.312533
system,-0.166202,-0.2751,0.339577,3.390788,-0.275068,-0.446658
matrix,-0.154579,-0.120749,-0.581286,1.283849,-2.237549,-0.845122
mathematical,1.152975,0.879199,0.224067,1.527933,-1.475892,0.82451
method,-0.022496,0.436163,0.723422,2.253144,-1.697931,-0.57642
finite,0.747353,-0.246867,-0.336247,1.364771,-2.661812,-1.094493
result,-0.561755,-0.525386,1.264533,2.066052,0.279457,-0.552071
vertex,0.193083,-0.620968,-1.259357,0.493129,-1.830908,-2.209141
term,0.173053,0.093533,1.764602,1.898474,-0.313542,-0.320485
line,-1.216013,-0.411533,0.277082,1.337599,1.27231,-1.476462
model,-0.813997,-0.272977,0.102595,1.86877,-0.621691,-0.040826
real,-1.090608,-0.769311,1.421539,0.945958,-0.449922,0.333607
property,0.27264,0.980854,0.757681,2.164822,-0.003813,-1.011236
geometry,0.718077,0.896459,-0.648124,0.864698,-1.906152,-0.654718
complex,-0.002998,0.306971,0.445223,1.785249,-0.417822,-1.247973
linear,-0.043765,-0.911211,-0.958992,1.801612,-1.428818,-1.292197
polynomial,0.662012,0.040797,-0.368439,0.437352,-2.869824,-0.918503
algorithm,0.076185,0.03058,-0.468017,1.542306,-2.720458,-0.054573
mathematician,1.47242,1.342671,0.283107,-0.86185,-0.008632,1.580877
definition,0.568511,-0.198681,0.76485,2.113787,-1.699725,-0.314412
product,-0.84359,-0.244435,0.117235,2.694525,-0.845204,-0.442324
state,-0.323057,0.114544,1.571964,1.888989,1.411884,0.404823
sequence,-0.749403,-0.457126,0.260408,1.165656,-1.715219,-0.971851
distribution,-0.178847,-0.00246,-0.00934,1.998009,-0.330548,-1.218801
variable,-0.036843,-0.682229,-0.260246,2.035409,-2.018214,-1.428652
solution,-0.025335,0.01393,0.350324,2.61022,-1.639185,-0.411952
square,-0.744418,-0.380898,-0.499367,0.729835,1.294654,-1.686278
map,0.26213,0.391612,-0.07039,1.356519,0.318324,-0.966347
class,-0.43592,-0.156612,0.19358,1.539136,0.829196,-0.157382
integer,0.584275,-1.03197,-0.58549,0.976822,-2.117346,-1.123175
mean,-0.289253,-0.777013,1.709156,1.189841,-0.32093,-1.456547
proof,0.269963,0.173686,0.741678,0.85499,-1.829449,-0.189052
three,-1.415962,-0.38273,1.193674,0.987976,1.293638,-0.821974
dimensional,-0.281431,0.01518,-0.319706,1.266507,-2.511299,-1.259658
zero,-1.043851,-1.152163,0.049597,1.193542,-1.430004,-0.622533
algebraic,1.147025,0.801177,-0.388842,1.00277,-2.565808,-0.407758
formula,-0.396454,-0.703042,-0.32878,0.952286,-1.106689,-0.040048
ring,-1.392059,-0.347592,0.289581,0.211454,-0.486554,-1.17966
edge,-1.678279,0.060018,0.063198,0.787718,-0.160641,-2.081862
sum,0.114619,-0.863012,0.1784,0.928361,-1.177206,-0.456375
plane,-0.801374,-0.496129,-0.069432,0.872884,-0.415642,-1.562385
analysis,0.302221,0.653666,0.651859,2.416995,-1.414749,0.302874
dimension,-0.384168,-0.477887,0.226832,1.105112,-1.536663,-1.014831
curve,-0.357882,0.324355,-0.853384,0.924042,-1.174256,-2.019213
type,-0.51968,-0.280594,0.013689,1.98791,-0.264303,-1.703654
operator,-0.236167,-0.224709,-0.397543,1.885684,-0.547095,-0.060262
prove,-0.252897,0.098338,1.493117,0.825002,-0.840677,-0.591928
probability,0.603136,-0.300933,0.003984,1.594938,-2.345383,-0.401631
structure,0.369344,0.681185,0.547756,2.118958,0.33973,-1.771156
representation,0.79353,0.084491,0.864414,1.500393,-1.016816,-0.162857
series,-2.440713,-0.903859,0.91876,0.562042,0.409762,0.414197
prime,0.357703,-0.653845,1.207398,0.48485,0.501446,0.997617
measure,0.068333,-0.302924,0.406302,2.560268,-0.640814,-1.413308
equal,0.018918,-0.796786,0.538233,1.617172,-0.628061,-0.793126
lie,-0.319794,0.24163,1.033976,0.358139,0.905491,-1.644861
manifold,0.380129,0.873447,-0.997216,0.639361,-2.464328,-1.127102
degree,0.461563,0.452161,0.376771,1.952137,0.398417,0.255909
differential,0.344492,0.291063,-0.751074,1.78255,-2.101018,-0.488954
$\mathbb{C}$,-0.997992,-0.337793,-0.912473,0.876332,0.655298,-0.195647
regular,-1.425993,-0.470412,0.161182,1.338597,0.355295,-0.14146
second,-1.383739,-0.759935,1.094059,0.693791,1.502773,-0.221769
triangle,-0.644021,0.008351,-0.627164,0.105779,-0.619584,-1.212318
subset,0.707428,-0.92388,-0.415048,1.335711,-2.235891,-1.197883
circle,-0.539417,0.224167,0.792092,0.426951,-0.089962,-0.898045
relation,1.235595,-0.002252,1.771647,1.618164,-0.044405,0.432629
positive,-0.844351,-0.619577,1.33083,1.565469,-1.655428,0.021253
simple,-0.812929,-0.262932,0.945824,1.22601,-1.695919,-1.479012
topology,0.645797,0.519705,-0.783873,0.858673,-2.468923,-0.476834
category,-0.305268,-0.701318,0.404352,1.763164,-0.253505,0.268718
surface,-0.980402,0.243314,-0.258228,1.978292,-0.859672,-2.795576
constant,0.100507,-0.081954,0.493267,1.01383,-1.44798,-1.120363
application,-0.333848,-0.184502,-0.094528,3.373539,-1.240964,0.096205
integral,0.606619,-0.06741,-0.043217,1.32064,-1.501417,-0.568997
coordinate,0.725443,-0.210671,-0.270555,2.024027,-0.753495,-0.472291
complete,-0.397081,0.192092,0.728954,1.223375,1.329598,-0.395148
root,-0.319802,0.188905,1.21754,0.78089,-0.669572,-1.100269
length,-1.387464,-0.923225,-0.088662,1.136442,0.087303,-2.182309
continuous,-0.034068,-0.202103,0.032243,2.072978,-1.077128,-1.583544
logic,0.565666,0.496585,0.16096,1.185478,-2.303972,0.557341
external,-0.9206,-0.123041,0.373084,0.985827,1.776961,0.727241
side,-1.476633,-0.586225,0.926135,0.622707,1.077581,-1.701875
unit,-0.302733,-0.749701,-0.267958,2.450563,1.134808,-0.972718
equivalent,0.517434,-0.733265,0.005769,1.76175,-0.435006,-0.801043
conjecture,0.652996,0.869304,-0.252588,-0.193147,-2.446552,-0.155886
infinite,-0.349881,-0.615827,0.325653,0.471513,-2.297001,-0.690849
operation,-0.304258,-0.327791,0.528053,2.361843,0.957249,-0.384692
angle,-1.174105,-0.489182,-0.380838,0.925386,-1.24158,-2.25662
