word,1,2,3,4,5,6
number,-0.662653,0.47367,1.663648,3.974576,0.232033,1.635938
function,0.369555,-1.229703,1.807316,4.414908,0.235559,0.579776
one,-0.905156,0.615175,0.858263,4.60776,0.582019,1.398982
set,-0.400868,-0.557712,1.484417,4.310676,-0.034678,0.991961
group,-1.320564,-1.66434,1.095479,3.190719,0.000402,2.37562
space,-1.096782,-1.84285,0.785948,4.047226,-0.00865,1.816361
two,-1.398847,0.580352,0.584943,4.336835,0.19869,1.606718
theory,-0.055031,-1.354907,1.452661,3.034638,2.512069,2.075452
point,-1.388408,0.09205,0.433765,4.214558,-0.441036,1.373927
theorem,0.305933,-2.180619,1.930594,2.894828,0.981459,1.470117
example,-0.535096,-0.144237,1.151045,4.100047,0.380459,1.107495
form,-1.019237,-0.758912,0.838599,4.06641,0.028134,1.485474
define,-0.496575,-1.183807,1.189204,4.39514,-0.296652,0.926796
graph,-1.39378,-0.907777,-0.316939,3.076458,0.18016,1.319838
value,0.056628,0.712817,1.460885,4.446366,-0.086428,0.129759
problem,0.02257,0.02918,0.775188,3.376351,1.747237,0.803818
mathematic,-0.20168,0.596898,1.568231,1.987018,2.813397,2.529529
order,-0.974361,-0.191993,0.887921,3.600386,-0.193366,1.386473
equation,-0.033871,-1.447908,1.032794,3.171558,1.192081,1.103605
first,-0.450337,0.70418,1.588805,3.206718,1.21039,1.705437
vector,-0.790014,-1.224296,0.390485,4.108003,-0.591235,0.693238
algebra,-0.489569,-2.023639,1.478568,2.724348,0.689059,2.240543
$\mathbb{N}$,-0.950308,0.429678,1.585886,3.778114,-1.89406,1.131774
field,-0.620174,-1.277286,0.741986,3.366513,1.267279,1.498303
element,-0.872939,-0.188027,1.0848,3.826309,-0.570655,1.12234
system,-0.2343,-0.016157,0.400609,3.327177,1.916557,0.872717
matrix,-0.434062,-1.009752,0.640259,3.637525,-0.164234,0.498438
mathematical,-0.324746,0.58883,1.341079,2.008104,3.322952,2.428806
method,0.496481,-0.389684,0.945066,3.314824,2.059563,0.416927
finite,-0.497907,-1.493177,1.267326,3.923376,-0.031161,1.155799
result,0.083629,0.251478,1.380499,3.668306,1.031718,0.801368
vertex,-2.520804,1.034438,-0.531166,3.401662,-1.182338,1.639995
term,-0.104698,0.013747,0.937801,3.865742,0.55373,0.611275
line,-1.736768,0.182217,-0.205604,3.57251,-0.404077,1.298201
model,0.213663,-0.150911,0.525116,3.244869,1.992918,0.362526
real,-0.356503,-0.955272,1.278859,3.919343,-0.030059,1.071258
property,-0.260491,-1.187827,0.80572,4.007474,0.5545,0.694322
geometry,-1.258193,-1.285971,0.550858,2.337643,1.951118,2.697449
complex,-0.803175,-1.555871,0.764117,3.474078,0.504384,1.58108
linear,-0.159139,-1.363405,0.823311,3.769097,0.763108,0.977286
polynomial,0.635183,-1.213217,2.029861,3.39715,-0.174581,0.455908
algorithm,0.658857,0.185479,1.108896,2.910683,1.400979,-0.041613
mathematician,-0.653136,0.512513,1.154027,0.407569,3.500771,2.963513
definition,-0.093283,-1.046604,1.259797,3.839201,0.644453,0.885703
product,-0.616086,-1.053777,0.841344,3.607207,-0.490126,0.969126
state,-0.405807,0.520076,1.161919,2.68047,1.404805,1.38526
sequence,-0.128258,-0.450596,1.376685,3.252295,-0.763653,0.647205
distribution,0.74908,-0.308188,1.1881,3.447042,0.360062,-0.528454
variable,0.350413,0.246643,1.131456,3.878665,0.246341,-0.081255
solution,-0.059105,-0.221408,0.999962,3.534015,0.752194,0.503082
square,-1.431652,0.501092,0.056868,3.363537,-0.552996,0.971594
map,-0.883926,-1.597253,0.491296,3.477281,-0.6211,0.988401
class,-0.456334,-0.762071,1.171507,2.974697,0.17906,1.252427
integer,-0.352793,0.015798,1.618027,3.678012,-0.901292,0.856077
mean,-0.113725,0.392788,0.836777,3.944708,0.006478,0.140788
proof,0.659089,-0.442161,2.061265,2.827474,1.231879,0.906972
three,-1.680297,0.857839,0.291726,3.234912,0.330532,1.85292
dimensional,-1.647076,-1.235366,-0.097919,3.434299,0.122103,1.815676
zero,-0.485516,-0.087625,0.960928,4.061948,-0.660384,0.393454
algebraic,-0.52106,-1.719069,1.380465,2.725453,1.351176,2.211008
formula,0.352021,-1.035482,1.622144,3.192303,0.273622,0.593262
ring,-0.6947,-2.096323,1.117269,2.924089,-0.889401,1.325332
edge,-2.034079,1.24124,-0.619669,3.465147,-1.141953,1.108408
sum,-0.33405,-0.089607,1.369156,3.722796,-0.817173,0.661322
plane,-1.897718,-0.807959,-0.304195,3.157206,-0.503687,1.81336
analysis,0.331,-0.584348,1.178518,2.506915,2.707741,1.23075
dimension,-1.286103,-0.927646,0.649037,3.309608,-0.29657,1.666428
curve,-0.947356,-1.219127,-0.242724,2.761957,0.073897,0.952771
type,-0.319672,-0.393962,0.802343,3.229219,0.393666,0.882325
operator,0.000702,-1.829686,1.004107,3.018728,0.12219,0.765024
prove,0.642717,-0.783395,2.3653,2.472695,0.866788,1.153471
probability,0.623864,0.604206,1.618791,3.100756,1.111105,0.245963
structure,-0.682204,-1.179434,0.183982,3.333541,0.994283,1.116253
representation,-0.669164,-1.500917,0.719922,3.014334,0.219159,1.409654
series,-0.093483,-0.30389,1.704949,2.567777,0.708318,1.229383
prime,-0.361706,-0.03718,1.660554,2.40583,-1.054928,1.107941
measure,0.061546,-0.357869,0.641884,3.488157,0.490654,0.098957
equal,-0.962832,0.664241,0.607416,3.944187,-1.075113,0.550767
lie,-1.13588,-1.481628,0.591767,2.837546,-0.176339,1.818378
manifold,-1.199698,-2.343183,0.080137,2.562931,0.367525,1.894056
degree,-0.760789,0.78346,1.543695,2.695079,-0.10758,1.473085
differential,-0.323152,-1.565746,1.141669,2.526076,1.725339,1.736307
$\mathbb{C}$,-0.729405,0.002061,1.422691,2.905641,-1.646497,1.039516
regular,-2.376323,-0.764543,0.178137,2.192145,-0.730482,2.820129
second,-0.442406,0.549807,1.361034,2.899608,0.571828,1.401932
triangle,-2.179475,0.340984,-0.850257,2.663932,-0.727342,1.563166
subset,-0.501626,-1.162319,0.928244,3.942454,-1.436624,0.464913
circle,-2.15573,0.047871,-0.760361,2.8003,-0.366738,1.638444
relation,-0.044664,-1.117149,1.10023,3.378108,-0.139284,0.584333
positive,-0.359469,-0.396474,1.128857,3.912701,-0.827567,0.444256
simple,-0.552878,-0.585986,0.589384,3.725463,0.525382,0.950231
topology,-0.520253,-1.922202,1.039073,2.48027,0.575073,1.790418
