word,1,2,3,4,5,6
number,-0.676061,-1.614367,1.461546,0.364331,0.663921,0.715683
function,0.510199,-1.085415,2.587456,1.016587,-0.942871,-0.361699
one,-1.048221,-2.362297,0.44745,0.439971,0.170347,0.807043
set,-0.340755,-1.962132,0.387941,0.552442,0.113695,0.846855
group,-0.202325,-2.05895,0.65352,0.672865,0.812611,-0.049161
space,0.463881,-1.730001,1.500358,0.257551,-0.320694,0.780176
two,-1.090001,-2.157203,0.596508,-0.096225,0.488861,1.165176
theory,0.765723,-1.426054,0.961856,0.844267,-1.69815,-1.725022
point,-0.364434,-1.63472,0.827625,0.107196,0.711763,1.275113
theorem,1.507495,0.889286,0.811736,0.442336,-2.20456,-0.584471
example,-0.434486,-1.515369,1.535384,0.809617,-0.914837,0.07599
form,-0.968653,-1.78482,1.431907,0.052315,-0.342856,0.270699
define,0.030082,-1.249538,2.171282,1.011226,-0.894081,-0.415173
graph,1.429209,0.495471,1.726526,0.643755,-1.655238,-0.06808
value,0.087704,-1.256882,2.154118,1.34283,-0.598429,-0.12694
problem,0.293114,-1.858097,1.384612,1.234859,-0.979586,-0.321551
mathematic,1.293184,-0.4629,0.953324,0.118284,-0.341165,-2.153391
order,-1.428606,-1.813657,0.792503,0.477258,0.272561,-0.309995
equation,1.32572,0.356663,1.721258,0.348817,-2.080292,-0.328804
first,-0.703993,-2.298667,-0.059678,0.000688,0.953596,0.37001
vector,1.214526,0.108397,2.309768,0.713393,-1.32507,0.569602
algebra,1.836304,0.936419,1.575771,0.116416,-1.547136,-0.815617
$\mathbb{N}$,0.577995,-0.037785,0.506088,0.026843,0.257411,1.310557
field,0.496311,-1.992255,1.030728,-0.631651,0.384915,0.221032
element,-0.320079,-1.418735,1.478179,0.807961,-1.210065,0.403563
system,0.734927,-1.843878,2.800645,0.755031,0.354108,-0.002277
matrix,1.487806,0.016808,1.686553,0.496309,-1.466501,0.579499
mathematical,1.609367,-0.524791,1.214017,0.543093,-1.171096,-1.930351
method,0.763464,-1.467977,2.077457,0.818652,-1.434043,-0.424066
finite,1.033756,0.368517,2.195098,1.110196,-1.880037,-0.022292
result,-0.43307,-1.978488,1.368294,0.901918,0.312253,0.300594
vertex,0.529031,1.340339,1.826302,0.40447,-1.388678,1.305734
term,-0.480932,-1.97275,1.292546,0.901704,-0.554134,-0.764682
line,-0.668963,-1.565899,1.274341,-0.602107,0.693943,1.344915
model,0.969744,-1.270626,1.357065,0.599174,0.003041,0.43149
real,0.133198,-1.886966,-0.083196,1.307554,-0.012079,0.437738
property,-0.453879,-1.590942,1.770996,-0.39444,-0.378231,-0.727619
geometry,1.193989,0.100652,1.842367,-0.065183,-1.680851,-0.323084
complex,-0.248723,-1.226203,1.95764,-0.015635,-0.561644,0.057705
linear,0.729563,0.166436,2.515348,0.583111,-0.298691,1.341858
polynomial,1.202708,1.40068,1.307934,0.906357,-2.123748,-0.174008
algorithm,1.940564,-0.054589,1.731909,1.233883,-1.576405,0.050871
mathematician,0.552122,0.671736,-1.465536,-0.57259,-0.230548,-2.327818
definition,0.486889,-1.146637,1.975191,1.469268,-0.863369,-0.647458
product,1.109275,-1.79403,2.2628,0.676795,-0.183168,0.558397
state,-0.43786,-2.400231,0.633747,0.186364,1.168016,-0.811427
sequence,0.596722,-0.890714,1.234574,0.788008,-1.359038,1.160406
distribution,0.170544,-0.978039,2.217267,0.042605,-0.106446,0.358424
variable,0.722555,-0.262136,2.517854,0.803096,-1.251898,0.849428
solution,1.035197,-1.297824,2.253636,1.017227,-0.891588,-0.164312
square,-0.817109,-0.62913,1.062879,-1.045452,0.836851,1.235883
map,-0.312347,-0.836034,1.672681,-0.785399,0.068214,-0.270446
class,0.014352,-1.447821,0.968943,-0.113155,1.016048,0.124917
integer,1.041428,1.003479,1.865155,1.305608,-0.937694,0.730159
mean,-1.219641,-1.489116,1.170459,1.023418,-0.723913,0.65522
proof,0.199056,-0.841601,0.809666,1.185823,-1.254068,-0.155667
three,-0.933621,-2.123299,0.411392,-0.146808,0.66267,0.998585
dimensional,1.198387,-0.411551,1.969718,0.474191,-2.141377,0.478198
zero,0.630065,-0.724265,1.00507,1.347211,-0.395685,1.469324
algebraic,1.553396,0.931512,1.507422,0.332922,-1.853132,-1.177678
formula,0.887049,-0.20018,0.750499,0.857201,-0.023665,0.793735
ring,-0.297895,-0.920875,0.283407,0.056205,-0.65032,1.793937
edge,-0.258235,-1.311576,1.136323,-0.751644,-0.856818,1.964063
sum,-0.023914,-0.354988,0.927682,1.193002,-0.375341,0.245261
plane,-0.398698,-0.623789,1.314503,0.050007,-0.282462,1.558879
analysis,1.19324,-1.5391,1.831878,0.849535,-0.981219,-1.14705
dimension,0.31725,-0.59467,1.292407,0.771636,-1.076955,0.726563
curve,0.238212,-0.124235,1.969167,-0.623993,-1.075928,1.389678
type,-0.214507,-1.063504,2.345216,0.067825,-0.346004,1.038953
operator,0.932596,-0.840426,1.589709,0.407323,0.487248,0.204113
prove,-0.614498,-1.57094,0.53318,0.937765,-0.982509,0.092033
probability,0.993397,-0.020927,1.882467,1.51617,-1.374854,-0.079221
structure,-0.793658,-1.331205,2.387606,-0.750272,-0.354359,-0.312217
representation,0.069052,-0.93194,1.298194,0.908806,-0.806103,-1.149281
series,0.541899,-2.071177,-0.655824,0.55958,0.607756,1.542615
prime,-0.35215,-0.914439,-0.521061,1.370795,1.143381,-0.723216
measure,-0.170506,-1.287467,2.693051,0.592265,-0.388284,0.280171
equal,-0.247348,-0.899997,1.423356,1.118031,-0.033072,0.305938
lie,-1.630643,-1.305522,0.594361,-0.630868,-0.138583,0.479275
manifold,1.365454,0.959169,1.71736,-0.335166,-2.009937,0.513613
degree,0.277007,-1.354173,1.25784,-0.038501,0.582199,-1.104209
differential,1.422804,-0.130581,2.252481,0.456105,-1.212045,0.299497
$\mathbb{C}$,0.547206,-0.462836,0.743709,-0.552363,1.038966,0.999627
regular,0.313946,-1.81232,0.496618,0.262511,0.939321,0.938852
second,-0.817969,-1.83392,-0.184736,0.189456,1.123053,1.026507
triangle,0.113874,-0.046856,0.399147,-0.295058,-0.502556,1.053654
subset,0.875617,0.288641,2.155102,1.413494,-1.071546,0.102197
circle,-0.612545,-1.085129,0.30409,-0.132682,-0.494986,0.381096
relation,-0.577932,-1.551883,0.890267,1.254747,0.118448,-1.962175
positive,0.62151,-1.815635,0.842564,1.778575,-0.966328,0.39889
simple,-0.078218,-1.351233,1.483218,0.819883,-1.819623,0.967276
topology,1.653843,0.74439,1.831259,0.397321,-1.623538,-0.128284
category,0.494077,-1.221459,1.060774,0.932274,0.562934,0.012829
surface,-0.177922,-1.189069,2.815907,-0.491334,-1.100105,1.677987
constant,-0.032123,-0.48773,1.396716,0.69343,-1.336467,0.290831
application,1.761447,-1.57629,2.734054,1.089007,-0.098056,-0.175241
integral,0.504335,-0.097441,1.586252,0.518962,-0.796228,-0.235313
coordinate,0.521763,-0.653274,2.006978,0.541831,0.120263,-0.703177
complete,-0.628064,-1.616914,0.592244,-0.51678,0.775198,-0.090196
root,-0.627334,-1.242788,0.795226,0.211768,-1.309841,0.323903
length,-0.624859,-1.010699,1.725994,-0.100471,-0.084991,2.130216
continuous,0.011174,-0.924368,2.474906,0.292446,-0.872383,0.489952
logic,1.555137,-0.42731,1.006811,1.112996,-1.594253,-0.927051
external,0.17388,-1.607743,-0.057795,-0.410859,1.577136,-0.150149
side,-1.224927,-1.784441,0.624067,-0.448727,0.233854,1.729434
unit,-0.289484,-1.113098,2.18354,0.039248,1.428495,0.511729
equivalent,-0.155995,-0.391256,1.789471,0.760468,0.263542,0.180772
conjecture,0.705608,1.058753,0.238842,0.342444,-2.223913,-0.827772
infinite,0.625194,-0.150129,0.540131,1.328397,-1.710459,0.819814
operation,-0.064579,-1.69194,1.631967,0.251908,1.163877,0.177423
angle,-0.025322,-0.484382,1.806325,-0.004615,-1.187253,2.028017
random,1.099485,-0.977438,0.83873,0.956107,-1.324788,0.712484
basis,-0.149826,-1.457529,1.699989,0.66282,0.086139,-0.513958
natural,-0.59302,-1.625499,1.7281,-0.41503,-0.600216,-0.495661
power,-0.455725,-1.868077,1.284415,0.779455,0.328835,0.707055
area,-1.550547,-1.935439,2.165025,-1.078304,1.063014,0.120856
open,-0.332625,-2.005971,0.656798,-0.41331,0.935103,0.64829
solve,0.713945,-1.219994,1.121592,1.334381,-1.376996,-0.208101
pair,-0.270117,-1.019467,0.535794,0.192182,-0.460406,2.005944
hold,-1.024273,-2.152652,0.158135,0.184344,1.10725,-0.166911
limit,0.1751,-1.783829,1.994728,0.365252,0.365769,0.230743
special,0.275749,-2.07922,0.302533,0.699474,0.665904,0.384503
generate,0.788103,-1.383224,2.574442,1.142789,-0.629777,0.850672
coefficient,1.03888,0.8333,2.299663,1.177741,-1.089087,0.550241
standard,0.679519,-1.484075,2.041878,0.849062,0.535925,0.308049
identity,-0.473022,-1.650551,0.300907,1.69388,-1.021683,-0.882929
four,-0.758509,-1.985799,0.488811,-0.137186,0.863024,1.171532
rule,-1.322713,-1.437278,0.638909,1.150328,0.314081,-0.854127
topological,1.628023,0.889349,1.737692,0.381913,-2.299205,-0.371651
computer,2.167852,-1.625177,1.151979,1.126407,0.153435,-0.064461
derivative,0.931005,0.047557,2.02662,0.685231,-0.916462,0.304413
symmetry,0.824199,0.630095,1.758018,0.484368,-2.227126,0.108234
compact,0.724764,-0.330934,1.724099,0.060368,-0.437447,1.186666
factor,0.51665,-1.547669,2.233779,1.1766,-0.969109,-0.050301
family,-1.462774,-1.693117,-0.333549,-0.592973,0.426673,-0.138725
transform,-0.303206,-0.953944,0.949782,0.611298,-1.037838,0.037184
convex,-0.357372,1.032386,1.992503,-0.432359,-2.549832,1.791973
domain,-0.126562,-0.262791,1.907321,0.603083,-0.533967,-0.50611
subgroup,-0.516068,1.422224,1.430615,0.201326,-0.663234,-0.347701
construct,-0.996959,-1.265667,1.630067,-1.119053,-0.237577,0.053753
axiom,1.312986,0.994792,0.708776,1.180038,-1.52979,-0.748649
construction,-0.821854,-1.330825,1.750547,-0.818386,0.715544,-0.252932
therefore,-1.191874,-1.403721,1.85242,1.275796,-0.882638,-0.100991
compute,2.247371,-0.554382,2.139775,1.08488,-0.655959,-0.187069
normal,0.045971,-1.32538,1.848378,0.484083,-0.681788,0.770562
distance,-0.275527,-0.895302,1.555553,0.130406,0.400103,1.083477
notation,0.774669,0.628594,1.016959,0.913728,-1.489662,-0.006379
parameter,1.263145,-0.261621,2.736573,1.295729,-1.386796,0.37045
euclidean,1.108501,1.417622,1.919928,-0.01995,-2.207267,-0.114926
symmetric,0.714844,1.024467,2.071218,0.912432,-1.695783,0.746184
metric,1.079709,0.218382,2.267877,0.831537,-0.578439,0.179441
test,0.995575,-1.703554,1.562067,0.755388,0.136702,0.482163
bundle,1.087602,-0.215036,1.349019,0.71194,-1.030014,1.424445
center,0.528881,-1.797259,0.93373,-0.451847,1.449186,0.061477
symbol,-0.869455,-0.381377,0.956372,0.857742,-0.834903,0.111035
projective,1.445719,1.500732,1.580375,0.086831,-2.536735,0.01843
sphere,-0.244046,-0.346846,1.289434,0.590183,-1.308442,-0.142252
interval,0.087629,-0.116063,1.874262,0.751831,-0.719509,1.249274
single,0.151861,-1.846775,0.058622,0.521862,0.304994,2.299975
geometric,0.072729,0.204786,1.757227,-0.287886,-2.47307,-0.038292
ideal,-0.465129,-1.068345,1.050823,0.781737,-1.413122,-0.459916
dual,0.905008,-0.611556,1.619446,0.563966,0.444156,0.804105
module,1.790496,-0.208758,2.087651,0.992914,-0.323998,0.94894
invariant,0.996236,1.220036,1.870846,0.480682,-2.034821,-0.353315
$\mathbb{Q}$,0.852938,-0.048598,0.042416,0.682327,0.124657,1.194814
index,0.891641,-0.437773,1.743386,0.358523,0.037719,-0.67595
information,0.647821,-2.049307,1.590151,1.102907,0.196169,-0.954918
transformation,0.618139,-0.690247,1.338839,0.793531,-1.336148,-0.855391
extension,0.487956,-0.908361,1.939741,-0.376981,0.390463,0.072829
direct,0.169132,-1.70886,-1.066759,0.949206,-0.053171,0.352274
uniform,-0.349996,-1.040976,1.423109,0.200297,-0.446991,0.620938
path,-0.456785,-1.162923,1.330401,0.160151,-0.569056,0.70965
negative,0.26584,-1.54133,1.394527,1.838898,-1.468507,0.230375
image,0.196052,-1.367329,0.883372,0.388135,-0.972316,0.433612
member,-0.451031,-2.270812,-0.511068,0.08732,1.36962,-1.018272
inverse,1.22935,0.852874,2.034322,1.094402,-1.650432,0.219956
step,-0.070395,-1.694459,0.533679,0.66723,-0.540206,0.751894
independent,0.133471,-2.013159,0.554314,0.498324,0.873439,-0.766434
arithmetic,1.083869,0.637713,1.531466,0.696999,-1.49388,-0.506089
position,-0.701684,-1.72689,0.732133,0.578806,0.429251,-0.021052
calculus,1.538925,0.656803,1.133322,0.376429,-1.44954,-1.432248
rational,0.633412,-0.635783,1.091464,1.636464,-2.155393,-1.410034
law,-0.440277,-2.083861,0.227971,0.447136,0.463318,-2.035799
tree,-1.227487,-1.223732,1.090262,-0.842457,-1.044721,1.279411
component,0.810879,-1.229246,3.119148,0.641725,-0.556675,0.550883
lattice,0.781287,0.643665,2.205997,-0.514273,-1.897593,0.543825
inequality,0.585333,-0.053271,1.436347,1.514378,-1.26731,-1.553276
volume,0.117315,-0.541557,0.475169,-0.565249,0.220414,-0.256045
section,-0.563888,-1.345089,1.567815,-0.456187,0.703337,0.278805
add,-0.109152,-1.771675,0.988223,0.349113,-0.132977,1.069737
$\mathrm{e}$,-0.296313,-0.059035,-0.159001,0.538161,1.182842,0.52299
fundamental,0.679309,-1.258658,1.607234,1.219481,-1.341347,-1.645955
game,0.681646,-2.323394,-0.219563,1.078531,1.404551,2.195844
polytope,1.691817,2.382156,1.113898,-1.183621,-1.338668,0.092417
smooth,-0.187895,-0.770351,1.311649,-0.449945,-1.775414,2.117131
partial,0.125212,-0.710604,1.238791,0.083722,-0.556846,0.082429
extend,-0.796895,-1.265016,1.668149,-0.52576,0.403799,0.652883
multiplication,0.906494,1.21356,1.856799,1.124213,-1.340936,0.486131
boundary,-0.824219,-0.990877,2.103533,-1.10482,-0.16335,-0.381175
local,-1.078334,-2.206049,1.043393,-0.090811,0.770256,-0.504857
node,0.626769,0.240443,2.650993,1.017796,-0.892959,0.941981
develop,0.304519,-1.939452,1.345408,0.473021,-0.319921,-0.067992
difference,-0.138378,-1.41424,1.712432,1.279152,-0.94648,0.036395
statement,0.037018,-1.846213,0.252268,1.98071,-0.512965,-1.034773
tensor,0.939963,1.426949,1.96263,0.468001,-2.371567,0.0231
discrete,1.299337,0.103127,2.268951,0.842891,-1.415459,0.043129
variety,-0.157528,-1.893986,1.121234,0.289426,-0.819642,0.516091
generalize,1.061828,0.411585,1.661383,0.732833,-2.091614,-0.592494
sample,0.834815,-1.170862,1.13279,0.577143,-1.13573,1.168721
statistic,1.0473,-0.976949,0.831326,0.54135,1.974718,-0.340903
axis,-0.850519,0.055378,1.97109,0.532888,-0.659277,1.249363
hyperbolic,1.07927,1.48505,1.474863,0.077049,-2.385622,0.249766
rotation,0.572377,-0.13575,1.728632,0.617365,-0.654689,1.301099
Hilbert,1.460565,1.202248,0.518348,-0.024541,-1.731259,-0.778919
digit,0.2286,0.493706,1.87363,1.073757,-0.112884,1.391496
intersection,0.141283,0.043339,1.681926,-1.998744,0.923039,0.719387
addition,-0.246824,-1.985547,1.246189,0.225877,0.128412,0.208768
expression,-0.051726,-0.986481,1.416359,1.620096,-1.811095,-0.465077
Student,0.039082,-1.873126,0.381657,0.524461,1.110282,-1.07015
approximation,1.107468,0.512436,1.993888,0.798917,-1.941496,-0.075318
$\mathbb{Z}$,0.509368,0.185556,-0.058861,0.332673,0.208293,1.146398
mathematics,1.837137,0.259151,0.300302,-0.304235,0.305158,-2.375746
code,0.673002,-0.770728,1.836817,0.976822,0.549583,0.021162
rank,-0.290548,-1.402511,0.200011,0.431684,1.656647,0.01096
characteristic,-0.680838,-1.154934,2.166471,0.290453,-1.736594,0.275185
binary,1.104744,0.365482,1.731389,1.213003,-1.085263,0.570905
closed,-0.090094,-0.484809,2.008001,0.153554,-0.460617,0.805453
tangent,0.670383,1.281768,1.02986,-0.252435,-1.517615,1.155694
diagram,1.119474,0.032416,1.612262,0.126797,-1.293907,0.32217
divide,-1.569331,-0.930765,1.528968,-0.133519,0.241735,-0.028554
functional,0.948922,-0.960302,2.518645,0.556465,-1.357055,-0.386338
abelian,1.269081,1.996934,1.542226,0.207792,-1.725633,-0.311588
