word,1,2,3,4,5,6,7
number,1.785734,0.737836,0.32675,-0.120411,1.216136,-0.039231,-0.602842
function,1.916226,-0.397316,-1.146736,-1.205893,1.304503,-1.295594,0.275898
one,2.122651,0.581064,1.575591,-0.135197,0.670929,0.061667,-0.700753
set,1.410606,0.464939,1.233439,-0.420647,0.926979,-0.473009,-0.482098
group,1.55835,0.276769,0.811873,0.463731,1.516571,-0.225644,0.152275
space,1.286875,0.845683,0.207655,-1.198681,1.568743,-0.746422,0.19456
two,1.836408,1.025752,1.297469,-0.133124,0.80069,0.51676,-0.802742
theory,1.771021,-0.930527,-0.030332,-0.94543,0.424249,-1.721355,1.97851
point,1.197545,0.839133,0.653085,-0.340914,1.267465,0.527865,-1.09091
theorem,-0.070091,-0.76912,-1.174833,-1.799304,-0.646323,-1.779787,1.068942
example,2.274253,0.261073,0.115437,-0.907797,0.774728,-1.251849,0.000296
form,2.36124,0.959678,0.338318,-0.641829,0.377032,-0.373467,-0.04005
define,2.084345,-0.159356,-0.780236,-0.814038,1.016079,-1.374088,0.261682
graph,0.331231,-0.101386,-1.351055,-1.655587,0.342726,-2.000374,0.362899
value,2.131088,-0.407905,-0.595468,-0.75453,1.449624,-1.116645,-0.271704
problem,1.895673,-1.041843,0.180843,-1.088712,1.056372,-0.671687,0.267644
mathematic,0.800577,-0.420305,-0.728776,0.029896,0.461643,-1.212757,2.471731
order,2.298194,-0.168002,0.483853,0.317213,0.261601,0.345497,-0.596909
equation,0.468956,-0.312507,-1.344407,-1.856599,0.395556,-1.617845,0.9841
first,1.561099,0.701942,1.67797,0.667425,0.766217,0.589421,-0.092365
vector,0.785829,0.316671,-1.548181,-1.719524,1.092317,-2.101624,0.050848
algebra,0.150526,0.050977,-1.650275,-1.48689,0.199378,-2.106358,1.292522
$\mathbb{N}$,-0.326914,1.322421,0.061012,-0.474233,1.040354,-0.902028,-0.284724
field,1.308564,0.562764,0.485723,-0.452102,1.324564,0.610814,0.709285
element,2.119288,0.480813,0.057712,-1.128059,0.594892,-1.614406,-0.052886
system,2.335287,0.286257,-0.639413,-0.576139,2.475734,-0.343709,0.450866
matrix,0.396692,0.037985,-1.015193,-1.782497,0.983942,-1.744978,0.238215
mathematical,1.040681,-0.386529,-0.755531,-0.435428,0.618122,-1.774943,2.412353
method,1.986054,-0.5192,-0.466265,-1.509102,1.205152,-1.23265,0.870997
finite,0.858665,0.043805,-1.557162,-1.682737,0.528801,-2.398221,0.175843
result,2.116989,-0.36616,0.478039,-0.129024,1.389762,0.32636,-0.761743
vertex,0.176932,1.028742,-1.672826,-1.722936,0.044819,-1.713532,-1.084257
term,2.41581,-0.653664,0.35275,-0.274829,0.701402,-0.436502,0.175963
line,1.479383,1.64953,0.427304,-0.334791,1.01617,0.767158,-0.796314
model,1.056316,0.449869,0.085441,-0.664914,1.854701,-0.785487,0.487904
real,1.093899,-0.242448,1.418273,-0.098326,1.171982,-1.025605,-0.213953
property,2.318109,-0.11835,-0.441332,-0.774196,0.51392,0.578842,0.498598
geometry,0.601079,0.542687,-1.216171,-1.569935,0.100963,-1.804186,1.483282
complex,1.952236,0.87017,-0.470489,-0.913963,0.731849,-0.606255,0.385746
linear,0.755621,1.252136,-1.44972,-1.173372,1.595148,-1.670933,-0.500649
polynomial,0.147691,-0.516316,-1.453421,-1.872907,-0.118141,-2.592523,0.125926
algorithm,0.343671,-0.931575,-1.011327,-1.795112,1.350218,-1.695084,0.407419
mathematician,-0.487361,-0.7399,0.09961,1.006131,-1.373143,-0.621632,2.363555
definition,1.880106,-0.587423,-0.735779,-0.756246,1.240497,-1.867993,0.51358
product,1.741293,0.40517,-0.231855,-1.179617,2.467717,-0.756355,0.436745
state,2.212166,-0.302609,0.979173,0.922354,1.046249,0.999016,0.263352
sequence,0.897142,0.368164,0.001656,-1.552087,0.94052,-1.707287,-0.208408
distribution,1.634367,0.822058,-0.783771,-0.853519,1.289905,-0.617145,0.323489
variable,1.382398,0.238102,-1.274529,-1.745643,1.43202,-1.853494,-0.397759
solution,1.733001,-0.539527,-0.780178,-1.283433,1.640417,-1.085164,0.483657
square,0.807422,1.819005,-0.234678,-0.108776,0.496133,0.623732,-0.804642
map,1.452248,1.278337,-0.732766,-0.413945,0.480459,-0.249338,0.641842
class,1.216252,0.570104,0.212718,0.368054,1.316131,0.472233,0.035017
integer,0.451919,0.188834,-1.642712,-1.140883,0.671686,-2.531366,-0.675465
mean,2.208725,0.195431,0.557915,-0.577028,0.312266,-0.884013,-1.052754
proof,1.041127,-1.038135,-0.20651,-1.149425,0.296382,-1.076233,0.188405
three,1.678052,1.103405,1.417928,0.044038,0.791969,0.534144,-0.686764
dimensional,0.852808,0.496795,-0.877801,-2.243408,0.76612,-2.332444,0.461175
