word,1,2,3,4,5,6,7
number,-0.358721,1.029439,-0.593161,1.89668,1.523808,1.828788,3.593757
function,0.262211,0.583792,2.400141,1.360498,1.293077,1.805493,3.419657
one,0.117065,-0.001469,-0.370364,1.678856,0.86133,1.558974,4.393025
set,-0.729233,0.409241,0.632126,1.921366,1.241717,1.843964,3.463865
group,0.002495,-1.230565,0.798834,2.429218,1.757644,2.196804,2.287272
space,-0.395042,-1.392297,0.972077,2.543914,1.361127,2.09312,3.044825
two,0.165531,-0.416851,-0.650924,1.686793,0.597653,1.78141,4.191714
theory,1.282374,-0.280469,1.509258,2.098531,2.695937,0.212495,2.86645
point,0.009832,-0.792482,0.078796,1.403837,0.046046,2.351721,3.746365
theorem,-0.867549,-0.078515,1.031769,2.787,2.820649,0.519502,2.137674
example,-0.060913,0.237081,0.640108,1.561957,0.9247,1.460876,3.586292
form,-0.194443,-0.645989,0.707018,1.797542,0.950878,1.919608,3.338416
define,-0.37154,-0.318719,1.574345,1.783022,0.952605,2.078177,3.292401
graph,-1.006302,-0.809929,-0.442223,1.928696,0.746653,0.925309,2.591209
value,0.174592,1.332594,1.088249,0.755608,0.340953,1.936954,4.050731
problem,0.305912,0.40967,0.34698,1.520781,1.421602,-0.18264,3.464573
mathematic,2.611603,0.043868,-0.276807,1.373236,2.464502,-0.118678,2.721565
order,-0.316035,0.05219,-0.00342,1.666234,1.030893,2.00521,2.856879
equation,0.881309,-0.514924,2.002717,1.485366,1.39726,0.917099,2.773783
first,0.943528,0.640871,-0.543101,1.526597,1.688799,0.862006,3.247957
vector,0.118844,-1.124067,1.874837,1.196351,0.155965,2.458586,3.182297
algebra,0.613292,-0.914149,1.592439,2.208583,2.268619,1.562785,1.888303
$\mathbb{N}$,-0.704384,0.762553,0.104955,1.265335,0.157767,3.455527,2.752024
field,0.814786,-0.895387,1.331731,1.63409,1.573557,1.15468,3.013953
element,-0.288328,0.036852,0.466389,1.456767,0.692561,2.420997,3.068881
system,1.180533,-0.229478,1.036846,0.823803,0.902381,0.278647,3.445518
matrix,0.009091,-0.185757,1.990293,1.019678,0.432131,2.044599,2.750573
mathematical,2.980972,0.213587,-0.054139,1.238213,2.451162,-0.385838,2.821032
method,0.891689,0.678086,1.461087,1.059789,1.438675,-0.179743,3.207601
finite,-0.762626,-0.334709,1.391776,2.081151,1.296228,1.824536,2.818566
result,0.082182,0.909372,0.302644,1.462639,1.32918,0.60895,3.601579
vertex,-0.862167,-0.663745,-2.224613,1.368164,-0.496332,2.533255,3.120687
term,0.061484,0.170043,0.997548,1.169325,0.815201,1.086686,3.533956
line,0.15434,-1.347369,-0.513179,1.306842,-0.231414,2.159605,3.25947
model,0.984402,0.087646,1.524592,0.60788,0.798235,0.024115,3.261607
real,-0.298789,-0.102397,1.218045,1.723844,1.025806,1.8745,3.116262
property,-0.763799,-0.161332,1.314244,1.868505,1.096841,0.944732,3.321617
geometry,1.156527,-1.628294,0.063117,2.222523,2.152032,0.644269,2.173112
complex,0.143222,-1.296606,1.26678,2.039602,1.15741,1.615417,2.744775
linear,0.680654,-0.336837,2.063331,1.424293,1.144643,1.34705,3.096484
polynomial,-0.864721,1.051369,1.729689,1.643133,1.626137,1.625436,2.236896
algorithm,0.140232,1.649732,1.113048,0.548693,1.225867,-0.085269,2.850224
mathematician,2.248679,-0.974644,-2.42687,2.020207,2.995334,-1.105888,1.647048
definition,-0.343465,0.110556,1.244118,1.790396,1.430153,1.049518,3.198215
